0,WeatherTech Raceway Laguna Seca,California,usa,Full Circuit,3.60,laguna-seca
1,WeatherTech Raceway Laguna Seca,California,usa,Short Circuit,2.96,laguna-seca
3,Road America,Wisconsin,usa,Full Circuit,6.52,road-america
5,Road America,Wisconsin,usa,East Route,3.52,road-america
16,Road Atlanta,Georgia,usa,Full,4.10,road-atlanta
17,Road Atlanta,Georgia,usa,Club,2.85,road-atlanta
21,Silverstone Racing Circuit,Silverston,gbr,Grand Prix Circuit,5.89,silverstone
22,Silverstone Racing Circuit,Silverston,gbr,National Circuit,2.64,silverstone
23,Silverstone Racing Circuit,Silverston,gbr,International Circuit,2.98,silverstone
31,Nürburgring,Nürburg,ger,Full Circuit,25.38,nurburgring
32,Nürburgring,Nürburg,ger,Nordschleife,20.83,nurburgring
33,Nürburgring,Nürburg,ger,GP Circuit,5.15,nurburgring
34,Nürburgring,Nürburg,ger,Sprint Circuit,3.63,nurburgring
35,Mugello Circuit,Tuscany,ita,Full Circuit,5.25,mugello
36,Mugello Circuit,Tuscany,ita,Club Circuit,2.58,mugello
37,Suzuka Circuit,Suzuka,jpn,Full Circuit,5.81,suzuka
38,Suzuka Circuit,Suzuka,jpn,East Circuit,2.25,suzuka
40,Sebring International,Sebring,usa,Full,6.02,sebring
42,Sebring International,Sebring,usa,Short,3.54,sebring
67,Maple Valley,Vermont,usa,Full Circuit,4.81,
68,Maple Valley,Vermont,usa,Short Circuit,1.85,
70,Maple Valley,Vermont,usa,Short Circuit Reverse,1.85,
78,Fujimi Kaido,Japan,jp,Full,16.42,
83,Fujimi Kaido,Japan,jp,Full Reverse,16.42,
100,Le Mans - Circuit International de la Sarthe,Le Mans,fra,Full Circuit,13.63,le-mans
101,Le Mans - Circuit International de la Sarthe,Le Mans,fra,Old Mulsanne Circuit,13.54,le-mans
110,Circuit de Barcelona-Catalunya,Barcelona,esp,Grand Prix Circuit,4.66,catalunya
111,Circuit de Barcelona-Catalunya,Barcelona,esp,National Circuit,3.07,catalunya
113,Circuit de Barcelona-Catalunya,Barcelona,esp,National Circuit Alt,3.00,catalunya
231,Indianapolis Motor Speedway,Indianapolis,usa,The Brickyard Speedway,4.02,indianapolis
232,Indianapolis Motor Speedway,Indianapolis,usa,Grand Prix Circuit,3.93,indianapolis
250,Hockenheimring,Hockenheim,ger,Full Circuit,4.57,hockenheim
251,Hockenheimring,Hockenheim,ger,National Circuit,3.69,hockenheim
252,Hockenheimring,Hockenheim,ger,Short Circuit,2.64,hockenheim
510,Yas Marina Circuit,Abu Dhabi,uae,Full Circuit,5.28,yas-marina
511,Yas Marina Circuit,Abu Dhabi,uae,North Circuit,3.00,yas-marina
512,Yas Marina Circuit,Abu Dhabi,uae,South Circuit,2.19,yas-marina
513,Yas Marina Circuit,Abu Dhabi,uae,North Corkscrew,2.29,yas-marina
530,Circuit de Spa-Francorchamps,Spa,bel,Full Circuit,7.00,spa
540,Mount Panorama,Australia,au,Circuit,6.21,mount-panorama
840,Daytona Intl Speedway,Daytona,usa,Sports Car Circuit,5.78,daytona
841,Daytona Intl Speedway,Daytona,usa,Tri-Oval Circuit,4.02,daytona
860,Brand Hatch,West Kingsdown,uk,Tor Grand Prix,3.70,brands-hatch
861,Brand Hatch,West Kingsdown,uk,Tor Indy,1.93,brands-hatch
870,Watkins Glen International Speedway,New York,usa,Full Circuit,5.55,watkins-glen
873,Watkins Glen International Speedway,New York,usa,Short Circuit,3.94,watkins-glen
880,Lime Rock Park,Connecticut,usa,Full Circuit,2.41,lime-rock
882,Lime Rock Park,Connecticut,usa,South Chicane,2.37,lime-rock
883,Lime Rock Park,Connecticut,usa,Full Circuit Alt,2.41,lime-rock
990,Virginia International Raceway,Virginia,usa,Full,5.26,vir
991,Virginia International Raceway,Virginia,usa,North,3.62,vir
992,Virginia International Raceway,Virginia,usa,South,2.66,vir
995,Virginia International Raceway,Virginia,usa,Grand West,6.60,vir
996,Virginia International Raceway,Virginia,usa,Grand East,6.76,vir
1110,Homestead-Miami Speedway,Florida,usa,Speedway Circuit,2.41,homestead
1111,Homestead-Miami Speedway,Florida,usa,Road Circuit,3.56,homestead
1450,Mid-Ohio Sports Car Course,Ohio,usa,Full Circuit,3.62,mid-ohio
1452,Mid-Ohio Sports Car Course,Ohio,usa,Short Circuit,2.82,mid-ohio
1590,Kyalami Grand Prix Circuit,Midrand,rsa,Grand Prix Circuit,4.53,kyalami
1620,Sunset Peninsula Raceway,Florida,usa,Full,4.47,
1621,Sunset Peninsula Raceway,Florida,usa,Club,3.12,
1622,Sunset Peninsula Raceway,Florida,usa,Full Reverse,4.47,
1623,Sunset Peninsula Raceway,Florida,usa,Club Reverse,3.12,
1624,Sunset Peninsula Raceway,Florida,usa,Speedway,3.93,
1630,Grand Oak Raceway,New Hampshire,usa,National Circuit,3.73,
1631,Grand Oak Raceway,New Hampshire,usa,Club Circuit,2.62,
1632,Grand Oak Raceway,New Hampshire,usa,National Circuit Reverse,3.73,
1640,Hakone,Hakone,jpn,Grand Prix Circuit,4.28,
1641,Hakone,Hakone,jpn,Club Circuit,3.32,
1643,Hakone,Hakone,jpn,Club Circuit Reverse,3.32,
1660,Eaglerock Speedway,Iowa,usa,Oval Circuit,1.64,
1661,Eaglerock Speedway,Iowa,usa,Club Circuit,1.72,
1663,Eaglerock Speedway,Iowa,usa,Club Circuit Reverse,1.72,
