x,z
638.2297,-65.3158
642.3315,-62.4526
646.4329,-59.5933
650.5330,-56.7341
654.6311,-53.8707
658.7238,-51.0008
662.8098,-48.1206
666.8884,-45.2264
670.9551,-42.3172
675.0079,-39.3904
679.0500,-36.4471
683.0841,-33.4915
687.1120,-30.5283
691.1360,-27.5618
695.1602,-24.5945
699.1873,-21.6303
703.2197,-18.6729
707.2560,-15.7236
711.2950,-12.7773
715.3362,-9.8323
719.3781,-6.8876
723.4191,-3.9422
727.4583,-0.9946
731.4953,1.9570
735.5286,4.9136
739.5555,7.8745
743.5812,10.8394
747.6050,13.8074
751.6266,16.7789
755.6456,19.7536
759.6618,22.7319
763.6749,25.7138
767.6853,28.6999
771.6932,31.6908
775.6962,34.6866
779.6952,37.6872
783.6909,40.6920
787.6844,43.7008
791.6757,46.7119
795.6658,49.7248
799.6554,52.7387
803.6449,55.7525
807.6337,58.7672
811.6214,61.7838
815.6078,64.8021
819.5930,67.8219
823.5774,70.8430
827.5610,73.8655
831.5436,76.8889
835.5251,79.9129
839.5061,82.9377
843.4869,85.9638
847.4664,88.9905
851.4448,92.0183
855.4225,95.0478
859.3983,98.0781
863.3729,101.1102
867.3468,104.1445
871.3202,107.1811
875.2924,110.2185
879.2631,113.2569
883.2333,116.2971
887.2021,119.3391
891.1691,122.3825
895.1348,125.4283
899.0994,128.4771
903.0605,131.5273
907.0187,134.5790
910.9745,137.6329
914.9298,140.6898
918.8828,143.7482
922.8338,146.8083
926.7838,149.8704
930.7311,152.9331
934.6779,155.9982
938.6191,159.0689
942.5563,162.1448
946.4907,165.2230
950.4240,168.3007
954.3588,171.3759
958.2970,174.4462
962.2404,177.5090
966.1900,180.5613
970.1458,183.6046
974.1063,186.6417
978.0707,189.6730
982.0381,192.6991
986.0079,195.7205
989.9800,198.7383
993.9536,201.7527
997.9274,204.7640
1001.9012,207.7709
1005.8796,210.7731
1009.8606,213.7704
1013.8427,216.7633
1017.8255,219.7532
1021.8085,222.7413
1025.7905,225.7285
1029.7709,228.7159
1033.7380,231.6964
1037.7225,234.6935
1041.6982,237.6855
1045.6747,240.6778
1049.6548,243.6707
1053.6357,246.6602
1057.6086,249.6365
1061.6007,252.6152
1065.5845,255.5689
1069.5695,258.5101
1073.5798,261.4315
1077.6091,264.2858
1081.7037,267.1060
1085.8273,269.8606
1089.9795,272.5696
1094.1465,275.2535
1098.3145,277.9365
1102.4443,280.6557
1106.5814,283.3616
1110.7864,285.9715
1115.0953,288.4251
1119.4540,290.8296
1123.8566,293.1543
1128.3475,295.3126
1132.9657,297.1883
1137.6949,298.7477
1142.5016,300.1077
1147.3992,301.0877
1152.3640,301.4167
1157.2751,300.8394
1162.0085,299.5671
1166.4531,297.5102
1170.4102,294.5485
1173.6423,290.7396
1175.9799,286.3773
1177.3629,281.6455
1178.0140,276.7313
1177.8223,271.7443
1177.0916,266.7838
1176.1001,261.8785
1174.9398,257.0069
1173.6511,252.1652
1172.1720,247.4310
1170.3308,242.8124
1168.2235,238.3158
1166.0118,233.8748
1163.8035,229.4264
1161.4929,225.0427
1159.0792,220.7177
1156.5793,216.4397
1153.9664,212.2222
1151.2040,208.0989
1148.4116,203.9932
1145.7108,199.8246
1143.1716,195.5536
1140.7106,191.2337
1138.3492,186.8564
1136.1195,182.4088
1134.0398,177.8869
1132.0879,173.3062
1130.2793,168.6656
1128.6321,163.9640
1127.1575,159.2072
1125.8383,154.4008
1124.6738,149.5545
1123.6719,144.6713
1122.8479,139.7567
1122.2061,134.8132
1121.7479,129.8491
1121.4723,124.8707
1121.3738,119.8835
1121.4503,114.8959
1121.7008,109.9123
1122.1245,104.9399
1122.7236,99.9857
1123.4990,95.0539
1124.4415,90.1502
1125.5457,85.2801
1126.8104,80.4480
1128.2395,75.6627
1129.8345,70.9285
1131.5929,66.2519
1133.5090,61.6378
1135.5762,57.0873
1137.7913,52.6068
1140.1550,48.2025
1142.6691,43.8828
1145.3351,39.6543
1148.1417,35.5161
1151.0778,31.4684
1154.1377,27.5130
1157.3223,23.6609
1160.6375,19.9183
1164.0741,16.2874
1167.6219,12.7658
