x,z
-132.0917,-386.1902
-127.6448,-388.4585
-123.1939,-390.7361
-118.7371,-393.0074
-114.2807,-395.2602
-109.8232,-397.5208
-105.3605,-399.7735
-100.8822,-401.9936
-96.3781,-404.1553
-91.8440,-406.2556
-87.2893,-408.3091
-82.7180,-410.3266
-78.1359,-412.3177
-73.5458,-414.2930
-68.9464,-416.2437
-64.3286,-418.1514
-59.6861,-419.9993
-55.0128,-421.7791
-50.3189,-423.4995
-45.6074,-425.1751
-40.8847,-426.8163
-36.1521,-428.4299
-31.4081,-430.0055
-26.6511,-431.5441
-21.8833,-433.0484
-17.1058,-434.5232
-12.3203,-435.9727
-7.5245,-437.3870
-2.7141,-438.7535
2.1105,-440.0631
6.9437,-441.3443
11.7906,-442.5676
16.6605,-443.6899
21.5610,-444.6846
26.4733,-445.6100
31.4047,-446.4330
36.3601,-447.0910
41.3387,-447.5179
46.3333,-447.7228
51.3315,-447.7333
56.3259,-447.5557
61.3078,-447.1935
66.2737,-446.6584
71.2160,-445.9458
76.1236,-445.0335
80.9794,-443.8943
85.7721,-442.5334
90.4984,-440.9680
95.1332,-439.1599
99.6464,-437.0684
103.9985,-434.6611
108.1819,-431.9703
112.2108,-429.0545
116.1036,-425.9632
119.8543,-422.7100
123.4323,-419.2700
126.8618,-415.6855
130.1716,-411.9950
133.3810,-408.2247
136.4719,-404.3616
139.4286,-400.3996
142.2354,-396.3329
144.8804,-392.1637
147.3746,-387.9113
149.7081,-383.5680
151.8661,-379.1226
153.8284,-374.5696
155.5864,-369.9225
157.1611,-365.2007
158.5727,-360.4178
159.8335,-355.5868
160.9131,-350.7062
161.8232,-345.7900
162.5929,-340.8506
163.2491,-335.8955
163.7659,-330.9248
164.1487,-325.9439
164.4273,-320.9581
164.6306,-315.9721
164.7425,-310.9863
164.7601,-306.0031
164.7078,-301.0234
164.6087,-296.0480
164.4567,-291.0767
164.2398,-286.1129
163.9772,-281.1534
163.6892,-276.1949
163.3792,-271.2363
163.0356,-266.2809
162.6659,-261.3276
162.2776,-256.3760
161.8728,-251.4244
161.4476,-246.4758
161.0045,-241.5276
160.5462,-236.5804
160.0728,-231.6339
159.5802,-226.6886
159.0731,-221.7436
158.5575,-216.7999
158.0408,-211.8567
157.5278,-206.9136
157.0034,-201.9718
156.4506,-197.0334
155.8637,-192.0994
155.2850,-187.1656
154.6682,-182.2366
153.9502,-177.3197
153.0824,-172.4243
152.1378,-167.5419
151.0751,-162.6818
149.8156,-157.8652
148.2985,-153.1212
146.6668,-148.4058
144.8296,-143.7645
142.5994,-139.3000
139.7966,-135.1798
136.5611,-131.3658
132.9636,-127.8945
128.9383,-124.9435
124.4206,-122.8519
119.5424,-121.7476
114.5555,-121.4259
109.5796,-121.8503
104.7784,-123.1574
100.3852,-125.5224
96.4593,-128.5925
92.9313,-132.1181
89.7822,-135.9730
87.1823,-140.2170
85.1319,-144.7551
83.4644,-149.4481
82.0320,-154.2149
80.8964,-159.0600
80.1130,-163.9757
79.5638,-168.9225
79.1320,-173.8807
78.8184,-178.8449
78.6693,-183.8176
78.6490,-188.7921
78.7257,-193.7663
78.9182,-198.7359
79.2495,-203.6995
79.6539,-208.6579
80.0643,-213.6165
80.4740,-218.5753
80.9384,-223.5301
81.3861,-228.4865
81.7410,-233.4506
81.9772,-238.4216
82.1548,-243.3943
82.2256,-248.3704
82.1355,-253.3485
81.8525,-258.3221
81.4128,-263.2877
80.8179,-268.2389
80.0619,-273.1696
79.1409,-278.0751
78.0652,-282.9509
76.8206,-287.7881
75.3918,-292.5751
73.7830,-297.3044
72.0401,-301.9886
70.1098,-306.5986
67.9262,-311.0943
65.4437,-315.4306
62.7319,-319.6311
59.7853,-323.6699
56.5669,-327.4979
53.0420,-331.0376
49.2304,-334.2719
45.1812,-337.2033
40.9249,-339.8256
36.4872,-342.1206
31.8785,-344.0552
27.1392,-345.6436
22.3024,-346.9056
17.3960,-347.8457
12.4313,-348.4241
7.4391,-348.6706
2.4408,-348.6307
-2.5478,-348.3339
-7.5032,-347.6847
-12.4132,-346.7498
-17.2937,-345.6671
-22.1800,-344.5627
-27.0317,-343.4060
-31.8616,-342.1482
-36.6850,-340.8352
-41.4987,-339.5157
-46.3327,-338.1910
-51.1415,-336.8632
-55.9648,-335.5171
-60.7779,-334.1552
