x,z
-100.7029,552.0626
-104.6154,549.3220
-108.7720,546.4133
-112.9612,543.4814
-117.0273,540.6348
-121.1488,537.7481
-125.2767,534.8550
-129.3883,531.9714
-133.5063,529.0805
-137.5879,526.2112
-141.7577,523.2744
-145.8785,520.3626
-150.0086,517.4230
-153.8458,514.6500
-157.8679,511.7890
-161.9512,508.9091
-166.0545,506.0263
-170.1758,503.1364
-174.2667,500.2700
-178.3362,497.4194
-182.4418,494.5427
-186.5688,491.6491
-190.6278,488.8010
-194.7345,485.9164
-198.8277,483.0376
-202.8191,480.2277
-206.9946,477.2885
-211.0173,474.4572
-215.1744,471.5315
-219.2226,468.6825
-223.3408,465.7843
-227.4313,462.9055
-231.5197,460.0283
-235.6369,457.1305
-239.7145,454.2605
-243.8216,451.3697
-247.9155,448.4877
-252.0056,445.6082
-256.1064,442.7207
-260.2062,439.8337
-264.2726,436.9697
-268.4072,434.0571
-272.4600,431.2014
-276.5999,428.2838
-280.6622,425.4199
-284.7879,422.5101
-288.8513,419.6432
-292.9346,416.7601
-296.9778,413.9029
-301.0921,410.9926
-305.1286,408.1348
-309.2287,405.2296
-313.3012,402.3418
-317.3519,399.4678
-321.4391,396.5666
-325.5066,393.6791
-329.5764,390.7904
-333.6498,387.9001
-337.7116,385.0201
-341.7958,382.1266
-345.8716,379.2419
-349.9281,376.3741
-354.0573,373.4584
-358.1206,370.5887
-362.2134,367.6955
-366.2960,364.8080
-370.3767,361.9209
-374.4682,359.0259
-378.5440,356.1426
-382.6376,353.2478
-386.7149,350.3665
-390.8046,347.4787
-394.8905,344.5969
-398.9808,341.7156
-403.0720,338.8380
-407.1675,335.9626
-411.2611,333.0944
-415.3667,330.2244
-419.4584,327.3718
-423.5803,324.5067
-427.6630,321.6785
-431.7594,318.8526
-435.8954,316.0109
-440.0191,313.1872
-444.1561,310.3631
-448.2911,307.5477
-452.4349,304.7323
-456.5688,301.9291
-460.7255,299.1149
-464.8517,296.3248
-469.0209,293.5084
-473.1595,290.7145
-477.3090,287.9140
-481.4745,285.1025
-485.5733,282.3343
-489.7628,279.5012
-493.9220,276.6825
-498.0412,273.8815
-502.1349,271.0951
-506.2644,268.2847
-510.4112,265.4618
-514.5333,262.6517
-518.6351,259.8477
-522.7325,257.0345
-526.8464,254.1982
-530.9808,251.3391
-535.0929,248.4932
-539.1876,245.6595
-543.2947,242.8159
-547.4166,239.9592
-551.5424,237.0958
-555.6578,234.2335
-559.7551,231.3757
-563.8428,228.5119
-567.9571,225.6080
-572.0830,222.6439
-575.8963,219.7264
-579.8181,216.5469
-583.6329,213.3227
-587.3939,210.0073
-591.0590,206.6049
-594.6165,203.0412
-597.8492,199.2933
-600.6288,195.1433
-602.8934,190.6971
-604.5673,185.9939
-605.5660,181.0969
-605.8229,176.1183
-605.3154,171.1182
-604.1591,166.2604
-602.2955,161.6359
-599.6342,157.4300
-596.2520,153.7709
-592.3620,150.6372
-588.1663,147.9586
-583.6440,145.8229
-578.9506,144.0867
-574.1500,142.6471
-569.2839,141.4621
-564.3611,140.5191
-559.4270,139.8472
-554.4163,139.4989
-549.4321,139.2883
-544.4463,139.1873
-539.4606,139.2564
-534.4802,139.5168
-529.4971,139.9388
-524.5216,140.4870
-519.5644,141.1444
-514.6226,141.9038
-509.6962,142.7648
-504.7884,143.7322
-499.9129,144.8146
-495.0650,146.0339
-490.2506,147.3785
-485.4664,148.8283
-480.7091,150.3636
-475.9734,151.9659
-471.2555,153.6163
-466.5562,155.3220
-461.8835,157.0981
-457.2371,158.9423
-452.6176,160.8520
-448.0240,162.8246
-443.4564,164.8569
-438.9054,166.9408
-434.3889,169.0689
-429.8974,171.2650
-425.4524,173.5302
-421.0376,175.8730
-416.6637,178.2804
-412.3055,180.7583
-407.9975,183.2743
-403.6980,185.8357
-399.4139,188.4294
-395.1487,191.0486
-390.9054,193.6895
-386.6624,196.3666
-382.4397,199.0720
-378.2794,201.7944
-374.1284,204.5986
-370.0376,207.4502
-365.9710,210.3609
-361.9344,213.3014
-357.9030,216.2561
-353.8646,219.2114
-349.8515,222.1931
-345.8585,225.2013
-341.8771,228.2251
-337.8987,231.2529
-333.9146,234.2737
-329.9180,237.2775
-325.9178,240.2772
-321.9171,243.2758
-317.9136,246.2708
-313.9051,249.2594
-309.8901,252.2387
-305.8667,255.2065
-301.8460,258.1786
-297.8284,261.1549
-293.8039,264.1220
