x,z
366.8638,-190.8209
364.1824,-186.6724
361.4656,-182.4661
358.7462,-178.2523
356.0283,-174.0372
353.3127,-169.8213
350.6005,-165.6057
347.8937,-161.3926
345.1931,-157.1812
342.4962,-152.9653
339.8135,-148.7565
337.1378,-144.5296
334.4778,-140.2972
331.8300,-136.0619
329.1878,-131.8247
326.5421,-127.5831
323.8905,-123.3478
321.2255,-119.1201
318.5394,-114.8994
315.8346,-110.6920
313.1161,-106.4957
310.3861,-102.3064
307.6486,-98.1221
304.9069,-93.9409
302.1638,-89.7600
299.4231,-85.5774
296.6882,-81.3914
293.9607,-77.2013
291.2354,-73.0100
288.5108,-68.8173
285.7876,-64.6246
283.0648,-60.4314
280.3417,-56.2376
277.6191,-52.0454
274.8957,-47.8534
272.1699,-43.6601
269.4442,-39.4678
266.7184,-35.2758
263.9929,-31.0848
261.2668,-26.8935
258.5406,-22.7020
255.8141,-18.5102
253.0878,-14.3186
250.3624,-10.1284
247.6358,-5.9373
244.9083,-1.7462
242.1807,2.4451
239.4532,6.6363
236.7262,10.8273
233.9997,15.0190
231.2741,19.2114
228.5499,23.4044
225.8275,27.5967
223.1039,31.7900
220.3806,35.9834
217.6580,40.1774
214.9367,44.3720
212.2173,48.5678
209.5004,52.7650
206.7862,56.9643
204.0760,61.1651
201.3666,65.3677
198.6583,69.5712
195.9521,73.7756
193.2488,77.9815
190.5485,82.1908
187.8526,86.4028
185.1625,90.6177
182.4792,94.8358
179.8028,99.0578
177.1312,103.2856
174.4660,107.5157
171.8066,111.7484
169.1517,115.9843
166.5012,120.2227
163.8546,124.4633
161.2107,128.7065
158.5702,132.9545
155.9389,137.2056
153.3136,141.4603
150.6917,145.7175
148.0715,149.9758
145.4506,154.2335
142.8270,158.4892
140.1984,162.7421
137.5646,166.9904
134.9286,171.2394
132.2916,175.4870
129.6526,179.7333
127.0111,183.9782
124.3662,188.2208
121.7178,192.4605
119.0642,196.6983
116.4056,200.9324
113.7420,205.1625
111.0739,209.3891
108.4014,213.6134
105.7250,217.8356
103.0458,222.0555
100.3640,226.2739
97.6803,230.4915
94.9950,234.7084
92.3071,238.9228
89.6161,243.1349
86.9220,247.3454
84.2262,251.5543
81.5290,255.7622
78.8309,259.9697
76.1324,264.1777
73.4342,268.3860
70.7363,272.5933
68.0369,276.8000
65.3365,281.0066
62.6353,285.2131
59.9343,289.4191
57.2336,293.6250
54.5335,297.8315
51.8340,302.0388
49.1355,306.2464
46.4369,310.4544
43.7387,314.6624
41.0405,318.8709
38.3428,323.0800
35.6459,327.2892
32.9499,331.4987
30.2541,335.7099
27.5596,339.9214
24.8671,344.1330
22.1758,348.3450
19.4852,352.5580
16.7951,356.7716
14.1054,360.9853
11.4157,365.1991
8.7255,369.4134
6.0371,373.6240
3.3479,377.8356
0.6560,382.0518
-2.0366,386.2696
-4.7289,390.4869
-7.4194,394.7012
-10.1098,398.9147
-12.8083,403.1400
-15.5042,407.3598
-18.1841,411.5530
-20.8827,415.7752
-23.5703,419.9794
-26.2694,424.1994
-28.9625,428.4070
-31.6562,432.6100
-34.3563,436.8166
-37.0636,441.0318
-39.7657,445.2273
-42.4791,449.4154
-45.2113,453.6120
-47.9245,457.8107
-50.6516,462.0013
-53.4264,466.1574
-56.2747,470.2636
-59.1470,474.3614
-62.0553,478.4296
-65.0498,482.4367
-68.1828,486.3358
-71.4755,490.0903
-74.9020,493.7314
-78.4682,497.2327
-82.1861,500.5731
-86.0399,503.7556
-89.9998,506.8076
-94.1180,509.6417
-98.4471,512.1382
-102.9958,514.2061
-107.6958,515.9100
-112.5328,517.1649
-117.4821,517.8544
-122.4754,517.8803
-127.4426,517.3307
-132.3389,516.3229
-137.1410,514.9319
-141.8375,513.2289
-146.4539,511.3086
-151.0045,509.2361
-155.5090,507.0625
-159.9615,504.7973
-164.3970,502.4908
-168.8932,500.2965
-173.5092,498.3847
-178.2961,496.9476
-183.1873,495.9333
-188.1430,495.2984
-193.1311,494.9965
-198.1239,494.9863
-203.1124,495.2907
-208.0738,495.8763
-212.9975,496.7228
-217.8651,497.8296
-222.6622,499.2154
-227.3738,500.8675
-231.9907,502.7701
-236.4996,504.9157
-240.8654,507.3389
-245.0989,509.9901
-249.2296,512.7944
-253.2929,515.6970
-257.2388,518.7701
-261.0941,521.9507
-264.9254,525.1649
-268.7908,528.3336
-272.6995,531.4376
-276.6145,534.5375
-280.5690,537.5838
-284.6029,540.5283
-288.6919,543.3977
-292.8267,546.1987
-297.0597,548.8485
-301.4297,551.2634
-305.9240,553.4445
-310.5087,555.4275
-315.1730,557.2155
-319.9068,558.8050
-324.7054,560.1921
-329.5572,561.3801
-334.4530,562.3710
-339.3839,563.1625
-344.3428,563.7579
-349.3218,564.1552
-354.3130,564.3420
-359.3074,564.3044
-364.2947,564.0427
-369.2681,563.5690
-374.2165,562.8806
-379.1284,561.9676
-383.9889,560.8190
-388.7910,559.4410
-393.5254,557.8446
-398.1843,556.0391
-402.7576,554.0283
-407.2359,551.8126
-411.6126,549.4013
-415.8805,546.8021
-420.0297,544.0184
-424.0535,541.0554
-427.9508,537.9269
-431.7184,534.6426
-435.3471,531.2078
-438.8288,527.6226
-442.1607,523.8976
-445.3422,520.0430
-448.3688,516.0671
-451.2357,511.9714
-453.9483,507.7727
-456.5115,503.4811
-458.9224,499.1031
-461.1685,494.6376
-463.2509,490.0934
-465.1744,485.4795
-466.9437,480.8043
-468.5526,476.0715
-470.0023,471.2870
-471.2937,466.4571
-472.4258,461.5884
-473.3965,456.6842
-474.2052,451.7509
-474.8516,446.7933
-475.3343,441.8181
-475.6477,436.8282
-475.7983,431.8312
-475.7962,426.8318
-475.6495,421.8354
-475.3333,416.8462
-474.8581,411.8686
-474.2655,406.9029
-473.5929,401.9482
-472.8665,397.0020
-472.0552,392.0708
-471.1126,387.1644
-470.0077,382.2872
-468.7363,377.4535
-467.3324,372.6530
-465.8313,367.8818
-464.2556,363.1357
-462.6168,358.4114
-460.8992,353.7195
-459.0853,349.0617
-457.1670,344.4444
-455.1521,339.8625
-453.0673,335.3246
-450.8734,330.8462
-448.5593,326.4182
-446.1539,322.0434
-443.6639,317.7005
-441.1205,313.3795
-438.5545,309.0911
-435.9655,304.8097
-433.3615,300.5306
-430.7625,296.2704
-428.1458,292.0086
-425.5099,287.7614
-422.8577,283.5249
-420.1929,279.2951
-417.5209,275.0706
-414.8452,270.8464
-412.1634,266.6272
-409.4698,262.4148
-406.7689,258.2075
-404.0645,254.0020
-401.3611,249.7964
-398.6623,245.5874
-395.9688,241.3752
-393.2762,237.1637
-390.5844,232.9509
-387.8948,228.7371
-385.2073,224.5208
-382.5245,220.3041
-379.8485,216.0802
-377.1868,211.8478
-374.5305,207.6115
-371.8715,203.3772
-369.2005,199.1494
-366.5100,194.9357
-363.7935,190.7386
-361.0684,186.5472
-358.3319,182.3641
-355.5753,178.1931
-352.7914,174.0408
-349.9722,169.9118
-347.1179,165.8205
-344.2173,161.7375
-341.2912,157.6806
-338.3353,153.6421
-335.3521,149.6301
-332.3248,145.6344
-329.2552,141.6834
-326.1423,137.7833
-322.9470,133.9520
-319.6213,130.2253
-316.1627,126.6145
-312.6238,123.0809
-308.9868,119.6494
-305.2047,116.3791
-301.2348,113.3433
-297.1265,110.4939
-292.8865,107.8456
-288.4572,105.5313
-283.8127,103.7006
-278.9946,102.3688
-274.0795,101.4442
-269.1061,100.9179
-264.1075,100.8319
-259.1339,101.2591
-254.2229,102.1856
-249.4228,103.5781
-244.7753,105.4159
-240.3380,107.7077
-236.1396,110.4214
-232.1877,113.4828
-228.4893,116.8466
-225.0947,120.5103
-222.0179,124.4508
-219.2154,128.5915
-216.6493,132.8849
-214.3300,137.3099
-212.2978,141.8772
-210.5298,146.5536
-209.0002,151.3138
-207.7142,156.1434
-206.7011,161.0393
-205.9124,165.9767
-205.3013,170.9395
-204.8406,175.9170
-204.5599,180.9092
-204.4614,185.9080
-204.5443,190.9071
-204.8111,195.8988
-205.2648,200.8785
-205.8951,205.8388
-206.6938,210.7749
-207.6548,215.6808
-208.7749,220.5533
-210.0674,225.3827
-211.5458,230.1582
-213.2240,234.8680
-215.1153,239.4952
-217.1758,244.0512
-219.3571,248.5508
-221.6189,253.0086
-223.9853,257.4128
-226.4567,261.7583
-229.0164,266.0526
-231.6480,270.3015
-234.3700,274.4954
-237.1744,278.6341
-240.0363,282.7338
-242.9328,286.8102
-245.8542,290.8673
-248.8236,294.8679
-251.8478,298.8315
-254.9096,302.7972
-257.9580,306.7070
-261.0609,310.6565
-264.1684,314.5980
-267.2729,318.5292
-270.3740,322.4543
-273.4821,326.3912
-276.5948,330.3432
-279.6786,334.2800
-282.7384,338.2178
-285.7754,342.1540
-288.7888,346.1262
-291.7539,350.1214
-294.7473,354.1524
-297.7362,358.1577
-300.6572,362.2134
-303.4312,366.3686
-306.0491,370.6243
-308.6009,374.9254
-310.9978,379.3133
-313.1253,383.8365
-314.8452,388.5208
-316.2422,393.3173
-317.2598,398.2039
-317.7610,403.1718
-317.5799,408.1527
-316.7660,413.0751
-315.3621,417.8631
-313.3440,422.4245
-310.6750,426.6283
-307.4524,430.4417
-303.8028,433.8470
