x,z
-231.1043,88.4634
-236.0779,87.8618
-241.0439,87.2548
-246.0051,86.6428
-250.9635,86.0268
-255.9208,85.4076
-260.8782,84.7865
-265.8365,84.1648
-270.7967,83.5439
-275.7574,82.9255
-280.7171,82.3114
-285.6765,81.7030
-290.6335,81.1018
-295.6018,80.5064
-300.5711,79.9162
-305.5395,79.3299
-310.5050,78.7462
-315.4705,78.1632
-320.4411,77.5788
-325.4124,76.9918
-330.3829,76.4004
-335.3519,75.8025
-340.3188,75.1950
-345.2790,74.5756
-350.2287,73.9460
-355.1729,73.3058
-360.1285,72.6535
-365.0839,71.9921
-370.0324,71.3253
-374.9850,70.6548
-379.9291,69.9860
-384.8946,69.3175
-389.8485,68.6491
-394.8019,67.9779
-399.7552,67.3039
-404.7082,66.6271
-409.6608,65.9476
-414.6134,65.2652
-419.5660,64.5800
-424.5178,63.8921
-429.4698,63.2021
-434.4218,62.5098
-439.3735,61.8151
-444.3246,61.1174
-449.2753,60.4165
-454.2255,59.7120
-459.1751,59.0034
-464.1238,58.2905
-469.0719,57.5739
-474.0199,56.8542
-478.9674,56.1312
-483.9142,55.4043
-488.8604,54.6732
-493.8062,53.9374
-498.7512,53.1964
-503.6949,52.4498
-508.6309,51.6982
-513.5772,50.9392
-518.5210,50.1756
-523.4689,49.4070
-528.4174,48.6338
-533.3602,47.8571
-538.2803,47.0788
-543.2604,46.2843
-548.1665,45.4955
-553.1071,44.7016
-558.0236,43.8848
-562.9314,42.9897
-567.8447,42.0131
-572.7392,40.9949
-577.6172,39.9003
-582.4683,38.6914
-587.2849,37.3511
-592.0786,35.9291
-596.8344,34.3854
-601.5292,32.6666
-606.1411,30.7380
-610.6927,28.6685
-615.1600,26.4227
-619.4988,23.9367
-623.6493,21.1538
-627.6323,18.1322
-631.4189,14.8683
-634.9482,11.3290
-638.1525,7.4991
-641.0692,3.4339
-643.6927,-0.8232
-645.9642,-5.2771
-647.7657,-9.9352
-648.9735,-14.7827
-649.6353,-19.7355
-649.8457,-24.7291
-649.6973,-29.7230
-649.1237,-34.6884
-648.1535,-39.5933
-646.9069,-44.4361
-645.4813,-49.2271
-643.8586,-53.9556
-642.0057,-58.5993
-639.9681,-63.1652
-637.7878,-67.6644
-635.4617,-72.0897
-632.9751,-76.4274
-630.3558,-80.6860
-627.6296,-84.8773
-624.7917,-88.9931
-621.8340,-93.0244
-618.7896,-96.9907
-615.6880,-100.9127
-612.5414,-104.7987
-609.3286,-108.6226
-606.0552,-112.3886
-602.7433,-116.1193
-599.4121,-119.8527
-596.0786,-123.5959
-592.7378,-127.3149
-589.3620,-131.0089
-585.9411,-134.6572
-582.4497,-138.2477
-578.8995,-141.7523
-575.3041,-145.2256
-571.6611,-148.6496
-567.9590,-152.0090
-564.1850,-155.2879
-560.3282,-158.4686
-556.3821,-161.5362
-552.3582,-164.5020
-548.2645,-167.3714
-544.1071,-170.1475
-539.8911,-172.8338
-535.6215,-175.4332
-531.3015,-177.9464
-526.9265,-180.3629
-522.5001,-182.6839
-518.0272,-184.9132
-513.5120,-187.0551
-508.9585,-189.1136
-504.3709,-191.0928
-499.7499,-192.9932
-495.0956,-194.8102
-490.4088,-196.5386
-485.6886,-198.1739
-480.9360,-199.7108
-476.1534,-201.1438
-471.3375,-202.4733
-466.4979,-203.7032
-461.6347,-204.8398
-456.7523,-205.8867
-451.8515,-206.8470
-446.9377,-207.7219
-442.0070,-208.5060
-437.0630,-209.1946
-432.1073,-209.7901
-427.1422,-210.2957
-422.1698,-210.7151
-417.1919,-211.0529
-412.2119,-211.3164
-407.2288,-211.5065
-402.2451,-211.6145
-397.2603,-211.6314
-392.2768,-211.5475
-387.2943,-211.3522
-382.3195,-211.0343
-377.3528,-210.5950
-372.3964,-210.0477
-367.4509,-209.4055
-362.5155,-208.6809
-357.5898,-207.8864
-352.6800,-207.0132
-347.7923,-205.9967
-342.9212,-204.8822
-338.0573,-203.7163
-333.1993,-202.5457
-328.3405,-201.4274
-323.4445,-200.4308
-318.5328,-199.5245
-313.6118,-198.7178
-308.6799,-198.0175
-303.7231,-197.3901
-298.7671,-196.8352
-293.8036,-196.3673
-288.8332,-195.9993
-283.8568,-195.7413
-278.8780,-195.5774
-273.8980,-195.5149
-268.9181,-195.5707
-263.9408,-195.7610
-258.9683,-196.0772
-254.0051,-196.5150
-249.0536,-197.0795
-244.1187,-197.7758
-239.2014,-198.5965
-234.3055,-199.5397
-229.4353,-200.6160
-224.5977,-201.8378
-219.8020,-203.2232
-215.0512,-204.7639
-210.3423,-206.4311
-205.6685,-208.1963
-201.0234,-210.0381
-196.4241,-211.9785
-191.8772,-214.0387
-187.3820,-216.1940
-182.9088,-218.4354
-178.4653,-220.7564
-174.0615,-223.1076
-169.6559,-225.4825
-165.2542,-227.8571
-160.8419,-230.2192
-156.4347,-232.5529
-152.0250,-234.9041
-147.6126,-237.2621
-143.1920,-239.6138
-138.7711,-241.9373
-134.3145,-244.2253
-129.8229,-246.4328
-125.3050,-248.5299
-120.7168,-250.5108
-116.0889,-252.3727
-111.4269,-254.1875
-106.7546,-255.9630
-102.0546,-257.6629
-97.3156,-259.2501
-92.5297,-260.6880
-87.7098,-262.0079
-82.8583,-263.2033
-77.9688,-264.2345
-73.0432,-265.0627
-68.0857,-265.7061
-63.1085,-266.1852
-58.1162,-266.4771
-53.1144,-266.5371
-48.1234,-266.3303
-43.1486,-265.8515
-38.2162,-265.0530
-33.3470,-263.9201
-28.5744,-262.4392
-23.9038,-260.6614
-19.3186,-258.6750
-14.7953,-256.5535
-10.3326,-254.3063
-5.9412,-251.9178
-1.6268,-249.3949
2.6044,-246.7330
6.7287,-243.9182
10.7437,-240.9439
14.6586,-237.8400
18.4921,-234.6361
22.2493,-231.3434
25.9072,-227.9392
29.4857,-224.4516
33.0069,-220.9082
36.4863,-217.3117
39.8566,-213.6396
43.1795,-209.9152
46.5150,-206.2057
49.8911,-202.5170
53.2608,-198.8279
56.6308,-195.1406
60.0148,-191.4536
63.4094,-187.7830
66.8235,-184.1333
70.2582,-180.5109
73.6936,-176.8814
77.1360,-173.2582
80.6045,-169.6595
84.1173,-166.1043
87.6926,-162.6119
91.3448,-159.2001
95.0470,-155.8425
98.7954,-152.5365
102.5991,-149.2941
106.4659,-146.1272
110.4032,-143.0484
114.4154,-140.0707
118.4995,-137.1855
122.6424,-134.3889
126.8436,-131.6787
131.1001,-129.0564
135.4111,-126.5236
139.7728,-124.0863
144.1914,-121.7473
148.6614,-119.5117
153.1808,-117.3777
157.7461,-115.3432
162.3530,-113.4056
166.9982,-111.5610
171.6775,-109.8066
176.3904,-108.1448
181.1364,-106.5802
185.9138,-105.1175
190.7229,-103.7604
195.5608,-102.5129
200.4262,-101.3846
205.3214,-100.3754
210.2342,-99.4704
215.1636,-98.6550
220.1053,-97.9170
225.0564,-97.2452
230.0122,-96.6414
234.9826,-96.1426
239.9595,-95.7347
244.9418,-95.3948
249.9265,-95.0991
254.9128,-94.8236
259.8989,-94.5480
264.8854,-94.2862
269.8732,-94.0509
274.8619,-93.8512
279.8525,-93.6963
284.8443,-93.5953
289.8371,-93.5542
294.8299,-93.5440
299.8223,-93.5699
304.8142,-93.6514
309.8049,-93.8075
314.7910,-94.0565
319.7702,-94.4156
324.7457,-94.8581
329.7140,-95.3723
334.6735,-95.9709
339.6203,-96.6675
344.5490,-97.4771
349.4541,-98.4165
354.3276,-99.4968
359.1710,-100.7077
363.9838,-102.0382
368.7641,-103.4774
373.5133,-105.0151
378.2337,-106.6419
382.9198,-108.3596
387.5617,-110.1930
392.1615,-112.1289
396.7241,-114.1509
401.2552,-116.2425
405.7618,-118.3867
410.2438,-120.5849
414.6787,-122.8706
419.0877,-125.2248
423.4736,-127.6223
427.8456,-130.0455
432.1980,-132.4666
436.5649,-134.8872
440.9008,-137.3731
445.1995,-139.8939
449.5219,-142.3680
453.9247,-144.7323
458.3423,-147.0518
462.7958,-149.3017
467.3137,-151.4197
471.9160,-153.3468
476.5751,-155.1407
481.2908,-156.7805
486.0768,-158.1989
490.9402,-159.3215
495.8618,-160.1659
500.8217,-160.7456
505.8068,-161.0341
510.7978,-160.9999
515.7797,-160.6442
520.7307,-159.9877
525.6328,-159.0289
530.4603,-157.7547
535.1846,-156.1352
539.7888,-154.1973
544.2711,-151.9900
548.6345,-149.5556
552.8561,-146.8815
556.9222,-143.9725
560.8481,-140.8766
564.6515,-137.6322
568.3237,-134.2407
571.8452,-130.6921
575.2241,-127.0077
578.4718,-123.2065
581.5644,-119.2790
584.4956,-115.2280
587.3182,-111.1005
590.0856,-106.9352
592.8372,-102.7556
595.5140,-98.5459
598.0811,-94.2848
600.5849,-89.9760
603.0652,-85.5993
605.4760,-81.2366
607.8783,-76.8377
610.2728,-72.4337
612.6659,-68.0354
615.0658,-63.6462
617.4857,-59.2612
619.9337,-54.8887
622.4004,-50.5648
624.8966,-46.2327
627.4087,-41.9092
629.9365,-37.5950
632.4800,-33.2906
635.0400,-28.9955
637.6162,-24.7106
640.2092,-20.4358
642.8192,-16.1717
645.4488,-11.9211
648.0975,-7.6828
650.7629,-3.4564
653.4434,0.7602
656.1363,4.9675
658.8400,9.1671
661.5519,13.3600
664.2612,17.5325
667.0029,21.7068
669.7670,25.8697
672.5430,30.0219
675.3229,34.1646
678.1024,38.3036
680.8881,42.4637
683.6538,46.6265
686.3727,50.7899
689.0760,54.9583
691.7814,59.1650
694.3413,63.4211
696.6895,67.8327
698.8793,72.3212
700.9158,76.8832
702.7478,81.5320
704.3179,86.2755
705.6398,91.0949
706.7387,95.9725
707.5541,100.9053
708.0087,105.8838
708.0374,110.8798
707.6806,115.8662
706.9926,120.8182
706.0217,125.7231
704.7836,130.5653
703.2620,135.3276
701.4740,139.9965
699.4261,144.5590
697.1146,148.9896
694.5422,153.2763
691.7369,157.4146
688.7205,161.4024
685.5000,165.2242
682.0693,168.8617
678.4669,172.3290
674.7227,175.6427
670.8489,178.8023
666.8286,181.7744
662.6915,184.5818
658.4669,187.2557
654.1752,189.8197
649.8080,192.2541
645.3676,194.5512
640.8567,196.7064
636.2789,198.7132
631.6376,200.5697
626.9414,202.2815
622.1964,203.8542
617.4087,205.2882
612.5773,206.5714
607.7101,207.7128
602.8138,208.7248
597.8945,209.6156
592.9529,210.3682
587.9921,210.9842
583.0177,211.4785
578.0339,211.8678
573.0408,212.1400
568.0436,212.3043
563.0444,212.3780
558.0442,212.3746
553.0462,212.2766
548.0504,212.0871
543.0576,211.8289
538.0675,211.5252
533.0812,211.1600
528.0991,210.7331
523.1201,210.2720
518.1425,209.8034
513.1652,209.3291
508.1900,208.8347
503.2162,208.3276
498.2427,207.8154
493.2627,207.3009
488.3114,206.7808
483.3440,206.2510
478.3905,205.7188
473.4148,205.1807
468.4412,204.6384
463.4520,204.0928
458.4738,203.5483
453.5029,203.0057
448.5260,202.4646
443.5466,201.9263
438.5693,201.3930
433.6165,200.8655
428.6450,200.3328
423.6734,199.7997
418.7014,199.2694
413.7288,198.7450
408.7555,198.2297
403.7802,197.7267
398.8035,197.2393
393.8258,196.7698
388.8474,196.3133
383.8671,195.8686
378.8860,195.4358
373.9040,195.0147
368.9211,194.6054
363.9367,194.2076
358.9518,193.8213
353.9662,193.4467
348.9795,193.0874
343.9919,192.7430
339.0037,192.4109
334.0150,192.0892
329.0261,191.7753
324.0370,191.4669
319.0474,191.1619
314.0580,190.8580
309.0686,190.5603
304.0782,190.2722
299.0873,189.9910
294.0970,189.7142
289.1060,189.4390
284.1149,189.1629
279.1238,188.8833
274.1333,188.5975
269.1438,188.3068
264.1519,188.0169
259.1635,187.7266
254.1756,187.4339
249.1841,187.1367
244.1999,186.8342
239.2153,186.5244
234.2288,186.2065
229.2385,185.8785
224.2455,185.5376
219.2536,185.1879
214.2638,184.8327
209.2757,184.4751
204.2884,184.1177
199.2999,183.7630
194.3102,183.4138
189.3192,183.0730
184.3372,182.7443
179.3467,182.4241
174.3557,182.1103
169.3639,181.8020
164.3722,181.4986
159.3805,181.1990
154.3898,180.9027
149.3998,180.6087
144.4104,180.3163
139.4269,180.0248
134.4340,179.7343
129.4376,179.4461
124.4410,179.1603
119.4465,178.8775
114.4593,178.5982
109.4600,178.3221
104.4471,178.0505
99.4889,177.7896
94.4768,177.5193
89.4973,177.2396
84.5121,177.0094
79.5295,176.9171
74.5125,176.8953
69.5137,176.9211
64.5210,177.1344
59.5512,177.6556
54.6189,178.4950
49.7299,179.5415
44.8822,180.7855
40.0980,182.2568
35.4372,184.0412
30.9607,186.2516
26.7242,188.8992
22.6671,191.8102
18.8019,194.9783
15.1336,198.3825
11.5012,201.8244
7.7584,205.1441
3.7922,208.1864
-0.3040,211.0432
-4.5326,213.7030
-8.8728,216.1715
-13.3098,218.4839
-17.8163,220.6479
-22.3877,222.6764
-27.0168,224.5617
-31.7102,226.2851
-36.4618,227.8374
-41.2647,229.2228
-46.1113,230.4484
-50.9946,231.5195
-55.9129,232.4149
-60.8580,233.1516
-65.8223,233.7525
-70.8073,234.2359
-75.7867,234.5617
-80.7811,234.7277
-85.7623,234.8045
-90.7690,234.8575
-95.7693,234.8439
-100.7750,234.7832
-105.7710,234.7152
-110.7683,234.6679
-115.7716,234.6610
-120.7615,234.7088
-125.7577,234.7953
-130.7672,234.9035
-135.7727,235.0282
-140.7688,235.1665
-145.7689,235.3168
-150.7702,235.4776
-155.7695,235.6480
-160.7620,235.8272
-165.7569,236.0177
-170.7526,236.2214
-175.7480,236.4372
-180.7426,236.6639
-185.7368,236.9004
-190.7304,237.1456
-195.7239,237.3984
-200.7170,237.6575
-205.7113,237.9137
-210.7049,238.1563
-215.6995,238.3963
-220.6936,238.6449
-225.6863,238.9133
-230.6773,239.2129
-235.6663,239.5551
-240.6510,239.9518
-245.6286,240.4126
-250.6006,240.9316
-255.5683,241.5006
-260.5305,242.1110
-265.4880,242.7547
-270.4423,243.4235
-275.3948,244.1093
