x,z
221.4886,-387.5033
216.4951,-387.7123
211.4978,-387.9195
206.5098,-388.1630
201.5091,-388.3944
196.5105,-388.5861
191.5036,-388.7676
186.5336,-388.9686
181.5289,-389.2328
176.5369,-389.5455
171.5488,-389.9070
166.5605,-390.3242
161.5945,-390.7939
156.6306,-391.3276
151.6789,-391.9077
146.7120,-392.5190
141.7356,-393.1544
136.7805,-393.8026
131.8173,-394.4648
126.8589,-395.1384
121.8998,-395.8236
116.9589,-396.5183
112.0084,-397.2233
107.0600,-397.9395
102.1131,-398.6695
97.1686,-399.4170
92.2289,-400.1852
87.2908,-400.9801
82.3647,-401.8242
77.4436,-402.7061
72.5245,-403.6014
67.6045,-404.4855
62.6770,-405.3334
57.7512,-406.1252
52.8067,-406.9173
47.8711,-407.7195
42.9331,-408.5286
37.9981,-409.3389
33.0580,-410.1473
28.1311,-410.9455
23.1981,-411.7361
18.2584,-412.5217
13.3173,-413.2973
8.3748,-414.0595
3.4305,-414.8055
-1.5195,-415.5314
-6.4666,-416.2370
-11.4180,-416.9323
-16.3709,-417.6120
-21.3270,-418.2701
-26.2867,-418.9005
-31.2505,-419.4980
-36.2189,-420.0583
-41.1911,-420.5849
-46.1670,-421.0815
-51.1452,-421.5509
-56.1253,-421.9963
-61.1083,-422.4206
-66.0920,-422.8254
-71.0764,-423.2118
-76.0623,-423.5778
-81.0502,-423.9198
-86.0389,-424.2358
-91.0303,-424.5228
-96.0238,-424.7794
-101.0180,-425.0059
-106.0155,-425.2062
-111.0119,-425.3799
-116.0103,-425.5265
-121.0092,-425.6458
-126.0086,-425.7365
-131.0077,-425.7970
-136.0070,-425.8262
-141.0073,-425.8248
-146.0075,-425.7952
-151.0067,-425.7393
-156.0069,-425.6594
-161.0066,-425.5569
-166.0036,-425.4286
-171.0011,-425.2725
-175.9967,-425.0904
-180.9923,-424.8838
-185.9853,-424.6554
-190.9811,-424.4069
-195.9720,-424.1387
-200.9651,-423.8493
-205.9562,-423.5392
-210.9461,-423.2091
-215.9336,-422.8585
-220.9227,-422.4863
-225.9039,-422.0932
-230.8875,-421.6786
-235.8680,-421.2415
-240.8461,-420.7812
-245.8217,-420.2963
-250.7948,-419.7859
-255.7673,-419.2500
-260.7355,-418.6892
-265.7014,-418.1033
-270.6639,-417.4937
-275.6236,-416.8611
-280.5808,-416.2059
-285.5342,-415.5286
-290.4851,-414.8267
-295.4323,-414.1016
-300.3761,-413.3547
-305.3170,-412.5870
-310.2548,-411.8011
-315.1905,-410.9970
-320.1214,-410.1711
-325.0486,-409.3231
-329.9727,-408.4561
-334.8942,-407.5733
-339.8128,-406.6772
-344.7302,-405.7708
-349.6454,-404.8534
-354.5580,-403.9230
-359.4683,-402.9789
-364.3755,-402.0214
-369.2805,-401.0490
-374.1817,-400.0627
-379.0733,-399.0602
-383.9752,-398.0389
-388.8714,-397.0050
-393.7655,-395.9595
-398.6514,-394.9050
-403.5501,-393.8361
-408.4276,-392.7662
-413.3008,-391.6908
-418.1683,-390.5702
-423.0089,-389.3662
-427.8589,-388.1039
-432.6927,-386.8255
-437.4950,-385.4330
-442.2305,-383.8319
-446.8784,-381.9930
-451.4673,-380.0042
-455.9650,-377.8152
-460.3138,-375.3548
-464.4567,-372.5542
-468.3928,-369.4761
-472.0520,-366.0727
-475.3483,-362.3195
-478.2422,-358.2411
-480.7589,-353.9255
-482.9292,-349.4206
-484.7770,-344.7764
-486.3942,-340.0451
-488.0342,-335.3194
-489.7626,-330.6280
-491.6395,-325.9898
-493.7286,-321.4458
-495.9612,-316.9767
-498.4070,-312.6186
-501.1795,-308.4651
-504.3342,-304.5864
-507.8223,-301.0056
-511.5286,-297.6464
-515.3745,-294.4484
-519.3064,-291.3626
-523.3450,-288.4148
-527.5059,-285.6450
-531.7664,-283.0283
-536.1002,-280.5361
-540.5327,-278.2236
-545.0645,-276.1131
-549.6251,-274.0639
-554.1478,-271.9328
-558.6180,-269.6927
-563.0757,-267.4301
-567.4936,-265.0892
-571.8400,-262.6234
-576.1119,-260.0229
-580.3298,-257.3345
-584.4864,-254.5517
-588.5667,-251.6573
-592.5414,-248.6311
-596.4227,-245.4780
-600.1876,-242.1898
-603.8123,-238.7458
-607.2632,-235.1295
-610.5070,-231.3250
-613.5623,-227.3695
-616.4822,-223.3120
-619.3114,-219.1912
-622.0186,-214.9859
-624.6225,-210.7155
-627.1445,-206.3955
-629.5994,-202.0423
-631.9828,-197.6473
-634.2682,-193.2030
-636.4392,-188.6997
-638.5056,-184.1333
-640.4727,-179.5548
-642.3061,-174.9158
-644.0366,-170.2273
-645.6965,-165.5392
-647.3131,-160.7691
-648.8768,-156.0255
-650.4242,-151.2712
-651.9681,-146.5080
-653.5146,-141.7450
-655.0726,-136.9883
-656.6495,-132.2445
-658.2582,-127.5142
-659.8953,-122.7900
-661.5486,-118.0711
-663.2161,-113.3573
-664.8965,-108.6483
-666.5887,-103.9433
-668.2906,-99.2419
-670.0012,-94.5436
-671.7188,-89.8478
-673.4486,-85.1567
-675.1981,-80.4727
-676.9614,-75.7942
-678.7328,-71.1183
-680.5076,-66.4445
-682.2805,-61.7692
-684.0458,-57.0914
-685.7983,-52.4087
-687.5339,-47.7198
-689.2572,-43.0252
-690.9708,-38.3286
-692.6791,-33.6295
-694.3856,-28.9295
-696.0931,-24.2298
-697.8061,-19.5323
-699.5280,-14.8378
-701.2618,-10.1483
-703.0081,-5.4633
-704.7643,-0.7823
-706.5259,3.8972
-708.2908,8.5758
-710.0533,13.2545
-711.8112,17.9350
-713.5608,22.6192
-715.2966,27.3017
-717.0237,31.9936
-718.7448,36.6916
-720.4609,41.3919
-722.1714,46.0919
-723.8776,50.7909
-725.5844,55.5011
-727.2883,60.2103
-728.9864,64.9070
-730.6805,69.6058
-732.3692,74.3141
-734.0505,79.0206
-735.7291,83.7297
-737.4100,88.4441
-739.0941,93.1506
-740.7997,97.8569
-742.5386,102.5384
-744.2817,107.2127
-745.9716,111.9109
-747.5760,116.6523
-749.1409,121.4014
-750.6495,126.1694
-752.0662,130.9655
-753.3508,135.7983
-754.5330,140.6542
-755.5966,145.5398
-756.4864,150.4591
-757.1588,155.4109
-757.6436,160.3892
-757.9496,165.3805
-758.0505,170.3795
-757.9047,175.3791
-757.4763,180.3567
-756.7769,185.3045
-755.8534,190.2188
-754.7759,195.0927
-753.5916,199.9566
-752.3726,204.8086
-751.1820,209.6676
-750.0856,214.5503
-749.0889,219.4434
-748.1215,224.3495
-747.3062,229.2805
-746.7809,234.2503
-746.5757,239.2458
-746.5720,244.2461
-746.8981,249.2347
-747.7081,254.1653
-749.1390,258.9489
-751.1083,263.5447
-753.4384,267.9678
-755.9995,272.2630
-758.7188,276.4559
-761.6901,280.4759
-764.8609,284.3414
-768.1622,288.0975
-771.5419,291.7803
-775.0590,295.3340
-778.6828,298.7778
-782.3611,302.1645
-786.0472,305.5519
-789.7177,308.9364
-793.4356,312.2795
-797.2170,315.5270
-801.0822,318.6905
-805.0327,321.7728
-809.0212,324.7950
-813.0240,327.7909
-817.0316,330.7886
-821.0259,333.8039
-824.9816,336.8505
-828.9172,339.9344
-832.8384,343.0353
-836.7500,346.1495
-840.6537,349.2739
-844.5520,352.4036
-848.4479,355.5350
-852.3444,358.6675
-856.2384,361.8014
-860.1276,364.9417
-864.0084,368.0914
-867.8782,371.2541
-871.7350,374.4336
-875.5726,377.6252
-879.4094,380.8373
-883.2347,384.0598
-887.0470,387.2925
-890.8491,390.5411
-894.6412,393.8134
-898.4078,397.0898
-902.1627,400.3725
-905.8828,403.7036
-909.5200,407.1234
-913.0746,410.6422
-916.6097,414.1706
-920.0071,417.8326
-923.0920,421.7591
-925.7628,425.9794
-928.1442,430.3756
-930.1812,434.9398
-931.7664,439.6753
-932.7898,444.5587
-933.3480,449.5272
-933.4178,454.5239
-932.8775,459.4859
-931.5298,464.2811
-929.4230,468.8045
-926.6781,472.9713
-923.3481,476.6855
-919.4542,479.7923
-915.1237,482.2655
-910.5226,484.2051
-905.7478,485.6667
-900.8640,486.6831
-895.9155,487.3326
-890.9361,487.6734
