x,z
-369.5584,239.3381
-369.5565,234.3447
-369.5552,229.3447
-369.5544,224.3405
-369.5540,219.3491
-369.5540,214.3513
-369.5544,209.3480
-369.5551,204.3407
-369.5561,199.3456
-369.5573,194.3494
-369.5589,189.3489
-369.5607,184.3467
-369.5627,179.3438
-369.5649,174.3410
-369.5673,169.3388
-369.5697,164.3377
-369.5722,159.3379
-369.5748,154.3372
-369.5775,149.3355
-369.5801,144.3384
-369.5829,139.3385
-369.5857,134.3386
-369.5885,129.3386
-369.5916,124.3387
-369.5947,119.3387
-369.5980,114.3388
-369.6015,109.3389
-369.6053,104.3389
-369.6093,99.3389
-369.6136,94.3389
-369.6177,89.3389
-369.6220,84.3390
-369.6264,79.3391
-369.6309,74.3391
-369.6359,69.3391
-369.6411,64.3391
-369.6469,59.3391
-369.6532,54.3390
-369.6602,49.3390
-369.6678,44.3399
-369.6759,39.3392
-369.6843,34.3385
-369.6931,29.3382
-369.7022,24.3384
-369.7119,19.3382
-369.7223,14.3378
-369.7333,9.3372
-369.7452,4.3365
-369.7580,-0.6644
-369.7718,-5.6651
-369.7867,-10.6641
-369.8029,-15.6637
-369.8200,-20.6633
-369.8383,-25.6629
-369.8573,-30.6625
-369.8770,-35.6621
-369.8974,-40.6617
-369.9182,-45.6614
-369.9393,-50.6612
-369.9606,-55.6610
-369.9819,-60.6565
-370.0036,-65.6594
-370.0258,-70.6612
-370.0486,-75.6605
-370.0716,-80.6618
-370.0951,-85.6648
-370.1188,-90.6686
-370.1428,-95.6729
-370.1669,-100.6770
-370.1913,-105.6807
-370.2157,-110.6829
-370.2400,-115.6779
-370.2644,-120.6657
-370.2888,-125.6673
-370.3136,-130.6693
-370.3389,-135.6646
-370.3650,-140.6604
-370.3921,-145.6548
-370.4203,-150.6476
-370.4501,-155.6599
-370.4815,-160.6600
-370.5144,-165.6598
-370.5481,-170.6595
-370.5824,-175.6595
-370.6167,-180.6595
-370.6506,-185.6595
-370.6836,-190.6592
-370.7155,-195.6589
-370.7470,-200.6589
-370.7784,-205.6590
-370.8095,-210.6589
-370.8401,-215.6588
-370.8702,-220.6586
-370.8994,-225.6586
-370.9279,-230.6587
-370.9551,-235.6517
-370.9812,-240.6513
-371.0063,-245.6549
-371.0304,-250.6590
-371.0539,-255.6610
-371.0769,-260.6594
-371.0996,-265.6698
-371.1222,-270.6789
-371.1447,-275.6740
-371.1671,-280.6732
-371.1887,-285.6698
-371.2095,-290.6663
-371.2301,-295.6583
-371.2510,-300.6553
-371.2725,-305.6456
-371.2952,-310.6549
-371.3185,-315.6542
-371.3424,-320.6596
-371.3664,-325.6654
-371.3903,-330.6706
-371.4137,-335.6605
-371.4386,-340.6671
-371.4796,-345.6630
-371.5236,-350.6614
-371.5366,-355.6516
-371.4977,-360.6571
-371.4842,-365.6572
-371.4338,-370.6569
-371.2390,-375.6525
-370.8041,-380.6314
-370.2506,-385.6022
-369.5292,-390.5504
-368.4917,-395.4393
-366.9853,-400.2001
-365.1080,-404.8373
-362.8855,-409.3163
-360.2150,-413.5386
-356.9774,-417.3334
-353.2002,-420.6096
-349.0521,-423.3951
-344.6117,-425.6874
-339.9290,-427.4200
-335.0173,-428.3284
-330.0269,-428.5988
-325.0254,-428.5881
-320.0273,-428.6048
-315.0334,-428.3979
-310.0508,-427.9807
-305.0580,-427.7493
-300.0817,-428.1187
-295.1735,-429.0689
-290.3554,-430.4055
-285.6781,-432.1721
-281.2270,-434.4380
-277.0965,-437.2459
-273.2903,-440.4883
-269.7978,-444.0668
-266.6179,-447.9251
-263.8237,-452.0637
-261.4478,-456.4617
-259.4121,-461.0284
-257.6393,-465.7044
-256.1257,-470.4666
-254.9264,-475.3196
-253.9908,-480.2314
-253.2729,-485.1803
-252.8129,-490.1564
-252.6905,-495.1541
-252.7196,-500.1542
-252.7074,-505.1542
-252.5477,-510.1506
-252.3934,-515.1492
-252.1799,-520.1453
-251.8169,-525.1321
-251.2253,-530.0961
-250.4538,-535.0357
-249.5085,-539.9448
-248.3817,-544.8152
-247.0704,-549.6405
-245.5857,-554.4142
-243.9328,-559.1335
-242.1120,-563.7905
-240.1197,-568.3748
-237.9492,-572.8793
-235.6148,-577.3010
-233.1307,-581.6400
-230.5078,-585.8972
-227.7461,-590.0642
-224.8421,-594.1335
-221.7996,-598.1005
-218.6258,-601.9624
-215.3209,-605.7144
-211.8962,-609.3589
-208.3663,-612.9016
-204.7388,-616.3439
-201.0101,-619.6720
-197.1728,-622.8768
-193.2449,-625.9698
-189.2453,-628.9684
-185.1936,-631.9001
-181.0920,-634.7595
-176.9117,-637.5029
-172.6263,-640.0791
-168.2304,-642.4585
-163.7536,-644.6853
-159.1841,-646.7153
-154.5109,-648.4894
-149.7359,-649.9676
-144.8894,-651.1970
-139.9785,-652.1350
-135.0145,-652.7198
-130.0213,-652.8986
-125.0240,-652.7145
-120.0528,-652.1790
-115.1353,-651.2774
-110.3110,-649.9790
-105.6065,-648.2876
-101.0435,-646.2447
-96.6389,-643.8787
-92.4175,-641.2051
-88.4049,-638.2239
-84.6083,-634.9707
-81.0354,-631.4727
-77.7056,-627.7464
-74.6459,-623.7936
-71.8482,-619.6498
-69.3052,-615.3443
-67.0252,-610.8972
-65.0675,-606.2975
-63.4034,-601.5831
-61.9696,-596.7932
-60.7071,-591.9561
-59.6539,-587.0686
-58.8142,-582.1401
-58.1567,-577.1834
-57.6540,-572.2097
-57.3632,-567.2180
-57.2509,-562.2196
-57.2321,-557.2193
-57.2247,-552.2195
-57.2243,-547.2195
-57.2706,-542.2196
-57.3770,-537.2206
-57.5576,-532.2241
-57.7919,-527.2297
-58.0787,-522.2377
-58.4617,-517.2524
-58.9857,-512.2801
-59.6553,-507.3256
-60.4426,-502.3881
-61.3761,-497.4763
-62.4839,-492.6013
-63.7785,-487.7719
-65.2378,-482.9896
-66.8549,-478.2580
-68.6290,-473.5830
-70.5619,-468.9724
-72.6534,-464.4319
-74.9091,-459.9704
-77.3310,-455.5966
-79.9152,-451.3171
-82.6529,-447.1326
-85.5369,-443.0487
-88.5642,-439.0693
-91.7330,-435.2035
-95.0426,-431.4551
-98.4773,-427.8212
-102.0262,-424.2980
-105.6807,-420.8876
-109.4476,-417.5998
-113.3191,-414.4360
-117.2862,-411.3928
-121.3418,-408.4685
-125.4958,-405.6872
-129.7357,-403.0378
-134.0392,-400.4920
-138.3856,-398.0239
-142.8170,-395.7064
-147.3046,-393.5004
-151.7924,-391.2939
-156.2208,-388.9747
-160.5875,-386.5378
-164.9157,-384.0371
-169.1926,-381.4494
-173.4061,-378.7562
-177.5611,-375.9766
-181.6656,-373.1195
-185.6970,-370.1608
-189.6299,-367.0712
-193.4547,-363.8546
-197.1928,-360.5336
-200.7975,-357.0698
-204.2187,-353.4247
-207.4408,-349.6025
-210.5045,-345.6508
-213.3454,-341.5366
-215.8799,-337.2282
-218.0396,-332.7231
-219.8794,-328.0727
-221.3810,-323.3034
-222.4985,-318.4315
-223.1746,-313.4820
-223.4383,-308.4890
-223.2858,-303.4916
-222.6812,-298.5290
-221.5743,-293.6594
-220.0029,-288.9136
-218.0004,-284.3331
-215.5536,-279.9717
-212.6283,-275.9252
-209.2555,-272.2385
-205.5139,-268.9233
-201.4492,-266.0114
-197.0892,-263.5762
-192.4570,-261.7058
-187.6574,-260.3032
-182.7645,-259.2677
-177.8228,-258.5327
-172.8365,-258.1728
-167.8370,-258.1745
-162.8469,-258.4860
-157.8834,-259.0691
-152.9637,-259.9613
-148.1062,-261.1448
-143.3166,-262.5778
-138.5974,-264.2297
-133.9867,-266.1604
-129.4842,-268.3328
-125.0547,-270.6526
-120.6618,-273.0363
-116.4173,-275.6797
-112.2695,-278.4740
-108.0343,-281.1317
-103.5523,-283.3317
-98.8579,-285.0503
-94.0528,-286.4327
-89.1494,-287.4129
-84.1755,-287.8905
-79.1825,-287.7777
-74.2237,-287.1422
-69.3421,-286.0629
-64.5637,-284.5912
-59.9328,-282.7196
-55.4791,-280.4484
-51.2128,-277.8415
-47.1416,-274.9367
-43.3015,-271.7413
-39.7180,-268.2563
-36.3886,-264.5271
-33.3110,-260.5856
-30.5240,-256.4380
-28.0586,-252.0896
-25.8463,-247.6055
-23.8183,-243.0340
-21.9463,-238.3998
-20.2845,-233.6845
-18.8187,-228.9047
-17.5277,-224.0745
-16.4051,-219.2034
-15.4700,-214.2907
-14.6961,-209.3508
-14.0578,-204.3918
-13.5341,-199.4124
-13.1456,-194.4357
-12.9196,-189.4520
-12.8268,-184.4472
-12.8223,-179.4460
-12.8984,-174.4525
-13.0324,-169.4564
-13.2046,-164.4485
-13.3993,-159.4628
-13.6075,-154.4564
-13.8200,-149.4821
-14.0524,-144.4790
-14.3023,-139.4718
-14.5622,-134.4840
-14.8290,-129.4894
-15.0990,-124.4929
-15.3685,-119.4969
-15.6341,-114.5055
-15.8925,-109.5130
-16.1471,-104.5196
-16.4009,-99.5263
-16.6542,-94.5326
-16.9068,-89.5392
-17.1590,-84.5458
-17.4109,-79.5521
-17.6625,-74.5583
-17.9138,-69.5644
-18.1638,-64.5710
-18.4117,-59.5772
-18.6585,-54.5830
-18.9051,-49.5892
-19.1526,-44.5952
-19.4019,-39.6011
-19.6540,-34.6073
-19.9098,-29.6137
-20.1700,-24.6208
-20.4340,-19.6280
-20.7009,-14.6349
-20.9702,-9.6425
-21.2413,-4.6498
-21.5134,0.3426
-21.7861,5.3355
-22.0584,10.3277
-22.3303,15.3199
-22.6036,20.3126
-22.8781,25.3056
-23.1534,30.2983
-23.4288,35.2907
-23.7039,40.2833
-23.9782,45.2757
-24.2509,50.2681
