x,z
196.7734,199.3180
200.1057,195.5959
203.4423,191.8744
206.7830,188.1525
210.1266,184.4309
213.4718,180.7102
216.8178,176.9908
220.1634,173.2734
223.5077,169.5580
226.8510,165.8439
230.1932,162.1300
233.5366,158.4134
236.8796,154.6966
240.2251,150.9776
243.5709,147.2594
246.9169,143.5417
250.2617,139.8256
253.6059,136.1108
256.9494,132.3967
260.2930,128.6825
263.6373,124.9673
266.9781,121.2447
270.3091,117.5131
273.6339,113.7787
276.9577,110.0456
280.2871,106.3183
283.6283,102.6011
286.9875,98.8989
290.3691,95.2186
293.7744,91.5661
297.2072,87.9247
300.6551,84.3017
304.1187,80.6923
307.5972,77.0952
311.0872,73.5120
314.5843,69.9467
318.1028,66.3848
321.6355,62.8361
325.1699,59.3247
328.7429,55.8228
332.3343,52.3541
335.9512,48.9111
339.5898,45.4897
343.2498,42.0797
346.9221,38.6870
350.6109,35.3142
354.3197,31.9627
358.0502,28.6359
361.8058,25.3364
365.5876,22.0694
369.3969,18.8333
373.2312,15.6266
377.0889,12.4484
380.9703,9.2983
384.8730,6.1761
388.7975,3.0806
392.7445,0.0131
396.7141,-3.0225
400.7062,-6.0292
404.7194,-9.0078
408.7520,-11.9606
412.8016,-14.8889
416.8709,-17.7928
420.9611,-20.6659
425.0692,-23.5125
429.1936,-26.3364
433.3309,-29.1419
437.4780,-31.9320
441.6378,-34.7123
445.8027,-37.4719
449.9778,-40.2102
454.1671,-42.9303
458.3705,-45.6353
462.5743,-48.3214
466.7920,-51.0012
471.0339,-53.6847
475.2607,-56.3477
479.4955,-59.0056
483.7386,-61.6581
487.9875,-64.3025
492.2404,-66.9372
496.4954,-69.5590
500.7598,-72.1692
505.0334,-74.7669
509.3130,-77.3512
513.5986,-79.9231
517.8917,-82.4848
522.1906,-85.0372
526.4940,-87.5812
530.8023,-90.1188
535.1177,-92.6530
539.4411,-95.1698
543.7710,-97.6620
548.1088,-100.1417
552.4479,-102.6163
556.7819,-105.0936
561.1130,-107.5850
565.4388,-110.0969
569.7551,-112.6317
574.0598,-115.1815
578.3564,-117.7361
582.6473,-120.2955
586.9362,-122.8623
591.2242,-125.4367
595.5109,-128.0194
599.7949,-130.6098
604.0743,-133.2084
608.3478,-135.8163
612.6136,-138.4352
616.8353,-141.0480
621.0742,-143.6981
625.3000,-146.3636
629.5121,-149.0417
633.7306,-151.7420
637.9404,-154.4527
642.1324,-157.1646
646.3240,-159.8851
650.5137,-162.6062
654.6910,-165.3197
658.8611,-168.0734
662.9484,-170.9073
666.9998,-173.8536
671.0358,-176.7989
675.0051,-179.8324
678.8164,-183.0631
682.3740,-186.5689
685.7670,-190.2391
688.9420,-194.0994
691.7631,-198.2238
694.0502,-202.6581
695.8254,-207.3289
697.1248,-212.1534
697.9070,-217.0872
698.0832,-222.0722
697.6352,-227.0516
696.6486,-231.9514
695.1488,-236.7173
693.1016,-241.2706
