x,z
-302.8816,-230.9287
-305.5477,-226.6944
-308.1732,-222.4541
-310.7473,-218.1883
-313.2752,-213.8946
-315.7877,-209.5690
-318.2962,-205.2339
-320.7778,-200.9051
-323.2367,-196.5520
-325.6558,-192.1808
-328.0243,-187.7789
-330.3167,-183.3553
-332.5476,-178.8921
-334.7261,-174.4037
-336.8645,-169.8968
-338.9753,-165.3771
-341.0708,-160.8508
-343.1614,-156.3218
-345.2335,-151.7854
-347.2835,-147.2399
-349.3127,-142.6846
-351.3220,-138.1196
-353.3127,-133.5443
-355.2859,-128.9581
-357.2382,-124.3634
-359.1705,-119.7581
-361.0829,-115.1439
-362.9773,-110.5201
-364.8538,-105.8894
-366.7150,-101.2503
-368.5669,-96.6060
-370.4077,-91.9572
-372.2316,-87.3009
-374.0317,-82.6357
-375.8015,-77.9592
-377.5340,-73.2692
-379.2209,-68.5711
-380.8748,-63.8483
-382.4978,-59.1162
-384.0918,-54.3829
-385.6656,-49.6291
-387.2144,-44.8685
-388.7310,-40.1112
-390.1994,-35.3507
-391.5959,-30.5614
-392.9043,-25.7427
-394.1379,-20.9004
-395.2988,-16.0387
-396.3849,-11.1598
-397.3928,-6.2637
-398.3135,-1.3527
-399.1341,3.5779
-399.8664,8.5213
-400.5336,13.4719
-401.1653,18.4343
-401.7815,23.3904
-402.3408,28.3545
-402.8076,33.3279
-403.1755,38.3084
-403.4616,43.3030
-403.6930,48.2883
-403.8876,53.2883
-404.0547,58.2851
-404.2010,63.2854
-404.3308,68.2777
-404.4530,73.2711
-404.5658,78.2686
-404.6572,83.2660
-404.7151,88.2642
-404.7271,93.2615
-404.6801,98.2600
-404.5608,103.2489
-404.3744,108.2459
-404.1381,113.2422
-403.8649,118.2268
-403.5630,123.2276
-403.2437,128.2216
-402.9156,133.2033
-402.5574,138.1716
-402.1257,143.1434
-401.5852,148.1025
-400.9655,153.0643
-400.3204,158.0177
-399.5403,162.9510
-398.5060,167.8360
-397.1701,172.6454
-395.6581,177.4057
-393.8759,182.0703
-391.6988,186.5600
-389.0444,190.7828
-386.0529,194.7838
-382.7003,198.4858
-378.9152,201.7380
-374.6542,204.3171
-370.0480,206.2502
-365.2349,207.5878
-360.2883,208.2844
-355.3091,208.1841
-350.4012,207.2611
-345.6563,205.6940
-341.1346,203.5623
-336.9468,200.8574
-333.1845,197.5713
-329.8671,193.8331
-327.0292,189.7189
-324.7646,185.2725
-323.1254,180.5512
-322.0590,175.6691
-321.5152,170.7000
-321.4319,165.7096
-321.5904,160.7103
-321.9521,155.7173
-322.5527,150.7475
-323.4848,145.8282
-324.7003,140.9940
-325.7719,136.1154
-326.7994,131.2359
-327.9162,126.3747
-329.1203,121.5095
-330.3524,116.6468
-331.5721,111.8021
-332.7622,106.9391
-333.8940,102.0623
-334.9304,97.1777
-335.8789,92.2702
-336.7599,87.3482
-337.5829,82.4172
-338.3596,77.4778
-339.1011,72.5342
-339.8181,67.5976
-340.5232,62.6345
-341.2038,57.6813
-341.8517,52.7203
-342.4524,47.7483
-342.9826,42.7680
-343.3985,37.7874
-343.6573,32.7963
-343.7162,27.8101
-343.5560,22.8189
-343.2422,17.8259
-342.7928,12.8465
-342.1794,7.8841
-341.4189,2.9423
-340.5263,-1.9770
-339.5664,-6.8838
-338.5121,-11.7714
-337.2422,-16.6071
-335.6350,-21.3398
-333.6796,-25.9395
-331.4543,-30.4170
-328.9449,-34.7413
-326.1286,-38.8719
-323.0091,-42.7754
-319.6277,-46.4582
-315.9921,-49.8889
-312.0934,-53.0215
-307.9359,-55.7908
-303.5550,-58.1973
-298.9956,-60.2474
-294.2930,-61.9444
-289.4714,-63.2545
-284.5547,-64.1573
-279.5889,-64.7433
-274.6010,-65.0913
-269.6057,-65.2263
-264.6076,-65.0667
-259.6211,-64.6905
-254.6462,-64.1818
-249.6804,-63.6031
-244.7327,-62.8879
-239.8065,-62.0417
-234.8971,-61.0996
-229.9908,-60.0785
-225.1428,-58.9084
-220.3137,-57.6799
-215.4574,-56.5011
-210.6009,-55.4015
-205.6768,-54.3306
-200.8019,-53.2883
-195.9083,-52.2497
-191.0088,-51.2116
-186.1114,-50.1706
-181.2209,-49.1233
-176.3242,-48.0620
-171.4758,-46.9930
-166.5868,-45.9061
-161.6976,-44.8137
-156.8128,-43.7162
-151.9358,-42.6136
-147.0498,-41.5005
-142.1591,-40.3750
-137.2854,-39.2376
-132.4237,-38.0774
-127.5836,-36.9062
-122.7290,-35.6935
-117.9327,-34.3641
-113.1607,-32.8512
-108.4293,-31.2353
-103.7411,-29.4994
-99.1219,-27.5884
-94.6015,-25.4559
-90.1805,-23.1213
-85.8501,-20.6181
-81.6289,-17.9349
-77.5479,-15.0446
-73.6418,-11.9286
-69.9177,-8.5950
-66.3969,-5.0479
-63.0848,-1.3017
-59.9943,2.6258
-57.1199,6.7183
-54.4476,10.9437
-51.9647,15.2834
-49.6909,19.7342
-47.6270,24.2889
-45.7396,28.9194
-43.9996,33.6082
-42.3925,38.3410
-40.9472,43.1248
-39.6864,47.9621
-38.6023,52.8344
-37.6604,57.7539
-36.8508,62.6858
-36.1555,67.6363
-35.5502,72.5935
-35.0088,77.5546
-34.5022,82.5401
-34.0168,87.5103
-33.5595,92.5030
-33.1442,97.4789
-32.7774,102.4687
-32.4693,107.4640
-32.2311,112.4592
-32.0689,117.4446
-31.9492,122.4498
-31.8700,127.4516
-31.8362,132.4502
-31.8533,137.4515
-31.9281,142.4531
-32.0678,147.4516
-32.2815,152.4484
-32.5793,157.4371
-32.9607,162.4225
-33.4183,167.4016
-33.9461,172.3737
-34.5378,177.3385
-35.1877,182.2960
-35.8897,187.2466
-36.6379,192.1902
-37.4268,197.1273
-38.2723,202.0548
-39.1821,206.9713
-40.1475,211.8772
-41.1602,216.7734
-42.2122,221.6614
-43.2952,226.5427
-44.4014,231.4187
-45.5225,236.2908
-46.6661,241.1583
-47.8466,246.0168
-49.0594,250.8668
-50.2998,255.7098
-51.5632,260.5471
-52.8441,265.3791
-54.1379,270.2079
-55.4398,275.0353
-56.7554,279.8601
-58.0995,284.6755
-59.4652,289.4850
-60.8452,294.2914
-62.2319,299.0957
-63.6179,303.8994
-64.9964,308.7062
-66.3600,313.5183
-67.6994,318.3235
-69.0337,323.1472
-70.3613,327.9706
-71.6827,332.7953
-72.9987,337.6240
-74.3083,342.4540
-75.6095,347.2798
-76.9027,352.1066
-78.1888,356.9430
-79.4604,361.7676
-80.7252,366.6150
-81.9718,371.4474
-83.2066,376.2971
-84.4230,381.1499
-85.6228,386.0141
-86.8421,390.8513
-88.0469,395.6949
-89.1191,400.5725
-89.9544,405.5019
-90.5900,410.4603
-91.0473,415.4385
-91.3111,420.4304
-91.3675,425.4275
-91.2913,430.4273
-91.0404,435.4206
-90.4914,440.3886
-89.5159,445.2863
-88.1303,450.0885
-86.4041,454.7785
-84.3285,459.3239
-81.8807,463.6763
-79.0608,467.7977
-75.9175,471.6813
-72.4796,475.3060
-68.7599,478.6385
-64.7540,481.6144
-60.5013,484.2327
-56.0725,486.5414
-51.5115,488.5818
-46.8376,490.3318
-42.0450,491.7360
-37.1791,492.8638
-32.2707,493.7910
-27.3361,494.5536
-22.3708,495.0988
-17.3883,495.4492
-12.3970,495.6274
-7.4020,495.6350
-2.4113,495.4349
2.5701,495.0677
7.5427,494.5850
12.5199,494.0269
17.4511,493.3536
22.3789,492.5543
27.3071,491.6966
32.1864,490.8320
37.1317,489.9339
42.0277,489.0280
46.9407,488.1081
51.8550,487.1793
56.7657,486.2442
61.6702,485.3046
66.5826,484.3580
71.4704,483.4105
76.3680,482.4444
81.2633,481.4641
86.1562,480.4753
91.0481,479.4833
95.9405,478.4936
100.8352,477.5115
105.7318,476.5427
110.6334,475.5922
115.5370,474.6532
120.4422,473.7203
125.3489,472.7953
130.2576,471.8795
135.1684,470.9745
140.0821,470.0818
144.9982,469.2029
149.9169,468.3391
154.8395,467.4948
159.7652,466.6701
164.6937,465.8609
169.6239,465.0633
174.5554,464.2731
179.4873,463.4863
184.4195,462.6987
189.3509,461.9064
194.2801,461.1136
199.2100,460.3286
204.1480,459.5469
209.0892,458.7661
214.0298,457.9841
218.9635,457.1987
223.8821,456.4066
228.8520,455.5892
233.7451,454.7581
238.6664,453.8977
243.5652,452.9866
248.4443,451.9928
253.3374,450.9222
258.1981,449.7625
263.0435,448.5403
267.8852,447.2974
272.7229,446.0555
277.5406,444.7011
282.3311,443.2352
287.0760,441.6422
291.7150,439.8419
296.3062,437.8723
300.7088,435.5279
304.8817,432.7776
308.8621,429.7108
312.6157,426.4169
316.1371,422.8795
