x,z
85.5179,-9.6735
83.4646,-5.3330
81.2522,-0.6576
79.1658,3.7499
77.0002,8.3233
74.8562,12.8498
72.7253,17.3471
70.5407,21.9567
68.4255,26.4183
66.2763,30.9502
64.1176,35.5006
61.9790,40.0073
59.8294,44.5354
57.6759,49.0703
55.5253,53.5969
53.3849,58.1002
51.2199,62.6533
49.0670,67.1784
46.9410,71.6443
44.7491,76.2456
42.6116,80.7294
40.4473,85.2654
38.2726,89.8183
36.1573,94.2416
33.9332,98.8848
31.8431,103.2392
29.6106,107.8647
27.4540,112.2953
25.2626,116.7570
23.0260,121.2672
20.8028,125.7104
18.5712,130.1411
16.3308,134.5809
14.0923,139.0382
11.8644,143.5242
9.6860,147.9767
7.5433,152.4259
5.4041,156.9341
3.2505,161.5326
1.0672,166.0612
-1.2560,170.4979
-3.7130,174.8545
-6.3010,179.1432
-8.9996,183.3422
-11.8302,187.4912
-14.7559,191.5382
-17.7984,195.5125
-20.9649,199.4146
-24.2146,203.1833
-27.6065,206.8674
-31.1553,210.4444
-34.8407,213.8396
-38.7087,217.0061
-42.7438,219.7791
-47.1155,222.2118
-51.6661,224.2977
-56.3454,226.0805
-61.1210,227.5896
-65.9708,228.8409
-70.8770,229.8349
-75.8157,230.5503
-80.8211,230.9301
-85.7733,230.8566
-90.7614,230.5598
-95.7530,230.1823
-100.7322,229.8091
-105.7291,229.5099
-110.7190,229.3474
-115.7237,229.3719
-120.7236,229.6042
-125.6973,230.0950
-130.6198,230.9481
-135.4388,232.2563
-140.0936,234.0871
-144.4802,236.4428
-148.5687,239.3028
-152.2900,242.6802
-155.3851,246.5906
-157.8797,250.9127
-159.8613,255.4987
-161.4534,260.2410
-162.7810,265.0646
-163.9605,269.9224
-165.1017,274.7924
-166.2305,279.5480
-167.2209,284.4664
-168.1299,289.4077
-169.0307,294.3668
-169.9555,299.2868
-170.9353,304.1750
-172.0050,309.0779
-173.1808,313.9536
-174.4822,318.7794
-175.9423,323.5728
-177.5809,328.2894
-179.4460,332.9478
-181.5640,337.4837
-183.9625,341.8295
-186.6528,346.0189
