x,z
-388.9912,563.0246
-388.6442,558.0720
-388.2801,553.0782
-387.9072,548.0891
-387.5259,543.0889
-387.1378,538.0961
-386.7414,533.1015
-386.3348,528.1027
-385.9182,523.1375
-385.4864,518.1631
-385.0418,513.1877
-384.5873,508.2074
-384.1286,503.2422
-383.6675,498.2727
-383.2062,493.2918
-382.7474,488.3054
-382.2901,483.3188
-381.8318,478.3390
-381.3727,473.3624
-380.9129,468.3861
-380.4526,463.4084
-379.9919,458.4286
-379.5312,453.4469
-379.0706,448.4642
-378.6106,443.4819
-378.1516,438.5016
-377.6937,433.5240
-377.2355,428.5562
-376.7739,423.5805
-376.3102,418.5996
-375.8456,413.6160
-375.3813,408.6330
-374.9187,403.6538
-374.4579,398.6721
-374.0000,393.6876
-373.5462,388.7039
-373.0980,383.7238
-372.6569,378.7491
-372.2238,373.7725
-371.8018,368.7933
-371.3910,363.8076
-370.9896,358.8202
-370.5956,353.8319
-370.2071,348.8438
-369.8218,343.8560
-369.4375,338.8686
-369.0513,333.8810
-368.6600,328.8925
-368.2592,323.9036
-367.8435,318.9064
-367.4171,313.9472
-366.9766,308.9760
-366.5251,303.9993
-366.0699,299.0327
-365.6179,294.0634
-365.1749,289.0811
-364.7461,284.1018
-364.3308,279.1158
-363.9245,274.1259
-363.5229,269.1397
-363.1219,264.1567
-362.7173,259.1716
-362.3057,254.1864
-361.8833,249.2029
-361.4463,244.2233
-360.9931,239.2464
-360.5271,234.2684
-360.0510,229.2907
-359.5671,224.3136
-359.0780,219.3374
-358.5860,214.3624
-358.0931,209.3851
-357.6019,204.4078
-357.1121,199.4317
-356.6089,194.4588
-356.0952,189.4871
-355.5779,184.5134
-355.0645,179.5403
-354.5623,174.5663
-354.0785,169.5898
-353.6203,164.6117
-353.1916,159.6314
-352.7533,154.6502
-352.2966,149.6703
-351.8283,144.6915
-351.3555,139.7136
-350.8848,134.7351
-350.4229,129.7559
-349.9770,124.7760
-349.5542,119.7957
-349.1493,114.8150
-348.7500,109.8314
-348.3547,104.8462
-347.9616,99.8604
-347.5691,94.8750
-347.1755,89.8900
-346.7791,84.9045
-346.3783,79.9196
-345.9721,74.9388
-345.5619,69.9560
-345.1487,64.9730
-344.7333,59.9902
-344.3164,55.0076
-343.8985,50.0253
-343.4805,45.0431
-343.0628,40.0605
-342.6462,35.0779
-342.2291,30.0954
-341.8112,25.1129
-341.3928,20.1309
-340.9743,15.1480
-340.5562,10.1653
-340.1390,5.1828
-339.7230,0.2005
-339.3087,-4.7823
-338.8972,-9.7662
-338.4887,-14.7492
-338.0821,-19.7320
-337.6759,-24.7148
-337.2690,-29.6978
-336.8604,-34.6804
-336.4486,-39.6631
-336.0326,-44.6465
