x,z
266.1382,-561.9299
261.2035,-562.7867
256.3054,-563.7099
251.4128,-564.6761
246.5031,-565.6406
241.6159,-566.5826
236.6818,-567.5323
231.7778,-568.4783
226.8757,-569.4254
221.9671,-570.3742
217.0565,-571.3239
212.1454,-572.2738
207.2342,-573.2236
202.3230,-574.1732
197.4276,-575.1193
192.5164,-576.0684
187.6039,-577.0179
182.6899,-577.9678
177.7741,-578.9180
172.8696,-579.8662
167.9657,-580.8143
163.0582,-581.7631
158.1475,-582.7124
153.2347,-583.6623
148.3227,-584.6119
143.4176,-585.5602
138.5374,-586.5038
133.6185,-587.4549
128.6921,-588.4073
123.7916,-589.3549
118.8817,-590.3043
113.9655,-591.2549
109.0554,-592.2042
104.1414,-593.1543
99.2270,-594.1046
94.3249,-595.0525
89.4086,-596.0031
84.4855,-596.9550
79.5740,-597.9045
74.6892,-598.8491
69.7843,-599.7977
64.8686,-600.7488
59.9577,-601.6992
55.0498,-602.6492
50.1439,-603.5989
45.2388,-604.5481
40.3337,-605.4969
35.4282,-606.4454
30.5219,-607.3931
25.6126,-608.3404
20.7029,-609.2864
15.7928,-610.2332
10.8836,-611.1824
5.9747,-612.1330
1.0662,-613.0834
-3.8418,-614.0320
-8.7496,-614.9772
-13.6568,-615.9170
-18.5705,-616.8503
-23.4889,-617.7739
-28.3984,-618.6846
-33.3127,-619.6130
-38.2213,-620.5556
-43.1225,-621.4963
-48.0434,-622.4218
-52.9694,-623.3046
-57.8792,-624.1072
-62.8578,-624.7867
-67.8330,-625.2798
-72.8070,-625.5646
-77.7850,-625.4358
-82.7216,-624.7511
-87.6001,-623.6428
-92.3644,-622.1310
-96.9714,-620.1946
-101.3500,-617.7945
-105.3943,-614.8776
-109.0671,-611.4969
-112.3962,-607.7811
-115.4096,-603.8039
-118.0777,-599.5909
-120.2688,-595.1063
-122.1060,-590.4626
-123.7530,-585.7465
-125.3360,-581.0099
-126.7373,-576.2147
-127.9769,-571.3743
-129.1170,-566.5093
-130.2129,-561.6268
-131.2117,-556.7409
-132.1057,-551.8432
-132.9648,-546.9169
-133.8135,-542.0251
-134.6534,-537.0527
-135.4677,-532.1422
-136.2795,-527.2087
-137.0914,-522.2695
-137.9061,-517.3315
-138.7272,-512.3986
-139.5586,-507.4734
-140.4067,-502.5512
-141.2684,-497.6298
-142.1387,-492.7100
-143.0172,-487.7915
-143.9029,-482.8746
-144.7952,-477.9592
-145.6935,-473.0451
-146.5970,-468.1322
-147.5051,-463.2203
-148.4183,-458.3103
-149.3380,-453.4016
-150.2635,-448.4940
-151.1948,-443.5877
-152.1311,-438.6829
-153.0724,-433.7788
-154.0183,-428.8752
-154.9683,-423.9727
-155.9226,-419.0721
-156.8828,-414.1736
-157.8491,-409.2744
-158.8203,-404.3770
-159.7955,-399.4808
-160.7743,-394.5851
-161.7556,-389.6906
-162.7388,-384.7967
-163.7236,-379.9012
-164.7102,-375.0072
-165.6990,-370.1142
-166.6905,-365.2218
-167.6851,-360.3301
-168.6832,-355.4389
-169.6849,-350.5483
-170.6905,-345.6593
-171.7005,-340.7721
-172.7171,-335.8842
-173.7395,-330.9974
-174.7659,-326.1118
-175.7948,-321.2268
-176.8251,-316.3420
-177.8551,-311.4576
-178.8834,-306.5739
-179.9087,-301.6884
-180.9346,-296.8033
-181.9623,-291.9202
-182.9905,-287.0376
-184.0177,-282.1545
-185.0421,-277.2708
-186.0620,-272.3864
-187.0760,-267.4999
-188.0824,-262.6108
-189.0819,-257.7213
-190.0763,-252.8306
-191.0660,-247.9386
-192.0510,-243.0453
-193.0314,-238.1516
-194.0075,-233.2569
-194.9795,-228.3609
-195.9476,-223.4637
-196.9108,-218.5654
-197.8678,-213.6663
-198.8198,-208.7654
-199.7680,-203.8634
-200.7131,-198.9607
-201.6562,-194.0576
-202.5984,-189.1541
-203.5407,-184.2505
-204.4830,-179.3484
-205.4237,-174.4454
