x,z
345.8669,-548.4095
342.2747,-544.9661
338.6428,-541.5036
335.0236,-538.0614
331.4016,-534.6155
327.7789,-531.1617
324.1623,-527.7011
320.5583,-524.2348
316.9800,-520.7695
313.3986,-517.2766
309.8247,-513.7722
306.2564,-510.2623
302.6928,-506.7500
299.1311,-503.2375
295.5702,-499.7280
292.0030,-496.2186
288.4267,-492.7126
284.8552,-489.2292
281.2661,-485.7458
277.6719,-482.2697
274.0755,-478.8009
270.4691,-475.3283
266.8633,-471.8580
263.2644,-468.3914
259.6670,-464.9192
256.0667,-461.4311
252.4908,-457.9584
248.9053,-454.4702
245.3289,-450.9831
241.7558,-447.4936
238.1819,-443.9991
234.6077,-440.4998
231.0362,-436.9998
227.4683,-433.4975
223.9028,-429.9928
220.3384,-426.4858
216.7759,-422.9777
213.2158,-419.4680
209.6569,-415.9561
206.0998,-412.4427
202.5441,-408.9273
198.9908,-405.4106
195.4381,-401.8925
191.8862,-398.3736
188.3358,-394.8536
184.7872,-391.3314
181.2398,-387.8086
177.6933,-384.2848
174.1469,-380.7605
170.6005,-377.2370
167.0531,-373.7123
163.5077,-370.1881
159.9622,-366.6627
156.4166,-363.1378
152.8705,-359.6136
149.3226,-356.0905
145.7750,-352.5705
142.2236,-349.0487
138.6734,-345.5286
135.1220,-342.0094
131.5677,-338.4914
128.0122,-334.9770
124.4520,-331.4648
120.8889,-327.9583
117.3239,-324.4556
113.7548,-320.9548
110.1836,-317.4579
106.6091,-313.9634
103.0334,-310.4728
99.4520,-306.9802
95.8722,-303.4923
92.2884,-300.0045
88.7027,-296.5198
85.1130,-293.0386
81.5197,-289.5634
77.9200,-286.0914
74.3211,-282.6253
70.7170,-279.1600
67.1089,-275.7011
63.4934,-272.2491
59.8692,-268.8072
56.2406,-265.3827
52.5866,-261.9572
48.9291,-258.5466
45.2659,-255.1441
41.5887,-251.7416
37.9102,-248.3489
34.2339,-244.9681
30.5427,-241.5944
26.8445,-238.2436
23.1313,-234.9102
19.4003,-231.5777
15.6687,-228.2520
11.9280,-224.9355
8.1762,-221.6314
4.4102,-218.3444
0.6305,-215.0733
-3.1608,-211.8164
-6.9681,-208.5780
-10.7937,-205.3639
-14.6417,-202.1730
-18.5064,-199.0036
-22.3886,-195.8555
-26.2889,-192.7320
-30.2111,-189.6345
-34.1530,-186.5638
-38.1150,-183.5183
-42.0938,-180.4955
-46.0875,-177.4936
-50.0970,-174.5126
-54.1239,-171.5567
-58.1695,-168.6270
-62.2333,-165.7206
-66.2947,-162.8120
-70.3775,-159.9330
-74.5123,-157.1300
-78.7137,-154.4306
-82.8945,-151.6967
-87.1345,-149.0578
-91.5542,-146.7364
-96.2155,-144.9713
-101.0152,-143.5798
-105.9123,-142.5859
-110.8848,-142.2270
-115.8033,-142.9525
-120.4295,-144.7862
-124.5606,-147.5611
-128.0169,-151.1522
-130.5636,-155.4116
-132.0939,-160.1753
-133.2145,-165.0592
-134.2953,-169.9427
-135.6872,-174.7466
-137.8655,-179.2380
-140.5533,-183.4522
-143.7834,-187.2601
-147.7005,-190.3417
-152.2758,-192.3122
-157.1900,-193.1955
-162.1805,-193.1155
-167.0672,-192.1336
-171.6898,-190.2458
-176.0450,-187.7813
-180.1925,-184.9837
-184.1781,-181.9653
-188.0062,-178.7550
-191.5855,-175.2639
-194.9370,-171.5514
-198.0964,-167.6766
-201.0978,-163.6764
-203.8714,-159.5184
-206.3697,-155.1903
-208.6387,-150.7363
-210.7500,-146.2030
-212.6744,-141.5898
-214.3917,-136.8948
-215.9322,-132.1389
-217.3216,-127.3356
-218.4986,-122.4770
-219.5241,-117.5825
-220.4919,-112.6772
-221.4850,-107.7733
-222.4617,-102.8742
-223.4070,-97.9678
-224.3333,-93.0689
-225.2570,-88.1595
-226.1734,-83.2337
-227.0822,-78.3067
-227.9853,-73.3916
-228.8902,-68.4689
-229.7977,-63.5470
-230.7097,-58.6381
-231.6189,-53.7211
-232.5236,-48.8037
-233.4316,-43.8869
-234.3512,-38.9722
-235.2911,-34.0611
-236.2592,-29.1569
-237.2387,-24.2531
-238.2203,-19.3517
-239.2222,-14.4541
-240.2628,-9.5645
-241.3584,-4.6873
-242.5259,0.1752
-243.7614,5.0183
-245.0516,9.8494
-246.3922,14.6662
-247.7819,19.4691
-249.2173,24.2581
-250.6980,29.0341
-252.2311,33.7914
-253.8295,38.5289
-255.4773,43.2495
-257.1602,47.9570
-258.8633,52.6586
-260.5719,57.3575
-262.2787,62.0559
-264.0103,66.7467
-265.7614,71.4286
-267.5233,76.1069
-269.2858,80.7839
-271.0398,85.4661
-272.7739,90.1453
-274.5073,94.8412
-276.2351,99.5370
-277.9614,104.2359
-279.6823,108.9298
-281.4064,113.6384
-283.1233,118.3344
-284.8386,123.0239
-286.5473,127.7047
-288.2451,132.4014
-289.9195,137.1145
-291.5952,141.8245
-293.2642,146.5370
-294.8833,151.2670
-296.4083,156.0264
-297.8552,160.8111
-299.2442,165.6123
-300.5123,170.4462
-301.5945,175.3245
-302.4876,180.2403
-303.2302,185.1808
-303.7673,190.1469
-304.0405,195.1345
-304.0398,200.1295
-303.8089,205.1198
-303.3086,210.0898
-302.4901,215.0189
-301.3180,219.8731
-299.8270,224.6408
-298.0433,229.3075
-295.9848,233.8602
-293.6577,238.2786
-291.0642,242.5486
-288.2283,246.6616
-285.1661,250.6095
-281.8742,254.3658
-278.3430,257.9016
-274.6352,261.2520
-270.8051,264.4619
-266.8858,267.5609
-262.8511,270.5092
-258.7170,273.3150
-254.5005,275.9951
-250.2142,278.5602
-245.8501,280.9870
-241.4195,283.2911
-236.9361,285.4908
-232.4089,287.5952
-227.7917,289.4983
-223.1258,291.2802
-218.4748,293.0974
-213.9039,295.1042
-209.3420,297.1380
-204.8114,299.2400
-200.4398,301.6473
-196.4161,304.5836
-192.7489,307.9727
-189.4073,311.6808
-186.4764,315.7188
-184.1155,320.1022
-182.4467,324.8005
-181.3783,329.6758
-180.8655,334.6414
-180.9476,339.6236
-181.7761,344.5358
-183.3123,349.2789
-185.3773,353.8198
-187.8148,358.1692
-190.6473,362.2839
-193.8064,366.1577
-197.1892,369.8380
-200.7380,373.3586
-204.4614,376.6773
-208.4033,379.7430
-212.4936,382.6064
-216.6692,385.3433
-220.9233,387.9556
-225.2823,390.3852
-229.6980,392.7108
-234.1239,395.0142
-238.5433,397.3347
-242.9770,399.6242
-247.4295,401.8795
-251.8995,404.0989
-256.4020,406.2642
-260.9320,408.3314
-265.4758,410.3942
-269.9773,412.5208
-274.4589,414.7305
-278.9283,416.9595
-283.3845,419.2056
-287.8370,421.4805
-292.2689,423.7836
-296.6805,426.1263
-301.0570,428.5134
-305.4164,430.9469
-309.7545,433.4170
-314.0727,435.9217
-318.3733,438.4573
-322.6570,441.0203
-326.9261,443.6087
-331.1776,446.2236
-335.4120,448.8673
-339.6283,451.5405
-343.8248,454.2442
-348.0014,456.9777
-352.1577,459.7426
-356.2961,462.5355
-360.4155,465.3558
-364.5148,468.2053
-368.5920,471.0861
-372.6461,473.9998
-376.6739,476.9487
-380.6764,479.9320
-384.6545,482.9476
-388.6080,485.9962
-392.5355,489.0780
-396.4355,492.1933
-400.3086,495.3439
-404.1533,498.5273
-407.9723,501.7430
-411.7639,504.9908
-415.5251,508.2733
-419.2545,511.5923
-422.9492,514.9492
-426.6086,518.3455
-430.2326,521.7787
-433.8226,525.2470
-437.3786,528.7511
-440.9001,532.2881
-444.3898,535.8581
-447.8458,539.4595
-451.2614,543.1002
-454.6414,546.7750
-457.9908,550.4764
-461.3164,554.1998
-464.6242,557.9398
-467.9183,561.6900
-471.2005,565.4526
-474.4651,569.2305
-477.7098,573.0261
-480.9323,576.8414
-484.1277,580.6783
-487.2936,584.5414
-490.4298,588.4277
-493.5395,592.3354
-496.6211,596.2661
-499.6720,600.2208
-502.6898,604.2010
-505.6726,608.2076
-508.6170,612.2445
-511.5161,616.3139
-514.3770,620.4102
-517.2089,624.5264
-520.0214,628.6577
-522.8214,632.7964
-525.6098,636.9348
-528.3726,641.1052
-531.1098,645.2908
-533.8383,649.4877
-536.5626,653.6742
-539.3092,657.8583
-542.0927,662.0164
-544.8783,666.1501
-547.7029,670.2783
-550.5942,674.3486
-553.5829,678.3570
-556.6042,682.3395
-559.6883,686.2733
-562.9089,690.0945
-566.3348,693.7295
-569.8904,697.2442
-573.5742,700.6229
-577.4948,703.7239
-581.7398,706.3483
-586.2726,708.4526
-590.9908,710.1077
-595.8630,711.2327
-600.8333,711.6727
-605.8182,711.3592
-610.7255,710.4036
-615.4614,708.8048
-619.8826,706.4976
-623.8282,703.4389
-627.3182,699.8549
-630.3814,695.9008
-632.9848,691.6301
-634.9620,687.0536
-636.2864,682.2345
-637.0392,677.2917
-637.2570,672.2986
-636.8489,667.3236
-635.8011,662.4379
-634.2561,657.6861
-632.3345,653.0770
-629.9783,648.6695
-627.2673,644.4720
-624.3386,640.4220
-621.2942,636.4595
-618.0917,632.6236
-614.7167,628.9376
-611.2423,625.3445
-607.7348,621.7836
-604.1986,618.2498
-600.6083,614.7698
-596.9633,611.3477
-593.2611,607.9880
-589.4814,604.7126
-585.6264,601.5374
-581.7520,598.4039
-577.8867,595.2439
-574.0339,592.0580
-570.1695,588.8717
-566.3108,585.6892
-562.4579,582.5008
-558.6152,579.3033
-554.7808,576.0845
-550.9802,572.8589
-547.1833,569.6127
-543.3970,566.3536
-539.6226,563.0826
-535.8595,559.7980
-532.1083,556.5012
-528.3698,553.1894
-524.6508,549.8570
-520.9467,546.5082
-517.2517,543.1495
-513.5608,539.7872
-509.8680,536.4273
-506.1761,533.0829
-502.4708,529.7249
-498.7714,526.3698
-495.0695,523.0136
-491.3708,519.6628
-487.6573,516.3075
-483.9448,512.9673
-480.2273,509.6523
-476.4998,506.3567
-472.7639,503.0586
-469.0361,499.7422
