x,z
347.5433,-547.1283
344.0262,-543.7089
340.4405,-540.2270
336.7976,-536.6928
333.2351,-533.2394
329.6266,-529.7423
326.0262,-526.2536
322.4300,-522.7698
318.8298,-519.2822
315.2273,-515.7917
311.6395,-512.3148
308.0284,-508.8141
304.4333,-505.3267
300.8513,-501.8508
297.2230,-498.3261
293.6622,-494.8626
290.0969,-491.3878
286.5077,-487.8802
282.9383,-484.3816
279.3853,-480.8862
275.8475,-477.3928
272.3012,-473.8788
268.7583,-470.3595
265.2175,-466.8417
261.6790,-463.3345
258.1036,-459.8022
254.5452,-456.2912
250.9869,-452.7811
247.4281,-449.2704
243.8680,-445.7598
240.3089,-442.2494
236.7495,-438.7389
233.1894,-435.2273
229.6302,-431.7158
226.0719,-428.2033
222.5150,-424.6900
218.9584,-421.1761
215.4017,-417.6619
211.8441,-414.1495
208.2855,-410.6381
204.7239,-407.1291
201.1595,-403.6227
197.5922,-400.1192
194.0236,-396.6180
190.4530,-393.1186
186.8803,-389.6209
183.3062,-386.1245
179.7305,-382.6297
176.1539,-379.1373
172.5758,-375.6459
168.9966,-372.1559
165.4161,-368.6653
161.8341,-365.1758
158.2519,-361.6886
154.6678,-358.2026
151.0814,-354.7188
147.4925,-351.2375
143.9011,-347.7595
140.3059,-344.2855
136.7078,-340.8158
133.1048,-337.3492
129.4987,-333.8856
125.8898,-330.4247
122.2789,-326.9664
118.6681,-323.5102
115.0539,-320.0531
111.4391,-316.5963
107.8250,-313.1400
104.2139,-309.6859
100.6036,-306.2325
96.9891,-302.7773
93.3739,-299.3253
89.7564,-295.8764
86.1344,-292.4301
82.5098,-288.9898
78.8702,-285.5442
75.2434,-282.1109
71.6159,-278.6783
67.9845,-275.2478
64.3492,-271.8241
60.7042,-268.4045
57.0456,-264.9884
53.3848,-261.5883
49.7286,-258.2095
46.0483,-254.8186
42.3617,-251.4270
38.6719,-248.0400
34.9850,-244.6625
31.2930,-241.2884
27.5911,-237.9147
23.8813,-234.5458
20.1634,-231.1845
16.4370,-227.8355
12.7014,-224.5064
8.9830,-221.2244
5.2062,-217.9148
1.4450,-214.6687
-2.3758,-211.4545
-6.2337,-208.3058
-10.1241,-205.2047
-14.0714,-202.1056
-18.0411,-199.0383
-22.0080,-196.0126
-25.9984,-193.0023
-30.0053,-190.0084
-34.0242,-187.0316
-38.0527,-184.0731
-42.0939,-181.1298
-46.1378,-178.2111
-50.2027,-175.3005
-54.2795,-172.4045
-58.3667,-169.5270
-62.4695,-166.6683
-66.5908,-163.8300
-70.7275,-161.0206
-74.8753,-158.2527
-79.0630,-155.5264
-83.3450,-152.9437
-87.7303,-150.5327
-92.2022,-148.2939
-96.7705,-146.2328
-101.4248,-144.4022
-106.1573,-142.9773
-111.0931,-142.4091
-116.0289,-142.8511
-120.7569,-144.3483
-125.0391,-146.8656
-128.7050,-150.2620
-131.6620,-154.2830
-133.9602,-158.7153
-135.6569,-163.4162
-136.7870,-168.2870
-137.3467,-173.2433
-137.1605,-178.2325
-136.2998,-183.1511
-134.9794,-187.9792
-133.3469,-192.7058
-131.5009,-197.3567
-129.5198,-201.9461
-127.3478,-206.4328
-124.8936,-210.7955
-122.2527,-215.0372
-119.4781,-219.1923
-116.6097,-223.2937
-113.6995,-227.3526
-110.7833,-231.3920
-107.8206,-235.4123
-104.8292,-239.4119
-101.8303,-243.3976
-98.8342,-247.3975
-95.8705,-251.4219
-93.1050,-255.5503
-90.6720,-259.9201
-88.5556,-264.4551
-86.7622,-269.1219
-85.3277,-273.9159
-84.3428,-278.7994
-83.8167,-283.7712
-83.7009,-288.7687
-83.9753,-293.7580
-84.6398,-298.7130
-85.7119,-303.5948
-87.2214,-308.3522
-89.1458,-312.9647
-91.4308,-317.4111
-94.0448,-321.6744
-96.9703,-325.7277
-100.2066,-329.5402
-103.7414,-333.0638
-107.5478,-336.3059
-111.5803,-339.2650
-115.8030,-341.9373
-120.1973,-344.3219
-124.7406,-346.4064
-129.4202,-348.1383
-134.2223,-349.5394
-139.0920,-350.6711
-144.0089,-351.5844
-148.9544,-352.3158
-153.9234,-352.8953
-158.8942,-353.3186
-163.8864,-353.5114
-168.8828,-353.4955
-173.8750,-353.3033
-178.8597,-352.9645
-183.8311,-352.5089
-188.7975,-351.9534
-193.7334,-351.2263
-198.6419,-350.3314
-203.5241,-349.3058
-208.3866,-348.1922
-213.2433,-347.0327
-218.0909,-345.8689
-222.9478,-344.6961
-227.7948,-343.4901
-232.6277,-342.2233
-237.4330,-340.8675
-242.2095,-339.3850
-246.9167,-337.7362
-251.5777,-335.9344
-256.1895,-334.0020
-260.7312,-331.9141
-265.1797,-329.6381
-269.5030,-327.1350
-273.6631,-324.3683
-277.6594,-321.3670
-281.4584,-318.1212
-285.0030,-314.5986
-288.2023,-310.7559
-290.9356,-306.5789
-293.1861,-302.1187
-294.8556,-297.4095
-295.8028,-292.5063
-295.8719,-287.5203
-295.1433,-282.5778
-293.7873,-277.7633
-291.8370,-273.1603
-289.2178,-268.9080
-286.0069,-265.0873
-282.2305,-261.8361
-277.9609,-259.2784
-273.3845,-257.2898
-268.5958,-255.7931
-263.7087,-254.8650
-258.7469,-254.1886
-253.7655,-253.6095
-248.7900,-253.0251
-243.8395,-252.3423
-238.8970,-251.4383
-234.0542,-250.1281
-229.4717,-248.2441
-225.0169,-245.9617
-220.7980,-243.2898
-216.8772,-240.2025
-213.3173,-236.6958
-210.1794,-232.8123
-207.5313,-228.5864
-205.4025,-224.0591
-203.6983,-219.3584
-202.3561,-214.5414
-201.3525,-209.6341
-200.7081,-204.6801
-200.4398,-199.6945
-200.3209,-194.6958
-200.3309,-189.6989
-200.4895,-184.7047
-200.7989,-179.7175
-201.2486,-174.7377
-201.8617,-169.7759
-202.6077,-164.8314
-203.4486,-159.9016
-204.3505,-154.9831
-205.2844,-150.0706
-206.2611,-145.1672
-207.3128,-140.2809
-208.4176,-135.4066
-209.5522,-130.5370
-210.6934,-125.6683
-211.8234,-120.8017
-212.9611,-115.9312
-214.1109,-111.0619
-215.2692,-106.1992
-216.4353,-101.3355
-217.6084,-96.4745
-218.7861,-91.6175
-219.9739,-86.7595
-221.1695,-81.9053
-222.3722,-77.0523
-223.5783,-72.2002
-224.7862,-67.3483
-225.9928,-62.4973
-227.1948,-57.6439
-228.3933,-52.7902
-229.5934,-47.9369
-230.8002,-43.0853
-232.0183,-38.2362
-233.2534,-33.3917
-234.5000,-28.5505
-235.7466,-23.7081
-237.0028,-18.8684
-238.2783,-14.0342
-239.5833,-9.2073
-240.9283,-4.3916
-242.3212,0.4089
-243.7603,5.1980
-245.2370,9.9734
-246.7431,14.7405
-248.2705,19.4995
-249.8105,24.2561
-251.3558,29.0105
-252.9137,33.7616
-254.4870,38.5086
-256.0756,43.2492
-257.6812,47.9841
-259.3059,52.7139
-260.9498,57.4298
-262.6286,62.1409
-264.3384,66.8419
-266.0648,71.5339
-267.8005,76.2292
-269.5269,80.9198
-271.2330,85.6191
-272.9217,90.3091
-274.6280,95.0123
-276.3361,99.7142
-278.0386,104.4148
-279.7298,109.1212
-281.4033,113.8350
-283.0708,118.5409
-284.7736,123.2422
-286.4864,127.9398
-288.1886,132.6408
-289.8589,137.3542
-291.4752,142.0844
-293.0117,146.8217
-294.5151,151.6012
-295.9883,156.3845
-297.4223,161.1795
-298.8023,165.9875
-300.1073,170.8241
-301.2817,175.6992
-302.2508,180.5373
-303.1198,185.4705
-303.8414,190.4197
-304.3717,195.3920
-304.6483,200.3817
-304.5717,205.3808
-304.1273,210.3508
-303.4170,215.2900
-302.3814,220.1734
-300.9920,224.9711
-299.2630,229.6450
-297.2130,234.2230
-294.8777,238.6423
-292.2523,242.8889
-289.3586,246.9592
-286.2320,250.8551
-282.9161,254.5911
-279.4548,258.1936
-275.8502,261.6439
-272.0636,264.9155
-268.1436,268.0219
-264.1123,270.9745
-259.9658,273.7841
-255.7261,276.4197
-251.3814,278.8514
-246.9420,281.1241
-242.4411,283.3005
-237.9145,285.4144
-233.3733,287.4986
-228.8317,289.5789
-224.3155,291.6701
-219.7630,293.7533
-215.2223,295.8386
-210.7061,297.9839
-206.2445,300.2404
-201.8758,302.6723
-197.6686,305.3686
-193.7389,308.4156
-190.0808,311.8138
-186.8483,315.6045
-184.1939,319.8136
-182.2195,324.3798
-180.9236,329.2048
-180.4314,334.1639
-180.7248,339.1376
-181.6723,344.0349
-183.1730,348.7886
-185.1658,353.3686
-187.6080,357.6955
-190.4773,361.7856
-193.6602,365.6392
-197.0780,369.2770
-200.6951,372.7356
-204.4570,376.0133
-208.3570,379.1401
-212.3708,382.0905
-216.5101,384.8805
-220.7464,387.5370
-225.0458,390.0720
-229.4039,392.5047
-233.8133,394.8473
-238.2652,397.1066
-242.7517,399.2859
-247.2661,401.4106
-251.7945,403.5058
-256.3308,405.5864
-260.8667,407.6666
-265.3951,409.7584
-269.9120,411.8770
-274.4120,414.0355
-278.8877,416.2461
-283.3408,418.5003
-287.7814,420.7780
-292.2108,423.0814
-296.6273,425.4122
-301.0280,427.7720
-305.4114,430.1625
-309.7761,432.5880
-314.1211,435.0519
-318.4386,437.5545
-322.7342,440.0975
-327.0067,442.6784
-331.2573,445.2953
-335.4867,447.9480
-339.6952,450.6330
-343.8836,453.3494
-348.0523,456.0948
-352.2036,458.8686
-356.3370,461.6683
-360.4514,464.4951
-364.5451,467.3520
-368.6170,470.2397
-372.6652,473.1605
-376.6880,476.1161
-380.6845,479.1076
-384.6526,482.1373
-388.5914,485.2039
-392.5030,488.3064
-396.3861,491.4433
-400.2430,494.6136
-404.0723,497.8163
