x,z
270.5011,-351.8673
271.3205,-346.9509
272.1949,-342.0368
273.0999,-337.1141
274.0238,-332.1970
274.9645,-327.2740
275.9165,-322.3634
276.8754,-317.4815
277.8519,-312.5648
278.8364,-307.6573
279.8285,-302.7604
280.8310,-297.8609
281.8438,-292.9616
282.8675,-288.0641
283.9027,-283.1701
284.9507,-278.2818
286.0119,-273.4016
287.0859,-268.5206
288.1717,-263.6384
289.2684,-258.7560
290.3755,-253.8745
291.4930,-248.9953
292.6211,-244.1216
293.7593,-239.2622
294.9170,-234.3914
296.0989,-229.5301
297.3071,-224.6896
298.5468,-219.8483
299.8124,-215.0118
301.0943,-210.1852
302.3847,-205.3506
303.6964,-200.5297
305.0409,-195.7154
306.4042,-190.9047
307.7674,-186.0939
309.1100,-181.2754
310.4638,-176.4651
311.8219,-171.6589
313.1354,-166.8346
314.3392,-161.9828
315.4451,-157.1108
316.4339,-152.2151
317.2304,-147.2896
317.8591,-142.3264
318.4261,-137.3588
318.8940,-132.3760
319.1970,-127.3804
319.2354,-122.3806
318.9129,-117.4003
318.2599,-112.4478
317.3120,-107.5440
316.1414,-102.6887
314.8002,-97.8692
313.2776,-93.1069
311.5686,-88.4051
309.6482,-83.7874
307.4636,-79.2931
304.9900,-74.9508
302.2353,-70.7822
299.2369,-66.7824
296.0430,-62.9394
292.6478,-59.2704
289.0833,-55.7687
285.3708,-52.4220
281.5172,-49.2413
277.5023,-46.2601
273.3802,-43.4287
269.1948,-40.6898
264.9851,-37.9953
260.7326,-35.3649
256.4256,-32.8271
252.0571,-30.3964
247.6196,-28.0921
243.0894,-25.9774
238.5068,-23.9774
233.9227,-21.9810
229.3758,-19.8824
224.8696,-17.7362
220.3751,-15.5467
215.9196,-13.3162
211.4739,-11.0399
207.0276,-8.7253
202.6000,-6.3949
198.1815,-4.0506
193.7672,-1.6931
189.3563,0.6762
184.9636,3.0492
180.5738,5.4425
176.1936,7.8536
171.8200,10.2765
167.4496,12.7052
163.0792,15.1338
158.7056,17.5564
154.3334,19.9824
149.9697,22.4217
145.6064,24.8624
141.2369,27.2916
136.8537,29.6972
132.4517,32.0660
128.0322,34.3923
123.5902,36.6964
119.1348,38.9779
114.6728,41.2342
110.1874,43.4717
105.6984,45.6744
101.1925,47.8302
96.6467,49.9128
92.0769,51.9127
87.4834,53.8700
82.8797,55.8373
78.2753,57.7866
73.6596,59.7076
69.0315,61.5969
64.3888,63.4535
59.7367,65.2842
55.0726,67.0838
50.3933,68.8432
45.6967,70.5535
40.9850,72.2229
36.2594,73.8508
31.5174,75.4288
26.7566,76.9484
21.9788,78.4089
17.1842,79.8165
12.3752,81.1689
7.5483,82.4629
2.7065,83.6875
-2.1532,84.8365
-7.0268,85.9244
-11.9096,86.9702
-16.8009,87.9794
-21.7043,88.9282
-26.6130,89.8461
-31.5207,90.7658
-36.4237,91.7056
-41.3285,92.6270
-46.2307,93.5603
-51.1235,94.5464
-56.0010,95.6156
-60.8705,96.7295
-65.7260,97.9060
-70.5570,99.1780
-75.3534,100.5719
-80.1236,102.0535
-84.8614,103.6344
-89.5523,105.3471
-94.1797,107.2220
-98.7700,109.1876
-103.3022,111.2822
-107.7184,113.6093
-111.9413,116.2679
-115.9469,119.2510
-119.7512,122.4880
-123.3515,125.9523
-126.7346,129.6272
-129.8791,133.5123
-132.7706,137.5906
-135.3992,141.8443
-137.7441,146.2578
-139.7558,150.8336
-141.4337,155.5423
-142.8321,160.3418
-144.0107,165.1982
-144.9602,170.1079
-145.6759,175.0577
-146.1812,180.0336
-146.4815,185.0226
-146.5651,190.0214
-146.4063,195.0162
-145.9910,199.9981
-145.3243,204.9501
-144.3814,209.8618
-143.2170,214.7238
-141.9022,219.5485
-140.4967,224.3450
-138.9718,229.1080
-137.3043,233.8217
-135.4944,238.4828
-133.5389,243.0840
-131.4044,247.6050
-129.1138,252.0493
-126.7250,256.4417
-124.2916,260.8148
-121.8089,265.1537
-119.2460,269.4245
-116.6404,273.6992
-114.0536,277.9701
-111.4808,282.2225
-108.8753,286.5054
-106.2637,290.7912
-103.6567,295.0708
-101.0572,299.3463
-98.4608,303.6317
-95.8712,307.9306
-93.3014,312.2368
-90.7892,316.5070
-88.2706,320.8456
-85.7917,325.1748
-83.3326,329.5232
-80.8907,333.8803
-78.4573,338.2398
-76.0173,342.6168
-73.5961,346.9904
-71.1864,351.3721
-68.7869,355.7587
-66.3950,360.1500
-64.0094,364.5435
-61.6279,368.9404
-59.2552,373.3410
-56.8905,377.7459
-54.5323,382.1543
-52.1786,386.5653
-49.8277,390.9780
-47.4784,395.3907
-45.1303,399.8064
-42.7860,404.2224
-40.4447,408.6408
-38.1073,413.0610
-35.7737,417.4840
-33.4453,421.9080
-31.1196,426.3347
-28.7975,430.7618
-26.4796,435.1912
-24.1672,439.6232
-21.8615,444.0590
-19.5635,448.4992
-17.2742,452.9435
-14.9923,457.3932
-12.7178,461.8448
-10.4482,466.2997
-8.1828,470.7568
