x,z
1735.2266,-1500.0992
1731.2693,-1502.9225
1727.1487,-1505.8395
1723.0594,-1508.7294
1718.9501,-1511.6315
1714.8311,-1514.5403
1710.7402,-1517.4297
1706.6324,-1520.3325
1702.5165,-1523.2438
1698.4226,-1526.1439
1694.3359,-1529.0469
1690.4590,-1531.8158
1686.3708,-1534.7349
1682.2578,-1537.6648
1678.1356,-1540.5959
1674.0940,-1543.4653
1669.9980,-1546.3689
1665.8948,-1549.2729
1661.8069,-1552.1610
1657.6970,-1555.0588
1653.6158,-1557.9293
1649.5084,-1560.8097
1645.3641,-1563.7037
1641.2274,-1566.5742
1637.4082,-1569.1978
1633.1915,-1572.0743
1629.0306,-1574.9053
1624.9459,-1577.6805
1620.6848,-1580.5732
1616.6392,-1583.3187
1612.4136,-1586.1854
1608.3287,-1588.9565
1604.1520,-1591.7902
1600.0179,-1594.5951
1595.8723,-1597.4087
1591.7156,-1600.2310
1587.5745,-1603.0436
1583.4366,-1605.8556
1579.2714,-1608.6882
1575.1691,-1611.4802
1570.9749,-1614.3378
1566.8809,-1617.1302
1562.6871,-1619.9952
1558.6113,-1622.7849
1554.5204,-1625.5898
1550.4106,-1628.4080
1546.2759,-1631.2438
1542.1663,-1634.0632
1538.0347,-1636.8995
1533.9199,-1639.7262
1529.7985,-1642.5604
1525.6816,-1645.3947
1521.5687,-1648.2300
1517.4529,-1651.0720
1513.3462,-1653.9127
1509.2350,-1656.7622
1505.1312,-1659.6128
1501.0287,-1662.4692
1496.9313,-1665.3295
1492.8345,-1668.1973
1488.7468,-1671.0669
1484.6760,-1673.9333
1480.6637,-1676.7690
1476.5237,-1679.7045
1472.4757,-1682.5825
1468.3622,-1685.5134
1464.3044,-1688.4103
1460.2128,-1691.3364
1456.1414,-1694.2526
1452.0831,-1697.1637
1447.9851,-1700.1073
1443.9678,-1702.9972
1439.8365,-1705.9731
1435.8420,-1708.8550
1431.7012,-1711.8474
1427.6620,-1714.7725
1423.6536,-1717.6825
1419.5231,-1720.6932
1415.5304,-1723.6301
1411.7109,-1726.4916
1407.6838,-1729.5178
1403.6921,-1732.5200
1399.7249,-1735.5052
1395.6964,-1738.5370
1391.6787,-1741.5609
1387.6820,-1744.5687
1383.6676,-1747.5894
1379.6676,-1750.5984
1375.6351,-1753.6307
1371.6521,-1756.6241
1367.6515,-1759.6284
1363.5933,-1762.6716
1359.6459,-1765.6246
1355.6462,-1768.6068
1351.6486,-1771.5776
1347.6440,-1774.5449
1343.6179,-1777.5231
1339.6082,-1780.4901
1335.6016,-1783.4631
1331.6022,-1786.4462
1327.5895,-1789.4550
1323.5950,-1792.4559
1319.5966,-1795.4618
1315.5961,-1798.4690
1311.5972,-1801.4724
1307.5927,-1804.4752
1303.5791,-1807.4763
1299.5717,-1810.4603
1295.5599,-1813.4403
1291.5519,-1816.4219
1287.5370,-1819.4004
1283.5154,-1822.3605
1279.4712,-1825.2974
1275.4053,-1828.1964
1271.3052,-1831.0653
1267.1832,-1833.8887
1263.0039,-1836.6448
1258.7590,-1839.2905
1254.4261,-1841.7866
1249.9771,-1844.0814
1245.4073,-1846.0874
1240.7197,-1847.8265
1235.9501,-1849.3282
1231.1094,-1850.5718
1226.2023,-1851.5349
1221.2460,-1852.1898
1216.2570,-1852.5065
1211.2576,-1852.4084
1206.3013,-1851.8112
1201.4341,-1850.7118
1196.6835,-1849.1703
1192.0508,-1847.2837
1187.5184,-1845.1569
1183.0632,-1842.8928
1178.6730,-1840.5012
1174.3553,-1837.9834
1170.1124,-1835.3400
1165.9489,-1832.5771
1161.8590,-1829.6970
1157.7633,-1826.8201
1153.5847,-1824.0798
1149.3074,-1821.4733
1144.9358,-1819.0315
1140.4520,-1816.8099
1135.8453,-1814.9503
1131.0950,-1813.3794
1126.2756,-1812.0577
1121.3890,-1811.0007
1116.4491,-1810.2334
1111.4789,-1809.7351
1106.4924,-1809.4458
1101.4998,-1809.3802
1096.5093,-1809.5566
1091.5332,-1809.9961
1086.5901,-1810.6865
1081.6656,-1811.5717
1076.7798,-1812.6453
1071.9434,-1813.9177
1067.1691,-1815.4164
1062.4819,-1817.1803
1057.8705,-1819.0831
1053.3203,-1821.1274
1048.8616,-1823.3639
1044.4958,-1825.7888
1040.2036,-1828.3667
1035.9971,-1831.0513
1031.8398,-1833.8317
1027.7161,-1836.6797
1023.6263,-1839.5731
1019.5700,-1842.4973
1015.5322,-1845.4542
1011.5115,-1848.4381
1007.5091,-1851.4437
1003.5480,-1854.4679
999.6187,-1857.5586
995.7250,-1860.6956
991.8576,-1863.8641
988.0053,-1867.0505
984.1558,-1870.2408
980.2983,-1873.4205
976.4208,-1876.5762
972.5204,-1879.7068
968.6239,-1882.8398
964.7283,-1885.9734
960.8282,-1889.1018
956.9188,-1892.2188
952.9951,-1895.3184
949.0540,-1898.3937
945.0895,-1901.4398
941.0986,-1904.4528
937.0871,-1907.4377
933.0578,-1910.3978
929.0126,-1913.3357
924.9527,-1916.2543
920.8804,-1919.1559
916.7975,-1922.0426
912.7068,-1924.9166
908.6112,-1927.7814
904.5143,-1930.6490
900.4150,-1933.5134
896.3083,-1936.3667
892.1886,-1939.2003
888.0498,-1942.0068
883.8871,-1944.7773
879.6954,-1947.5028
875.4700,-1950.1736
871.2125,-1952.7963
866.9319,-1955.3796
862.6273,-1957.9231
858.2993,-1960.4258
853.9470,-1962.8865
849.5707,-1965.3043
845.1705,-1967.6781
840.7465,-1970.0074
836.2969,-1972.2874
831.8190,-1974.5115
827.3168,-1976.6858
822.7932,-1978.8154
818.2515,-1980.9063
813.6948,-1982.9640
809.1258,-1984.9950
804.5475,-1987.0045
799.9617,-1988.9900
795.3505,-1990.9264
790.7219,-1992.8187
786.0801,-1994.6799
781.4304,-1996.5215
776.7784,-1998.3551
772.1307,-2000.1925
767.4847,-2002.0491
762.8651,-2003.9319
758.2508,-2005.8630
753.6517,-2007.8334
749.0700,-2009.8346
744.4999,-2011.8633
739.9390,-2013.9148
735.3871,-2015.9846
730.8439,-2018.0677
726.3100,-2020.1592
721.7676,-2022.2480
717.2202,-2024.3328
712.6756,-2026.4219
708.1400,-2028.5231
703.6092,-2030.6509
699.0956,-2032.8137
694.6124,-2035.0231
690.1705,-2037.2981
685.7414,-2039.6323
681.3502,-2041.9980
676.9766,-2044.4347
672.6653,-2046.9498
668.4138,-2049.5837
664.2567,-2052.3569
660.2053,-2055.2795
656.2332,-2058.3186
652.3683,-2061.4961
648.6592,-2064.8506
645.1809,-2068.4419
642.0801,-2072.3381
639.3051,-2076.4961
636.8189,-2080.8335
634.6476,-2085.3362
632.8193,-2089.9883
631.3411,-2094.7710
630.1213,-2099.6128
629.2401,-2104.5278
628.7095,-2109.4983
628.4512,-2114.4563
628.3741,-2119.4910
628.2183,-2124.4873
627.7621,-2129.4680
627.0086,-2134.4121
625.9465,-2139.2969
624.5461,-2144.1042
622.7671,-2148.7737
620.5380,-2153.2444
617.7686,-2157.3784
614.4125,-2161.0857
610.6356,-2164.3579
606.5438,-2167.2336
602.2054,-2169.7317
597.6800,-2171.8425
592.9619,-2173.5449
588.1308,-2174.7456
583.1857,-2175.4575
578.1967,-2175.7327
573.2001,-2175.6575
568.2101,-2175.3318
563.2353,-2174.8560
558.3037,-2174.2170
553.3591,-2173.4033
548.4102,-2172.5747
543.4557,-2171.8391
538.4733,-2171.3083
533.4928,-2171.1526
528.5020,-2171.7102
523.8237,-2173.3391
519.4069,-2175.6838
515.3276,-2178.5693
511.6187,-2181.9287
508.3880,-2185.7451
505.8392,-2190.0259
503.8665,-2194.6062
502.6232,-2199.4329
