x,z
76.0609,-851.0455
80.9923,-851.5941
85.9678,-852.1411
90.9387,-852.6851
95.9226,-853.2294
100.9062,-853.7734
105.8865,-854.3173
110.8602,-854.8611
115.8199,-855.4047
120.7842,-855.9503
125.7547,-856.4970
130.7276,-857.0443
135.7012,-857.5918
140.6740,-858.1392
145.6449,-858.6862
150.6117,-859.2323
155.5892,-859.7791
160.5598,-860.3243
165.5293,-860.8676
170.4939,-861.4092
175.4663,-861.9509
180.4379,-862.4925
185.4041,-863.0339
190.3758,-863.5776
195.3449,-864.1235
200.3108,-864.6840
205.2781,-865.2746
210.2419,-865.8779
215.2132,-866.4772
220.1808,-867.0502
225.1628,-867.5707
230.1335,-867.9898
235.1221,-868.2886
240.1231,-868.4431
245.1116,-868.3961
250.0945,-868.1572
255.0907,-867.7682
260.0589,-867.2049
265.0038,-866.4672
269.9201,-865.5551
274.7989,-864.4644
279.6328,-863.1893
284.4166,-861.7379
289.1475,-860.1218
293.8232,-858.3528
298.4404,-856.4319
302.9928,-854.3631
307.4734,-852.1451
311.8753,-849.7738
316.1955,-847.2585
320.4221,-844.5890
324.5416,-841.7567
328.5435,-838.7603
332.4286,-835.6134
336.1984,-832.3278
339.8498,-828.9120
343.3765,-825.3703
346.7692,-821.6965
350.0327,-817.9081
353.1767,-814.0200
356.2070,-810.0432
359.1041,-805.9686
361.8621,-801.7991
364.4999,-797.5521
367.0401,-793.2454
369.4767,-788.8800
371.7983,-784.4515
374.0237,-779.9741
376.1716,-775.4587
378.2711,-770.9197
380.3044,-766.3577
382.2135,-761.7443
383.9869,-757.0822
385.6826,-752.3667
387.3525,-747.6491
388.9659,-742.9171
390.4979,-738.1644
391.9384,-733.3649
393.2642,-728.5565
394.4814,-723.7104
395.6194,-718.8295
396.6923,-713.9526
397.7185,-709.0569
398.7051,-704.1504
399.6571,-699.2380
400.5785,-694.3231
401.4734,-689.3990
402.3403,-684.4805
403.1676,-679.5497
403.9532,-674.6119
404.7029,-669.6684
405.4220,-664.7206
406.1164,-659.7691
406.7914,-654.8151
407.4529,-649.8591
408.1062,-644.9022
408.7475,-639.9435
409.3687,-634.9824
409.9708,-630.0192
410.5554,-625.0538
411.1237,-620.0862
411.6771,-615.1174
412.2171,-610.1473
412.7450,-605.1757
413.2626,-600.2032
413.7708,-595.2279
414.2678,-590.2528
414.7516,-585.2761
415.2202,-580.2975
415.6715,-575.3176
416.1032,-570.3366
416.5130,-565.3538
416.8985,-560.3670
417.2549,-555.3797
417.5841,-550.3915
417.8900,-545.4020
418.1769,-540.4106
418.4492,-535.4188
418.7114,-530.4265
418.9681,-525.4331
419.2240,-520.4385
419.4714,-515.4517
419.7037,-510.4560
419.9258,-505.4547
420.1409,-500.4508
420.3519,-495.4473
420.5617,-490.4490
420.7733,-485.4701
420.9961,-480.4328
421.2299,-475.4762
421.4688,-470.4865
421.7231,-465.4860
422.0170,-460.5150
422.3588,-455.5154
422.7240,-450.5290
423.1265,-445.5455
423.5865,-440.5671
424.1234,-435.5959
424.7267,-430.6327
425.3941,-425.6777
426.1359,-420.7333
426.9621,-415.8022
427.8719,-410.8859
428.8596,-405.9842
429.9264,-401.0992
431.0743,-396.2327
432.3096,-391.3883
433.6327,-386.5668
435.0307,-381.7664
436.4904,-376.9847
438.0019,-372.2189
439.5702,-367.4715
441.2018,-362.7455
442.9029,-358.0442
444.6840,-353.3730
446.5550,-348.7364
448.4914,-344.1269
450.4661,-339.5330
452.4603,-334.9487
454.5240,-330.3950
456.6194,-325.8565
458.6819,-321.3039
460.6595,-316.7124
462.6090,-312.1063
464.5162,-307.4837
466.3322,-302.8243
468.0000,-298.1113
469.5154,-293.3465
470.8965,-288.5424
472.1322,-283.6988
473.2166,-278.8178
474.1517,-273.9066
474.9458,-268.9694
475.6002,-264.0123
476.1104,-259.0364
476.4646,-254.0509
476.6583,-249.0550
476.6977,-244.0555
476.5916,-239.0570
476.3440,-234.0633
475.9445,-229.0796
475.4008,-224.1096
474.7237,-219.1557
473.9154,-214.2220
472.9568,-209.3148
471.8782,-204.4330
470.7141,-199.5705
469.4831,-194.7249
468.1339,-189.9106
466.7141,-185.1160
465.2876,-180.3230
463.9111,-175.5163
462.5156,-170.7159
461.1285,-165.9124
459.8305,-161.0843
458.6979,-156.2150
457.6844,-151.3185
456.7856,-146.4003
456.0487,-141.4552
455.5211,-136.4849
455.2010,-131.4950
455.0614,-126.4962
455.1013,-121.4953
455.3282,-116.5000
455.7471,-111.5194
456.3605,-106.5579
457.1814,-101.6267
458.2147,-96.7367
459.4626,-91.8938
460.9105,-87.1088
462.5348,-82.3794
464.3193,-77.7094
466.2705,-73.1063
468.4188,-68.5925
470.7189,-64.1537
473.1180,-59.7674
475.5858,-55.4195
478.2047,-51.1608
480.9021,-46.9507
483.5777,-42.7262
486.1362,-38.4307
488.6677,-34.1206
491.1424,-29.7769
493.4492,-25.3428
495.4858,-20.7797
497.3329,-16.1317
498.9815,-11.4116
500.3496,-6.6038
501.3363,-1.7063
501.9055,3.2599
502.1190,8.2542
502.0253,13.2528
