x,z
-157.4788,172.4908
-162.5086,172.4732
-167.4876,172.4529
-172.4791,172.4281
-177.4711,172.3980
-182.4490,172.3631
-187.4766,172.3242
-192.4588,172.2833
-197.4542,172.2392
-202.4536,172.1920
-207.4545,172.1428
-212.4557,172.0922
-217.4573,172.0408
-222.4594,171.9891
-227.4625,171.9374
-232.4663,171.8860
-237.4709,171.8353
-242.4679,171.7857
-247.4431,171.7354
-252.4418,171.6819
-257.4501,171.6263
-262.4633,171.5698
-267.4649,171.5135
-272.4639,171.4579
-277.4701,171.4036
-282.4731,171.3517
-287.4722,171.3028
-292.4836,171.2577
-297.4923,171.2176
-302.4914,171.1837
-307.4690,171.1577
-312.4696,171.1405
-317.4729,171.1315
-322.4760,171.1296
-327.4781,171.1338
-332.4783,171.1432
-337.4762,171.1567
-342.4717,171.1732
-347.4690,171.1915
-352.4736,171.2104
-357.4768,171.2282
-362.4780,171.2432
-367.4740,171.2569
-372.4689,171.2741
-377.4726,171.2943
-382.4791,171.3163
-387.4821,171.3390
-392.4794,171.3607
-397.4687,171.3795
-402.4764,171.3932
-407.4806,171.4003
-412.4737,171.4074
-417.4793,171.4125
-422.4774,171.4113
-427.4670,171.3975
-432.4725,171.3627
-437.4804,171.2984
-442.4662,171.2160
-447.4680,171.0918
-452.4567,170.8893
-457.4500,170.5915
-462.4367,170.2213
-467.4169,169.7744
-472.3875,169.2342
-477.3452,168.5834
-482.2889,167.8377
-487.2166,166.9926
-492.1205,166.0198
-496.9911,164.8929
-501.8322,163.6421
-506.6405,162.2695
-511.3968,160.7265
-516.0739,158.9616
-520.6545,156.9592
-525.1406,154.7521
-529.5257,152.3503
-533.8037,149.7628
-537.9658,146.9939
-542.0049,144.0471
-545.9164,140.9327
-549.6950,137.6585
-553.3286,134.2253
-556.8112,130.6384
-560.1521,126.9186
-563.3589,123.0819
-566.4230,119.1326
-569.3251,115.0620
-572.0873,110.8949
-574.7363,106.6547
-577.2869,102.3557
-579.7197,97.9865
-582.0410,93.5575
-584.2579,89.0760
-586.3756,84.5468
-588.3932,79.9732
-590.2900,75.3483
-592.0453,70.6676
-593.6489,65.9324
-595.1203,61.1536
-596.4498,56.3334
-597.6200,51.4721
-598.6067,46.5714
-599.3911,41.6340
-600.0090,36.6723
-600.5063,31.6984
-600.9233,26.7160
-601.2257,21.7249
-601.4283,16.7282
-601.5614,11.7302
-601.6533,6.7091
-601.7203,1.7318
-601.7091,-3.2673
-601.6058,-8.2320
-601.4471,-13.2420
-601.2457,-18.2217
-601.0118,-23.2443
-600.7644,-28.2402
-600.5109,-33.2337
-600.2568,-38.2335
-600.0078,-43.2352
-599.7695,-48.2354
-599.5488,-53.2278
-599.3481,-58.2142
-599.1592,-63.2105
-598.9799,-68.2073
-598.8071,-73.2044
-598.6385,-78.2016
-598.4711,-83.1988
-598.3025,-88.1959
-598.1298,-93.1930
-597.9522,-98.1897
-597.7740,-103.1867
-597.5955,-108.1834
-597.4168,-113.1803
-597.2380,-118.1772
-597.0591,-123.1738
-596.8802,-128.1707
-596.7014,-133.1677
-596.5237,-138.1438
-596.3472,-143.1513
-596.1721,-148.1559
-595.9976,-153.1554
-595.8223,-158.1602
-595.6452,-163.1698
-595.4651,-168.1757
-595.2808,-173.1499
-595.0865,-178.1835
-594.9145,-183.1659
-594.7504,-188.1356
-594.5062,-193.1208
-594.0986,-198.1018
-593.6129,-203.0827
-593.0403,-208.0520
-592.2900,-213.0021
-591.2068,-217.8514
-589.5308,-222.5712
-587.3691,-227.0838
-584.7119,-231.3260
-581.3776,-235.0174
-577.2197,-237.7765
-572.5863,-239.6485
-567.6784,-240.5552
-562.7236,-240.1408
-558.0428,-238.4170
-553.7929,-235.7916
-550.1437,-232.3869
-547.3275,-228.2861
-545.0264,-223.8397
-543.1017,-219.2190
-541.5581,-214.4626
-540.5072,-209.5797
-539.8915,-204.6244
-539.5345,-199.6374
-539.3699,-194.6367
-539.3251,-189.6472
-539.3504,-184.6648
-539.4634,-179.6409
-539.6407,-174.6581
-539.8600,-169.6563
-540.1052,-164.6534
-540.3641,-159.6611
-540.6279,-154.6644
-540.8873,-149.6693
-541.1455,-144.6820
-541.4203,-139.6930
-541.7072,-134.7008
-542.0018,-129.7074
-542.3000,-124.7146
-542.5982,-119.7224
-542.8927,-114.7290
-543.1796,-109.7350
-543.4581,-104.7469
-543.7405,-99.7560
