x,z
-1073.8962,-1895.9397
-1076.6094,-1900.0659
-1079.3527,-1904.2406
-1082.1313,-1908.4691
-1084.8457,-1912.5978
-1087.6046,-1916.7905
-1090.3544,-1920.9648
-1093.1014,-1925.1292
-1095.8719,-1929.3223
-1098.6158,-1933.4683
-1101.3977,-1937.6636
-1104.1465,-1941.8008
-1106.9343,-1945.9877
-1109.6943,-1950.1239
-1112.4849,-1954.2960
-1115.2612,-1958.4373
-1118.0530,-1962.5909
-1120.8492,-1966.7412
-1123.6415,-1970.8745
-1126.4170,-1974.9718
-1129.1116,-1978.9336
-1132.0214,-1983.1953
-1134.8379,-1987.3087
-1137.6342,-1991.3837
-1140.5406,-1995.6118
-1143.3673,-1999.7181
-1146.1843,-2003.8058
-1149.0568,-2007.9700
-1151.9203,-2012.1179
-1154.7520,-2016.2174
-1157.6024,-2020.3422
-1160.4617,-2024.4779
-1163.3245,-2028.6176
-1166.1740,-2032.7378
-1168.9996,-2036.8232
-1171.8851,-2040.9952
-1174.7535,-2045.1434
-1177.5599,-2049.2034
-1180.4335,-2053.3625
-1183.3270,-2057.5535
-1186.0997,-2061.5730
-1189.0027,-2065.7869
-1191.8698,-2069.9563
-1194.5858,-2073.9167
-1197.5734,-2078.2913
-1200.2943,-2082.3062
-1202.9735,-2086.3362
-1205.5979,-2090.4351
-1208.2255,-2094.5842
-1210.8987,-2098.8264
-1213.6140,-2103.1484
-1216.2363,-2107.3296
-1218.9149,-2111.6047
-1221.5669,-2115.8398
-1224.2338,-2120.0994
-1226.8861,-2124.3350
-1229.5623,-2128.6062
-1232.1917,-2132.7986
-1234.8989,-2137.1082
-1237.5594,-2141.3333
-1240.2026,-2145.5144
-1242.9381,-2149.8118
-1245.5708,-2153.9392
-1248.1798,-2158.1753
-1250.6814,-2162.4922
-1252.9998,-2166.9360
-1254.9729,-2171.5088
-1256.4003,-2176.2813
-1257.0570,-2181.2478
-1256.9230,-2186.2271
-1255.7288,-2191.0601
-1253.3815,-2195.4570
-1250.2339,-2199.3257
-1246.2867,-2202.3804
-1241.8164,-2204.6033
-1237.0159,-2205.9158
-1232.0524,-2206.4595
-1227.0481,-2206.5530
-1222.0631,-2206.2666
-1217.1125,-2205.5916
-1212.2467,-2204.4817
-1207.4712,-2203.0525
-1202.7516,-2201.4446
-1198.0854,-2199.6917
-1193.4440,-2197.8184
-1188.8723,-2195.8750
-1184.3158,-2193.8655
-1179.7745,-2191.8086
-1175.2354,-2189.7153
-1170.7130,-2187.6067
-1166.1995,-2185.4761
-1161.6946,-2183.3201
-1157.1971,-2181.1350
-1152.7151,-2178.9233
-1148.2706,-2176.6938
-1143.8325,-2174.4304
-1139.3984,-2172.1306
-1134.9666,-2169.7920
