x,z
367.4875,283.0988
362.6881,284.4785
357.8841,285.8627
353.0779,287.2495
348.2717,288.6376
343.4685,290.0254
338.6643,291.4135
333.8595,292.8010
329.0551,294.1870
324.2533,295.5710
319.4492,296.9563
314.6452,298.3416
309.8408,299.7266
305.0360,301.1108
300.2310,302.4939
295.4258,303.8753
290.6197,305.2547
285.8125,306.6316
281.0050,308.0044
276.1964,309.3742
271.3877,310.7423
266.5786,312.1099
261.7697,313.4782
256.9607,314.8484
252.1530,316.2217
247.3482,317.5983
242.5419,318.9769
237.7350,320.3560
232.9284,321.7365
228.1228,323.1188
223.3179,324.5042
218.5137,325.8933
213.7110,327.2870
208.9108,328.6861
204.1144,330.0904
199.3174,331.5001
194.5213,332.9146
189.7271,334.3332
184.9345,335.7558
180.1434,337.1823
175.3527,338.6127
170.5633,340.0466
165.7737,341.4842
160.9881,342.9255
156.2038,344.3711
151.4198,345.8208
146.6376,347.2740
141.8567,348.7305
137.0760,350.1900
132.2979,351.6515
127.5194,353.1158
122.7432,354.5869
117.9688,356.0640
113.1959,357.5446
108.4242,359.0265
103.6522,360.5074
98.8796,361.9849
94.1059,363.4569
89.3351,364.9193
84.5602,366.3772
79.7807,367.8332
74.9999,369.2863
70.2201,370.7354
65.4443,372.1792
60.6564,373.6218
55.8668,375.0592
51.0863,376.4865
46.3077,377.9003
41.5150,379.2990
36.7288,380.6811
31.9399,382.0571
27.1511,383.4370
22.3675,384.8304
17.5845,386.2489
12.8098,387.6925
8.0390,389.1500
3.2637,390.6120
-1.5041,392.0624
-6.2809,393.4890
-11.0721,394.8766
-15.8466,396.2813
-20.6327,397.6348
-25.4685,398.7780
-30.3832,399.6458
-35.3202,400.3202
-40.2821,400.8069
-45.2594,401.0883
-50.2554,401.1414
-55.2240,400.8455
-60.1491,400.0760
-64.9571,398.7832
-69.6047,396.9876
-74.0166,394.6855
-78.1945,391.9757
-82.1608,388.9598
-85.9254,385.6909
-89.4060,382.1151
-92.6690,378.3320
