x,z
643.4215,-67.3786
647.6888,-64.7991
651.9665,-62.2100
656.2487,-59.6160
660.5154,-57.0300
664.7838,-54.4418
669.0575,-51.8500
673.3354,-49.2552
677.6151,-46.6593
681.8934,-44.0646
686.1678,-41.4727
690.4465,-38.8788
694.6851,-36.3097
698.9716,-33.7109
703.2621,-31.1089
707.5275,-28.5218
711.8036,-25.9282
716.0845,-23.3317
720.3597,-20.7390
724.6398,-18.1436
728.9219,-15.5480
733.1948,-12.9589
737.4644,-10.3730
741.7589,-7.7737
746.0483,-5.1795
750.3079,-2.6059
754.5817,-0.0254
758.8558,2.5537
763.1314,5.1318
767.4094,7.7094
771.6914,10.2875
775.9747,12.8634
780.2581,15.4369
784.5448,18.0089
788.8329,20.5788
793.1309,23.1510
797.4248,25.7141
801.7198,28.2702
806.0134,30.8191
810.3069,33.3636
814.6052,35.9085
818.9023,38.4538
823.1979,41.0012
827.4956,43.5557
831.7955,46.1148
836.0912,48.6689
840.3873,51.2230
844.6825,53.7784
848.9763,56.3370
853.2668,58.8998
857.5542,61.4691
861.8369,64.0462
866.0953,66.6218
870.3756,69.2244
874.6484,71.8327
878.9136,74.4439
883.1794,77.0609
887.4495,79.6841
891.7200,82.3090
895.9738,84.9229
900.2495,87.5441
904.5040,90.1298
908.7755,92.7046
913.0239,95.2994
917.2475,97.9839
921.4451,100.6987
925.6181,103.4505
929.7397,106.2790
933.7787,109.2220
937.7344,112.2761
941.6186,115.4211
945.4200,118.6654
949.1240,122.0193
952.7244,125.4820
956.2231,129.0470
959.6061,132.7218
962.8592,136.5118
965.9678,140.4229
968.9328,144.4439
971.7762,148.5525
974.5186,152.7303
977.1928,156.9504
979.7909,161.2168
982.2359,165.5744
984.4614,170.0433
986.4606,174.6260
988.2944,179.2816
989.9823,183.9889
991.5239,188.7490
992.8917,193.5603
994.0581,198.4172
994.9959,203.3268
995.6801,208.2777
996.1154,213.2554
996.3182,218.2534
996.2937,223.2541
996.0350,228.2482
995.5182,233.2193
994.7414,238.1585
993.7003,243.0479
992.3640,247.8651
990.7042,252.5783
988.7426,257.1778
986.4919,261.6418
983.9275,265.9317
981.0233,269.9972
977.8271,273.8418
974.3520,277.4343
970.5757,280.7076
966.4894,283.5774
962.1331,286.0300
957.5895,288.1169
952.9053,289.8609
948.1056,291.2497
943.2004,292.2015
938.2336,292.7485
933.2412,292.9693
928.2458,292.9359
923.2570,292.6292
918.2958,292.0360
913.3756,291.1657
908.5131,290.0192
903.7250,288.5868
899.0262,286.8852
894.4251,284.9339
889.9325,282.7468
885.5817,280.2861
881.3717,277.5903
877.2703,274.7308
873.2426,271.7697
869.3095,268.6837
865.4870,265.4615
861.7447,262.1463
858.0489,258.7792
854.4208,255.3392
850.8661,251.8233
847.3447,248.2739
843.8171,244.7315
840.2991,241.1793
836.8006,237.6075
833.2855,234.0525
829.7169,230.5516
826.0981,227.1018
822.4451,223.6892
818.7425,220.3309
814.9755,217.0440
811.1541,213.8217
807.2825,210.6582
803.3472,207.5748
799.3339,204.5944
795.2458,201.7171
791.0928,198.9347
786.8665,196.2656
782.5611,193.7254
778.1878,191.3021
773.7581,188.9827
769.2598,186.7994
764.6790,184.7925
760.0175,182.9912
755.2884,181.3694
750.4954,179.9482
745.6425,178.7500
740.7381,177.7893
735.7936,177.0487
730.8215,176.5309
725.8315,176.2484
720.8358,176.2295
715.8475,176.5072
710.8790,177.0265
705.9314,177.7206
701.0050,178.5536
696.1289,179.6467
691.2855,180.8797
686.4354,182.0894
681.5492,183.1277
676.6414,184.0651
671.7100,184.8697
666.7487,185.4557
661.7637,185.7407
656.7676,185.7721
651.7769,185.5603
646.8066,185.0725
641.8794,184.2644
637.0213,183.1082
632.2457,181.6480
627.5543,179.9364
622.9434,178.0213
618.4142,175.9173
613.9902,173.6032
609.6962,171.0556
605.5663,168.2539
601.6147,165.1990
597.8362,161.9319
594.2260,158.4791
590.7895,154.8566
587.5865,151.0238
584.6272,146.9994
581.8204,142.8666
579.0638,138.6996
576.3690,134.4969
573.7678,130.2229
571.2170,125.9291
568.6490,121.6262
565.9662,117.4603
563.0916,113.3561
560.0906,109.3586
556.9299,105.4789
553.6005,101.7710
550.1179,98.1895
546.4777,94.7689
542.6620,91.5442
538.6705,88.5450
534.5253,85.7616
530.2283,83.2194
525.7867,80.9411
521.2136,78.9354
516.5364,77.1846
511.7728,75.6821
506.9372,74.4375
502.0379,73.4795
497.0879,72.8231
492.1095,72.4359
487.1182,72.2863
482.1264,72.3573
477.1447,72.6864
472.1835,73.2498
467.2485,74.0114
462.3450,74.9571
457.5049,76.1847
452.7093,77.5839
447.9204,79.0093
443.1011,80.3261
438.2778,81.6262
433.4477,82.9046
428.5905,84.0764
423.6931,85.0689
418.7772,85.9800
413.8399,86.7644
408.8706,87.3036
403.8774,87.4734
398.8813,87.2712
393.9073,86.7680
388.9662,86.0058
384.0658,85.0170
379.2171,83.7988
374.4359,82.3377
369.7371,80.6305
365.1379,78.6754
360.6429,76.4847
356.2617,74.0745
352.0101,71.4428
347.9138,68.5802
343.9854,65.4894
340.2339,62.1866
336.6839,58.6680
333.3650,54.9317
330.2870,50.9958
327.4462,46.8834
324.8690,42.6012
322.5909,38.1529
320.6518,33.5487
319.0337,28.8195
317.7023,24.0012
316.6369,19.1151
315.8764,14.1808
315.4597,9.1958
315.2874,4.1936
315.2903,-0.8043
315.4400,-5.7919
315.7258,-10.7829
316.0514,-15.7766
316.3468,-20.7719
316.6057,-25.7605
316.9146,-30.7514
317.1507,-35.7455
317.1785,-40.7439
316.9054,-45.7339
316.4204,-50.7087
315.7215,-55.6568
314.7924,-60.5655
313.6233,-65.4197
312.2355,-70.2157
310.6306,-74.9415
308.7995,-79.5833
306.7296,-84.1211
304.4268,-88.5456
301.9071,-92.8498
299.1815,-97.0265
296.2577,-101.0635
293.1373,-104.9522
289.8307,-108.6833
286.3432,-112.2450
282.6756,-115.6195
278.8305,-118.7898
274.8210,-121.7498
270.6636,-124.4981
266.3754,-127.0352
261.9557,-129.3403
257.4312,-131.4303
252.8248,-133.3355
248.1563,-135.0790
243.4201,-136.6358
238.6270,-138.0084
233.7915,-139.2265
228.9260,-140.3169
224.0322,-141.2794
219.1118,-142.0969
214.1680,-142.7672
209.2053,-143.2879
204.2275,-143.6492
199.2391,-143.8530
194.2462,-143.9182
189.2524,-143.8623
184.2614,-143.6825
179.2764,-143.3666
174.2994,-142.9352
169.3311,-142.4093
164.3704,-141.8070
159.4207,-141.1199
154.4863,-140.3270
149.5735,-139.4085
144.6886,-138.3504
139.8319,-137.1656
135.0040,-135.8678
130.2048,-134.4676
125.4339,-132.9728
120.6949,-131.3806
115.9921,-129.6839
111.3305,-127.8760
106.7153,-125.9535
102.1455,-123.9245
97.6250,-121.7885
93.1585,-119.5402
88.7539,-117.1761
84.4076,-114.7050
80.1281,-112.1212
75.9251,-109.4144
71.8103,-106.5770
67.7937,-103.5977
63.8657,-100.5040
60.0082,-97.3231
56.2041,-94.0771
52.4670,-90.7580
48.8048,-87.3559
45.2096,-83.8829
41.6692,-80.3533
38.1786,-76.7736
34.7454,-73.1391
31.3765,-69.4448
28.0804,-65.6859
24.8513,-61.8693
21.6871,-57.9979
18.6016,-54.0641
15.6086,-50.0590
12.7184,-45.9797
9.9229,-41.8345
7.2157,-37.6306
4.5937,-33.3738
2.0596,-29.0631
