x,z
-316.3792,198.0496
-312.2946,195.1732
-308.2209,192.2815
-304.1536,189.3797
-300.0889,186.4726
-296.0235,183.5639
-291.9539,180.6567
-287.8767,177.7526
-283.7957,174.8578
-279.7235,171.9835
-275.6416,169.1183
-271.5814,166.2848
-267.4350,163.4043
-263.3254,160.5584
-259.2199,157.7218
-255.0783,154.8653
-250.9630,152.0306
-246.8346,149.1897
-242.7108,146.3539
-238.5778,143.5128
-234.4476,140.6741
-230.3397,137.8504
-226.1842,134.9928
-222.0619,132.1556
-217.9939,129.3520
-213.8304,126.4762
-209.7204,123.6293
-205.6190,120.7827
-201.5281,117.9373
-197.4487,115.0934
-193.3487,112.2291
-189.2582,109.3674
-185.1666,106.5041
-181.0845,103.6502
-176.9635,100.7740
-172.8641,97.9139
-168.7653,95.0541
-164.6650,92.1930
-160.5653,89.3316
-156.4662,86.4700
-152.3669,83.6072
-148.2689,80.7441
-144.1705,77.8793
-140.0736,75.0132
-135.9775,72.1454
-131.8818,69.2767
-127.7872,66.4082
-123.6921,63.5398
-119.5963,60.6719
-115.4993,57.8052
-111.4014,54.9404
-107.3034,52.0766
-103.2051,49.2126
-99.1063,46.3489
-95.0066,43.4861
-90.9062,40.6249
-86.8047,37.7658
-82.7014,34.9090
-78.5959,32.0551
-74.4876,29.2048
-70.3763,26.3589
-66.2632,23.5167
-62.1483,20.6765
-58.0326,17.8375
-53.9166,14.9983
-49.8014,12.1579
-45.6881,9.3155
-41.5783,6.4711
-37.4682,3.6233
-33.3586,0.7741
-29.2496,-2.0762
-25.1417,-4.9271
-21.0341,-7.7789
-16.9265,-10.6317
-12.8193,-13.4849
-8.7129,-16.3382
-4.6182,-19.1838
-0.5057,-22.0433
3.6007,-24.8995
7.7094,-27.7581
11.8208,-30.6194
15.9323,-33.4812
20.0357,-36.3377
24.1339,-39.1908
28.2555,-42.0576
32.3633,-44.8911
36.4650,-47.7056
40.5636,-50.5601
44.6208,-53.4933
48.6380,-56.4635
52.6216,-59.4846
56.5461,-62.5809
60.3964,-65.7688
64.2061,-69.0101
67.9561,-72.3167
71.6091,-75.7311
75.1190,-79.2900
78.5173,-82.9580
81.8023,-86.7277
84.9172,-90.6384
87.7969,-94.7245
90.4086,-98.9862
92.7878,-103.3839
94.9440,-107.8950
96.8799,-112.5062
98.5866,-117.2035
100.0550,-121.9823
101.2757,-126.8305
102.2395,-131.7360
102.9287,-136.6857
103.3221,-141.6704
103.4718,-146.6681
103.4248,-151.6699
103.2125,-156.6616
102.7831,-161.6428
102.1453,-166.6016
101.3275,-171.5341
100.3457,-176.4282
99.1525,-181.2817
97.8018,-186.0986
96.3415,-190.8827
94.7979,-195.6387
93.1580,-200.3604
91.4161,-205.0465
89.5910,-209.6987
87.7022,-214.3252
85.7419,-218.9322
83.6914,-223.4879
81.5957,-228.0259
79.5060,-232.5672
77.4578,-237.1171
75.4358,-241.6850
73.4082,-246.2715
71.3966,-250.8370
69.3876,-255.4203
67.3907,-260.0064
65.4093,-264.5946
63.4425,-269.1936
61.4950,-273.7978
59.5657,-278.4033
57.6454,-283.0199
55.7325,-287.6424
53.8255,-292.2672
51.9227,-296.8917
50.0204,-301.5180
48.1165,-306.1455
46.2134,-310.7626
44.3082,-315.3836
42.4039,-320.0049
40.5011,-324.6279
38.6009,-329.2516
36.7039,-333.8766
34.8110,-338.5034
32.9228,-343.1325
31.0469,-347.7473
29.1707,-352.3842
27.2988,-357.0282
25.4312,-361.6742
23.5675,-366.3192
21.7083,-370.9587
19.8473,-375.6049
17.9779,-380.2705
16.1198,-384.8988
14.2554,-389.5494
12.4178,-394.1683
10.5671,-398.8007
8.6751,-403.4026
6.7681,-408.0473
4.9206,-412.6918
2.9765,-417.2965
0.7917,-421.7916
-1.6891,-426.1266
-4.3215,-430.3820
-7.1498,-434.5061
-10.2645,-438.4207
-13.7748,-441.9716
-17.6682,-445.1037
-21.8763,-447.8007
-26.3558,-450.0152
-31.0643,-451.6677
-36.0008,-452.4283
-40.9995,-452.3636
-45.9226,-451.5169
-50.5785,-449.7696
-54.7960,-447.0700
-58.6216,-443.8463
-62.1293,-440.2719
-65.2236,-436.4137
-67.8969,-432.1589
-70.3089,-427.7702
-72.5226,-423.2825
-74.4939,-418.6892
-76.0851,-413.9712
-77.4648,-409.1573
-78.7277,-404.3107
-79.9030,-399.4423
-80.9983,-394.5549
-81.9914,-389.6673
-82.8561,-384.7479
-83.5885,-379.8066
-84.2114,-374.8474
-84.7417,-369.8863
-85.1649,-364.8944
-85.5183,-359.8965
-85.8224,-354.8933
-86.0826,-349.9322
-86.1618,-344.9588
-86.0775,-339.9396
-85.8854,-334.9324
-85.5854,-329.9303
-85.1479,-324.9388
-84.5153,-319.9962
-83.6986,-315.0656
-82.7200,-310.1644
-81.6120,-305.2938
-80.4271,-300.4488
-79.0130,-295.6619
-77.3026,-290.9603
-75.3730,-286.3433
-73.2515,-281.8125
-70.9450,-277.3903
-68.4158,-273.0773
-65.7297,-268.8586
-62.9328,-264.7025
-60.0475,-260.6057
-57.0728,-256.5685
-54.0267,-252.6641
-50.8341,-248.8077
-47.5681,-245.0118
-44.2496,-241.2702
-40.8777,-237.5731
-37.4509,-233.9241
-33.9744,-230.3735
-30.3925,-226.8794
-26.7668,-223.4185
-23.1304,-219.9740
-19.5009,-216.5235
-15.9096,-213.0426
-12.4283,-209.4811
-9.0788,-205.7693
-5.9022,-201.9076
-2.9443,-197.8754
-0.2733,-193.6494
2.0440,-189.2274
4.0191,-184.6365
5.6208,-179.9024
6.7927,-175.0486
7.4540,-170.0967
7.5689,-165.1026
7.1248,-160.1263
6.1164,-155.2327
4.5100,-150.5031
2.3529,-145.9955
-0.1895,-141.6892
-3.0046,-137.5546
-6.0722,-133.6118
-9.4356,-129.9158
-13.0145,-126.4254
-16.7271,-123.0813
-20.5586,-119.8685
-24.5262,-116.8204
-28.5684,-113.8771
-32.6508,-110.9845
-36.7341,-108.0998
-40.8220,-105.2247
-44.9422,-102.3943
-49.1135,-99.6386
-53.3522,-96.9875
-57.6435,-94.4215
-61.9816,-91.9333
-66.3916,-89.5746
-70.9017,-87.4144
-75.5076,-85.4712
-80.1953,-83.7432
-84.9929,-82.3429
-89.8867,-81.3461
-94.8424,-80.6617
-99.8282,-80.2884
-104.8278,-80.3023
-109.7959,-80.8010
-114.7097,-81.7342
-119.5309,-83.0586
-124.2147,-84.8034
-128.6879,-87.0248
-132.9120,-89.6999
-136.8569,-92.7683
-140.4800,-96.2107
-143.7148,-100.0111
-146.4642,-104.1879
-148.8048,-108.6067
-150.8560,-113.1688
-152.7065,-117.8135
-154.3516,-122.5233
-155.7725,-127.3168
-157.0172,-132.1621
-158.1048,-137.0451
-159.0244,-141.9532
-159.7234,-146.9036
-160.2375,-151.8777
-160.6191,-156.8636
-160.9197,-161.8519
-161.1313,-166.8490
-161.2072,-171.8440
-161.1520,-176.8408
-160.9857,-181.8366
-160.6814,-186.8264
-160.2572,-191.8087
-159.7740,-196.7857
-159.2888,-201.7605
-158.8064,-206.7355
-158.2931,-211.7059
-157.7706,-216.6759
-157.2618,-221.6488
-156.7584,-226.6209
-156.2533,-231.5955
-155.7687,-236.5738
-155.3319,-241.5488
-154.9492,-246.5339
-154.6205,-251.5140
-154.3559,-256.4958
-154.1396,-261.4914
-153.9366,-266.4846
-153.7752,-271.4829
-153.6926,-276.4815
-153.7326,-281.4765
-153.8534,-286.4712
-154.0707,-291.4639
-154.4524,-296.4454
-155.0716,-301.4041
-155.9068,-306.3304
-156.9545,-311.2170
-158.2599,-316.0410
-159.8597,-320.7681
-161.8588,-325.3557
-164.2554,-329.7417
-167.0576,-333.8818
-170.3087,-337.6669
-174.0309,-340.9995
-178.1047,-343.8970
-182.4548,-346.3631
-187.0372,-348.3456
-191.8298,-349.7480
-196.7615,-350.5272
-201.7526,-350.7084
-206.7362,-350.3648
-211.6741,-349.6051
-216.5527,-348.5074
-221.3544,-347.1313
-226.0857,-345.5243
-230.7585,-343.7204
-235.3466,-341.7353
-239.8517,-339.5711
-244.2679,-337.2383
-248.5631,-334.7680
-252.7998,-332.0868
-256.9846,-329.3040
-261.1143,-326.4927
-265.2386,-323.6488
-269.3562,-320.7912
-273.4524,-317.9463
-277.5472,-315.0800
-281.6263,-312.1889
-285.6908,-309.2797
-289.7469,-306.3561
-293.7956,-303.4261
-297.8520,-300.4862
-301.8845,-297.5427
-305.9110,-294.5816
-309.9279,-291.6174
-313.9513,-288.6502
-317.9761,-285.6931
-322.0139,-282.7433
-326.0534,-279.8066
-330.1093,-276.8659
-334.1669,-273.9286
-338.2162,-270.9994
-342.2694,-268.0673
-346.3227,-265.1331
-350.3723,-262.1975
-354.4129,-259.2622
-358.4616,-256.3256
-362.5144,-253.3980
-366.5680,-250.4731
-370.6194,-247.5440
-374.6624,-244.6064
-378.6949,-241.6533
-382.7140,-238.6788
-386.7166,-235.6780
-390.7087,-232.6653
-394.6974,-229.6534
-398.6790,-226.6325
-402.6489,-223.5940
-406.6037,-220.5294
-410.5283,-217.4414
-414.4267,-214.3194
-418.2967,-211.1602
-422.1207,-207.9782
-425.9532,-204.7509
-429.7713,-201.5054
-433.5748,-198.2429
-437.3623,-194.9643
-441.1312,-191.6697
-444.8791,-188.3574
-448.6039,-185.0231
-452.3049,-181.6574
-455.9798,-178.2444
-459.6025,-174.7755
-463.1356,-171.2499
-466.5704,-167.6405
-469.8973,-163.9242
-473.1175,-160.1059
-476.2560,-156.2324
-479.3905,-152.3205
-482.4638,-148.3764
-485.4582,-144.3719
-488.3906,-140.3217
-491.2776,-136.2384
-494.1351,-132.1348
-496.9792,-128.0227
-499.7982,-123.9020
-502.5839,-119.7424
-505.3387,-115.5637
-508.0698,-111.3727
-510.7842,-107.1739
-513.4977,-102.9598
-516.1918,-98.7583
-518.8580,-94.5322
-521.4791,-90.2861
-524.0670,-86.0176
-526.6709,-81.7384
-529.2736,-77.4687
-531.8182,-73.1635
-534.2412,-68.7888
-536.4990,-64.3308
-538.6462,-59.8140
-540.6644,-55.2380
-542.5195,-50.5933
-544.1740,-45.8777
-545.6615,-41.1048
-546.9079,-36.2662
-547.8292,-31.3527
-548.2947,-26.3959
-548.1671,-21.3908
-547.6516,-16.4102
-546.8299,-11.4717
-545.6969,-6.6085
-544.1498,-1.8598
-542.1096,2.6912
-539.5577,6.9792
-536.5551,10.9607
-533.1631,14.6341
-529.4488,17.9731
-525.4308,20.9399
-521.1088,23.4332
-516.4987,25.3542
-511.7065,26.7567
-506.8045,27.7210
-501.8479,28.3074
-496.8531,28.4863
-491.8604,28.2808
-486.8917,27.7383
-481.9698,26.8805
-477.1295,25.6468
-472.3915,24.0535
-467.7439,22.2123
-463.1584,20.2165
-458.6385,18.0894
-454.2179,15.7566
-449.8827,13.2698
-445.6049,10.6846
-441.3724,8.0246
-437.2100,5.2553
-433.1060,2.4003
-429.0464,-0.5174
-425.0131,-3.4726
-421.0061,-6.4597
-417.0623,-9.5303
-413.2224,-12.7310
-409.5119,-16.0785
-405.8983,-19.5377
-402.3856,-23.0970
-398.9823,-26.7621
-395.7119,-30.5397
-392.5808,-34.4383
-389.5939,-38.4456
-386.7444,-42.5530
-384.0209,-46.7464
-381.4159,-51.0137
-378.9526,-55.3648
-376.6606,-59.8081
-374.5753,-64.3520
-372.7347,-68.9992
-371.0758,-73.7159
-369.5137,-78.4629
-367.9703,-83.2234
-366.5091,-88.0019
-365.1175,-92.7986
-363.7376,-97.6012
-362.3254,-102.3955
