x,z
1107.0031,556.8834
1107.3905,551.8824
1107.7811,546.9094
1108.1781,541.9345
1108.5814,536.9515
1108.9871,531.9908
1109.3989,526.9842
1109.8092,522.0204
1110.2231,517.0346
1110.6394,512.0435
1111.0574,507.0539
1111.4764,502.0725
1111.8978,497.0881
1112.3214,492.1021
1112.7474,487.1168
1113.1750,482.1494
1113.6073,477.1676
1114.0421,472.1875
1114.4792,467.2075
1114.9182,462.2273
1115.3583,457.2474
1115.7987,452.2683
1116.2390,447.2907
1116.6793,442.3098
1117.1238,437.3308
1117.5736,432.3535
1118.0258,427.3771
1118.4772,422.4005
1118.9253,417.4228
1119.3668,412.4450
1119.7986,407.4661
1120.2181,402.4853
1120.6218,397.5064
1121.0122,392.5227
1121.3926,387.5355
1121.7667,382.5479
1122.1371,377.5633
1122.5074,372.5780
1122.8822,367.5816
1123.2645,362.5945
1123.6553,357.6300
1124.0514,352.6382
1124.4497,347.6669
1124.8550,342.6734
1125.2661,337.6964
1125.6866,332.7252
1126.1226,327.7412
1126.5803,322.7636
1127.0635,317.7966
1127.5647,312.8365
1128.0706,307.8574
1128.5801,302.8868
1129.1013,297.9168
1129.6396,292.9488
1130.1967,287.9839
1130.7290,283.0160
1131.2759,278.0498
1131.9060,273.0945
1132.6837,268.1613
1133.5424,263.2421
1134.5020,258.3426
1135.6494,253.4853
1137.0663,248.7031
1138.6935,243.9854
1140.5200,239.3433
1142.6157,234.8179
1145.0543,230.4722
1147.8158,226.3223
1150.8523,222.3700
1154.1835,218.6609
1157.8301,215.2598
1161.8011,212.2389
1166.0284,209.5761
1170.4365,207.2218
1174.9781,205.1345
1179.6348,203.3314
1184.4076,201.8500
1189.2609,200.6564
1194.1711,199.7196
1199.1215,199.0520
1204.1047,198.6880
1209.1003,198.5676
1214.0968,198.6305
1219.0862,198.8574
1224.0613,199.2971
1229.0183,199.9058
1233.9587,200.6361
1238.8884,201.4695
1243.7732,202.4584
1248.6409,203.5588
1253.5029,204.6907
1258.3735,205.8179
