x,z
-231.3952,-57.7892
-229.7670,-62.4600
-228.1217,-67.1728
-226.4630,-71.9223
-224.8076,-76.6611
-223.1551,-81.3913
-221.5051,-86.1135
-219.8497,-90.8504
-218.2002,-95.5702
-216.5531,-100.2815
-214.9060,-104.9912
-213.2576,-109.7035
-211.6046,-114.4285
-209.9607,-119.1273
-208.3139,-123.8350
-206.6642,-128.5519
-205.0126,-133.2744
-203.3606,-137.9988
-201.7089,-142.7221
-200.0566,-147.4473
-198.4036,-152.1747
-196.7505,-156.9024
-195.0984,-161.6271
-193.4479,-166.3474
-191.7957,-171.0728
-190.1425,-175.8009
-188.4895,-180.5286
-186.8461,-185.2288
-185.1960,-189.9481
-183.5461,-194.6674
-181.8962,-199.3866
-180.2462,-204.1059
-178.5962,-208.8256
-176.9460,-213.5458
-175.2958,-218.2659
-173.6457,-222.9857
-171.9956,-227.7054
-170.3455,-232.4251
-168.7032,-237.1227
-167.0510,-241.8513
-165.3994,-246.5801
-163.7489,-251.3064
-162.1005,-256.0268
-160.4508,-260.7506
-158.7988,-265.4793
-157.1456,-270.2088
-155.4916,-274.9368
-153.8368,-279.6610
-152.1832,-284.3726
-150.5309,-289.0697
-148.8612,-293.8070
-147.2045,-298.4938
-145.5294,-303.2121
-143.8489,-307.9168
-142.1581,-312.6153
-140.4538,-317.3257
-138.7393,-322.0182
-136.9757,-326.6946
-135.1367,-331.3072
-133.2670,-335.9717
-131.3559,-340.6001
-129.3440,-345.1934
-127.1753,-349.6773
-124.9673,-354.1628
-122.6140,-358.5756
-119.9476,-362.8036
-116.8512,-366.7227
-113.4707,-370.4070
-109.8407,-373.8474
-105.9312,-376.9664
-101.7017,-379.6160
-97.1970,-381.7831
-92.4811,-383.4368
-87.5922,-384.4680
-82.6081,-384.7325
-77.6343,-384.2751
-72.7497,-383.2069
-68.0405,-381.5263
-63.6572,-379.1494
-59.7192,-376.0755
-56.2126,-372.5115
-53.1257,-368.5786
-50.5021,-364.3321
-48.4983,-359.7532
-47.0382,-354.9729
-45.9804,-350.0864
-45.2144,-345.1432
-44.7787,-340.1666
-44.7357,-335.1717
-45.0618,-330.1801
-45.6932,-325.2389
-46.6246,-320.3189
-47.7744,-315.4431
-49.0842,-310.6105
-50.5443,-305.8197
-52.1861,-301.0819
-53.8534,-296.4020
-55.5877,-291.7415
-57.4489,-287.0967
-59.4111,-282.4879
-61.4202,-277.9142
-63.4375,-273.3351
-65.4307,-268.7441
-67.3731,-264.1277
-69.2207,-259.4922
-70.9974,-254.8194
-72.7328,-250.1303
-74.4139,-245.4212
-76.0275,-240.6890
-77.5605,-235.9298
-78.9997,-231.1415
-80.3301,-226.3300
-81.5695,-221.4785
-82.7321,-216.6106
-83.8275,-211.7354
-84.8663,-206.8295
-85.8425,-201.9173
-86.7346,-197.0027
-87.4816,-192.0679
-88.0495,-187.1096
-88.4603,-182.1301
-88.7633,-177.1365
-88.8882,-172.1393
-88.8915,-167.1397
-88.8531,-162.1398
-88.8113,-157.1403
-88.6780,-152.1418
-88.5371,-147.1439
-88.4921,-142.1442
-88.6022,-137.1461
-88.7651,-132.1485
-89.0522,-127.1570
-89.5602,-122.1841
-90.3528,-117.2502
-91.3322,-112.3481
-92.5446,-107.4994
-94.0719,-102.7410
-95.9936,-98.1314
-98.2719,-93.6859
-100.8607,-89.4126
-103.7386,-85.3270
-106.8972,-81.4571
-110.3607,-77.8550
-114.0668,-74.5001
-117.9487,-71.3491
-121.9573,-68.3636
-126.1187,-65.5925
-130.4119,-63.0299
-134.8022,-60.6372
-139.2635,-58.3812
-143.8192,-56.3228
-148.4484,-54.4361
-153.1148,-52.6422
-157.7869,-50.8663
-162.4950,-49.1857
-167.2299,-47.5829
-171.9535,-45.9476
-176.6253,-44.1692
-181.2827,-42.3562
-185.9221,-40.5019
-190.4507,-38.3974
-194.7739,-35.8854
-198.8318,-32.9667
-202.5746,-29.6610
-205.8824,-25.9221
-208.5824,-21.7265
-210.5204,-17.1321
-211.7646,-12.2929
-212.3511,-7.3301
-212.2139,-2.3358
-211.2307,2.5511
-209.5339,7.2538
-207.2460,11.6975
-204.3704,15.7881
-200.8584,19.3180
-196.8285,22.2598
-192.4590,24.6698
-187.8379,26.5638
-183.0183,27.8179
-178.0640,28.3908
-173.0723,28.4847
-168.0817,28.2577
-163.1143,27.7760
-158.2046,26.9032
-153.3678,25.6718
-148.6009,24.2272
-143.8631,22.6379
-139.1713,20.8822
-134.5334,19.0460
-129.9009,17.1631
-125.2754,15.2719
-120.6376,13.3998
-115.9999,11.5743
-111.3537,9.7430
-106.7091,7.9084
-102.0632,6.0760
-97.4142,4.2514
-92.7588,2.4397
-88.0989,0.6384
-83.4483,-1.1887
-78.7991,-3.0222
-74.1413,-4.8328
-69.4630,-6.5920
-64.7549,-8.2702
-60.0091,-9.8400
-55.2364,-11.3278
-50.4419,-12.7448
-45.6262,-14.0884
-40.7896,-15.3561
-35.9334,-16.5455
-31.0587,-17.6542
-26.1670,-18.6916
-21.2614,-19.6576
-16.3409,-20.5451
-11.4058,-21.3463
-6.4565,-22.0531
-1.4947,-22.6562
3.4783,-23.1574
8.4601,-23.5637
13.4481,-23.8739
18.4410,-24.0867
23.4363,-24.2003
28.4330,-24.2129
33.4273,-24.1106
38.4177,-23.8832
43.4015,-23.5520
48.3790,-23.1381
53.3508,-22.6623
58.3190,-22.1452
63.2816,-21.5850
68.2338,-20.9388
73.1767,-20.2271
78.1139,-19.4746
83.0486,-18.7062
87.9852,-17.9468
92.9238,-17.2040
97.8579,-16.4319
102.7958,-15.6430
107.7372,-14.8561
112.6777,-14.0921
117.6187,-13.3784
122.5826,-12.7534
127.5459,-12.2184
132.5267,-11.7987
137.5087,-11.5142
142.5101,-11.3351
147.5090,-11.2507
152.5084,-11.2767
157.5060,-11.4272
162.4967,-11.7157
167.4795,-12.1313
172.4501,-12.6725
177.4038,-13.3507
182.3344,-14.1778
187.2363,-15.1603
192.1085,-16.2863
196.9484,-17.5434
201.7552,-18.9240
206.5198,-20.4333
211.2397,-22.0838
