x,z
1309.9082,-1029.7943
1305.8152,-1027.0129
1301.7070,-1024.2230
1297.5548,-1021.4041
1293.3726,-1018.5654
1289.2539,-1015.7707
1285.1028,-1012.9542
1280.9513,-1010.1378
1276.8059,-1007.3259
1272.6556,-1004.5107
1268.5248,-1001.7091
1264.3501,-998.8778
1260.2098,-996.0699
1256.1163,-993.2939
1251.9246,-990.4510
1247.7994,-987.6538
1243.6696,-984.8545
1239.5483,-982.0623
1235.4238,-979.2689
1231.2789,-976.4622
1227.1497,-973.6658
1223.0203,-970.8677
1218.9004,-968.0737
1214.7371,-965.2484
1210.5990,-962.4415
1206.4613,-959.6351
1202.3240,-956.8281
1198.1876,-954.0197
1194.0530,-951.2088
1189.9207,-948.3951
1185.7904,-945.5767
1181.6815,-942.7657
1177.5519,-939.9338
1173.4241,-937.0978
1169.3008,-934.2606
1165.1844,-931.4244
1161.0580,-928.5776
1156.9303,-925.7269
1152.8197,-922.8843
1148.6914,-920.0265
1144.5825,-917.2135
1140.4694,-914.4236
1136.3883,-911.5556
1132.3740,-908.5767
1128.3331,-905.6237
1124.2786,-902.7093
1120.2427,-899.7422
1116.2886,-896.6783
1112.4620,-893.4543
1108.8440,-890.0037
1105.4735,-886.3248
1102.2653,-882.4884
1099.2355,-878.5112
1096.3965,-874.3948
1093.7692,-870.1437
1091.3754,-865.7513
1089.2285,-861.2419
1087.2982,-856.6304
1085.6171,-851.9236
1084.2178,-847.1255
1083.1346,-842.2458
1082.4003,-837.3042
1082.0145,-832.3275
1081.9130,-827.3262
1082.0784,-822.3289
1082.5115,-817.3480
1083.2310,-812.3969
1084.2699,-807.5135
1085.6694,-802.7134
1087.2301,-797.9669
1088.9082,-793.2601
1090.7288,-788.6049
1092.7131,-784.0188
1094.8806,-779.5150
1097.2401,-775.1093
1099.7684,-770.7980
1102.4558,-766.5827
1105.2952,-762.4697
1108.2822,-758.4623
1111.4121,-754.5642
1114.6519,-750.7813
1117.9185,-746.9853
1121.1792,-743.1929
1124.4526,-739.4050
1127.7446,-735.6354
1131.0619,-731.8995
1134.4393,-728.1911
1137.8682,-724.5781
1141.4082,-721.0414
1145.0098,-717.5778
1148.6355,-714.1414
1152.2413,-710.6797
1155.7760,-707.1490
1159.2438,-703.5411
1162.6771,-699.9079
1166.0789,-696.2431
1169.4445,-692.5483
1172.7748,-688.8206
1176.0697,-685.0589
1179.3427,-681.2805
1182.5990,-677.4847
1185.8237,-673.6613
1189.0020,-669.7998
1192.1179,-665.8885
1195.1526,-661.9142
1198.1349,-657.9014
1201.1021,-653.8792
1204.0022,-649.8069
1206.7771,-645.6497
1209.3702,-641.3765
1211.7279,-636.9681
1213.8606,-632.4526
1215.8420,-627.8541
1217.6592,-623.1960
1219.3007,-618.4718
1220.7406,-613.6789
1221.9344,-608.8223
1222.8286,-603.9152
1223.4561,-598.9536
1223.8239,-593.9644
1223.9086,-588.9640
1223.6505,-583.9620
1222.9236,-579.0123
1221.6196,-574.2115
1219.9500,-569.4922
1218.0114,-564.8868
1215.7965,-560.3781
1213.2001,-556.1663
1210.2271,-552.1306
1207.0726,-548.2432
1203.7394,-544.5141
1200.1755,-540.9993
1196.4069,-537.7306
1192.5001,-534.6118
1188.4506,-531.6801
1184.2494,-528.9692
1179.8925,-526.5145
1175.3879,-524.3569
1170.7567,-522.4809
1166.0341,-520.8175
1161.2611,-519.3248
1156.4451,-517.9676
1151.6006,-516.7241
1146.7289,-515.5776
1141.8398,-514.5645
1136.9169,-513.7139
1131.9653,-513.0347
1126.9987,-512.5200
1122.0161,-512.1464
1117.0157,-511.9011
1112.0167,-511.8219
1107.0120,-511.8848
1102.0063,-512.0759
1097.0250,-512.3936
1092.0256,-512.8594
1087.1519,-513.5081
1082.1838,-514.3684
1077.2834,-515.3337
1072.3794,-516.3945
1067.5033,-517.5450
1062.6442,-518.8059
1057.8496,-520.2084
1053.1418,-521.8459
1048.4877,-523.6638
1043.8881,-525.6172
1039.3541,-527.7234
1034.9006,-529.9911
1030.5350,-532.4220
1026.2516,-535.0095
1022.0572,-537.7309
1017.9554,-540.5866
1013.9491,-543.5729
1010.0349,-546.6854
1006.2156,-549.9103
1002.5211,-553.2499
998.9114,-556.7242
995.3698,-560.2724
991.8791,-563.8740
988.4345,-567.5151
985.0314,-571.1954
981.7579,-574.8383
978.5462,-578.7211
975.4557,-582.6452
972.3984,-586.6331
969.3881,-590.6469
966.4248,-594.6923
963.5190,-598.7988
960.8101,-602.8802
958.1045,-607.0983
955.4211,-611.3403
952.7634,-615.5776
950.1119,-619.8306
947.4744,-624.0810
944.8354,-628.3511
942.2244,-632.5958
939.6242,-636.8621
937.0423,-641.1393
934.4747,-645.4294
931.9210,-649.7242
929.3739,-654.0260
926.8280,-658.3309
924.2769,-662.6313
921.7268,-666.9323
919.1885,-671.2404
916.6730,-675.5611
914.1906,-679.9019
911.7522,-684.2665
909.3006,-688.6240
906.8399,-692.9770
904.4186,-697.3516
902.0859,-701.7738
899.8938,-706.2671
897.8958,-710.8500
896.0509,-715.4969
894.3265,-720.1895
892.7469,-724.9330
891.3364,-729.7291
890.1172,-734.5765
889.1087,-739.4739
888.2902,-744.3994
887.6231,-749.3619
887.1145,-754.3378
886.7785,-759.3282
886.6429,-764.3320
886.7550,-769.3334
887.1743,-774.3030
887.9050,-779.2521
888.9742,-784.1313
890.3851,-788.9209
892.1014,-793.6106
894.0640,-798.2111
896.2690,-802.6948
898.6968,-807.0689
901.2928,-811.3463
904.0258,-815.5377
906.8755,-819.6472
909.8384,-823.6845
912.9012,-827.6206
916.1100,-831.4584
919.4539,-835.1717
922.9313,-838.7620
926.5292,-842.2297
930.2327,-845.5836
934.0268,-848.8488
937.8697,-852.0475
941.7560,-855.1852
945.6893,-858.2770
949.6419,-861.3184
953.6354,-864.3441
957.6218,-867.3318
961.6513,-870.3056
965.7021,-873.2537
969.7559,-876.1725
973.8263,-879.0787
977.9072,-881.9731
981.9936,-884.8564
986.0851,-887.7320
990.1780,-890.5995
994.2833,-893.4525
998.4000,-896.2885
1002.5256,-899.1119
1006.6568,-901.9265
1010.7912,-904.7367
1014.9261,-907.5469
1019.0592,-910.3616
1023.1854,-913.1826
1027.3105,-916.0070
1031.4363,-918.8309
1035.5626,-921.6552
1039.6881,-924.4795
1043.8127,-927.3044
1047.9366,-930.1307
1052.0597,-932.9592
1056.1809,-935.7895
1060.3042,-938.6230
1064.4238,-941.4537
1068.5406,-944.2838
1072.6588,-947.1173
1076.7728,-949.9518
1080.8809,-952.7873
1084.9883,-955.6277
1089.0952,-958.4739
1093.1952,-961.3212
1097.3047,-964.1806
1101.4115,-967.0423
1105.5167,-969.9063
1109.6218,-972.7723
1113.7258,-975.6400
1117.8289,-978.5085
1121.9305,-981.3776
1126.0316,-984.2470
1130.1335,-987.1178
1134.2322,-989.9863
1138.3240,-992.8486
1142.4115,-995.7073
1146.4974,-998.5661
1150.5900,-1001.4327
1154.6755,-1004.2998
1158.7625,-1007.1747
1162.8545,-1010.0607
1166.9376,-1012.9479
1171.0153,-1015.8371
1175.0955,-1018.7321
1179.1746,-1021.6300
1183.2491,-1024.5281
1187.3221,-1027.4283
1191.3965,-1030.3331
1195.4712,-1033.2418
1199.5446,-1036.1537
1203.6154,-1039.0684
1207.6815,-1041.9857
1211.7292,-1044.8976
1215.7732,-1047.8173
1219.8270,-1050.7538
1223.8727,-1053.6930
1227.9106,-1056.6332
1231.9484,-1059.5767
1235.9838,-1062.5192
1240.0195,-1065.4594
1244.0784,-1068.4128
1248.1156,-1071.3524
1252.1549,-1074.2959
1256.1920,-1077.2391
1260.2299,-1080.1831
1264.2722,-1083.1301
1268.3140,-1086.0754
1272.3481,-1089.0134
1276.3724,-1091.9419
1280.4230,-1094.8870
1284.4767,-1097.8328
1288.5303,-1100.7773
1292.5814,-1103.7195
1296.6273,-1106.6578
1300.6766,-1109.5988
1304.7290,-1112.5428
1308.7804,-1115.4874
1312.8258,-1118.4297
1316.8489,-1121.3593
1320.9135,-1124.3175
1324.9554,-1127.2534
1328.9961,-1130.1881
1333.0232,-1133.1234
1337.0521,-1136.0868
1341.0552,-1139.0784
1345.0576,-1142.0795
1349.0641,-1145.0806
1352.9950,-1148.1581
1356.7662,-1151.4327
1360.2804,-1154.9929
1363.2982,-1158.9686
1365.6149,-1163.3795
1367.2697,-1168.0974
1368.2279,-1172.9901
1368.6593,-1177.9746
1368.8922,-1182.9832
1369.1150,-1187.9805
1369.4827,-1192.9667
1370.1710,-1197.9315
1371.3048,-1202.7842
1372.7040,-1207.5836
1374.3066,-1212.3199
1376.0717,-1216.9980
1377.9609,-1221.6281
1379.9376,-1226.2212
1381.9889,-1230.7798
1384.1971,-1235.2651
1386.5352,-1239.6847
1388.9576,-1244.0585
1391.4204,-1248.4098
1393.8812,-1252.7626
1396.3083,-1257.1438
1398.7318,-1261.5104
1401.1747,-1265.8691
1403.6340,-1270.2159
1406.1077,-1274.5516
1408.5999,-1278.8922
1411.0903,-1283.2079
1413.6082,-1287.5203
1416.1465,-1291.8270
1418.6858,-1296.1157
1421.2256,-1300.4026
1423.7623,-1304.6957
1426.2887,-1308.9968
1428.7977,-1313.3081
1431.2803,-1317.6307
1433.7467,-1321.9709
1436.2048,-1326.3236
1438.6525,-1330.6847
1441.0881,-1335.0515
1443.5089,-1339.4213
1445.9225,-1343.8108
1448.3195,-1348.2090
1450.6899,-1352.6062
1453.0376,-1357.0186
1455.3579,-1361.4437
1457.6464,-1365.8857
1459.8965,-1370.3403
1462.1134,-1374.8164
1464.2954,-1379.3009
1466.4606,-1383.8127
1468.5942,-1388.3239
1470.6958,-1392.8468
1472.7595,-1397.3842
1474.7806,-1401.9393
1476.7544,-1406.5148
1478.6903,-1411.1079
1480.6166,-1415.7015
1482.5095,-1420.3075
1484.3418,-1424.9381
1486.0856,-1429.6035
1487.7122,-1434.3138
1489.2028,-1439.0719
1490.5903,-1443.8627
1491.8795,-1448.6836
1493.0675,-1453.5310
1494.1508,-1458.4049
1495.1245,-1463.3027
1495.9833,-1468.2238
1496.7278,-1473.1653
1497.3596,-1478.1235
1497.8800,-1483.0953
1498.2896,-1488.0779
1498.5890,-1493.0684
1498.7795,-1498.0634
1498.8658,-1503.0627
1498.8477,-1508.0625
1498.7206,-1513.0609
1498.4801,-1518.0553
1498.1212,-1523.0425
1497.6385,-1528.0187
1497.0275,-1532.9796
1496.2925,-1537.9264
1495.4412,-1542.8531
1494.4800,-1547.7603
1493.4143,-1552.6451
1492.2480,-1557.5084
1490.9701,-1562.3442
1489.5464,-1567.1346
1487.9987,-1571.8828
1486.3644,-1576.6046
1484.6875,-1581.3123
1483.0076,-1586.0122
1481.3384,-1590.7198
1479.6356,-1595.4454
1477.9213,-1600.1344
1476.1880,-1604.8265
1474.4419,-1609.5178
1472.6880,-1614.2043
1470.9309,-1618.8826
1469.1656,-1623.5736
1467.3997,-1628.2434
1465.5597,-1632.8890
1463.6615,-1637.5156
1461.7478,-1642.1372
1459.8701,-1646.7645
1458.0754,-1651.4376
1456.4358,-1656.1548
1455.0203,-1660.9791
1454.0725,-1665.8691
1453.7792,-1670.8457
1454.3003,-1675.8104
1455.6749,-1680.6073
1457.7664,-1685.1147
1460.5452,-1689.2823
1463.5753,-1693.2775
