x,z
358.7423,-182.8845
363.7411,-182.8816
368.7400,-182.8790
373.7389,-182.8767
378.7378,-182.8746
383.7366,-182.8729
388.7355,-182.8714
393.7344,-182.8703
398.7333,-182.8696
403.7322,-182.8692
408.7311,-182.8692
413.7300,-182.8695
418.7290,-182.8703
423.7279,-182.8715
428.7268,-182.8732
433.7257,-182.8753
438.7247,-182.8779
443.7236,-182.8810
448.7226,-182.8845
453.7216,-182.8886
458.7205,-182.8932
463.7195,-182.8983
468.7185,-182.9041
473.7175,-182.9103
478.7165,-182.9172
483.7155,-182.9247
488.7145,-182.9328
493.7136,-182.9415
498.7126,-182.9509
503.7117,-182.9609
508.7107,-182.9717
513.7098,-182.9831
518.7089,-182.9952
523.7080,-183.0078
528.7070,-183.0204
533.7060,-183.0324
538.7049,-183.0433
543.7037,-183.0526
548.7024,-183.0596
553.7009,-183.0639
558.6992,-183.0649
563.6973,-183.0622
568.6952,-183.0550
573.6928,-183.0430
578.6901,-183.0255
583.6871,-183.0020
588.6837,-182.9721
593.6793,-182.9229
598.6707,-182.7917
603.6542,-182.5029
608.6255,-181.9814
613.5709,-181.1848
618.4635,-180.1141
623.2757,-178.7734
627.9835,-177.1682
632.5917,-175.3181
637.1184,-173.2483
641.5815,-170.9845
645.9766,-168.5367
650.2484,-165.8810
654.3343,-162.9883
658.1721,-159.8298
661.7325,-156.3970
665.0617,-152.7276
668.2162,-148.8656
671.2476,-144.8535
674.1327,-140.7082
676.7900,-136.4268
679.1366,-132.0059
681.1090,-127.4461
682.7227,-122.7632
684.0132,-117.9774
685.0156,-113.1085
685.7655,-108.1766
686.2983,-103.2016
686.6492,-98.2036
686.8532,-93.2007
686.9414,-88.1987
686.9433,-83.1976
686.8883,-78.1975
686.8059,-73.1984
686.7256,-68.2004
686.6769,-63.2035
686.6869,-58.2077
686.7494,-53.2127
686.8325,-48.2179
686.9035,-43.2226
686.9299,-38.2264
686.8789,-33.2285
686.7181,-28.2285
686.4146,-23.2256
685.8097,-18.2629
684.2495,-13.5647
681.3333,-9.6825
677.1625,-7.5035
672.2092,-6.7739
667.2620,-5.9929
662.3640,-5.1358
657.2926,-4.6623
652.3194,-3.6470
647.9743,-1.1571
644.8811,2.4583
643.3443,6.7728
642.9592,11.5534
643.2300,16.5919
643.6814,21.6888
644.1129,26.7614
644.5213,31.8106
644.9073,36.8391
645.2720,41.8497
645.6161,46.8452
645.9407,51.8283
646.2465,56.8018
646.5346,61.7685
646.8057,66.7309
647.0608,71.6921
647.3009,76.6546
647.5267,81.6213
647.7393,86.5948
647.9395,91.5781
648.1458,96.5754
648.4123,101.5947
648.7977,106.6443
649.3425,111.7286
649.8434,116.7994
649.9226,121.7707
649.1986,126.5556
647.3986,131.0568
644.6404,135.1392
641.1290,138.6592
637.0686,141.4787
632.6279,143.6222
627.9348,145.3042
623.1148,146.7493
618.2806,148.1596
613.4633,149.5916
608.6612,151.0441
603.8728,152.5156
599.0966,154.0048
594.3309,155.5104
589.5742,157.0310
584.8248,158.5652
580.0814,160.1117
575.3421,161.6692
570.6056,163.2362
565.8701,164.8114
561.1342,166.3935
556.3962,167.9811
551.6546,169.5728
546.9087,171.1679
542.1610,172.7673
537.4147,174.3726
532.6728,175.9853
527.9387,177.6068
523.2154,179.2387
518.5062,180.8823
513.8115,182.5366
509.1146,184.1824
504.3918,185.7938
499.6197,187.3445
494.7863,188.7751
489.9025,189.9603
484.9818,190.7673
480.0388,191.0705
475.1000,190.8372
470.2005,190.0987
465.3752,188.8869
460.6594,187.2342
456.0881,185.1728
451.6965,182.7349
447.5193,179.9525
443.5842,176.8534
439.9107,173.4601
436.5176,169.7948
433.4240,165.8798
430.6486,161.7374
428.2105,157.3899
426.1286,152.8594
424.4228,148.1701
423.1187,143.3573
422.2445,138.4605
421.8280,133.5194
421.8973,128.5735
422.4804,123.6626
423.6052,118.8261
425.2930,114.1036
427.4831,109.5335
430.0614,105.1533
432.9124,101.0006
435.9506,97.1013
439.1893,93.4418
442.6623,90.0004
446.4021,86.7565
450.4030,83.7168
454.6172,80.9183
458.9950,78.3994
463.4887,76.1853
468.0633,74.2207
472.6886,72.4206
477.3347,70.7002
481.9850,68.9899
486.6478,67.2486
491.3344,65.4384
496.0440,63.5145
500.6389,61.3516
504.8926,58.7726
508.5771,55.5993
511.4856,51.6821
513.6542,47.1975
515.3067,42.4782
516.7703,37.6881
518.3131,32.9271
519.9464,28.2001
521.6298,23.4927
523.3235,18.7908
525.0068,14.0866
526.6788,9.3790
528.3395,4.6671
529.9893,-0.0499
531.6281,-4.7727
533.2563,-9.5022
534.8740,-14.2391
536.4900,-18.9787
538.1292,-23.7062
539.8178,-28.4060
541.5742,-33.0666
543.3249,-37.7266
544.9382,-42.4562
546.2816,-47.3262
547.0042,-52.3144
546.0901,-57.0794
543.3241,-60.8287
539.3936,-63.6062
534.7840,-65.8203
529.7858,-67.3886
524.6803,-68.2053
519.7126,-68.1918
514.9260,-67.4203
510.2938,-66.0148
505.7892,-64.0995
501.3856,-61.7987
497.0563,-59.2365
492.7744,-56.5372
488.5147,-53.8177
484.2659,-51.1207
480.0248,-48.4442
475.7887,-45.7859
471.5546,-43.1434
467.3198,-40.5143
463.0812,-37.8962
458.8361,-35.2867
454.5834,-32.6842
450.3236,-30.0883
446.0575,-27.4981
441.7856,-24.9131
437.5086,-22.3326
433.2272,-19.7561
428.9420,-17.1828
424.6536,-14.6123
420.3628,-12.0438
416.0702,-9.4767
411.7764,-6.9104
407.4822,-4.3443
403.1880,-1.7777
398.8947,0.7900
394.6027,3.3593
390.3124,5.9304
386.0234,8.5031
381.7358,11.0772
377.4493,13.6526
373.1639,16.2291
368.8794,18.8065
364.5957,21.3846
360.3127,23.9633
356.0302,26.5424
351.7482,29.1217
347.4664,31.7011
343.1848,34.2804
338.9032,36.8594
334.6215,39.4379
330.3395,42.0157
326.0573,44.5928
321.7745,47.1688
317.4911,49.7438
313.2070,52.3173
308.9220,54.8894
304.6361,57.4598
300.3490,60.0284
296.0606,62.5950
291.7709,65.1593
287.4797,67.7213
283.1869,70.2808
278.8922,72.8375
274.5957,75.3914
270.2972,77.9422
265.9968,80.4901
261.6945,83.0353
257.3907,85.5782
253.0855,88.1190
248.7792,90.6582
244.4720,93.1960
240.1641,95.7328
235.8556,98.2689
231.5468,100.8046
227.2380,103.3403
222.9292,105.8762
218.6208,108.4127
214.3129,110.9501
210.0057,113.4887
205.6995,116.0289
201.3945,118.5710
197.0908,121.1153
192.7887,123.6621
188.4884,126.2118
184.1900,128.7647
179.8939,131.3210
175.6002,133.8812
171.3091,136.4456
167.0208,139.0144
162.7356,141.5881
158.4536,144.1668
154.1751,146.7510
149.9002,149.3410
145.6293,151.9371
141.3619,154.5390
137.0971,157.1451
132.8338,159.7539
128.5709,162.3638
124.3072,164.9732
120.0418,167.5805
115.7734,170.1842
111.4991,172.7791
107.2107,175.3492
102.8987,177.8765
98.5538,180.3432
94.1666,182.7312
89.7278,185.0225
85.2280,187.1993
80.6586,189.2392
76.0153,191.0963
71.2952,192.7167
66.4955,194.0467
61.6202,195.0556
56.6850,195.7519
51.7069,196.1477
46.7031,196.2550
41.6945,196.0846
36.7039,195.6463
31.7544,194.9498
26.8650,194.0010
22.0438,192.7940
17.2964,191.3208
12.6289,189.5738
8.0538,187.5546
3.5900,185.2739
-0.7433,182.7429
-4.9268,179.9729
-8.9415,176.9751
-12.7681,173.7606
-16.3877,170.3407
-19.7988,166.7326
-23.0298,162.9634
-26.1118,159.0609
-29.0761,155.0533
-31.9539,150.9685
-34.7762,146.8344
-37.5743,142.6791
-40.3724,138.5244
-43.1742,134.3735
-45.9798,130.2266
-48.7892,126.0836
-51.6023,121.9445
-54.4191,117.8093
-57.2397,113.6781
-60.0640,109.5507
-62.8920,105.4274
-65.7238,101.3080
-68.5592,97.1925
-71.3984,93.0810
-74.2414,88.9734
-77.0880,84.8698
-79.9384,80.7702
-82.7923,76.6743
-85.6496,72.5814
-88.5100,68.4907
-91.3731,64.4015
-94.2387,60.3130
-97.1065,56.2244
-99.9762,52.1351
-102.8476,48.0441
-105.7203,43.9509
-108.5940,39.8546
-111.4685,35.7545
-114.3435,31.6497
-117.2187,27.5396
-120.0938,23.4235
-122.9620,19.2978
-125.7822,15.1456
-128.5013,10.9452
-131.0664,6.6748
-133.4247,2.3127
-135.5232,-2.1628
-137.3091,-6.7734
-138.7364,-11.5366
-139.8287,-16.4269
-140.6508,-21.3938
-141.2677,-26.3862
-141.7294,-31.3669
-142.0414,-36.3380
-142.2012,-41.3088
-142.2062,-46.2887
-142.0812,-51.2831
-141.9295,-56.2867
-141.8689,-61.2925
-142.0174,-66.2918
-142.4973,-71.2511
-143.4357,-76.1118
-144.9595,-80.8144
-147.1695,-85.2914
-150.0288,-89.4343
-153.4556,-93.1213
-157.3678,-96.2315
-161.6752,-98.7160
-166.2737,-100.6422
-171.0580,-102.0886
-175.9290,-103.1321
-180.8453,-103.8376
-185.7983,-104.2627
-190.7797,-104.4652
-195.7812,-104.5028
