x,z
1.9542,434.3600
-0.0444,434.3568
-2.0430,434.3475
-4.0416,434.3325
-6.0413,434.3118
-8.0427,434.2852
-10.0442,434.2524
-12.0459,434.2132
-14.0474,434.1674
-16.0490,434.1148
-18.0506,434.0552
-20.0518,433.9883
-22.0522,433.9138
-24.0518,433.8315
-26.0510,433.7409
-28.0495,433.6416
-30.0481,433.5335
-32.0469,433.4164
-34.0447,433.2902
-36.0412,433.1546
-38.0363,433.0098
-40.0303,432.8559
-42.0232,432.6933
-44.0151,432.5226
-46.0069,432.3439
-47.9981,432.1576
-49.9883,431.9641
-51.9778,431.7639
-53.9654,431.5576
-55.9521,431.3449
-57.9380,431.1259
-59.9245,430.9001
-61.9127,430.6671
-63.9002,430.4270
-65.8868,430.1795
-67.8717,429.9246
-69.8548,429.6619
-71.8367,429.3916
-73.8176,429.1141
-75.7927,428.8301
-77.7662,428.5395
-79.7389,428.2423
-81.7158,427.9382
-83.6974,427.6269
-85.6784,427.3089
-87.6583,426.9841
-89.6357,426.6525
-91.6079,426.3141
-93.5785,425.9679
-95.5474,425.6134
-97.5144,425.2502
-99.4791,424.8777
-101.4419,424.4962
-103.4029,424.1064
-105.3612,423.7088
-107.3171,423.3038
-109.2717,422.8914
-111.2253,422.4721
-113.1835,422.0448
-115.1408,421.6108
-117.0965,421.1704
-119.0502,420.7237
-120.9980,420.2716
-122.9425,419.8133
-124.8853,419.3483
-126.8267,418.8765
-128.7682,418.3974
-130.7078,417.9112
-132.6458,417.4180
-134.5820,416.9177
-136.5169,416.4103
-138.4500,415.8961
-140.3813,415.3749
-142.3105,414.8472
-144.2377,414.3130
-146.1633,413.7726
-148.0872,413.2261
-150.0090,412.6739
-151.9292,412.1163
-153.8479,411.5534
-155.7653,410.9856
-157.6810,410.4135
-159.5957,409.8376
-161.5094,409.2582
-163.4222,408.6757
-165.3334,408.0905
-167.2438,407.5025
-169.1536,406.9122
-171.0631,406.3196
-172.9731,405.7251
-174.8827,405.1294
-176.7921,404.5329
-178.7004,403.9341
-180.6072,403.3315
-182.5126,402.7235
-184.4161,402.1085
-186.3165,401.4853
-188.2139,400.8522
-190.1080,400.2079
-191.9982,399.5507
-193.8856,398.8878
-195.7710,398.2191
-197.6548,397.5454
-199.5370,396.8676
-201.4176,396.1860
-203.2972,395.5018
-205.1762,394.8159
-207.0545,394.1297
-208.9317,393.4449
-210.8096,392.7617
-212.6882,392.0800
-214.5679,391.3997
-216.4494,390.7206
-218.3308,390.0423
-220.2051,389.3436
-222.0778,388.6451
-223.9495,387.9452
-225.8203,387.2431
-227.6902,386.5389
-229.5594,385.8329
-231.4279,385.1253
-233.2968,384.4171
-235.1590,383.6874
-237.0208,382.9564
-238.8823,382.2245
-240.7437,381.4919
-242.6045,380.7584
-244.4650,380.0243
-246.3253,379.2891
-248.1855,378.5527
-250.0442,377.8118
-251.9011,377.0659
-253.7542,376.3149
-255.6034,375.5584
-257.4500,374.7950
-259.2939,374.0247
-261.1354,373.2471
-262.9744,372.4621
-264.8130,371.6694
-266.6491,370.8697
-268.4823,370.0632
-270.3126,369.2501
-272.1398,368.4306
-273.9644,367.6057
-275.7857,366.7766
-277.6039,365.9440
-279.4196,365.1089
-281.2328,364.2717
-283.0439,363.4334
-284.8499,362.5892
-286.6445,361.7360
-288.4290,360.8672
-290.2003,359.9787
-291.9542,359.0668
-293.6924,358.1254
-295.4237,357.1516
-297.1554,356.1446
-298.8737,355.1160
-300.5768,354.0703
-302.2664,353.0098
-303.9476,351.9348
-305.6217,350.8477
-307.2902,349.7513
-308.9507,348.6503
-310.6048,347.5424
-312.2545,346.4253
-313.8990,345.2986
-315.5402,344.1602
-317.1751,343.0110
-318.8025,341.8514
-320.4218,340.6805
-322.0304,339.4989
-323.6292,338.3023
-325.2165,337.0883
-326.7904,335.8553
-328.3476,334.6023
-329.8913,333.3238
-331.4176,332.0198
-332.9206,330.6923
-334.3948,329.3431
-335.8464,327.9701
-337.2779,326.5749
-338.6914,325.1594
-340.0889,323.7258
-341.4720,322.2762
-342.8407,320.8145
-344.1975,319.3424
-345.5425,317.8636
-346.8740,316.3718
-348.1859,314.8651
-349.4754,313.3387
-350.7459,311.7924
-351.9976,310.2291
-353.2301,308.6521
-354.4450,307.0618
-355.6431,305.4603
-356.8260,303.8484
-358.0073,302.2358
-359.1809,300.6172
-360.3483,298.9939
-361.5103,297.3660
-362.6691,295.7351
-363.8244,294.1025
-364.9779,292.4690
-366.1277,290.8339
-367.2721,289.1951
-368.4092,287.5510
-369.5367,285.9001
-370.6524,284.2411
