x,z
713.3670,653.3020
706.4050,658.4970
699.3260,663.7780
692.1010,669.1690
685.6700,673.9660
679.1390,678.8390
672.5230,683.7750
665.8060,688.7860
659.0110,693.8550
652.1290,698.9900
645.1870,704.1700
638.2020,709.3850
631.1260,714.6660
623.9640,720.0090
616.7390,725.3990
609.4550,730.8330
602.1370,736.2940
594.7840,741.7840
587.3780,747.3120
579.9100,752.8840
573.4790,757.6810
567.0260,762.4950
560.5520,767.3250
554.0650,772.1650
547.5500,777.0250
541.0020,781.9110
534.4230,786.8190
527.7770,791.7790
521.0660,796.7870
514.0040,802.0570
507.3690,807.0040
500.8620,811.8570
494.3200,816.7350
487.7670,821.6150
481.1690,826.5200
474.6280,831.3970
468.0940,836.2720
461.5540,841.1490
455.0310,846.0130
448.4870,850.8960
441.9530,855.7700
435.4190,860.6430
428.8810,865.5120
422.3460,870.3840
415.8120,875.2580
409.2790,880.1270
402.7720,884.9810
396.2450,889.8410
389.7000,894.7140
383.1660,899.5870
376.6320,904.4610
370.0960,909.3370
363.5660,914.2070
357.0960,919.0280
350.5840,923.8830
344.0450,928.7570
337.5130,933.6190
330.9320,938.5260
324.0430,943.6730
317.5140,948.5510
311.0870,953.3390
304.6570,958.1390
298.1350,963.0220
291.5880,967.8650
284.9750,972.5600
278.0680,977.1520
271.1190,981.5990
263.8880,986.2130
256.8250,990.7210
249.7230,995.2540
242.8450,999.6650
235.9140,1004.1000
228.8810,1008.6000
222.0230,1013.0000
214.7850,1017.6700
207.9430,1022.0600
200.5750,1026.6900
193.1790,1030.6000
185.0930,1032.3900
176.9910,1029.8600
171.3250,1023.7600
169.6960,1015.8100
171.5850,1007.7000
174.1850,999.7050
176.9920,991.6440
179.9210,983.4550
182.8520,975.5200
185.7830,967.6310
188.6850,959.8040
191.5290,952.1230
194.3240,944.5700
197.3580,936.3710
200.2730,928.5070
203.0950,920.8900
206.0410,912.9420
208.9270,905.1540
211.8820,897.1770
214.7620,889.4050
217.7390,881.3690
220.5590,873.7720
223.3520,866.2290
225.9080,858.5520
227.8470,850.5100
229.0350,842.4190
229.4650,834.3260
229.2360,825.7480
228.4580,817.6710
227.1430,809.7580
225.2990,801.9590
222.9190,794.3250
220.0320,786.8610
216.6410,779.6100
212.7630,772.5950
208.3990,765.8380
203.5670,759.4010
197.8380,752.8280
191.9260,747.1150
185.1460,741.7360
178.0260,736.9250
170.7670,732.2740
163.8370,727.7950
156.8000,723.2480
149.5170,718.5420
142.4830,713.9950
135.6060,709.5500
128.4850,704.9460
121.1900,700.2290
113.7900,695.4420
106.3640,690.6420
98.9867,685.8730
91.7238,681.1790
84.6481,676.6060
77.8401,672.2050
70.8418,667.6820
63.8353,663.1530
56.6327,658.4980
49.6763,654.0040
42.5680,649.4480
35.8574,644.8550
29.2706,639.5050
23.2823,633.5520
17.9203,627.0740
13.1878,620.0680
9.1936,612.7240
6.0342,605.2790
3.1922,597.4670
0.3090,589.4390
-2.6015,581.3290
-5.5147,573.3760
-8.5316,565.8420
-12.0591,558.6530
-16.3503,551.6280
-21.4554,545.2840
-27.3549,539.8440
-33.9999,535.2070
-41.1810,531.2920
-48.5433,527.9490
-56.0425,524.8270
-63.6183,521.7490
-71.1711,518.6140
-78.7447,514.8440
-85.7552,510.2440
-92.0673,504.7480
-97.6179,498.3930
-102.3160,491.2800
-106.0660,483.6100
-108.4830,475.8450
-110.0060,467.5350
-111.0150,458.8570
-111.7210,450.4910
-112.4910,441.9530
-113.5450,433.3360
-115.0510,424.9350
-117.1540,416.8060
-119.9560,408.8540
-123.3290,401.5580
-127.7490,394.0470
-132.6380,387.4500
-138.3600,381.0590
-144.1690,375.4150
-150.2550,370.0410
-156.6140,364.9610
-163.2120,360.2050
-170.0210,355.7980
-177.0710,351.7220
-184.3650,347.9850
-192.3280,344.3920
-200.4440,341.2800
-208.5250,338.9280
-216.5780,337.6440
-224.6300,337.3790
-232.6620,338.0890
-240.6070,339.7940
-248.5860,342.6410
-256.0460,345.7190
-264.1210,349.1590
-272.0280,352.5010
-279.7850,355.7790
-287.3100,358.9590
-295.1820,362.2850
-302.5820,365.4130
-309.9650,368.5340
-317.7410,371.8200
-325.3010,375.0160
-332.9460,378.2520
-340.9880,381.6710
-348.7150,384.6800
-356.7780,385.6640
-364.7080,383.9820
-371.9770,380.1660
-378.8720,375.7910
-385.5870,371.1730
-392.1100,366.3130
-398.4380,361.2090
-404.5700,355.8630
-410.4810,350.2830
-416.1660,344.4830
-421.6300,338.4670
-426.8580,332.2470
-431.8470,325.8290
-436.5990,319.1970
-441.0510,312.3450
-445.8720,305.3780
-451.2810,299.0210
-457.5810,293.7090
-464.9450,289.2030
-472.7480,285.9570
-480.8600,283.9590
-489.1580,283.1780
-497.4420,283.6010
-505.5840,285.2100
-513.4300,288.0050
-520.8200,291.9910
-527.7190,297.2790
-533.7870,303.4480
-538.4060,310.1290
-542.4550,317.7330
-546.9080,324.7700
-553.2240,330.0530
-560.9770,332.9680
-569.4770,333.3320
-577.3250,331.7030
-585.3940,329.7470
-593.2620,327.8080
-601.7490,325.7330
-609.5200,323.8330
-618.0670,321.7430
-626.2440,319.7440
-634.7230,317.6710
-642.5470,315.7580
-650.5130,313.8110
-658.5210,311.8530
-666.5200,309.8980
-674.4450,307.9600
-682.2380,306.0550
-690.6700,303.9930
-698.7580,302.0150
-706.9960,300.0020
-715.6140,297.8950
-723.4120,295.9890
