x,z
-594.8590,-447.8460
-598.8180,-449.4820
-602.7840,-451.1210
-606.7510,-452.7610
-610.7180,-454.4000
-614.6840,-456.0390
-618.6510,-457.6790
-622.6170,-459.3180
-626.5840,-460.9570
-630.5500,-462.5970
-634.5170,-464.2360
-638.4830,-465.8750
-642.4500,-467.5150
-646.4170,-469.1540
-650.3830,-470.7930
-654.3500,-472.4330
-658.3160,-474.0720
-662.2830,-475.7110
-666.2500,-477.3510
-670.2160,-478.9900
-674.1830,-480.6290
-678.1490,-482.2690
-682.1160,-483.9080
-686.0820,-485.5470
-689.7120,-487.0470
-694.0460,-488.8330
-697.8860,-490.4140
-701.7270,-491.9950
-705.5670,-493.5770
-709.4080,-495.1580
-713.2480,-496.7400
-717.0890,-498.3210
-720.9290,-499.9020
-724.7700,-501.4840
-728.6100,-503.0650
-732.4510,-504.6470
-736.2920,-506.2280
-740.1320,-507.8090
-743.9720,-509.3910
-747.8130,-510.9720
-751.6530,-512.5540
-755.4940,-514.1350
-759.3340,-515.7160
-763.1750,-517.2980
-767.0160,-518.8790
-770.8560,-520.4610
-774.6970,-522.0420
-778.5370,-523.6240
-782.3780,-525.2050
-786.2180,-526.7860
-790.0590,-528.3680
-793.8990,-529.9490
-797.7400,-531.5310
-801.5800,-533.1120
-805.4210,-534.6930
-809.2610,-536.2750
-813.1020,-537.8560
-816.9420,-539.4380
-820.7830,-541.0190
-824.6230,-542.6000
-828.4640,-544.1820
-832.3040,-545.7630
-836.1450,-547.3440
-839.9850,-548.9260
-843.8250,-550.5070
-847.6660,-552.0890
-851.5070,-553.6700
-855.3740,-555.2620
-859.2740,-556.8710
-863.0090,-558.4150
-866.9590,-560.0500
-870.7660,-561.6330
-874.6240,-563.2510
-878.3690,-565.0420
-881.6910,-567.5220
-884.3820,-570.6990
-886.2810,-574.3470
-887.3520,-578.3280
-887.5380,-582.4520
-886.8110,-586.5160
-885.5060,-590.5240
-884.1460,-594.4810
-882.8280,-598.2670
-881.4050,-602.3210
-879.9910,-606.3490
-878.5780,-610.3780
-877.1650,-614.4070
-875.7510,-618.4350
-874.3380,-622.4640
-872.9240,-626.4920
-871.5100,-630.5210
-870.0880,-634.5770
-868.6460,-638.6660
-867.2580,-642.5630
-865.8390,-646.4360
-864.3190,-650.2810
-862.7060,-654.0890
-861.0680,-657.8880
-859.4470,-661.6230
-857.8350,-665.3130
-856.2170,-669.0000
-854.5880,-672.7100
-852.9600,-676.4200
-851.3320,-680.1300
-849.7030,-683.8390
-848.0750,-687.5490
-846.4470,-691.2590
-844.8190,-694.9690
-843.1900,-698.6790
-841.5620,-702.3880
-839.9330,-706.0980
-838.3050,-709.8080
-836.6770,-713.5180
-835.0480,-717.2270
-833.4200,-720.9370
-831.7920,-724.6470
-830.1630,-728.3570
-828.5350,-732.0670
-826.9070,-735.7760
-825.2780,-739.4860
-823.6500,-743.1960
-822.0220,-746.9060
-820.3940,-750.6160
-818.7650,-754.3260
-817.1370,-758.0360
-815.5080,-761.7450
-813.8800,-765.4550
-812.2490,-769.1720
-810.5210,-773.1120
-808.8950,-776.8400
-807.2720,-780.5580
-805.6500,-784.2760
-804.0270,-787.9940
-802.4050,-791.7120
-800.7820,-795.4300
-799.1600,-799.1480
-797.5540,-802.8660
-795.9510,-806.5840
-794.3490,-810.3030
-792.7460,-814.0200
-791.1430,-817.7390
-789.5410,-821.4570
-787.9380,-825.1750
-786.3380,-828.8970
-784.7410,-832.6230
-783.1450,-836.3500
-781.5480,-840.0770
-779.9510,-843.8030
-778.3550,-847.5290
-776.7580,-851.2560
-775.1620,-854.9820
-773.5680,-858.7090
-771.9750,-862.4350
-770.3810,-866.1620
-768.7870,-869.8890
-767.1940,-873.6150
-765.6000,-877.3410
-763.9050,-881.3100
-762.2710,-885.0650
-760.0720,-888.4920
-756.7270,-890.8280
-752.7490,-891.6950
-748.7390,-890.9470
-744.8400,-889.5220
-740.9780,-888.0460
-737.1570,-886.6100
-733.0460,-885.0970
-729.2900,-883.6960
-724.7830,-882.0110
-720.9990,-880.5950
-717.2180,-879.1810
-713.4360,-877.7660
-709.6550,-876.3520
-705.8730,-874.9370
-702.0910,-873.5220
-698.3100,-872.1080
-694.5280,-870.6930
-690.7460,-869.2780
-686.9650,-867.8630
-683.1830,-866.4490
-679.4020,-865.0340
-675.6200,-863.6200
-671.8380,-862.2050
-668.0570,-860.7900
-664.2750,-859.3760
-660.4940,-857.9610
-656.7120,-856.5460
-652.9310,-855.1320
-649.1490,-853.7170
