x,z
140.1770,452.0450
149.8170,444.1330
159.9180,435.8340
169.4910,427.8610
179.0640,419.8790
188.4590,412.0920
197.8530,404.3810
207.4340,396.4970
217.0030,388.6170
226.7260,380.5700
236.1510,372.6860
245.7970,364.7480
255.5320,356.7340
265.0770,348.8690
274.4250,341.1950
283.7780,333.5070
293.1400,325.7970
302.6310,317.9870
312.1840,310.1560
322.0560,302.0260
331.8610,293.9860
341.4330,286.1150
351.1980,278.0720
361.0370,269.9480
370.5040,262.1390
379.9240,254.3730
389.3600,246.5870
398.7980,238.7910
408.3270,230.9360
417.8270,223.1060
427.5940,215.0590
437.0620,207.2110
446.7650,199.1390
456.5060,191.0360
466.0080,183.1310
475.6590,175.1020
485.3510,167.0380
494.7530,159.2160
504.5030,151.1040
514.0150,143.1910
523.9320,134.9410
533.5120,126.9710
543.2760,118.8470
553.0400,110.7250
563.1860,102.2840
573.0250,94.0980
582.4860,86.2364
592.5700,77.8485
600.9690,68.6283
605.8920,56.8646
604.4440,44.2484
597.0460,33.8725
585.8230,27.8162
573.0050,26.9046
560.0470,27.6606
547.5590,28.4847
534.4590,29.4526
521.5410,30.4381
509.0580,31.7478
496.5470,33.6104
483.7800,36.4779
471.2330,40.2111
459.3670,44.2698
447.2510,49.0845
435.6320,54.1977
424.3070,59.8149
412.9130,66.2861
402.3940,73.3083
392.1890,80.8657
382.4320,88.6979
372.3510,97.1123
362.6900,105.2430
353.1350,113.3600
343.5480,121.3630
333.9780,129.2690
324.5880,137.0000
314.9110,144.9800
305.1910,153.0810
295.5810,161.0230
285.6600,169.2220
276.2700,176.9750
266.9020,184.6990
257.4080,192.5520
247.5840,200.6480
237.8570,208.7740
228.1300,216.8130
217.4310,223.5530
205.2280,226.8300
192.3940,227.3880
179.8240,224.8850
168.4690,218.8820
158.9560,210.4590
152.0350,200.2180
147.9820,188.5030
146.9140,175.9080
148.9780,163.4510
153.7140,151.4780
159.8530,140.1260
165.8380,128.8300
171.5760,118.0950
177.2340,107.4010
183.0030,96.3900
188.7650,85.3663
194.6410,74.1958
200.2690,62.9214
203.7300,50.9085
203.2760,38.2529
199.8220,26.0044
194.5850,14.4646
188.4730,2.9816
182.5600,-8.1427
176.6240,-19.3414
170.8650,-29.9893
164.9390,-41.1324
159.1520,-52.1586
153.0620,-63.2282
147.2390,-73.9989
141.5000,-84.6908
135.9160,-95.4539
130.3050,-106.1650
124.6870,-116.9520
118.9650,-127.9500
113.0710,-139.2990
107.3380,-150.2900
101.5750,-161.3060
95.8561,-172.3340
90.2565,-183.1220
84.1817,-194.7860
78.4371,-205.8590
72.5979,-217.0940
66.8551,-228.1800
60.9438,-239.5420
55.1275,-250.7090
49.3130,-261.6730
43.1139,-272.6340
36.6003,-283.4750
30.0596,-293.6440
23.1542,-303.5630
15.9556,-313.3060
8.4259,-322.9070
0.0720,-332.9100
-8.3277,-342.4880
-16.9783,-352.0080
-25.3421,-361.9650
-29.6244,-373.9660
-29.0427,-386.5660
-26.4015,-399.0140
-23.5024,-410.6890
-20.5649,-422.5530
-17.5485,-434.5470
-14.5084,-446.6580
-11.4822,-458.7370
-8.5253,-470.5260
-5.6323,-482.2710
-2.6670,-493.9870
0.2839,-505.7340
3.2420,-517.4930
6.4578,-530.1690
9.3409,-542.4750
10.8573,-555.2170
9.9275,-567.8940
6.1359,-580.0680
-0.2628,-591.2010
-9.0757,-600.6770
-19.6812,-608.2330
-31.5930,-613.4310
-44.2064,-615.7640
-56.9940,-615.4520
-69.4323,-612.6160
-81.0050,-607.1710
-91.9494,-600.5560
-102.8600,-593.6090
-113.1790,-586.4380
-123.3050,-578.7640
-133.1960,-570.2950
-142.6670,-561.3950
-151.5230,-552.4890
-160.0980,-543.3930
-168.6320,-534.0470
-176.8860,-524.8820
-185.2290,-515.5500
-193.5610,-506.2140
-201.8320,-496.9680
-210.0480,-487.7630
-218.4180,-478.3990
-227.1680,-468.5770
-235.8340,-458.8200
-244.3330,-449.4590
-251.5620,-439.8020
-254.0250,-427.0360
-248.5710,-415.4790
-239.2880,-406.1760
-233.2150,-395.3290
-234.2790,-382.6330
-236.9620,-370.9130
-239.9890,-358.6900
-243.0250,-346.4860
-245.8750,-334.6720
-248.7590,-322.6710
-251.6470,-310.7540
-254.6050,-298.5950
-257.5260,-286.5360
-260.4920,-274.3090
-263.5490,-261.6400
-266.6890,-249.0480
-272.2220,-237.5270
-280.8050,-228.5510
-291.8770,-222.4240
-304.0890,-219.7470
-316.3710,-217.8450
-328.5880,-216.0200
-340.7770,-214.1310
-353.4250,-212.1270
-365.6100,-210.2340
-378.1190,-207.3800
-389.5840,-201.9210
-399.6020,-193.6740
-406.9770,-183.1910
-411.3460,-171.1820
-412.4720,-158.5060
-411.0350,-145.6710
-409.0410,-133.5970
-407.0010,-121.2200
-405.0080,-109.1020
-402.9700,-96.9245
-400.9380,-84.9215
-399.0150,-73.0000
-396.9630,-60.3471
-394.9910,-47.9069
-393.0860,-35.8737
-391.1260,-22.9747
-389.9510,-10.0483
-390.3820,2.7596
-392.5300,15.4515
-396.2680,27.8373
-401.6940,39.4931
-408.1710,50.5071
-414.7020,60.9999
-421.1920,71.2020
-427.6260,81.3787
-434.2480,91.7650
-440.8550,102.1330
-447.6660,112.8930
-454.5130,123.7100
-460.7220,134.4670
-465.2320,146.2080
-467.1030,158.9040
-466.8090,171.8270
-464.3900,184.3270
-459.7470,195.9770
-453.1300,206.6740
-445.1400,216.1590
-436.1240,225.8430
-427.5090,235.1570
-419.1040,244.2630
-410.9470,253.1140
-402.5730,262.1730
-393.9570,271.2740
-385.4240,280.3100
-376.9110,289.3890
-368.5340,298.4440
-360.0360,307.6760
-351.5860,316.8250
-343.2540,325.7780
-335.0890,334.5900
-326.7590,343.6080
-318.2680,352.7670
-309.5590,361.9990
-300.9580,371.1040
-292.3130,380.4960
-283.9950,389.5330
-275.0350,399.0280
-266.0920,408.4950
-257.5660,417.7580
-249.2280,426.5210
-240.3040,436.1040
-231.3760,445.6020
-222.3760,455.0500
-213.6310,464.2800
-204.3690,472.8090
-192.2190,476.7910
-179.4130,473.8780
-169.7530,465.9850
-161.3250,456.3130
-152.8550,446.7320
-144.6660,437.3400
-136.3390,427.6610
-128.1930,418.3300
-119.8250,408.7970
-111.5320,399.3290
-103.1090,389.8920
-94.2647,381.0770
-84.7913,372.7550
-75.0870,364.6820
-65.6983,356.8690
-55.6694,348.8700
-45.7459,341.1390
-35.2284,334.3980
-22.7018,331.5380
-9.9913,332.4710
1.7126,337.2100
11.5976,345.5830
18.1399,356.8370
20.6044,369.7090
18.7870,382.4570
12.8589,394.1360
4.2652,403.1540
-5.1493,411.0780
-14.8140,419.0210
-24.5403,427.1230
-33.9939,434.9730
-43.2179,442.6380
-52.4860,450.3390
-61.7751,458.0730
-71.5536,466.2270
-81.1917,474.2190
-91.1841,482.5030
-100.7890,491.1870
-108.5960,500.9240
-113.8630,512.4880
-116.0340,524.8970
-115.8740,537.5170
-113.3820,549.9330
-108.2570,561.5760
-100.5600,571.9220
-91.1383,580.4190
-80.4268,586.7630
-68.3153,590.9590
-55.4282,592.7830
-42.9148,592.1670
-30.6144,588.7600
-19.4323,582.8310
-9.5808,575.5850
0.1158,567.7080
9.7007,559.8290
19.1081,552.0480
28.4246,544.3810
37.9781,536.5420
47.7087,528.4380
57.4536,520.3280
66.8728,512.5330
76.2487,504.7490
86.3793,496.4400
95.7172,488.7510
105.4230,480.7390
114.8890,472.9330
124.9320,464.6520
134.8970,456.4100
