x,z
-304.9380,-186.6980
-299.2340,-177.8550
-293.4750,-168.9400
-287.5890,-159.8280
-281.6560,-150.6430
-276.2240,-142.2340
-270.7600,-133.7740
-265.2670,-125.2710
-259.7500,-116.7300
-254.2130,-108.1580
-248.6590,-99.5603
-243.0940,-90.9443
-237.5190,-82.3144
-231.9510,-73.6926
-226.0910,-64.5793
-220.1940,-55.4126
-214.2590,-46.2032
-208.7610,-37.6801
-202.8870,-28.5773
-196.9260,-19.3400
-190.9940,-10.1446
-185.5370,-1.6846
-180.0060,6.8911
-174.3760,15.6193
-168.5200,24.6991
-162.7130,33.7015
-156.8930,42.7251
-151.0080,51.8507
-145.0620,61.0698
-139.6070,69.5286
-134.1010,78.0666
-128.5760,86.6339
-122.7890,95.6075
-116.9700,104.6310
-111.0330,113.8390
-105.2430,122.8170
-99.4476,131.8040
-93.6152,140.8490
-88.1859,149.2690
-82.7465,157.7050
-77.2834,166.1770
-71.7981,174.6840
-66.2798,183.2420
-60.3220,192.4820
-54.7486,201.1250
-49.0067,210.0310
-43.2280,218.9930
-37.4348,227.9780
-31.6287,236.9820
-25.8113,246.0050
-19.9881,255.0360
-14.0520,264.2420
-8.5504,272.7750
-2.7691,281.7410
3.0287,290.7330
8.8280,299.7280
14.6272,308.7220
20.4247,317.7140
26.2190,326.7000
32.0084,335.6790
37.7914,344.6480
43.5662,353.6040
49.3315,362.5460
55.1042,371.4990
60.6719,380.1330
66.3016,388.8640
72.0099,397.7170
77.6547,406.4720
83.2829,415.2000
88.8907,423.8970
94.4767,432.5600
100.0390,441.1860
105.5770,449.7740
111.0870,458.3200
116.5690,466.8200
122.0380,475.2990
127.5580,483.8700
133.3280,492.9020
139.8560,501.6980
148.2120,508.8320
157.5620,513.1120
168.2370,515.0160
178.2170,514.2030
188.5170,510.6910
197.9080,505.1600
206.7880,499.1690
215.8780,493.1350
225.4810,488.3340
235.7000,485.4600
246.3930,484.3970
257.2360,485.1960
267.7550,488.0910
277.4430,492.8190
286.2810,498.6560
294.4360,504.4290
302.8960,510.4160
311.0880,516.2150
320.0030,522.5250
328.9160,528.8340
337.2410,534.7480
346.1050,541.0090
354.7520,546.5490
363.7420,551.2450
373.8810,555.2980
384.4570,558.4230
394.5270,560.2950
404.7840,561.2640
415.6850,561.2400
426.0100,560.1940
435.8980,558.3020
445.6030,555.4140
455.0580,551.7670
464.8320,546.7530
473.6080,541.1630
481.6770,534.8760
489.2290,527.8610
495.9710,520.0450
502.3870,511.2660
507.8240,502.3680
512.3890,493.3140
516.7180,483.3170
520.1550,472.9430
522.5410,463.1850
524.2540,453.1400
525.3230,442.8260
525.7760,432.4880
525.6290,421.7200
524.9540,411.6860
523.7690,401.4110
522.1140,391.1270
519.9570,380.7050
517.3130,370.2860
514.2070,360.0510
510.6430,349.8980
506.6190,339.7390
502.1040,329.8140
497.4390,320.7370
492.5150,312.0240
487.1280,303.1210
481.5330,294.3220
475.6250,285.2370
469.7920,276.1790
464.2630,267.6040
458.6920,258.9610
453.0580,250.2220
447.6280,241.7990
441.7060,232.6120
435.9380,223.6640
429.9870,214.4340
424.3200,205.6430
418.8720,197.1900
412.9260,187.9660
407.3770,179.3590
401.8270,170.7490
396.1160,161.8910
390.2990,152.8670
384.4220,143.7500
378.4990,134.5620
372.5450,125.3250
366.6000,116.1200
360.5270,108.0940
353.0980,101.3870
343.6850,95.7513
334.1580,92.3122
323.4490,90.6002
313.2610,90.9160
303.4220,93.2095
293.4050,97.5787
284.9160,103.2370
277.4110,109.8950
270.7120,117.4920
264.9120,126.0710
259.9900,135.9470
256.7230,145.7780
254.6530,155.6250
253.4320,165.8950
253.1260,176.0160
253.8440,186.7960
255.4870,197.0470
258.0160,206.9130
261.6350,217.1900
265.8550,226.2660
271.2130,235.7500
276.6090,244.2530
282.1090,252.7630
287.6060,261.2780
293.1050,269.7950
299.0190,278.9540
304.7520,287.8340
310.4690,296.6880
316.1860,305.5420
321.9020,314.3960
327.6190,323.2500
333.3360,332.1040
339.0520,340.9580
344.7650,349.8060
350.6500,358.9210
356.5980,368.1340
362.4800,377.2130
368.1260,386.5440
371.5910,396.6500
371.8040,407.4220
368.8330,417.8160
362.8000,426.6460
354.2640,433.3010
344.1180,437.1920
333.5050,437.7780
323.0610,435.1900
313.8200,431.2980
304.1390,427.0930
294.3610,422.8690
284.6090,418.6530
274.8250,414.4250
265.1350,410.2370
255.9150,406.2510
246.4130,402.1440
236.6400,397.9200
226.5940,393.5780
217.3430,389.5790
208.1810,385.5660
198.5450,380.9710
188.8970,376.1750
179.3150,370.9940
