x,z
-460.4230,-363.2940
-454.0790,-363.1170
-448.0770,-362.9590
-442.0750,-362.8040
-436.0740,-362.6390
-430.0720,-362.4780
-424.0710,-362.3320
-418.0690,-362.1790
-412.0680,-362.0110
-406.0660,-361.8440
-400.0650,-361.6900
-394.0620,-361.5460
-388.0600,-361.3860
-382.0590,-361.2160
-376.0570,-361.0630
-370.0550,-360.9190
-364.0530,-360.7690
-358.0510,-360.6160
-352.0500,-360.4570
-346.0480,-360.2970
-340.0460,-360.1460
-334.0430,-359.9980
-328.0410,-359.8460
-322.0400,-359.6910
-316.0380,-359.5270
-310.0370,-359.3600
-304.0350,-359.2010
-298.0330,-359.0560
-292.0300,-358.9110
-286.0290,-358.7570
-280.0270,-358.5920
-274.0250,-358.4300
-268.0240,-358.2710
-262.0220,-358.1100
-256.0200,-357.9500
-250.0190,-357.7760
-244.0180,-357.6050
-238.0150,-357.4500
-232.0130,-357.3080
-226.0120,-357.1540
-220.0110,-356.9670
-214.0070,-356.8710
-208.0050,-356.9230
-202.0210,-357.3920
-196.0560,-358.0730
-190.1090,-358.8950
-184.1800,-359.8440
-178.2660,-360.8770
-172.3580,-361.9470
-166.4490,-363.0050
-160.5420,-364.0830
-154.6400,-365.1800
-148.7360,-366.2680
-142.8300,-367.3480
-136.9240,-368.4320
-131.0190,-369.5170
-125.1140,-370.5980
-119.2080,-371.6810
-113.3050,-372.7750
-107.4020,-373.8730
-101.4980,-374.9630
-95.5937,-376.0480
-89.6910,-377.1440
-83.7890,-378.2440
-77.8834,-379.3250
-71.9757,-380.3960
-66.0714,-381.4840
-60.1695,-382.5860
-54.2680,-383.6850
-48.3651,-384.7810
-42.4618,-385.8750
-36.5573,-386.9620
-30.6520,-388.0450
-24.7453,-389.1210
-18.8407,-390.2050
-12.9375,-391.2960
-7.0294,-392.3620
-1.1110,-393.3700
4.8192,-394.3060
10.7645,-395.1430
16.7166,-395.9250
22.6840,-396.5810
28.6556,-397.1990
34.6308,-397.7800
40.6085,-398.3190
46.5902,-398.8260
52.5739,-399.3160
58.5626,-399.7430
64.5548,-400.1270
70.5484,-400.4760
76.5441,-400.7800
82.5430,-401.0080
88.5452,-401.1590
94.5484,-401.2330
100.5520,-401.2340
106.5550,-401.1180
112.5550,-400.8990
118.5520,-400.6130
124.5440,-400.2390
130.5300,-399.7880
136.5120,-399.2730
142.4880,-398.6940
148.4570,-398.0490
154.4230,-397.3750
160.3870,-396.6850
166.3480,-395.9710
172.3080,-395.2410
178.2650,-394.5000
184.2210,-393.7430
190.1750,-392.9700
196.1280,-392.1910
202.0800,-391.4060
208.0300,-390.6030
213.9770,-389.7800
219.9250,-388.9680
225.8760,-388.1680
231.8270,-387.3740
237.7780,-386.5800
243.7260,-385.7690
249.6770,-384.9710
255.6280,-384.1770
261.5790,-383.3840
267.5300,-382.5900
273.4790,-381.7830
279.4290,-380.9820
285.3840,-380.2150
291.3350,-379.4230
297.2840,-378.6140
303.2320,-377.7940
309.1780,-376.9660
315.1250,-376.1440
321.0620,-375.2500
326.9930,-374.3200
332.9030,-373.2610
338.7790,-372.0340
344.6060,-370.5900
350.4030,-369.0280
356.1950,-367.4470
361.9760,-365.8260
367.7620,-364.2240
373.5490,-362.6240
379.3310,-361.0100
385.1150,-359.4010
390.9030,-357.8040
396.6880,-356.2010
402.4710,-354.5850
408.2530,-352.9680
414.0350,-351.3500
419.8140,-349.7220
425.5960,-348.1100
431.3760,-346.4840
437.6090,-344.3160
443.3960,-341.1610
448.1790,-336.6410
451.7940,-331.1340
454.0620,-324.9440
455.2890,-319.0690
456.3020,-313.1510
457.3070,-307.2320
458.3600,-301.3210
459.4890,-295.4250
461.2370,-289.0610
463.8990,-283.0250
467.5670,-277.5420
471.9890,-272.6460
477.1250,-268.5030
482.7390,-265.0330
488.0220,-262.1800
493.3240,-259.3640
498.6260,-256.5470
503.9300,-253.7350
509.2370,-250.9290
514.5450,-248.1220
519.8460,-245.3060
525.1480,-242.4900
530.4540,-239.6810
535.7550,-236.8620
541.0560,-234.0430
546.3640,-231.2380
551.6730,-228.4360
556.9740,-225.6190
562.2690,-222.7880
567.4710,-219.7920
572.8020,-215.9010
577.3460,-211.9800
581.4370,-207.5900
585.0300,-202.7840
588.1530,-197.6580
590.8160,-192.2800
592.9970,-186.6880
595.0800,-181.0570
597.1390,-175.4170
599.1900,-169.7750
601.2470,-164.1350
603.3100,-158.4970
605.3770,-152.8600
607.4420,-147.2230
609.4980,-141.5820
611.5500,-135.9400
613.6120,-130.3020
615.6760,-124.6640
617.7380,-119.0260
619.7970,-113.3870
621.8520,-107.7460
623.9210,-102.1100
626.0030,-96.4785
628.0710,-90.8420
630.1190,-85.1987
632.1660,-79.5546
634.2160,-73.9118
636.2750,-68.2719
638.3410,-62.6348
640.4000,-56.9955
642.4510,-51.3525
644.5110,-45.7131
646.5800,-40.0777
648.6430,-34.4390
650.6980,-28.7980
652.7520,-23.1567
654.8070,-17.5159
656.8620,-11.8749
658.9160,-6.2334
660.9740,-0.5934
663.0360,5.0455
665.0930,10.6860
667.1450,16.3279
669.1970,21.9698
671.2520,27.6113
673.3100,33.2508
675.3710,38.8897
677.4380,44.5264
679.5090,50.1616
681.5680,55.8010
683.6160,61.4450
685.6670,67.0866
687.7250,72.7269
689.7830,78.3670
691.8420,84.0060
693.9010,89.6459
695.9580,95.2863
698.0230,100.9240
700.0930,106.5590
702.1550,112.1980
704.2130,117.8380
706.2750,123.4760
708.3380,129.1140
710.3960,134.7540
712.4470,140.3970
714.4970,146.0400
716.5540,151.6800
718.6160,157.3180
720.6840,162.9550
722.7560,168.5890
724.8210,174.2270
726.8760,179.8680
728.8920,185.5230
730.6320,191.2670
731.7540,197.7650
731.9740,204.3610
731.2230,210.9180
729.8340,216.7560
728.1600,222.5220
726.4100,228.2650
724.6550,234.0060
722.9040,239.7490
721.1570,245.4930
719.4190,251.2390
717.6850,256.9870
715.9620,262.7380
714.2920,268.5040
713.0630,274.9830
713.1210,281.5750
714.7900,287.9470
717.7720,293.8250
721.8970,298.9680
726.3570,302.9840
730.8360,306.9820
735.3120,310.9840
739.7810,314.9920
744.2530,318.9980
748.7280,323.0000
753.2070,326.9980
757.6890,330.9910
762.1680,334.9890
766.6340,339.0010
771.1020,343.0110
775.5780,347.0120
780.0540,351.0130
784.5260,355.0170
