x,z
514.9490,350.8340
514.1650,353.7430
512.5950,359.5610
511.0110,365.4180
509.4160,371.3110
507.8110,377.2350
506.1970,383.1830
504.5770,389.1510
502.5150,396.7290
501.0830,402.0130
499.4220,408.1650
497.8790,414.2170
496.3600,420.1380
494.8330,425.9430
493.2320,431.8680
491.5550,437.9700
489.9310,443.9180
488.3250,449.8580
486.6520,456.0970
485.0450,462.1150
483.4160,468.2180
481.7420,474.4910
480.1820,480.3340
478.5290,486.5260
476.8230,492.9200
475.2590,498.7800
473.6690,504.7350
472.1000,510.6150
470.4640,516.7450
468.8060,522.9540
467.1730,529.0730
465.4840,535.4010
463.9350,541.2080
462.3720,547.0600
460.7760,553.0410
459.1880,558.9920
457.5910,564.9770
455.9850,570.9910
454.3730,577.0310
452.7880,582.9700
451.2360,588.7850
449.6810,594.6110
448.1240,600.4460
446.5660,606.2850
444.7450,613.0300
442.9980,619.3140
441.3420,625.1430
439.6310,631.0480
437.8460,637.0910
435.9270,643.1270
433.7930,649.2290
431.6460,654.8340
429.1460,660.4700
426.4080,666.0980
423.3360,672.0050
419.9980,677.6960
416.4610,682.6800
412.3540,687.3260
407.5660,691.7190
402.4480,695.2260
396.9600,697.6810
390.9010,699.1860
384.6080,699.6970
378.5340,699.1110
372.7920,697.2850
367.5730,694.4150
362.7800,690.8830
357.8430,686.6500
353.1740,682.1170
349.0380,677.6420
344.8070,672.7870
340.6770,668.1090
336.3060,663.5630
331.8060,659.2920
327.0560,655.1500
322.0760,651.6980
316.1990,649.1500
310.2100,648.0640
303.8170,648.1860
297.5920,649.4540
291.7150,651.5880
286.0170,654.2640
280.9090,657.3160
275.2210,661.0800
269.7400,664.7010
264.4800,668.0080
258.7770,670.9980
252.8610,673.6820
246.9590,676.0510
240.8790,678.3090
234.7360,680.0460
228.2960,681.5110
221.8500,682.7120
215.6920,683.6540
209.5070,684.3770
203.2500,684.7730
197.1920,684.8390
191.0220,684.6580
184.7150,684.2320
178.4000,683.5310
172.1420,682.5430
165.9810,681.2550
159.8800,679.6650
153.8580,677.8000
147.9380,675.6900
142.0990,673.3170
136.3540,670.6890
130.7470,667.8420
125.3100,664.8050
120.0240,661.5700
114.8830,658.1080
109.8830,654.3890
105.0030,650.3720
100.2660,646.1050
95.7132,641.6800
91.3761,637.1720
87.2357,632.5570
83.2877,627.7710
79.5307,622.7550
75.9504,617.5200
72.5605,612.0730
69.3905,606.3820
66.7112,600.9170
64.2669,595.1920
61.9900,589.2820
59.8059,583.2690
57.6168,576.9810
55.6403,570.8200
53.7378,564.4450
51.9971,558.2160
50.2838,551.8790
48.6856,545.9600
46.9489,539.5130
45.0587,532.4880
43.2159,525.6330
41.6217,519.6960
40.0200,513.7100
38.3238,506.9210
36.7471,500.5940
34.9349,493.3220
33.4479,487.3580
31.7080,480.3850
30.0545,473.7710
28.3641,467.2700
26.3694,459.8540
24.2529,451.9820
22.6124,445.8810
20.8296,439.2510
18.9396,432.2220
16.9777,424.9260
14.9793,417.4950
12.9795,410.0590
11.0136,402.7490
9.1168,395.6970
7.3245,389.0350
5.6718,382.8930
3.5319,374.9420
1.9045,368.9010
0.0573,361.9930
-1.5503,355.7840
-3.1019,349.7840
-4.9794,342.5170
-7.1334,334.1770
-9.5144,324.9560
-12.0727,315.0460
-14.7589,304.6390
-17.5235,293.9260
-20.3168,283.1020
-23.0895,272.3560
-25.7918,261.8820
-28.3744,251.8720
-30.7876,242.5180
-32.9820,234.0120
-34.9080,226.5460
-36.5161,220.3120
-38.2237,213.6930
-39.7887,207.7290
-41.4035,201.6790
-43.6999,193.0810
-45.5387,186.1970
-47.5744,178.5780
-49.7644,170.3820
-52.0663,161.7670
-54.4377,152.8930
-56.8362,143.9180
-59.2193,135.0010
-61.5445,126.3010
-63.7695,117.9770
-65.8518,110.1870
-67.7490,103.0900
-69.4185,96.8459
-71.4034,89.4243
-72.9722,83.5648
-74.7786,76.6872
-76.3196,70.7977
-78.2483,63.4218
-79.9163,57.0403
-81.7488,50.0283
-83.7226,42.4746
-85.8147,34.4671
-88.0021,26.0941
-90.2618,17.4438
-91.7971,11.5665
-93.3475,5.6313
-94.9061,-0.3357
-96.3952,-6.2249
-97.7632,-12.6251
-98.7026,-19.0732
-99.0225,-25.2258
-98.7057,-31.3333
-97.6521,-37.7721
-95.8582,-43.8008
-93.3198,-49.2525
-89.6922,-54.5183
-85.1949,-59.1597
-80.3493,-62.8455
-75.1144,-65.7542
-69.4986,-68.0631
-63.6944,-69.9079
-57.8547,-71.2244
-51.0950,-72.3622
-44.7407,-73.4898
-38.2406,-74.6481
-30.6741,-75.9987
-24.4066,-77.1183
-17.7146,-78.3138
-10.6732,-79.5715
-3.3575,-80.8777
4.1573,-82.2185
