x,z
-167.5180,805.6770
-166.8660,803.7830
-166.2150,801.8910
-165.5630,800.0000
-164.9120,798.1090
-164.2610,796.2180
-163.6100,794.3270
-162.9590,792.4360
-162.3080,790.5450
-161.6570,788.6540
-161.0060,786.7630
-160.3550,784.8720
-159.7040,782.9800
-159.0530,781.0890
-158.4020,779.1980
-157.7500,777.3070
-157.0990,775.4160
-156.4480,773.5250
-155.7970,771.6330
-155.1460,769.7420
-154.4950,767.8510
-153.8440,765.9600
-153.1930,764.0690
-152.5420,762.1780
-151.8910,760.2880
-151.2400,758.3960
-150.5890,756.5050
-149.9380,754.6140
-149.2860,752.7230
-148.6350,750.8320
-147.9840,748.9410
-147.3330,747.0490
-146.6820,745.1580
-146.0310,743.2670
-145.3800,741.3760
-144.7290,739.4850
-144.0780,737.5940
-143.4270,735.7030
-142.7750,733.8120
-142.1240,731.9210
-141.4730,730.0300
-140.8220,728.1390
-140.1710,726.2480
-139.5200,724.3560
-138.8690,722.4650
-138.2180,720.5740
-137.5670,718.6830
-136.9160,716.7920
-136.2650,714.9010
-135.6140,713.0100
-134.9620,711.1190
-134.3110,709.2270
-133.6600,707.3370
-133.0090,705.4460
-132.3580,703.5540
-131.7070,701.6630
-131.0560,699.7720
-130.4050,697.8810
-129.7540,695.9900
-129.1030,694.0990
-128.4520,692.2080
-127.8010,690.3170
-127.1500,688.4250
-126.4980,686.5340
-125.8470,684.6430
-125.1960,682.7520
-124.5450,680.8610
-123.8940,678.9710
-123.2430,677.0790
-122.5920,675.1880
-121.9410,673.2970
-121.2900,671.4060
-120.6390,669.5150
-119.9880,667.6240
-119.3370,665.7330
-118.6860,663.8420
-118.0350,661.9510
-117.3840,660.0600
-116.7330,658.1690
-116.0810,656.2780
-115.4300,654.3870
-114.7790,652.4960
-114.1280,650.6040
-113.4770,648.7130
-112.8260,646.8220
-112.1750,644.9310
-111.5240,643.0390
-110.8730,641.1480
-110.2220,639.2580
-109.5700,637.3670
-108.9190,635.4750
-108.2680,633.5840
-107.6170,631.6930
-106.9660,629.8020
-106.3150,627.9110
-105.6640,626.0200
-105.0130,624.1290
-104.3620,622.2380
-103.7110,620.3470
-103.0600,618.4560
-102.4090,616.5650
-101.7580,614.6740
-101.1070,612.7830
-100.4560,610.8920
-99.8046,609.0010
-99.1534,607.1100
-98.5023,605.2190
-97.8512,603.3270
-97.2001,601.4360
-96.5490,599.5450
-95.8979,597.6540
-95.2468,595.7630
-94.5956,593.8710
-93.9444,591.9800
-93.2933,590.0890
-92.6422,588.1980
-91.9911,586.3070
-91.3401,584.4160
-90.6891,582.5250
-90.0380,580.6340
-89.3868,578.7420
-88.7357,576.8510
-88.0847,574.9600
-87.4336,573.0690
-86.7825,571.1780
-86.1315,569.2870
-85.4803,567.3960
-84.8292,565.5050
-84.1782,563.6140
-83.5271,561.7220
-82.8760,559.8310
-82.2249,557.9400
-81.5738,556.0490
-80.9227,554.1580
-80.2716,552.2670
-79.6206,550.3760
-78.9695,548.4850
-78.3184,546.5940
-77.6673,544.7030
-77.0162,542.8110
-76.3651,540.9200
-75.7141,539.0290
-75.0630,537.1380
-74.4119,535.2470
-73.7608,533.3560
-73.1097,531.4650
-72.4586,529.5740
-71.8076,527.6830
-71.1565,525.7920
-70.5054,523.9000
-69.8543,522.0090
-69.2032,520.1180
-68.5522,518.2270
-67.9011,516.3360
-67.2500,514.4450
-66.5989,512.5540
-65.9478,510.6630
-65.2967,508.7720
-64.6457,506.8810
-63.9946,504.9900
-63.3435,503.0980
-62.6924,501.2070
-62.0413,499.3160
-61.3902,497.4250
-60.7392,495.5340
-60.0881,493.6430
-59.4370,491.7520
-58.7859,489.8610
-58.1348,487.9700
-57.4837,486.0790
-56.8327,484.1870
-56.1816,482.2960
-55.5305,480.4050
-54.8794,478.5140
-54.2283,476.6230
-53.5773,474.7320
-52.9262,472.8410
-52.2751,470.9500
-51.6240,469.0590
-50.9729,467.1680
-50.3219,465.2770
-49.6708,463.3860
-49.0197,461.4940
-48.3686,459.6030
-47.7176,457.7120
-47.0665,455.8210
-46.4154,453.9300
-45.7643,452.0390
-45.1133,450.1480
-44.4622,448.2570
-43.8111,446.3660
-43.1601,444.4750
-42.5090,442.5840
-41.8579,440.6930
-41.2069,438.8020
-40.5558,436.9110
-39.9047,435.0200
-39.2537,433.1290
-38.6026,431.2370
-37.9515,429.3460
-37.3005,427.4550
-36.6494,425.5640
-35.9983,423.6730
-35.3473,421.7820
-34.6962,419.8910
-34.0451,418.0000
-33.3941,416.1090
-32.7430,414.2180
-32.0919,412.3270
-31.4409,410.4360
-30.7898,408.5450
-30.1387,406.6540
-29.4877,404.7630
-28.8366,402.8720
-28.1855,400.9810
-27.5345,399.0900
-26.8834,397.1990
-26.2323,395.3080
-25.5813,393.4170
-24.9302,391.5250
-24.2791,389.6340
-23.6281,387.7430
-22.9770,385.8520
-22.3259,383.9610
-21.6749,382.0700
-21.0238,380.1790
-20.3727,378.2880
-19.7216,376.3970
-19.0706,374.5060
-18.4195,372.6150
-17.7685,370.7240
-17.1174,368.8330
-16.4663,366.9420
-15.8152,365.0510
-15.1642,363.1600
-14.5131,361.2690
-13.8620,359.3780
-13.2110,357.4870
-12.5599,355.5950
-11.9088,353.7040
-11.2578,351.8130
-10.6067,349.9220
-9.9556,348.0310
-9.3046,346.1400
-8.6535,344.2490
-8.0024,342.3580
-7.3514,340.4670
-6.7003,338.5760
-6.0493,336.6850
-5.3982,334.7940
-4.7475,332.9030
-4.0758,331.0190
-3.2051,329.2200
-2.1642,327.5130
-0.9215,325.9480
0.4877,324.5300
2.0498,323.2830
3.7441,322.2220
5.5494,321.3640
7.4402,320.7160
9.3923,320.2860
11.3810,320.0840
13.3797,320.1110
15.3623,320.3660
17.3029,320.8440
19.1736,321.5490
20.9682,322.4290
22.7117,323.4080
24.4546,324.3890
26.1994,325.3670
27.9441,326.3450
29.6888,327.3230
31.4316,328.3040
33.1982,329.2410
35.0220,330.0610
36.9097,330.7200
38.8429,331.2300
40.8120,331.5770
42.8025,331.7660
44.8019,331.7890
46.7960,331.6460
48.7740,331.3530
50.7184,330.8870
52.6184,330.2660
54.4664,329.5020
56.2371,328.5730
57.9321,327.5130
59.5358,326.3190
61.0323,324.9930
62.4199,323.5530
63.6824,322.0030
64.8187,320.3570
65.8131,318.6230
66.6603,316.8120
67.3703,314.9430
67.9083,313.0170
68.2933,311.0550
68.5252,309.0690
68.5798,307.0700
68.5015,305.0720
68.3135,303.0810
68.1001,301.0920
67.8695,299.1060
67.6195,297.1210
67.3500,295.1400
67.0611,293.1610
66.7527,291.1840
66.4250,289.2110
66.0777,287.2420
65.7107,285.2760
65.3243,283.3130
64.9187,281.3550
64.4939,279.4010
64.0499,277.4500
63.5867,275.5050
63.1045,273.5640
62.6032,271.6280
62.0829,269.6960
61.5436,267.7700
60.9855,265.8500
60.4085,263.9350
59.8127,262.0260
59.1981,260.1220
58.5649,258.2250
57.9131,256.3350
57.2427,254.4500
56.5538,252.5730
55.8465,250.7020
55.1206,248.8380
54.3761,246.9820
53.6133,245.1330
52.8314,243.2930
52.0411,241.4550
51.2640,239.6130
50.5088,237.7610
49.7758,235.9000
49.0651,234.0300
48.3764,232.1530
47.7098,230.2670
47.0654,228.3740
46.4432,226.4730
45.8434,224.5650
45.2660,222.6500
44.7111,220.7290
44.1788,218.8010
43.6692,216.8670
43.1823,214.9270
42.7182,212.9820
42.2770,211.0310
41.8589,209.0750
41.4643,207.1140
41.0928,205.1490
40.7444,203.1800
40.4191,201.2060
40.1170,199.2290
39.8382,197.2490
39.5826,195.2650
39.3502,193.2790
39.1413,191.2900
38.9556,189.2980
38.7934,187.3050
38.6546,185.3100
38.5391,183.3130
38.4474,181.3150
38.3796,179.3160
38.3354,177.3170
38.3146,175.3170
38.3173,173.3170
38.3435,171.3170
38.3931,169.3170
38.4662,167.3190
38.5628,165.3210
38.6828,163.3250
38.8262,161.3300
38.9930,159.3370
39.1832,157.3460
39.3968,155.3570
39.6337,153.3710
39.8946,151.3880
40.1789,149.4080
40.4864,147.4320
