x,z
-371.7030,872.7830
-374.3380,869.7790
-376.7850,866.9900
-380.0840,863.2290
-383.3840,859.4680
-386.6840,855.7070
-389.9830,851.9460
-393.2830,848.1850
-395.4020,845.7690
-397.5220,843.3540
-400.8210,839.5930
-404.1210,835.8320
-407.4200,832.0710
-410.7200,828.3100
-414.0190,824.5490
-417.3190,820.7880
-420.6180,817.0270
-423.9180,813.2660
-427.2170,809.5060
-430.5170,805.7450
-433.8160,801.9840
-437.1160,798.2230
-440.4150,794.4620
-443.7150,790.7010
-447.0140,786.9400
-450.3140,783.1800
-453.6130,779.4190
-456.9130,775.6580
-460.2120,771.8970
-463.5120,768.1360
-466.8120,764.3750
-470.1110,760.6140
-473.4100,756.8530
-476.7100,753.0920
-480.0100,749.3310
-483.3090,745.5700
-486.6090,741.8090
-489.9080,738.0490
-493.2080,734.2880
-496.5070,730.5270
-499.8070,726.7660
-503.1060,723.0050
-506.4060,719.2440
-509.7050,715.4830
-513.0050,711.7220
-516.3040,707.9620
-519.6040,704.2010
-522.9030,700.4400
-526.2030,696.6790
-529.5020,692.9180
-532.8020,689.1570
-536.1010,685.3960
-539.4010,681.6350
-542.7000,677.8740
-546.0000,674.1130
-549.2990,670.3520
-552.5990,666.5920
-555.8980,662.8310
-559.1980,659.0700
-562.4950,655.3070
-565.6380,650.7960
-567.7990,645.7410
-568.8920,640.3540
-568.8710,634.8560
-567.7410,629.4750
-566.0020,624.7870
-563.7430,620.3250
-560.9920,616.1490
-557.7840,612.3120
-554.1620,608.8640
-550.1720,605.8490
-545.8670,603.3040
-541.3680,601.1170
-536.7520,599.1870
-532.0340,597.5240
-527.2260,596.1450
-522.3430,595.0570
-517.4040,594.2660
-512.4250,593.7740
-507.4260,593.5830
-502.4250,593.6930
-497.4400,594.1050
-492.4880,594.8150
-487.5880,595.8230
-482.7580,597.1240
-478.0150,598.7150
-473.3720,600.5780
-468.8210,602.6550
-464.3540,604.9070
-459.9570,607.2940
-455.6360,609.8130
-451.3940,612.4650
-447.2350,615.2440
-443.1620,618.1500
-439.1810,621.1780
-435.2940,624.3270
-431.5050,627.5940
-427.8180,630.9750
-424.2350,634.4660
-420.7150,638.0210
-417.2010,641.5830
-413.6530,645.1100
-410.0700,648.6020
-406.4510,652.0570
-402.7990,655.4760
-399.1040,658.8490
-395.2340,662.0190
-391.1550,664.9140
-386.8860,667.5200
-382.4470,669.8260
-377.8600,671.8200
-373.1460,673.4940
-368.3280,674.8380
-363.4290,675.8480
-358.4720,676.5160
-353.4800,676.8420
-348.4780,676.8220
-343.4890,676.4590
-338.5270,675.8210
-333.5990,674.9630
-328.7140,673.8840
-323.8830,672.5860
-319.1150,671.0700
-314.4210,669.3410
-309.8100,667.4000
-305.2910,665.2530
-300.8740,662.9040
-296.5680,660.3580
-292.3810,657.6210
-288.3210,654.6980
-284.3970,651.5940
-280.6160,648.3180
-276.9870,644.8760
-273.5150,641.2740
-270.2090,637.5190
-267.0750,633.6200
-264.1190,629.5840
-261.3480,625.4190
-258.7670,621.1330
-256.3830,616.7350
-254.2000,612.2340
-252.2220,607.6380
-250.4550,602.9580
