x,z
270.0020,400.7410
273.8950,393.7490
277.7890,386.7570
281.6830,379.7660
285.5840,372.7780
289.4820,365.7890
293.3670,358.7930
297.2690,351.8060
301.1570,344.8110
305.0460,337.8150
308.9380,330.8240
312.8200,323.8250
316.7050,316.8290
320.6000,309.8370
324.4870,302.8420
328.3720,295.8450
332.2650,288.8530
336.1580,281.8610
340.0510,274.8680
343.9410,267.8740
347.8280,260.8790
351.7260,253.8900
355.6120,246.8930
359.5060,239.9020
363.4100,232.9150
367.3090,225.9260
371.1970,218.9310
375.0900,211.9400
378.9900,204.9510
382.8780,197.9560
386.7680,190.9610
390.6630,183.9700
394.5590,176.9790
398.4490,169.9860
402.3490,162.9980
406.2320,156.0000
410.1330,149.0120
414.0330,142.0240
417.9210,135.0290
421.8050,128.0310
425.6880,121.0330
429.5760,114.0390
433.4680,107.0450
437.3520,100.0480
441.2330,93.0494
445.1380,86.0638
449.0310,79.0711
452.9230,72.0785
456.8250,65.0921
460.7110,58.0954
464.5970,51.0993
468.4880,44.1069
472.3800,37.1135
476.2700,30.1196
480.1650,23.1282
484.0550,16.1344
487.9390,9.1374
491.8350,2.1467
495.7270,-4.8466
499.6160,-11.8411
503.5070,-18.8343
507.3960,-25.8289
511.2820,-32.8249
515.1690,-39.8204
519.0560,-46.8163
522.9430,-53.8111
526.8330,-60.8052
530.7240,-67.7998
534.6140,-74.7938
538.4990,-81.7907
542.3870,-88.7857
546.2860,-95.7747
550.1760,-102.7680
554.0660,-109.7630
557.9560,-116.7560
561.8410,-123.7520
565.7290,-130.7470
569.6130,-137.7440
573.5000,-144.7390
577.3960,-151.7290
581.2830,-158.7250
585.1780,-165.7160
589.0740,-172.7060
592.9590,-179.7030
596.8520,-186.6960
600.7480,-193.6860
604.6390,-200.6790
608.5360,-207.6680
612.4190,-214.6670
616.3100,-221.6600
620.1650,-228.6730
623.5550,-235.9160
625.9920,-243.5300
627.3630,-251.4090
627.7290,-259.3970
627.1210,-267.3690
625.4810,-275.1950
622.7850,-282.7240
619.1860,-289.8620
614.7050,-296.4850
609.3720,-302.4440
603.3360,-307.6880
596.6800,-312.1180
589.4950,-315.6290
581.9180,-318.1860
574.0800,-319.7610
566.1040,-320.3290
558.1220,-319.8150
550.2670,-318.3330
542.6640,-315.8580
535.4660,-312.3710
528.6080,-308.2490
521.8260,-304.0000
515.0350,-299.7660
508.2410,-295.5370
501.4470,-291.3090
494.6510,-287.0820
487.8650,-282.8400
481.0640,-278.6230
474.2670,-274.3980
467.4700,-270.1740
460.6480,-265.9910
453.8080,-261.8360
446.9540,-257.7040
440.1110,-253.5550
433.2670,-249.4060
426.4170,-245.2680
419.5610,-241.1390
412.7130,-236.9990
405.8780,-232.8360
399.0390,-228.6800
392.0850,-224.7220
384.7180,-221.6140
377.0070,-219.5050
369.0920,-218.3770
361.0970,-218.3100
353.1600,-219.2790
345.4260,-221.3040
338.0120,-224.2920
331.0770,-228.2750
324.7270,-233.1320
319.0020,-238.7120
314.1140,-245.0410
310.1090,-251.9590
307.0110,-259.3300
304.9310,-267.0490
303.9000,-274.9780
303.7100,-282.9770
303.7740,-290.9790
303.8920,-298.9810
304.0200,-306.9830
304.1530,-314.9850
304.2690,-322.9870
304.3840,-330.9890
304.5070,-338.9910
304.6190,-346.9930
304.7460,-354.9950
304.8800,-362.9970
305.0120,-370.9980
305.1580,-379.0000
305.2980,-387.0020
305.4390,-395.0030
305.5810,-403.0050
305.6950,-411.0070
305.4130,-419.0020
304.5100,-426.9510
302.8740,-434.7820
300.5530,-442.4360
297.5790,-449.8630
293.9710,-457.0030
289.7290,-463.7850
284.9280,-470.1840
279.6190,-476.1720
274.2520,-482.1080
268.8850,-488.0450
263.5330,-493.9940
258.1740,-499.9380
252.8170,-505.8840
247.4620,-511.8310
242.0940,-517.7660
236.7380,-523.7120
231.3830,-529.6590
226.0380,-535.6160
220.6920,-541.5720
215.3470,-547.5280
210.0070,-553.4890
204.6560,-559.4390
199.2940,-565.3800
