x,z
113.4320,459.7830
121.2140,452.3000
133.8990,440.1120
145.4460,429.0170
158.4970,416.4790
171.5400,403.9470
183.2030,392.7420
196.7520,379.7240
209.1410,367.8040
221.4220,355.9820
234.1140,343.7360
246.5110,331.7220
258.1840,320.3900
269.9140,308.9620
282.3830,296.8130
293.8890,285.6030
305.4520,274.3360
316.9390,263.1430
329.5730,250.8340
342.2060,238.5260
351.6740,229.3000
355.9180,225.1670
359.9110,221.2780
363.9530,217.3420
367.3690,214.0160
370.6050,210.8730
373.8380,207.7320
376.7230,204.9140
380.0210,201.5880
382.3300,198.4690
383.8120,194.5300
384.1540,190.3170
383.3150,186.1830
381.4530,182.3860
379.3470,178.7630
376.6870,174.1470
374.2210,169.5380
371.9350,164.6020
369.3320,158.1110
366.5920,149.7430
364.4910,141.1930
363.0020,132.5150
362.1800,123.7490
361.9940,114.9460
362.4460,106.1530
363.5840,97.4227
365.2800,88.8077
367.6060,80.3564
370.2750,72.7428
373.8200,64.6830
377.9090,56.8850
382.5680,49.4146
387.7660,42.3075
393.4960,35.6206
399.6610,29.3344
406.2270,23.4655
412.9450,17.7698
419.6680,12.0811
428.5500,4.5438
441.9250,-6.9565
455.1290,-18.6507
468.1840,-30.5122
481.0660,-42.5607
493.7590,-54.8082
506.2960,-67.2153
518.6500,-79.8053
530.8180,-92.5747
542.8200,-105.5000
554.6220,-118.6070
566.2450,-131.8740
577.6770,-145.3060
588.9290,-158.8890
599.9800,-172.6360
610.8450,-186.5320
621.4980,-200.5890
631.9650,-214.7860
642.2230,-229.1330
652.2940,-243.6140
662.1480,-258.2420
671.7870,-273.0090
681.0340,-287.6130
690.2140,-302.5870
699.1160,-317.8070
707.5530,-333.2970
715.8570,-348.8560
724.0720,-364.4630
727.1190,-370.2620
729.0960,-374.0210
731.0720,-377.7810
733.0300,-381.5430
734.6030,-385.4810
735.2660,-389.6630
734.9760,-393.9100
733.7490,-398.0000
731.6530,-401.6750
728.7900,-404.7980
725.3000,-407.1830
721.3810,-408.8100
717.3050,-410.1200
713.2280,-411.3160
709.1530,-412.4790
705.0780,-413.5810
700.9910,-414.6180
696.8560,-415.6000
692.6930,-416.5090
687.5750,-417.5600
681.9550,-418.7040
673.7750,-420.3510
665.5960,-421.9950
657.4170,-423.6390
649.1870,-425.2980
640.9570,-426.9610
632.6850,-428.6150
624.5390,-430.3320
616.5520,-432.8010
609.2950,-437.0300
603.3180,-442.9460
598.8930,-450.0950
596.3080,-458.0960
595.7110,-465.0390
596.1020,-473.4640
596.5530,-481.6320
597.0940,-491.0740
598.0800,-508.6850
599.0570,-526.2950
600.0360,-543.9070
601.0010,-561.5180
601.9760,-579.1300
602.9650,-596.7400
603.7870,-611.6040
604.4220,-623.1670
604.9090,-631.9600
605.2540,-640.7570
604.6140,-649.5210
602.3380,-658.0190
598.6780,-666.0140
593.6350,-673.2210
587.3940,-679.3010
580.4190,-684.7880
573.3170,-690.1560
566.2750,-695.4790
559.2490,-700.7900
545.2470,-711.3770
531.1900,-721.9900
517.1240,-732.6310
503.0490,-743.2620
488.9010,-753.7940
474.2270,-763.5770
459.0240,-772.5140
443.3030,-780.5040
427.1630,-787.6080
410.8070,-793.9860
394.7440,-800.2090
378.3020,-806.5910
361.8540,-812.9610
345.5480,-819.3850
329.3800,-826.4010
313.5280,-834.1260
298.0300,-842.5430
286.9970,-849.1650
279.3080,-853.9970
272.0700,-858.6510
264.6420,-863.2900
257.3060,-866.7640
248.9270,-869.1580
240.5160,-869.6390
231.8210,-868.4490
224.0050,-865.3760
216.8580,-860.5930
210.2320,-855.3130
202.7160,-849.1930
191.8020,-841.3880
176.3870,-832.8390
160.0240,-826.2890
142.9520,-821.8970
125.4800,-819.5660
107.8530,-819.1260
90.2500,-818.1140
72.8067,-815.5380
55.6700,-811.3910
38.9946,-805.6590
22.9010,-798.4560
7.5076,-789.8580
-7.0565,-779.9180
-20.6370,-768.6730
-33.1721,-756.2730
-44.5234,-742.7820
-54.6313,-728.3370
-63.3558,-713.0180
-70.6614,-696.9710
-76.4922,-680.3300
-80.7809,-663.2280
-84.3194,-645.9470
-87.8533,-628.6670
-91.3882,-611.3860
-94.9163,-594.1040
-98.4533,-576.8240
-101.9240,-559.5310
-104.6580,-542.1110
-106.3840,-524.5620
-107.0960,-506.9410
-106.7920,-489.3080
-105.4720,-471.7260
-103.1420,-454.2470
-99.8092,-436.9300
-95.4872,-419.8450
-90.2096,-403.0990
-84.5164,-387.9020
-78.0952,-371.4770
-71.6740,-355.0500
-65.2528,-338.6230
-58.8312,-322.1940
-52.4095,-305.7650
-45.9881,-289.3370
-39.7288,-273.3250
-34.2220,-258.2280
-29.3856,-242.9120
-24.8560,-225.8670
-21.1543,-208.6230
-18.2747,-191.2240
-16.2150,-173.7070
-15.0421,-156.1090
-14.7192,-138.4740
-15.2091,-120.8430
-16.6068,-103.2610
-18.8375,-85.7652
-21.8476,-68.3855
