x,z
804.0830,-1011.1500
799.9650,-1010.5500
795.6410,-1009.9200
791.3780,-1009.3100
787.3420,-1008.7200
783.2870,-1008.1300
779.1050,-1007.5200
774.8440,-1006.9100
770.4460,-1006.2700
766.1530,-1005.6500
762.1580,-1005.0700
758.1880,-1004.4900
754.1160,-1003.9000
749.9960,-1003.3000
745.8390,-1002.7000
741.6120,-1002.0800
737.2690,-1001.4500
732.9300,-1000.8200
728.6630,-1000.2100
724.4750,-999.5980
720.4220,-999.0100
716.3870,-998.4240
712.2960,-997.8310
708.1780,-997.2330
704.0360,-996.6320
699.8720,-996.0280
695.6870,-995.4210
691.4830,-994.8110
687.2600,-994.1980
683.0210,-993.5830
678.7660,-992.9660
674.4980,-992.3460
670.2180,-991.7250
665.9260,-991.1030
661.6250,-990.4790
657.3170,-989.8530
653.0010,-989.2270
648.6810,-988.6000
644.3570,-987.9730
640.0310,-987.3450
635.7040,-986.7170
631.3780,-986.0900
627.0540,-985.4620
622.7340,-984.8350
618.4180,-984.2090
614.1100,-983.5840
609.8090,-982.9600
605.5180,-982.3370
601.2370,-981.7160
596.9690,-981.0970
592.7150,-980.4800
588.4760,-979.8650
584.2540,-979.2520
580.0490,-978.6420
575.8650,-978.0350
571.7010,-977.4310
567.5600,-976.8300
563.4420,-976.2320
559.3450,-975.6380
555.2840,-975.0490
551.3210,-974.4730
547.3440,-973.8960
543.1510,-973.2880
538.8690,-972.6670
534.6210,-972.0500
530.3970,-971.4370
526.2250,-970.8320
522.0980,-970.2330
518.0740,-969.6490
514.0260,-969.0620
509.6730,-968.4300
505.6430,-967.8460
501.3000,-967.2150
497.0370,-966.5970
492.8510,-965.9900
488.7420,-965.3930
484.7510,-964.8140
480.4160,-964.1850
476.2590,-963.5820
472.0390,-962.9690
468.0590,-962.3920
463.7100,-961.7610
459.3700,-961.1310
455.3680,-960.5510
451.1750,-959.9420
447.0990,-959.3510
442.9770,-958.7530
438.8380,-958.1520
434.6770,-957.5480
430.4910,-956.9410
426.2480,-956.3250
421.9810,-955.7060
417.7800,-955.0960
413.6100,-954.4920
409.4040,-953.8820
405.1810,-953.2700
400.9670,-952.6610
396.7620,-952.0540
392.5650,-951.4500
388.3980,-950.8510
384.3780,-950.2750
380.0280,-949.6530
375.9110,-949.0660
371.6920,-948.4660
367.3630,-947.8520
363.0010,-947.2350
358.8400,-946.6490
354.7770,-946.0770
350.6340,-945.5040
346.4820,-944.9420
342.4690,-944.4030
338.1020,-943.8200
333.9760,-943.2710
329.7750,-942.7190
325.5550,-942.1670
321.3270,-941.6110
317.1240,-941.0670
312.9700,-940.5310
308.9870,-940.0190
304.6340,-939.4600
300.4190,-938.9200
296.1500,-938.3800
292.0630,-937.8830
287.9870,-937.3960
283.7220,-936.8850
279.3950,-936.3670
275.1470,-935.8580
270.9110,-935.3580
266.5960,-934.8490
262.3080,-934.3430
258.2340,-933.8780
254.2280,-933.4190
250.0870,-932.9570
245.9080,-932.4830
241.7940,-932.0220
237.6850,-931.5560
233.4700,-931.0860
229.2490,-930.6230
225.2360,-930.1850
220.8520,-929.7100
216.5690,-929.2500
212.2400,-928.7890
208.1300,-928.3510
204.1000,-927.9290
200.0570,-927.5020
196.0010,-927.0790
191.8740,-926.6440
187.7240,-926.2130
183.5970,-925.7860
179.4810,-925.3660
175.3910,-924.9460
171.2790,-924.5230
167.0440,-924.0890
162.7640,-923.6490
158.5500,-923.2160
154.3330,-922.7830
149.9770,-922.3360
145.6310,-921.8890
141.6030,-921.4830
137.2760,-921.0470
133.0900,-920.6250
128.8850,-920.2030
124.9040,-919.8000
120.5580,-919.3650
116.4390,-918.9720
112.3100,-918.5760
108.2930,-918.1630
104.2960,-917.7540
100.2670,-917.3560
96.2246,-916.9570
92.1540,-916.5230
88.0819,-916.0890
84.0781,-915.6700
80.0054,-915.2320
75.6533,-914.7570
71.2823,-914.2680
67.1947,-913.8090
63.1377,-913.3530
58.8537,-912.8720
54.5563,-912.3890
50.4857,-911.9250
46.4248,-911.4600
42.1304,-910.9740
37.7816,-910.4770
33.5316,-909.9960
29.3421,-909.5130
25.2664,-909.0280
21.1900,-908.5290
16.9377,-908.0050
12.6088,-907.4580
8.2781,-906.9480
3.9417,-906.4390
-0.4183,-905.8890
-4.7081,-905.3460
-8.7330,-904.8290
-13.0294,-904.2760
-17.3576,-903.7360
-21.3279,-903.2340
-25.3654,-902.7000
-29.4774,-902.1500
-33.7315,-901.5780
-37.9532,-901.0050
-41.9634,-900.4640
-45.9680,-899.9230
-50.1045,-899.3650
-54.3075,-898.7970
-58.5854,-898.2200
-62.8612,-897.6420
-67.0635,-897.0680
-71.2029,-896.5030
-75.2430,-895.9520
-79.2418,-895.4060
-83.5989,-894.8140
-87.6364,-894.2570
-91.8689,-893.6620
-96.1165,-893.0580
-100.2470,-892.4720
-104.3190,-891.8910
-108.3150,-891.3290
-112.4090,-890.7480
-116.7380,-890.1260
-121.1150,-889.4960
-125.3620,-888.8770
-129.5670,-888.2630
-133.7050,-887.6590
-137.7960,-887.0610
-141.7790,-886.4770
-145.8260,-885.8850
-150.1020,-885.2580
-154.4190,-884.6260
-158.6270,-884.0080
-162.7770,-883.3980
-166.7870,-882.8090
-170.8340,-882.2150
-175.1160,-881.5850
-179.3840,-880.9570
-183.7230,-880.3190
-187.7070,-879.7330
-191.9790,-879.1100
-196.2870,-878.4810
-200.4890,-877.8670
-204.6480,-877.2600
-208.7550,-876.6610
-212.8210,-876.0680
-216.7950,-875.4870
-220.8460,-874.8960
-225.1490,-874.2680
-229.5010,-873.6330
-233.7670,-873.0100
-238.0010,-872.3930
-242.2030,-871.7780
-246.3810,-871.1700
-250.5320,-870.5620
-254.6650,-869.9600
-258.7820,-869.3600
-262.8840,-868.7600
-266.9770,-868.1620
-271.0630,-867.5620
-275.1450,-866.9640
-279.2280,-866.3660
-283.3140,-865.7670
-287.4070,-865.1670
-291.4970,-864.5680
-295.6250,-863.9630
-299.8600,-863.3400
-304.1300,-862.7160
-308.3780,-862.0940
-312.5920,-861.4760
-316.7300,-860.8740
-320.8100,-860.2730
-324.7870,-859.6940
-328.7780,-859.1090
-332.9670,-858.5030
-337.1970,-857.8880
-341.2850,-857.2990
-345.2920,-856.7210
-349.2950,-856.1370
-353.5530,-855.5050
-357.7440,-854.8580
-361.9380,-854.1950
-366.2190,-853.5030
-370.4300,-852.8190
-374.5200,-852.1520
-378.7590,-851.4410
-382.7080,-850.7600
-386.7650,-850.0520
-391.0010,-849.3000
-394.9760,-848.5730
-399.0490,-847.8180
-403.3080,-847.0270
-407.5940,-846.2140
-411.7060,-845.4130
-415.6360,-844.6490
