x,z
142.4620,-218.2670
141.2800,-217.5510
139.5690,-216.5140
137.8570,-215.4770
136.1460,-214.4390
134.4350,-213.4020
132.7240,-212.3650
131.0130,-211.3280
129.3030,-210.2910
127.5920,-209.2540
125.8810,-208.2170
124.1700,-207.1800
122.4590,-206.1430
120.7480,-205.1060
119.0370,-204.0690
117.3260,-203.0320
115.6150,-201.9950
113.9040,-200.9580
112.1930,-199.9210
110.4820,-198.8840
108.7710,-197.8470
107.0600,-196.8100
105.3500,-195.7730
103.6390,-194.7360
101.9270,-193.6990
100.2170,-192.6620
98.5058,-191.6250
96.7946,-190.5880
95.0837,-189.5510
93.3728,-188.5140
91.6620,-187.4770
89.9510,-186.4400
88.2399,-185.4030
86.5289,-184.3660
84.8180,-183.3290
83.1068,-182.2920
81.3958,-181.2540
79.6850,-180.2180
77.9742,-179.1810
76.2628,-178.1430
74.5519,-177.1060
72.8406,-176.0690
71.1294,-175.0320
69.4186,-173.9950
67.7076,-172.9580
65.9964,-171.9210
64.2853,-170.8840
62.5746,-169.8470
60.8635,-168.8100
59.1526,-167.7730
57.4419,-166.7360
55.7310,-165.6990
54.0197,-164.6610
52.3087,-163.6240
50.5975,-162.5870
48.8864,-161.5500
47.1754,-160.5130
45.4644,-159.4760
43.7537,-158.4390
42.0428,-157.4020
40.3318,-156.3650
38.6209,-155.3280
36.9096,-154.2910
35.1983,-153.2540
33.4874,-152.2170
31.7763,-151.1800
30.0653,-150.1420
28.3545,-149.1060
26.6436,-148.0690
24.9325,-147.0310
23.2216,-145.9940
21.5104,-144.9570
19.7996,-143.9200
18.0884,-142.8830
16.3777,-141.8460
14.6669,-140.8090
12.9561,-139.7720
11.2453,-138.7350
9.5349,-137.6990
7.8240,-136.6620
6.1128,-135.6250
4.4015,-134.5870
2.6907,-133.5500
0.9800,-132.5140
-0.7310,-131.4760
-2.4419,-130.4390
-4.1530,-129.4020
-5.8638,-128.3650
-7.5747,-127.3280
-9.2852,-126.2920
-10.9960,-125.2550
-12.7068,-124.2180
-14.4178,-123.1810
-16.1283,-122.1440
-17.8396,-121.1070
-19.5507,-120.0700
-21.2618,-119.0320
-22.9727,-117.9960
-24.6832,-116.9590
-26.3940,-115.9220
-28.1051,-114.8850
-29.8161,-113.8480
-31.5271,-112.8110
-33.2384,-111.7730
-34.9495,-110.7360
-36.6604,-109.6990
-38.3715,-108.6620
-40.0823,-107.6250
-41.7935,-106.5880
-43.5046,-105.5510
-45.2155,-104.5140
-46.9265,-103.4770
-48.6375,-102.4400
-50.3486,-101.4030
-52.0599,-100.3650
-53.7707,-99.3284
-55.4816,-98.2915
-57.1927,-97.2543
-58.9037,-96.2173
-60.6144,-95.1804
-62.3253,-94.1434
-64.0361,-93.1065
-65.7473,-92.0693
-67.4583,-91.0322
-69.1690,-89.9953
-70.8798,-88.9584
-72.5908,-87.9214
-74.3016,-86.8844
-76.0125,-85.8474
-77.7236,-84.8103
-79.4344,-83.7733
-81.1454,-82.7363
-82.8563,-81.6993
-84.5675,-80.6621
-86.2784,-79.6252
-87.9894,-78.5881
-89.7001,-77.5512
-91.4111,-76.5142
-93.1223,-75.4770
-94.8330,-74.4401
-96.5437,-73.4032
-98.2550,-72.3660
-99.9657,-71.3291
-101.6770,-70.2921
-103.3870,-69.2552
-105.0990,-68.2180
-106.8090,-67.1810
-108.5200,-66.1440
-110.2310,-65.1069
-111.9420,-64.0699
-113.6530,-63.0329
-115.3640,-61.9959
-117.0750,-60.9589
-118.7860,-59.9220
-120.4970,-58.8850
-122.2070,-57.8482
-123.9190,-56.8110
-125.6290,-55.7741
-127.3400,-54.7370
-129.0510,-53.6999
-130.7620,-52.6630
-132.4730,-51.6260
-134.1840,-50.5890
-135.8950,-49.5521
-137.6050,-48.5153
-139.3160,-47.4783
-141.0270,-46.4413
-142.7380,-45.4044
-144.4490,-44.3671
-146.1600,-43.3300
-147.8710,-42.2929
-149.5820,-41.2558
-151.2930,-40.2189
-153.0040,-39.1818
-154.7150,-38.1449
-156.4260,-37.1081
-158.1370,-36.0708
-159.8470,-35.0341
-161.5580,-33.9970
-163.2690,-32.9601
-164.9800,-31.9231
-166.6910,-30.8858
-168.4020,-29.8488
-170.1130,-28.8121
-171.8240,-27.7751
-173.5350,-26.7379
-175.2460,-25.7010
-176.9560,-24.6642
-178.6670,-23.6272
-180.3780,-22.5901
-182.0890,-21.5530
-183.8000,-20.5160
-185.5110,-19.4789
-187.2220,-18.4420
-188.9310,-17.4019
-190.5780,-16.2664
-192.1120,-14.9832
-193.5190,-13.5615
-194.7840,-12.0129
-195.8950,-10.3499
-196.8430,-8.5885
-197.6210,-6.7462
-198.2230,-4.8389
-198.6440,-2.8839
-198.8830,-0.8983
-198.9370,1.1007
-198.8070,3.0967
-198.4920,5.0713
-197.9940,7.0081
-197.3150,8.8892
-196.4620,10.6975
-195.4390,12.4168
-194.2580,14.0309
-192.9300,15.5256
-191.4670,16.8907
-189.9150,18.1524
-188.3540,19.4045
-186.7940,20.6571
-185.2340,21.9093
-183.6730,23.1619
-182.1130,24.4140
-180.5530,25.6667
-178.9920,26.9191
-177.4320,28.1718
-175.8720,29.4239
-174.3120,30.6763
-172.7510,31.9286
-171.1910,33.1810
-169.6310,34.4334
