x,z
350.1460,211.1940
350.5770,205.4440
351.0320,199.3880
351.5420,192.5060
352.0300,185.7270
352.4670,179.2960
352.8710,172.9830
353.2480,166.6930
353.5380,160.6670
353.7260,154.4790
353.8230,148.1650
353.8270,141.8660
353.7150,135.5720
353.4710,129.2730
353.1030,122.9680
352.6140,116.6660
352.0000,110.3770
351.2760,104.1050
350.4630,97.8400
349.4980,91.5954
348.3160,85.3880
346.8230,79.1377
345.0590,72.8426
343.2000,66.7271
341.2610,60.5207
339.2380,54.8328
337.0980,49.0864
335.3330,43.2143
334.1390,37.2228
333.8390,30.7679
333.8870,24.4329
333.9670,18.3351
333.8270,12.3268
333.4390,6.1239
332.6470,-0.0161
329.4220,-5.0832
323.8280,-7.7308
317.7220,-9.1687
311.5590,-9.9886
305.2510,-10.7625
299.2510,-11.4382
293.2520,-12.1138
286.7880,-12.9450
280.7160,-13.7543
274.6430,-14.5636
268.5700,-15.3728
262.4970,-16.1821
256.3860,-16.9098
250.2550,-17.5942
244.1240,-18.2786
237.9920,-18.9630
231.8610,-19.6474
225.3880,-20.3819
219.4120,-21.2654
213.2030,-22.4832
206.7130,-24.0629
200.3330,-25.7947
194.1920,-27.4660
186.7720,-29.4873
180.4870,-31.2006
173.6770,-33.0574
166.4250,-35.0351
158.8160,-37.1106
150.9320,-39.2613
142.8580,-41.4642
134.6760,-43.6964
128.8180,-45.3883
122.9950,-47.0185
117.0070,-48.5238
111.0900,-49.6794
104.9310,-50.2868
98.9144,-50.6981
92.5361,-51.2622
86.2119,-51.9388
79.9473,-52.6913
73.9936,-53.4421
68.0399,-54.1929
61.8748,-55.0659
55.7815,-56.1710
49.6986,-57.9773
43.9098,-60.2592
38.0847,-62.8409
32.0141,-65.7284
26.4581,-68.3995
20.6305,-71.2003
14.4356,-74.1768
8.5501,-77.0035
2.8481,-79.7399
-2.6649,-82.3096
-8.7957,-84.9112
-14.8303,-87.3042
-20.6857,-89.4467
-26.6722,-91.3997
-33.0226,-93.2003
-39.3466,-94.7404
-45.6344,-96.0140
-52.0302,-97.1068
-58.6040,-98.0444
-64.7870,-98.8844
-70.9700,-99.7244
-77.1531,-100.5640
-83.3361,-101.4040
-89.5192,-102.2440
-95.7022,-103.0840
-101.8850,-103.9240
-108.0910,-104.8850
-114.2950,-106.0150
-120.3510,-107.2810
-126.7880,-108.9580
-132.7840,-111.0350
-138.5250,-113.4470
-143.9500,-116.1010
-149.4600,-119.2970
-154.6570,-122.7510
-159.7490,-126.5830
-164.6040,-130.7540
-169.1320,-135.2430
-173.5140,-140.0560
-177.2560,-144.7520
-180.6890,-150.1810
-183.4430,-155.9240
-185.3310,-161.8330
-186.2260,-167.9970
-186.2470,-174.1400
-185.8500,-180.1360
-185.1860,-186.1720
-184.1930,-192.2710
-182.7170,-198.3380
-180.8490,-204.2300
-178.5790,-210.0640
-176.0820,-215.5270
-173.1060,-220.9990
-169.4310,-226.2300
-165.3730,-230.9000
-160.7780,-235.6120
-156.3910,-240.0100
-152.0030,-244.4080
-147.6150,-248.8050
-143.3770,-253.1910
-139.5120,-258.0830
-136.2390,-263.1330
-133.4680,-268.4980
-132.2540,-274.3940
-133.6130,-280.3320
-135.6870,-286.1350
-138.6140,-291.6740
-141.5770,-297.2130
-144.6220,-302.7940
-147.6230,-308.0210
-150.8710,-313.3240
-154.3870,-318.6460
-157.9450,-323.5090
-161.6450,-328.3800
-165.2700,-333.1760
-168.8950,-337.9730
-172.5200,-342.7690
-176.1450,-347.5660
-179.7700,-352.3630
-184.8840,-358.8720
-189.7820,-365.0690
-194.6810,-371.2660
-199.5790,-377.4640
-204.4770,-383.6610
-209.3760,-389.8590
-214.2740,-396.0560
-219.1730,-402.2540
-224.0710,-408.4510
