x,z
-373.1170,1131.9200
-374.4450,1138.4300
-376.0880,1147.1300
-377.8410,1156.0400
-379.2910,1164.5900
-380.6350,1174.0400
-381.6360,1182.6300
-382.4960,1191.9000
-383.1830,1201.8700
-383.5870,1210.3800
-383.8450,1219.3800
-383.9410,1228.8700
-383.8810,1237.3300
-383.5780,1245.5300
-383.1070,1253.5800
-382.4470,1262.7600
-381.7420,1271.3000
-380.9200,1280.2700
-379.9890,1289.4800
-378.9610,1298.7400
-377.8280,1307.9900
-376.6990,1316.7900
-375.6040,1325.2900
-374.4670,1334.0700
-373.3260,1342.8300
-372.1860,1351.5900
-371.0530,1360.3700
-369.9610,1368.8800
-369.2270,1377.3200
-369.9190,1385.4300
-373.6460,1392.6800
-379.9880,1397.6100
-387.1950,1401.5200
-394.6790,1404.9000
-402.4480,1408.2000
-410.1620,1411.2900
-417.7160,1414.4300
-424.5830,1418.8700
-429.7840,1425.1400
-432.5550,1432.8600
-433.0610,1441.3400
-431.2090,1449.5900
-427.2790,1456.6700
-421.7490,1462.5000
-414.9990,1466.9000
-407.4510,1469.6100
-399.2450,1471.3000
-391.0730,1471.8900
-382.9040,1471.4500
-375.0000,1470.0000
-367.0550,1468.1300
-358.7960,1465.9000
-350.8060,1463.5800
-342.8010,1461.1300
-334.9900,1458.6500
-326.7930,1456.0100
-318.6950,1453.3800
-310.8730,1450.9400
-303.1600,1448.5500
-295.0660,1445.9800
-287.2600,1443.3300
-279.2420,1440.2300
-271.8340,1436.8500
-264.3520,1432.8900
-257.4190,1428.8400
-250.1660,1424.4200
-243.2610,1419.8300
-236.0710,1414.6400
-229.1200,1409.3700
-222.7710,1404.3900
-216.1440,1399.0700
-209.3160,1393.4600
-202.3660,1387.6300
-194.5850,1380.9800
-187.7240,1375.0600
-181.4430,1369.6200
-174.3010,1363.4000
-167.8200,1357.6900
-160.7270,1351.3700
-154.1580,1345.4100
-147.8800,1339.5900
-141.6600,1333.7200
-135.2630,1327.5700
-129.4250,1321.8500
-123.6330,1316.1200
-117.9590,1310.3600
-113.2040,1303.7900
-110.7430,1296.0000
-111.6690,1287.9600
-114.1140,1280.2700
-116.9590,1272.7800
-119.5690,1265.1500
-121.9380,1257.1800
-122.7470,1248.7200
-121.0780,1240.8500
-117.1520,1233.6900
-111.8180,1227.2300
-105.7110,1220.1700
-99.6122,1212.9900
-93.5532,1205.7500
-87.5672,1198.5000
-81.6874,1191.3000
-75.9467,1184.2100
-70.3780,1177.2700
-65.0144,1170.5500
-59.8888,1164.1000
-53.8669,1156.5100
-48.3328,1149.5400
-42.4266,1142.1300
-37.1987,1135.8800
-31.6042,1130.1500
-25.1192,1125.0700
-18.0405,1120.6600
-10.9780,1116.6100
-3.6303,1111.8300
2.9280,1106.5100
8.8917,1101.0100
15.3068,1094.7300
21.2450,1088.1300
26.7322,1080.8300
31.1839,1073.5500
35.3275,1065.1700
38.6471,1056.9200
41.1987,1049.3200
43.6138,1040.3400
45.3668,1031.7800
46.5607,1023.8200
47.3840,1015.5300
47.7926,1006.8900
47.7275,998.8250
47.6035,990.7540
47.4573,981.7110
47.3281,973.6820
47.1833,964.6070
47.0276,954.7170
46.8982,946.3740
46.7672,937.7740
46.6369,929.0370
46.5095,920.2810
46.3821,911.3350
46.2517,902.4080
46.1290,893.8690
46.0233,885.8600
45.9361,877.6590
45.8935,869.0810
46.2127,860.4590
48.0767,852.5530
52.0347,845.2420
57.7903,839.3730
64.9315,835.3220
73.0023,833.2730
81.0589,833.7710
88.9145,835.9580
96.8964,838.1560
104.9560,839.8040
113.3740,839.9920
121.3870,838.1310
129.1360,834.9240
136.3970,831.0230
143.0520,826.0470
149.1320,820.1890
154.7880,813.3830
159.5930,806.1470
163.3840,798.9650
166.6880,790.8540
169.4230,782.1390
171.7760,773.5980
173.8010,765.2510
175.5470,757.0910
177.0610,749.1080
178.5950,740.0070
179.9510,731.1200
181.2020,722.4350
182.3120,714.3410
183.1030,706.2240
183.7530,697.9890
184.3390,689.9180
184.9220,681.6620
185.4980,673.4710
186.0690,665.2500
186.6830,656.3660
187.2750,647.8800
187.9180,638.8100
188.5280,630.3700
189.1900,621.4410
189.8360,612.4010
190.3620,603.1800
190.7910,593.5660
191.1270,583.6850
191.3770,573.6670
191.5460,563.6390
191.6400,553.7290
191.6640,544.0660
191.6240,534.7770
191.5250,525.9900
191.3730,517.8340
191.1170,508.7220
190.7060,499.3210
190.1450,489.4860
189.5240,479.6040
188.8430,469.7080
188.1020,459.8300
187.3010,450.0050
186.4380,440.2640
185.5120,430.6420
184.5240,421.1710
183.4730,411.8850
182.3590,402.8150
181.1790,393.9970
179.9350,385.4620
178.6250,377.2440
176.7760,366.8370
174.8080,357.1300
172.7200,348.2020
170.5700,340.2500
168.2180,331.9360
165.7500,323.3200
163.1760,314.3740
160.8880,306.4220
158.5330,298.1910
156.1130,289.6620
153.6330,280.8180
151.1080,271.6730
148.9480,263.4890
146.8390,255.0230
144.9450,247.1590
143.0200,239.0600
141.0270,230.7230
139.0580,222.6950
136.8930,214.8320
134.6550,206.7630
132.4040,198.9250
129.9200,190.8630
127.0630,183.3790
121.2730,177.1540
113.3780,175.6670
105.3230,176.3090
97.0592,176.1480
89.1707,174.6850
81.6439,171.5550
74.7452,167.2100
68.7913,161.6980
63.3919,155.5440
58.6375,149.0070
54.6068,142.0250
51.4602,134.4770
48.6981,126.6970
46.1144,119.0880
43.5918,111.4150
41.1018,103.6130
38.7049,95.8852
35.9723,86.7944
33.6342,78.7842
31.2843,70.5266
28.9433,62.0886
26.6319,53.5371
24.3708,44.9389
22.1806,36.3611
20.0820,27.8704
18.0958,19.5339
16.2426,11.4184
14.5430,3.5908
12.8977,-4.3571
11.2487,-12.2905
9.5747,-20.3134
7.8871,-28.4241
6.2473,-36.3784
4.6107,-44.4402
2.9529,-52.7969
1.3708,-60.9951
-0.1892,-69.2721
-1.7351,-77.6342
-3.2752,-86.0879
-4.8735,-94.7351
-6.5190,-103.3680
-7.9874,-111.3410
-9.3720,-119.6080
-10.6169,-128.3390
-11.6014,-136.6270
-12.5005,-144.7620
-13.2192,-152.7640
-13.7814,-160.8010
-14.3032,-169.4580
-14.7854,-177.8020
-15.3983,-189.0460
-15.8886,-198.8700
-16.2668,-207.3940
-16.6154,-216.9440
-16.8370,-226.3620
-16.8542,-234.6990
-16.5510,-243.1320
-15.9842,-251.7960
-15.6693,-260.4680
-14.9052,-269.2030
-13.8343,-277.7120
-12.4366,-286.9600
-11.0614,-295.0930
-9.5283,-303.4920
-7.8686,-312.0480
-6.1138,-320.6470
-4.2953,-329.1790
-2.4443,-337.5320
-0.5122,-346.1270
1.2968,-354.3290
3.0760,-362.5100
4.8523,-370.7460
6.6529,-379.1150
8.5048,-387.6930
10.4350,-396.5570
12.1610,-404.3870
14.0367,-412.5730
15.9248,-420.4340
16.4366,-428.4850
13.8234,-436.2710
7.9503,-441.8230
-0.0085,-444.2270
-8.0399,-443.1390
-14.7246,-438.6680
-19.3249,-431.7390
-21.5988,-423.8810
-23.2976,-415.6970
-24.8943,-407.3980
-26.2521,-399.3600
-27.5012,-391.3640
