x,z
622.0770,602.2680
621.5480,597.0280
621.0100,591.7270
620.4710,586.4270
619.9330,581.1260
619.3950,575.8260
618.8560,570.5250
618.3180,565.2240
617.7800,559.9240
617.2410,554.6230
616.7030,549.3230
616.1650,544.0220
615.6270,538.7220
615.0880,533.4210
614.5500,528.1210
614.0120,522.8200
613.4730,517.5190
612.9350,512.2190
612.3970,506.9180
611.8590,501.6180
611.3200,496.3170
610.7820,491.0170
610.2430,485.7160
609.7050,480.4150
609.1670,475.1150
608.6290,469.8140
608.0900,464.5140
607.5520,459.2130
607.0140,453.9130
606.4750,448.6120
605.9370,443.3120
605.3990,438.0110
604.8600,432.7100
604.3220,427.4100
603.7840,422.1090
603.2450,416.8090
602.7070,411.5080
602.1690,406.2080
601.6310,400.9070
601.0920,395.6070
600.5540,390.3060
600.0160,385.0060
599.4770,379.7050
598.9390,374.4050
598.4010,369.1040
597.8630,363.8040
597.3240,358.5030
596.7860,353.2030
596.2480,347.9020
595.7090,342.6020
595.1710,337.3010
594.6330,332.0010
594.0940,326.7000
593.5560,321.4000
593.0180,316.0990
592.5100,311.0960
592.0160,306.1050
591.4870,300.8980
590.9410,295.5560
590.3830,290.1020
589.8520,284.9140
589.3330,279.8530
588.7620,274.2810
588.2500,269.2830
587.7080,263.9970
587.1390,258.4510
586.5470,252.6750
585.9340,246.7010
585.3030,240.5570
584.7890,235.5410
584.2670,230.4510
583.7390,225.3020
583.2060,220.1110
582.6710,214.8920
582.1340,209.6610
581.5980,204.4340
581.0630,199.2250
580.5320,194.0500
580.0060,188.9250
579.4870,183.8640
578.9760,178.8840
578.3520,172.7950
577.7460,166.8850
577.2760,161.8370
576.8100,156.5020
576.3430,151.1660
575.8770,145.8310
575.4100,140.4960
574.9440,135.1600
574.4770,129.8250
574.0110,124.4890
573.5440,119.1540
573.0780,113.8180
572.6110,108.4830
572.1450,103.1470
571.6780,97.8119
571.2120,92.4765
570.7450,87.1410
570.2790,81.8056
569.8120,76.4701
569.3460,71.1347
568.8790,65.7992
568.4130,60.4638
567.9460,55.1283
567.4800,49.7929
567.0130,44.4574
566.5470,39.1220
566.0800,33.7865
565.6140,28.4511
565.1470,23.1156
564.5490,16.2702
564.0500,10.5512
563.5510,4.8321
563.0520,-0.8869
562.5530,-6.6059
562.0550,-12.3250
561.5560,-18.0440
561.0570,-23.7630
560.5580,-29.4821
560.0590,-35.2011
559.5600,-40.9201
559.0610,-46.6392
558.5620,-52.3582
558.0630,-58.0772
557.5650,-63.7962
557.0660,-69.5153
556.5670,-75.2343
556.0680,-80.9533
555.5690,-86.6724
555.0700,-92.3914
554.5710,-98.1104
554.0720,-103.8290
553.5730,-109.5490
553.0740,-115.2680
552.5760,-120.9870
552.0770,-126.7060
551.5780,-132.4250
551.0790,-138.1440
550.5800,-143.8630
550.0810,-149.5820
549.5820,-155.3010
549.0830,-161.0200
548.5840,-166.7390
548.0850,-172.4580
547.5860,-178.1770
547.0880,-183.8960
546.5890,-189.6150
546.0900,-195.3340
545.5910,-201.0530
545.0920,-206.7720
544.5930,-212.4910
544.0940,-218.2100
543.5950,-223.9290
543.0960,-229.6480
542.5980,-235.3670
542.0990,-241.0860
541.6000,-246.8050
541.1010,-252.5240
540.6020,-258.2430
540.1030,-263.9620
539.6040,-269.6810
539.1050,-275.4000
538.6060,-281.1190
538.1070,-286.8380
537.6090,-292.5570
537.1260,-297.5740
536.6210,-302.6020
536.0910,-307.6920
535.5520,-312.7920
534.7810,-317.8570
532.7590,-322.5590
529.0370,-325.9670
524.2660,-327.7390
519.1930,-327.6340
514.1820,-327.1820
509.1310,-326.8190
504.1310,-326.7830
499.1500,-327.6370
494.8300,-330.2140
492.1100,-334.4500
491.0110,-339.3600
490.9710,-344.3730
491.7380,-349.3880
492.8780,-354.2780
494.1630,-359.6800
495.5090,-364.8410
496.8550,-370.0020
498.2000,-375.1630
499.5460,-380.3240
500.8920,-385.4850
502.2370,-390.6460
503.5830,-395.8070
504.9290,-400.9680
506.2740,-406.1290
507.6200,-411.2890
508.9660,-416.4500
510.3110,-421.6110
511.6570,-426.7720
512.8160,-431.8820
513.9120,-436.9510
515.0170,-441.9730
516.0340,-446.9400
516.9310,-452.0220
517.6460,-457.0230
518.2270,-461.9990
518.7480,-467.1180
519.2040,-472.1270
519.6260,-477.2390
520.0030,-482.3170
520.3510,-487.5870
520.6440,-492.8140
520.8590,-497.9640
520.9090,-503.0700
520.7570,-508.0940
520.4470,-513.2150
520.1420,-518.3570
519.8140,-523.4250
519.4030,-528.4390
518.9920,-533.4520
518.4990,-539.3340
518.0610,-544.5100
517.6220,-549.6850
517.1840,-554.8610
516.7450,-560.0360
516.3070,-565.2120
515.8680,-570.3870
515.4300,-575.5630
514.9910,-580.7380
514.5530,-585.9130
514.1140,-591.0890
513.6760,-596.2640
513.2370,-601.4400
512.7990,-606.6150
512.3600,-611.7910
511.9220,-616.9660
511.4830,-622.1410
511.0450,-627.3170
510.6070,-632.4920
510.1680,-637.6670
509.7300,-642.8430
509.2910,-648.0180
508.7350,-653.0400
507.9910,-658.0390
507.0860,-663.3740
506.0950,-668.7030
505.0790,-673.7820
503.9680,-678.9710
502.7790,-684.1580
501.5270,-689.2300
500.2280,-694.0770
498.7580,-699.0370
497.2030,-703.8730
495.5460,-708.6980
493.7910,-713.5080
491.9440,-718.2970
490.0090,-723.0590
487.9900,-727.7890
485.8920,-732.4800
483.7200,-737.1280
481.4780,-741.7250
479.1700,-746.2700
476.7850,-750.7790
474.3210,-755.2580
471.7790,-759.7010
469.1590,-764.1030
466.4630,-768.4600
463.6920,-772.7680
460.8460,-777.0230
457.9260,-781.2200
454.9340,-785.3550
451.8680,-789.4260
