x,z
389.2100,132.3790
389.0870,129.4790
388.7310,120.9130
388.3310,112.3770
387.9900,103.8540
387.6050,95.3172
387.2200,86.7829
386.8630,78.2751
386.5070,69.6664
386.1210,61.1753
385.7510,52.6690
385.3940,44.1343
385.0240,35.5547
384.6680,27.0624
384.3120,18.5123
383.8970,9.9903
383.5410,1.4536
383.1400,-7.0828
382.7840,-15.6189
382.4270,-24.1550
382.0710,-32.6910
381.7150,-41.2271
381.3590,-49.7632
381.0030,-58.2994
380.6460,-66.8356
380.2890,-75.4147
379.9200,-84.0482
379.5100,-92.4278
379.1360,-100.8630
378.7240,-110.1170
378.3830,-118.5270
377.9770,-127.2730
377.5960,-136.0990
377.1990,-144.9380
376.8170,-153.7800
376.4350,-162.6080
376.0530,-171.4610
375.7000,-180.3140
375.3030,-189.1240
374.8920,-197.9630
374.5100,-206.8330
374.1290,-215.6420
373.7610,-224.5000
373.3940,-233.3550
373.0260,-242.2100
372.6300,-251.0340
372.2340,-259.8440
371.8810,-268.7140
371.4990,-277.5240
371.1180,-286.3810
370.7500,-295.2200
370.3390,-304.0440
369.9710,-312.9000
369.5750,-321.7540
369.1930,-330.6090
368.7970,-339.4190
368.4150,-348.2440
368.0330,-357.0680
367.6660,-365.9530
367.2980,-374.8080
366.8730,-383.6770
366.5350,-392.4440
366.1240,-401.3410
365.7570,-410.2540
365.3610,-418.9770
364.9930,-427.9050
364.6260,-436.7580
364.2430,-445.5550
363.8320,-454.3500
363.4650,-463.1620
363.0390,-472.0460
362.6130,-480.8420
362.2020,-489.7710
361.7040,-498.6110
361.2640,-507.3780
360.8090,-516.2470
360.3390,-525.0430
359.8990,-533.8960
359.4000,-542.7240
358.9450,-551.5630
358.5550,-559.6170
358.0880,-568.1120
357.7020,-576.2890
357.3190,-584.4620
356.8970,-592.6110
354.4710,-600.4680
347.4690,-604.5560
339.4100,-603.0610
332.7010,-598.3420
326.5960,-592.4010
320.5990,-586.6550
314.6960,-580.9950
308.7930,-575.3350
302.8900,-569.6760
296.9870,-564.0160
291.0890,-558.3600
285.0950,-552.6390
278.9220,-547.2150
271.4210,-543.8080
263.2830,-544.0990
255.0830,-546.6010
247.0930,-549.1300
239.3030,-551.5940
231.5120,-554.0590
223.7200,-556.5240
215.9290,-558.9880
208.1380,-561.4530
200.3460,-563.9170
192.5250,-566.4010
184.5360,-568.7500
176.4860,-570.7020
168.3430,-572.0250
160.0630,-572.5820
151.7570,-572.4270
143.5480,-571.5820
135.3980,-570.2180
127.1830,-568.6330
119.1180,-567.1000
111.0440,-565.5640
102.9710,-564.0280
94.9045,-562.4940
86.7111,-560.9350
78.6683,-559.4050
70.3965,-557.8320
61.9996,-556.2340
53.5038,-554.6180
45.0742,-553.0150
36.6409,-551.4110
28.5781,-549.8770
20.3721,-548.3160
12.1097,-546.7450
4.2047,-545.2420
-3.7002,-543.7380
-11.6052,-542.2350
-19.5102,-540.7310
-27.4152,-539.2280
-35.3202,-537.7240
-43.2252,-536.2210
-51.1302,-534.7170
-59.0351,-533.2140
-66.9401,-531.7110
-74.8451,-530.2070
-82.7501,-528.7040
-90.6551,-527.2000
-98.5601,-525.6970
-106.4650,-524.1940
-114.3700,-522.6900
-122.2750,-521.1870
-130.1800,-519.6830
-138.0850,-518.1800
-145.9900,-516.6760
-153.8950,-515.1730
-161.8000,-513.6700
-169.7050,-512.1660
-177.6100,-510.6630
-185.5150,-509.1590
