x,z
-101.5430,330.1050
-94.1161,331.8320
-85.6437,333.8040
-77.1860,335.7720
-68.7444,337.7360
-60.3200,339.6960
-51.9140,341.6530
-43.5275,343.6040
-35.1617,345.5510
-26.8179,347.4920
-18.4972,349.4280
-10.2008,351.3590
-1.9299,353.2830
6.3144,355.2020
14.5308,357.1140
22.7182,359.0190
30.8753,360.9170
39.0011,362.8080
47.0878,364.6890
55.2747,366.5940
63.3561,368.4740
71.3441,370.3330
79.1387,372.1470
87.0871,373.9960
95.4340,375.9380
103.7320,377.8690
111.9840,379.7890
120.1920,381.6980
128.3600,383.5990
136.4910,385.4910
144.5880,387.3740
152.6530,389.2510
160.6890,391.1200
168.7000,392.9840
176.6350,394.8300
184.6830,396.7030
192.7500,398.5800
200.6880,400.4260
208.6150,402.2710
216.5340,404.1130
224.4490,405.9540
232.3610,407.7950
240.2740,409.6360
248.1910,411.4780
256.1150,413.3210
264.0490,415.1670
271.9950,417.0160
280.1370,418.9100
288.0100,420.7420
296.0130,422.6040
304.0400,424.4710
312.0940,426.3450
320.1790,428.2260
328.2970,430.1150
336.4510,432.0120
344.6450,433.9180
352.8800,435.8340
361.1610,437.7610
369.4900,439.6990
377.8710,441.6500
386.1960,443.5540
394.6080,444.8320
402.8920,445.3850
411.3650,445.2430
419.6680,444.3950
427.7520,442.8240
435.6130,440.6880
443.5470,437.5710
451.1010,433.8020
458.3560,429.4780
465.0400,424.6550
471.5030,419.0750
477.4050,412.9790
482.5750,406.5540
487.2230,399.6030
491.2200,392.0850
494.3730,384.3550
496.8590,376.3480
498.5700,368.1420
499.4260,359.8050
499.5380,351.4600
498.8450,343.0970
497.3780,334.6430
494.9810,326.5020
491.8270,318.7120
487.5840,311.3370
482.4300,304.7800
476.2720,299.1390
469.4240,294.5930
461.6820,291.0300
453.7250,288.6540
445.4200,287.4230
437.0380,287.3270
428.7880,288.5280
420.9140,291.1570
413.6710,295.4890
407.8880,301.4450
403.7570,308.6170
401.8890,316.6360
402.0460,324.8520
404.0840,332.8280
407.4160,340.4040
410.8680,348.1020
413.4910,356.0160
414.5540,364.1900
413.0010,372.3140
409.3130,379.8660
403.6290,386.2730
396.5080,390.9570
388.5440,393.6430
380.1490,393.9920
371.9710,391.8530
364.7140,387.7910
358.7800,382.1580
353.7460,375.5810
349.3890,368.1610
345.5790,360.6480
342.4730,353.3010
339.7540,345.6120
337.5120,337.3060
335.9670,328.8880
335.7960,320.8100
336.3220,312.2320
337.9280,303.9150
340.5460,295.9380
344.2470,288.3790
348.6650,281.4240
353.6430,274.8500
359.0370,268.3550
364.5020,262.1310
369.8700,256.1950
375.3250,249.9530
380.6360,243.8700
386.2690,237.4230
391.5830,231.3450
397.1020,225.0360
402.7970,218.5280
408.6410,211.8520
413.9460,205.7930
419.5900,199.3490
424.9070,193.2800
430.3840,187.0300
435.8820,180.7580
441.3810,174.4840
446.8630,168.2320
452.2950,162.0370
458.2250,155.2760
463.6010,149.1470
469.4560,142.4720
475.1630,135.9680
480.6960,129.6620
486.0270,123.5860
491.6810,117.1430
497.0160,111.0650
502.4710,104.8500
508.3190,98.1884
514.0390,91.6732
519.7490,85.1680
525.3980,78.7085
530.7910,71.9887
535.6340,65.0146
539.8780,57.7667
543.3900,50.1646
546.2760,42.3706
549.0980,34.2143
551.8890,26.1034
554.6290,17.9734
557.3770,10.0477
560.1620,2.0129
562.9360,-5.9902
565.7290,-14.0505
568.5000,-22.0456
571.2870,-30.0908
574.0690,-38.1221
576.8240,-46.0756
579.5490,-53.9405
582.2950,-61.8683
584.9380,-69.5002
587.7670,-77.6682
590.5300,-85.6475
593.2640,-93.5445
596.0060,-101.4610
598.7110,-109.3000
601.5220,-117.3080
604.3910,-125.3340
607.1120,-132.8850
609.9630,-140.7080
612.5540,-148.9870
613.6440,-157.0370
612.5700,-165.3680
607.9040,-172.2960
600.2150,-175.8900
591.8360,-176.2620
583.6990,-173.4470
576.8690,-169.1070
570.1100,-164.3710
563.2920,-159.6560
556.4870,-154.6840
549.8430,-149.4240
543.6070,-143.9860
537.4500,-138.3400
531.5330,-132.4780
525.6320,-126.2280
520.0090,-119.8360
514.7240,-113.3240
509.9190,-106.8600
505.3030,-100.2120
500.6220,-93.0786
496.3150,-86.1804
491.9700,-78.8968
487.8910,-71.7249
483.7180,-64.4821
479.6080,-57.3494
475.4970,-50.2168
