x,z
455.2080,346.3240
450.0800,339.2230
444.9860,332.0980
439.9070,324.9620
434.7680,317.8690
429.6750,310.7420
424.5110,303.6660
419.3660,296.5780
414.2370,289.4780
409.1060,282.3800
403.9800,275.2780
398.8640,268.1680
393.7230,261.0770
388.5930,253.9780
383.4730,246.8720
378.3640,239.7800
373.4660,232.9820
368.3220,225.8870
363.2240,218.7650
358.0990,211.6620
352.9930,204.5460
347.8320,197.4690
342.7010,190.3710
337.5680,183.2730
332.3950,176.2050
327.2780,169.0980
322.1500,161.9980
317.0470,154.8810
311.9290,147.7740
306.7980,140.6750
301.6950,133.5570
296.5720,126.4530
291.4120,119.3750
286.3050,112.2590
281.1720,105.1610
276.0590,98.0492
270.9580,90.9293
265.8120,83.8409
260.7000,76.7286
255.5430,69.6032
250.6600,62.8612
245.5360,55.7582
240.3870,48.6727
235.2700,41.5644
230.1950,34.4267
225.0930,27.3087
219.9210,20.2527
214.3100,14.0287
207.7910,8.7978
200.2330,4.4800
192.4410,1.3271
183.9820,-0.8126
175.3520,-2.3091
166.6600,-3.3934
157.9310,-4.0999
149.1730,-4.1945
140.4180,-3.9315
131.6810,-3.3256
122.9720,-2.3932
114.2790,-1.3182
105.5820,-0.2812
96.8905,0.8076
88.1998,1.8996
79.4988,2.9094
70.8066,3.9951
62.1082,5.0237
53.4124,6.0745
44.7190,7.1469
36.0149,8.1221
27.2708,8.6161
18.5174,8.3832
9.7790,7.8051
1.1103,6.5580
-7.4830,4.8681
-15.9727,2.7176
-24.2936,-0.0126
-32.4379,-3.2324
-40.3863,-6.9101
-48.1118,-11.0363
-55.5499,-15.6607
-62.6865,-20.7350
-69.5360,-26.1921
-76.2060,-31.8700
-82.8841,-37.5375
-89.5788,-43.1860
-96.2855,-48.8208
-102.9800,-54.4694
-109.6610,-60.1339
-116.3630,-65.7730
-123.0780,-71.3969
-129.7960,-77.0164
-136.4950,-82.6600
-143.1970,-88.2989
-149.8950,-93.9426
-156.5760,-99.6068
-163.2880,-105.2340
-169.9940,-110.8680
-176.6870,-116.5190
-183.3850,-122.1630
-190.0760,-127.8150
-196.7590,-133.4770
-203.5180,-139.0470
-210.3300,-143.8720
-217.9780,-147.2170
-226.5940,-148.6030
-235.1500,-147.0170
-242.5040,-142.3600
-247.7650,-135.4220
-250.6520,-127.5500
-253.4490,-119.2500
-256.2860,-110.9640
-259.0870,-102.6640
-261.9360,-94.3817
-264.7370,-86.0826
-267.5340,-77.7825
-270.3680,-69.4150
-273.0720,-61.5832
-275.8590,-53.2801
-278.6460,-45.0058
-281.8490,-37.2634
-286.9460,-30.3909
-294.0430,-25.3324
-302.4660,-23.2008
-311.0590,-24.5714
-318.3100,-29.3611
-323.3760,-36.4915
-326.8830,-43.8235
-330.4810,-51.8081
-333.9030,-59.8697
-337.0220,-68.0540
-339.8970,-76.3275
-342.5480,-84.6745
-345.0040,-93.0821
-347.2360,-101.5500
-349.3140,-110.0590
-351.1540,-118.6230
-352.7290,-127.2390
-354.0510,-135.8970
-355.1480,-144.5860
-355.9360,-153.3100
-356.5290,-162.0860
-357.0470,-170.8090
-357.1450,-179.5470
-356.9960,-188.3030
-356.2550,-196.4060
-354.3020,-204.9560
-350.7060,-212.9120
-345.2890,-219.5540
-338.7090,-225.2980
-332.1690,-231.1230
-325.6280,-236.9490
-319.1070,-242.7960
-312.5760,-248.6330
-306.0260,-254.4460
-299.5070,-260.2970
-292.9870,-266.1460
-286.3990,-271.9190
-279.7450,-277.6150
-273.0990,-283.3220
-266.4540,-289.0290
-259.8100,-294.7360
-253.1650,-300.4430
-246.5200,-306.1510
-239.8750,-311.8580
-233.2300,-317.5660
-226.6040,-323.2940
-219.9740,-329.0190
-213.3270,-334.7250
-206.6810,-340.4300
-200.0350,-346.1370
-193.3930,-351.8510
-186.7510,-357.5640
-180.1060,-363.2730
-173.4610,-368.9840
-166.8140,-374.6930
-160.1680,-380.4010
-153.5220,-386.1090
-146.8750,-391.8160
-140.2290,-397.5250
-133.5830,-403.2340
-126.9380,-408.9440
-120.2940,-414.6550
-113.6500,-420.3650
-107.0070,-426.0770
-100.3630,-431.7880
-93.7206,-437.5000
-87.0826,-443.2180
-80.4454,-448.9370
-73.7946,-454.6400
-67.1431,-460.3420
-60.4955,-466.0490
-53.8441,-471.7520
-47.1965,-477.4580
-40.5536,-483.1700
-33.8929,-488.8620
-27.2399,-494.5630
-20.5964,-500.2740
-13.9574,-505.9920
-7.3132,-511.7020
-0.6662,-517.4090
5.9840,-523.1130
12.6278,-528.8240
19.2588,-534.5490
25.8872,-540.2790
32.5332,-545.9870
39.2191,-551.6500
45.9425,-557.2680
52.6686,-562.8820
59.3885,-568.5040
66.1178,-574.1140
72.8288,-579.7460
79.5341,-585.3850
86.2420,-591.0220
92.9579,-596.6470
99.6730,-602.2740
106.3820,-607.9090
113.0910,-613.5430
119.8060,-619.1690
126.5250,-624.7920
133.2450,-630.4130
139.9850,-636.0080
147.2620,-640.8730
155.0400,-644.8930
163.2610,-647.9090
171.7040,-650.1970
179.9990,-651.2860
188.7550,-651.4430
197.4740,-650.6370
206.0270,-648.7740
214.3410,-646.0250
222.4290,-642.6610
229.6860,-638.6410
236.1560,-632.7630
240.9040,-625.8550
243.9190,-618.0720
245.2070,-609.8000
245.8110,-601.0670
246.4160,-592.3280
247.0150,-583.5870
247.6610,-574.8500
248.2970,-566.1120
248.9180,-557.3740
249.5280,-548.6340
250.6240,-539.9500
252.6870,-532.1520
255.9310,-524.5710
260.6980,-517.2300
266.5290,-510.7020
273.3670,-505.2410
281.0080,-500.9730
289.2430,-498.0110
297.8200,-496.4140
306.2240,-496.2080
314.8640,-497.4100
323.2370,-499.9540
331.0630,-503.8720
338.1380,-509.0140
344.2900,-515.2390
349.3610,-522.3690
353.2220,-530.2240
355.6470,-538.6290
356.7140,-547.3130
356.4400,-556.1630
354.7690,-564.2280
351.8630,-572.1050
348.1620,-580.0140
344.4420,-587.9460
340.7450,-595.8880
337.0730,-603.8410
333.3580,-611.7750
329.6490,-619.7110
325.9770,-627.6660
322.3390,-635.6350
318.6990,-643.6040
315.1060,-651.5940
311.5140,-659.5840
307.9180,-667.5730
304.3060,-675.5540
300.7090,-683.5420
296.9320,-691.4450
292.7340,-699.1310
288.1550,-706.5990
283.2450,-713.8530
277.9520,-720.8330
272.5490,-727.7290
267.0150,-734.5190
261.3260,-741.1820
255.4130,-747.6440
249.1780,-753.7970
242.7610,-759.7610
236.2350,-765.6060
229.5430,-771.2580
222.6270,-776.6370
215.6510,-781.9350
208.5300,-787.0340
201.2020,-791.8320
193.5880,-796.1640
185.7790,-800.1310
177.7070,-803.5350
169.4950,-806.5850
161.1810,-809.3450
152.7430,-811.6980
144.1950,-813.6110
135.5650,-815.1160
126.8850,-816.2960
118.2110,-817.5190
109.5330,-818.7240
100.8460,-819.8460
92.1585,-820.9800
83.4866,-822.2040
74.8073,-823.3920
66.1136,-824.4670
57.4341,-825.6440
48.7429,-826.7460
40.0552,-827.8730
31.3631,-828.9690
22.6768,-830.1010
13.9956,-831.2810
5.3034,-832.3640
-3.3782,-833.5300
-12.0644,-834.6670
-20.7559,-835.7640
-29.4474,-836.8610
-38.1413,-837.9390
-46.8460,-838.9210
-55.5542,-839.8800
-64.2661,-840.7980
-72.9727,-841.7680
-81.6861,-842.6770
-90.3905,-843.6480
-99.0989,-844.6110
-107.8020,-845.6060
-116.5180,-846.4820
-125.2280,-847.4240
-133.9390,-848.3570
-142.6470,-849.3120
-151.3590,-850.2250
-160.0710,-851.1480
-168.7780,-852.1240
-177.4890,-853.0740
-186.1990,-854.0300
-194.9100,-854.9760
-203.6220,-855.9150
-212.3320,-856.8760
-221.0440,-857.8190
-229.7560,-858.7580
-238.4690,-859.6970
-247.1870,-860.5630
-255.9120,-861.3720
-264.6440,-862.0960
-273.3880,-862.6400
-282.1450,-862.4460
-290.8160,-861.2260
-299.2960,-859.0320
-307.5660,-856.1390
-315.5520,-852.5400
-323.1950,-848.2590
-330.3860,-843.2560
-337.0970,-837.6250
-343.2420,-831.3860
-348.7720,-824.5910
-353.6690,-817.3280
-357.7520,-809.5800
-361.3250,-801.5800
-364.6180,-793.4590
-367.7540,-785.2770
-370.8300,-777.0730
-373.8730,-768.8560
-376.8020,-760.5960
-379.6330,-752.3040
-382.3970,-743.9890
-385.1220,-735.6600
-387.7460,-727.2990
-390.2550,-718.9040
-392.6410,-710.4720
-395.0130,-702.0360
-397.2900,-693.5750
-399.5050,-685.0960
-401.6040,-676.5880
-403.6200,-668.0600
-405.5900,-659.5230
-407.4860,-650.9680
-409.2780,-642.3890
-410.9290,-633.7840
-412.5760,-625.1780
-414.0860,-616.5460
-415.5390,-607.9050
-416.9090,-599.2500
-418.1650,-590.5780
-419.4070,-581.9040
-420.4640,-573.2050
-421.4080,-564.4930
-422.3590,-555.7820
-423.1810,-547.0600
-423.9530,-538.3320
-424.6300,-529.5960
-425.3000,-520.8590
-425.9260,-512.1190
-426.5080,-503.3750
-427.1170,-494.6340
-427.7660,-485.8950
-428.3690,-477.1540
-428.9860,-468.4140
-429.6300,-459.6750
-430.2400,-450.9330
-430.8510,-442.1920
-431.4490,-433.4500
-432.1230,-424.7130
-432.7540,-415.9730
-433.3920,-407.2340
-434.0150,-398.4940
-434.6780,-389.7570
-435.3090,-381.0180
-436.1080,-372.2920
-437.2940,-363.6110
-439.0740,-355.0350
-441.4830,-346.6120
-444.4140,-338.3560
-447.7190,-330.2410
-451.4040,-322.2920
-455.4110,-314.4990
-459.7430,-306.8810
-464.5810,-299.5780
-469.5480,-292.3590
-474.5630,-285.1730
-479.2740,-277.7880
-482.8400,-269.7940
-485.2550,-261.3840
-486.4190,-252.7060
-486.3880,-243.9490
-485.0850,-235.2930
-482.7850,-226.8400
-479.9410,-218.5540
-477.0270,-210.2890
-474.2070,-201.9940
-471.3800,-193.7250
-468.6410,-185.7700
-465.8720,-177.4840
-463.0550,-169.1870
-460.2380,-160.8890
-457.6260,-152.5270
-455.4530,-144.0380
-453.6590,-135.4910
-452.3540,-127.1830
-451.4280,-118.4910
-451.1370,-109.7370
-451.6020,-100.9890
-452.9030,-92.3293
-455.2610,-83.8946
-458.4270,-75.7308
-462.3800,-67.9106
-467.1950,-60.5963
-472.6870,-53.7707
-478.2380,-46.9920
-483.8380,-40.2526
-489.4280,-33.5049
-494.9580,-26.7074
-499.8950,-19.4735
-504.0640,-11.7775
-507.0890,-3.5560
-509.1040,4.9667
-510.1500,13.6593
-510.1860,22.0117
-509.2470,30.7277
-507.3090,39.2662
-504.1640,47.4409
-500.1520,55.2242
-495.2300,62.4638
-489.3890,68.9884
-482.8870,74.8583
-476.0010,80.2763
-468.9030,85.4136
-461.6330,90.3050
-454.2420,95.0130
-446.7930,99.6256
-439.2980,104.1660
-431.7740,108.6570
-424.2470,113.1430
-416.8190,117.7890
-409.6620,122.8430
-402.8210,128.3140
-396.3850,134.2610
-390.3990,140.6580
-384.9060,147.4820
-379.9670,154.7160
-375.5970,162.3090
-371.5170,170.0640
-367.4850,177.8430
-363.4060,185.5980
-359.3600,193.3710
-355.3590,201.1670
-351.3670,208.9690
