x,z
-715.7540,64.1092
-714.9150,57.8583
-714.0950,51.8183
-713.1970,45.3042
-712.3610,39.1404
-711.5040,32.9760
-710.6600,26.8854
-709.8370,20.8865
-709.0160,14.9162
-708.1830,8.8640
-707.3390,2.7317
-706.4860,-3.4723
-705.6220,-9.7511
-704.7610,-16.0086
-703.8950,-22.3033
-703.0180,-28.6754
-702.1980,-34.6408
-701.2900,-41.2413
-700.4660,-47.2277
-699.6390,-53.2352
-698.8110,-59.2589
-697.9820,-65.2808
-697.1470,-71.3533
-696.2980,-77.5476
-695.4510,-83.7673
-694.6050,-89.9794
-693.7520,-96.2366
-692.8730,-102.6760
-692.0100,-108.9440
-691.1410,-115.2430
-690.2590,-121.6400
-689.3790,-128.0200
-688.5010,-134.3850
-687.6260,-140.7300
-686.7540,-147.0530
-685.8860,-153.3490
-685.0220,-159.6140
-684.1620,-165.8450
-683.3080,-172.0380
-682.4600,-178.1900
-681.6180,-184.2950
-680.7830,-190.3470
-679.9570,-196.3390
-679.1020,-202.5360
-678.2620,-208.6310
-677.4270,-214.6890
-676.5350,-221.1550
-675.6780,-227.3700
-674.8410,-233.4380
-674.0160,-239.4200
-673.1240,-245.8880
-672.2220,-252.4300
-671.3080,-259.0560
-670.4250,-265.4580
-669.5660,-271.6900
-668.7410,-277.6720
-667.8900,-283.8460
-666.9870,-290.3920
-666.1410,-296.5230
-665.2590,-302.9210
-664.3840,-309.2670
-663.4780,-315.8320
-662.5860,-322.3030
-661.7050,-328.6930
-660.8470,-334.8970
-659.9570,-341.3780
-659.1540,-347.4560
-658.4790,-353.4430
-657.6570,-359.4000
-655.9080,-365.8430
-652.6540,-371.1250
-647.1040,-374.8170
-640.6760,-376.1180
-634.6330,-375.8780
-628.5700,-375.0520
-622.5940,-374.4760
-615.9600,-374.4850
-609.9080,-374.9840
-603.7750,-375.9080
-597.7200,-377.5660
-591.5340,-379.8880
-586.0360,-382.5020
-580.5160,-385.5960
-575.0810,-389.2430
-570.3960,-393.1690
-566.0300,-397.5330
-562.0810,-402.2150
-558.3010,-407.6770
-555.0700,-412.7590
-551.9880,-417.9620
-548.0610,-423.3190
-543.0810,-426.8830
-537.3800,-429.1430
-531.4080,-429.9160
-524.8450,-429.0000
-519.3120,-426.6600
-514.4290,-423.0120
-510.5150,-418.3480
-507.8570,-412.9370
-506.6240,-406.3970
-505.8960,-400.0930
-505.1950,-394.0300
-504.3760,-387.4890
-503.6330,-381.4990
-502.8560,-375.2300
-502.1180,-369.2510
-501.3770,-363.2550
-500.5940,-356.8530
-499.9870,-350.6570
-499.6210,-344.5490
-499.4970,-338.4720
-499.5770,-332.3660
-499.9880,-326.2770
-500.7040,-320.1140
-501.6810,-313.8600
-502.8460,-307.5530
-504.1590,-301.6680
-505.7530,-295.8060
-507.6770,-289.8110
-509.8350,-284.0840
-512.0200,-278.3810
-514.1760,-272.7280
-516.5420,-266.4900
-518.8180,-260.6610
-521.1710,-254.6540
-523.4660,-248.8090
-525.8760,-242.6870
-528.0790,-237.0980
-530.5140,-230.9160
-532.7190,-225.3020
-534.9510,-219.5850
-537.2160,-213.7190
-539.4480,-207.8290
-541.6160,-201.9400
-543.6790,-196.1040
-545.7660,-189.8410
-547.5640,-184.0200
-549.2650,-178.1150
-550.8680,-172.1620
-552.4050,-166.1040
-553.9280,-159.6430
-555.3180,-153.1290
-556.4610,-147.0930
-557.4740,-140.9140
-558.3090,-134.6800
-558.9890,-128.5560
-559.5410,-122.4440
-560.0020,-116.0440
-560.4420,-110.0150
-560.9240,-103.4160
-561.3650,-97.3613
-561.8220,-91.0902
-562.2650,-84.4626
-562.8480,-77.9007
-563.3780,-71.3083
-563.3120,-64.6725
-562.0830,-58.6860
-559.1650,-53.2710
-554.9580,-48.6670
-549.9340,-44.8810
-544.8070,-41.6882
-539.3320,-38.8081
-533.6980,-36.4514
-527.3410,-34.5054
-521.4270,-33.1369
-515.2060,-32.1957
-509.0360,-31.8520
-502.9590,-32.0603
-496.5280,-32.4640
-490.4380,-32.8378
-483.7970,-33.2368
-477.7560,-33.6011
-471.6660,-33.9687
-465.1020,-34.3652
-458.9180,-34.7390
-452.5310,-35.1253
-446.4590,-35.4926
-440.2230,-35.8700
-433.9030,-36.2527
-427.5870,-36.6351
-421.4370,-37.0077
-415.0920,-37.3921
-408.8850,-37.7682
-402.3290,-38.1656
-396.2790,-38.5323
-390.1460,-38.9041
-383.9270,-39.2813
-377.6570,-39.6614
-371.5100,-40.0343
-365.2190,-40.4159
-358.8290,-40.8035
-352.4090,-41.1930
-345.8990,-41.5880
-339.7900,-41.9587
-333.2830,-42.3536
-326.6650,-42.7553
-320.5260,-43.1279
-314.3550,-43.5024
-308.1850,-43.8770
-302.0320,-44.2505
-295.9000,-44.6228
-289.7950,-44.9934
-283.7270,-45.3619
-277.6920,-45.7283
-271.5840,-46.0993
-265.5510,-46.4657
-259.4430,-46.8366
-253.0210,-47.2266
-246.7200,-47.6094
-240.5130,-47.9864
-234.4200,-48.3565
-227.8150,-48.7578
-221.4140,-49.1466
-214.9580,-49.5389
