x,z
234.9110,-672.8080
237.6390,-677.1820
240.3560,-681.4820
243.2140,-686.0160
245.9210,-690.3430
248.6050,-694.6410
251.3510,-699.0040
254.0660,-703.3140
256.7790,-707.6450
259.4910,-711.9950
262.2040,-716.3260
264.9210,-720.6450
267.6460,-725.0180
270.3340,-729.3440
273.0700,-733.7060
275.7670,-738.0190
278.4630,-742.3270
281.1720,-746.6440
283.8740,-750.9580
286.6340,-755.3330
289.3510,-759.6860
292.0270,-763.9580
294.8910,-768.5070
297.6180,-772.8370
300.3180,-777.1460
303.0890,-781.5610
305.9670,-786.1050
308.7390,-790.5340
311.4440,-794.8620
314.1440,-799.1670
316.8630,-803.5030
319.5850,-807.8580
322.2830,-812.1660
325.0160,-816.5120
327.7210,-820.8200
330.4330,-825.1400
333.1680,-829.5000
335.8730,-833.8330
338.5780,-838.1390
341.2980,-842.4650
343.9960,-846.7540
346.6570,-851.0050
349.4050,-855.4110
352.1710,-859.7950
354.9170,-864.1950
357.6000,-868.4910
360.4590,-873.0580
363.1640,-877.3710
365.8770,-881.7020
368.5820,-886.0260
371.3050,-890.3470
374.0270,-894.6870
376.7430,-899.0190
379.4600,-903.3390
382.1820,-907.6650
384.8870,-912.0040
387.6280,-916.3330
390.3330,-920.6500
393.2200,-925.2480
395.9140,-929.5180
398.6630,-933.8770
401.3360,-938.1740
404.0510,-942.4680
406.7860,-946.8280
409.4960,-951.1580
412.2080,-955.4770
414.9430,-959.8170
417.6500,-964.1170
420.3930,-968.4600
423.1120,-972.7840
425.8210,-977.0880
428.5050,-981.3670
431.1960,-985.6770
433.9050,-990.1810
436.3800,-994.7840
438.1880,-999.7620
437.9550,-1004.8600
435.5580,-1009.5400
431.8750,-1012.9400
427.0110,-1015.1900
421.8140,-1015.1100
416.9620,-1013.5300
412.1530,-1011.4900
407.1850,-1009.3400
402.5720,-1007.3300
397.8730,-1005.3000
393.0120,-1003.1900
388.3180,-1001.1500
383.3590,-999.0010
378.6930,-996.9780
373.7940,-994.8550
369.1910,-992.8600
364.5870,-990.8640
359.6940,-988.7430
355.0370,-986.7250
350.4160,-984.7220
345.8030,-982.7220
341.1110,-980.6830
336.4920,-978.6750
331.8190,-976.6450
326.9970,-974.5400
322.0790,-972.3800
317.4900,-970.3580
312.7990,-968.2750
308.1150,-966.1880
303.4360,-964.0960
298.7470,-961.9850
294.0520,-959.8480
289.3590,-957.6810
284.6810,-955.4890
280.0940,-953.3350
275.3520,-951.0090
270.7440,-948.6830
266.1670,-946.3140
261.5540,-943.8790
256.9830,-941.4170
252.5070,-938.9310
247.9860,-936.3790
243.5560,-933.8210
239.1340,-931.2500
234.6760,-928.6400
230.2160,-925.9700
225.8280,-923.2330
221.4720,-920.4380
217.1560,-917.6140
212.8770,-914.7720
208.6050,-911.8820
204.3520,-908.9470
200.1560,-906.0000
195.9450,-902.9900
191.7390,-899.9400
187.6000,-896.8910
183.4770,-893.8360
179.3480,-890.7420
175.2450,-887.6100
171.2160,-884.5260
167.1460,-881.3610
163.0980,-878.1380
159.1110,-874.9070
155.1380,-871.6550
151.1440,-868.3550
147.1800,-865.0090
143.2320,-861.5660
139.3900,-858.1330
135.6080,-854.6950
131.7880,-851.0700
128.0230,-847.3090
124.4980,-843.6500
120.9710,-839.9560
117.4500,-836.2410
113.9480,-832.5170
110.4540,-828.7810
107.0450,-825.1110
103.5500,-821.3190
100.0780,-817.5440
96.5176,-813.6710
93.0783,-809.9300
89.3601,-805.8860
85.4999,-801.6870
81.4581,-797.2910
77.9781,-793.5060
74.3971,-789.6110
70.7086,-785.6000
66.9805,-781.5450
63.2612,-777.5000
59.5240,-773.4350
