x,z
-447.3800,176.4470
-441.5690,178.1350
-435.2910,179.9590
-429.1860,181.7350
-422.9170,183.5610
-417.0430,185.2780
-411.0410,187.0240
-404.9020,188.8070
-398.9270,190.5490
-392.9510,192.2890
-386.9730,194.0240
-380.9970,195.7640
-375.0220,197.5070
-369.0460,199.2500
-363.0710,200.9910
-357.0970,202.7290
-351.1210,204.4700
-345.1440,206.2150
-339.1670,207.9560
-333.1900,209.6950
-327.2160,211.4360
-321.2350,213.1780
-315.2170,214.9300
-308.9390,216.7600
-302.8340,218.5420
-296.8910,220.2750
-290.8840,222.0260
-284.9080,223.7630
-278.9320,225.4990
-272.9570,227.2350
-266.9820,228.9770
-261.0060,230.7200
-255.0290,232.4610
-249.0520,234.2010
-243.0760,235.9370
-237.1010,237.6770
-231.1270,239.4190
-225.1520,241.1590
-219.1760,242.9000
-213.1980,244.6400
-207.2210,246.3820
-201.2440,248.1240
-195.2680,249.8580
-189.2930,251.5920
-183.3180,253.3340
-177.3420,255.0760
-171.3670,256.8170
-165.3920,258.5620
-159.4170,260.3080
-153.4430,262.0480
-147.4680,263.7860
-141.4890,265.5230
-135.5120,267.2590
-129.5390,268.9960
-123.5620,270.7380
-117.5850,272.4810
-111.6120,274.2170
-105.6360,275.9550
-99.6577,277.6980
-93.6808,279.4370
-87.7052,281.1740
-81.7301,282.9090
-75.7540,284.6460
-69.7752,286.3860
-63.7998,288.1300
-57.8281,289.8780
-51.8526,291.6180
-45.8752,293.3550
-39.5358,295.2060
-33.5601,296.9470
-27.6341,298.6580
-21.6576,300.4350
-15.8556,302.1800
-9.8537,303.5510
-3.6255,302.8540
1.0737,298.8990
4.1969,293.7650
7.0572,288.3090
9.9900,282.7520
12.9228,277.2700
15.9597,271.7850
19.1035,266.3950
22.5174,260.9290
26.1326,255.5600
29.6574,250.6310
33.5082,245.5170
37.3956,240.4060
41.2832,235.3160
45.1487,230.2140
49.0013,225.1020
52.8459,219.9740
56.6889,214.8490
60.5332,209.7320
64.3739,204.6170
68.2163,199.4950
72.0859,194.3370
75.9544,189.1830
79.7985,184.0660
83.6407,178.9480
87.4840,173.8250
91.3278,168.7020
95.1719,163.5790
99.0159,158.4600
102.8600,153.3390
106.7030,148.2110
110.5470,143.0900
114.3910,137.9740
118.2360,132.8540
122.0800,127.7310
125.9270,122.6030
129.7650,117.4880
133.5910,112.3910
137.3150,107.3840
140.9630,102.4310
144.5940,97.4285
148.1260,92.5031
151.8380,87.2583
155.5740,81.9135
159.3120,76.4971
163.0120,71.0678
166.6750,65.6137
170.3020,60.1349
173.8850,54.6647
177.1930,49.5429
180.5870,44.2127
183.9000,38.9500
187.1460,33.7289
190.3460,28.5068
193.5620,23.1884
196.8590,17.6722
200.1240,12.1308
203.3460,6.5836
206.5340,1.0138
209.6900,-4.5770
212.8150,-10.1868
215.9040,-15.8148
218.9540,-21.4604
221.9730,-27.1240
224.9600,-32.8061
227.9100,-38.5093
230.8250,-44.2310
233.7050,-49.9690
236.5520,-55.7247
239.3650,-61.4982
242.1520,-67.3084
244.8970,-73.1061
247.5600,-78.7779
250.1960,-84.4099
252.8310,-90.0320
255.4660,-95.6543
258.1020,-101.2780
260.7380,-106.9000
263.3740,-112.5250
266.0100,-118.1590
268.6460,-123.7900
271.2820,-129.4130
273.9180,-135.0370
276.5530,-140.6610
279.1890,-146.2840
281.8250,-151.9080
284.4610,-157.5320
287.0980,-163.1650
289.7320,-168.7850
292.3050,-174.2080
295.1780,-180.1170
297.9440,-185.6020
300.7760,-191.0630
303.6670,-196.4840
306.6280,-201.8640
309.6550,-207.2030
312.7420,-212.5050
315.8930,-217.7640
319.1090,-222.9780
322.3900,-228.1560
325.7330,-233.2980
329.1370,-238.3980
332.6030,-243.4550
336.1410,-248.4570
339.6860,-253.4480
343.2280,-258.4320
346.8920,-263.3430
350.6720,-268.1760
354.6030,-272.8990
358.5740,-277.5880
362.5230,-282.2840
366.5280,-286.9310
370.5910,-291.5270
374.7120,-296.0750
378.8890,-300.5750
383.1230,-305.0300
387.4220,-309.4380
391.7870,-313.7970
396.0470,-317.9650
400.7220,-322.4680
405.1940,-326.7730
409.6980,-331.1070
414.1810,-335.4260
418.6640,-339.7440
423.1480,-344.0630
427.6330,-348.3820
432.1170,-352.7010
436.6010,-357.0190
441.0840,-361.3370
445.5680,-365.6540
450.0520,-369.9710
454.5360,-374.2870
459.0210,-378.6020
463.5040,-382.9180
467.9860,-387.2330
472.4700,-391.5500
476.9560,-395.8680
481.4400,-400.1870
485.9230,-404.5060
490.4070,-408.8240
494.8910,-413.1430
499.3750,-417.4620
503.8590,-421.7800
508.3430,-426.0980
513.1030,-430.6810
517.4430,-434.8580
521.9120,-439.1580
526.2760,-443.3150
530.7520,-447.5430
534.3040,-452.3480
534.6930,-458.3970
531.5020,-463.5020
525.9000,-465.9430
519.9480,-467.1260
514.0400,-468.2110
507.9570,-469.3180
501.9670,-470.3630
495.4610,-471.4570
489.2160,-472.4500
482.9670,-473.3940
476.7140,-474.2880
470.4520,-475.1280
464.1860,-475.9170
457.9180,-476.6560
451.6450,-477.3420
445.3660,-477.9730
439.0810,-478.5570
432.7920,-479.0910
426.5030,-479.5750
420.2120,-480.0080
413.9180,-480.3870
407.6210,-480.7170
401.3210,-480.9970
395.0180,-481.2210
388.7150,-481.3940
382.4130,-481.5200
376.1090,-481.5930
369.8040,-481.6130
363.4980,-481.5840
357.1930,-481.5050
350.8870,-481.3760
344.5830,-481.1940
338.2820,-480.9580
331.9830,-480.6730
325.6850,-480.3390
319.3900,-479.9500
313.0960,-479.5090
306.8020,-479.0180
300.5110,-478.4740
294.2220,-477.8790
287.9400,-477.2410
281.6640,-476.5540
275.3910,-475.8060
269.1230,-475.0040
262.8590,-474.1510
256.5900,-473.2520
250.3260,-472.3080
244.2520,-471.3290
238.2130,-470.3110
231.9380,-469.2350
225.6180,-468.1470
219.3090,-467.0640
213.0010,-465.9800
206.6930,-464.8960
200.3890,-463.8050
194.0860,-462.7140
187.7780,-461.6300
181.4700,-460.5480
175.1620,-459.4650
168.8540,-458.3740
162.5470,-457.2810
156.2440,-456.1970
149.9400,-455.1150
143.6320,-454.0320
137.3240,-452.9470
131.0160,-451.8600
124.7080,-450.7710
118.4020,-449.6820
112.0980,-448.5990
105.7930,-447.5160
99.4851,-446.4330
93.1773,-445.3450
86.8695,-444.2540
80.5611,-443.1670
74.2546,-442.0830
67.9523,-440.9990
61.6490,-439.9170
55.3417,-438.8340
48.9834,-437.7350
42.6668,-436.6580
36.5416,-435.6560
30.4399,-434.6960
24.3172,-433.7710
18.1889,-432.8860
12.0559,-432.0390
5.9207,-431.2310
-0.2187,-430.4590
-6.3636,-429.7180
-12.5146,-429.0170
-18.6714,-428.3590
-24.8299,-427.7450
-30.9915,-427.1700
-37.1579,-426.6240
-43.3281,-426.1170
-49.5021,-425.6540
-55.6770,-425.2270
-61.8532,-424.8360
-68.0332,-424.4800
-74.2167,-424.1650
-80.4045,-423.8930
-86.5815,-423.6580
-92.7534,-423.4590
-99.1526,-423.2970
-105.5500,-423.1610
-112.0220,-423.0240
-118.4130,-422.8890
-124.8430,-422.7510
-131.2750,-422.6130
-137.7070,-422.4780
-144.1420,-422.3460
-150.5720,-422.2140
-157.0030,-422.0810
-163.4390,-421.9450
-169.8720,-421.8070
-176.3010,-421.6690
-182.7350,-421.5330
-189.1670,-421.4000
-195.5950,-421.2680
-202.0290,-421.1280
-208.4610,-420.9880
-214.8890,-420.8530
-221.3190,-420.7190
-227.7480,-420.5880
-234.1500,-420.4680
-240.4430,-420.3750
-246.9000,-420.0470
-253.1250,-418.5650
-258.7700,-415.8930
-263.8760,-411.9460
-267.7420,-407.3100
-270.7040,-401.9700
-272.5950,-395.7350
-273.0730,-389.2990
-272.1530,-382.8520
-269.8920,-377.0770
-266.7290,-371.3710
-263.2750,-366.0350
-259.9230,-360.7140
-256.5900,-355.4430
-253.1810,-350.3190
-249.6500,-345.3220
-245.9590,-340.4550
-242.1380,-335.7170
-238.1910,-331.1070
-234.1210,-326.6290
-229.9270,-322.2880
-225.6070,-318.0940
-221.1760,-314.0430
-216.1800,-309.7490
