x,z
-623.0320,-50.9907
-629.2130,-43.7666
-635.7140,-36.1684
-640.9150,-30.0898
-647.4160,-22.4911
-653.9180,-14.8928
-660.4230,-7.2983
-665.6280,-1.2228
-672.1280,6.3759
-677.3270,12.4566
-682.5270,18.5357
-687.7290,24.6134
-695.5330,33.7299
-702.0350,41.3270
-708.5370,48.9248
-713.7380,55.0037
-718.9390,61.0824
-724.1400,67.1606
-729.3420,73.2385
-735.8450,80.8359
-741.0470,86.9134
-746.2490,92.9914
-751.4490,99.0703
-756.6490,105.1500
-761.8500,111.2280
-767.0520,117.3060
-772.2540,123.3840
-778.7550,130.9820
-783.9560,137.0610
-789.1570,143.1400
-794.3590,149.2180
-799.5590,155.2970
-806.0570,162.8980
-811.2570,168.9780
-816.4590,175.0560
-821.6620,181.1330
-826.8670,187.2080
-832.0730,193.2820
-838.5780,200.8770
-843.7810,206.9540
-848.9740,213.0390
-854.1540,219.1410
-859.3210,225.2480
-865.7800,232.8780
-870.9510,238.9820
-876.1220,245.0860
-881.2920,251.1910
-886.4630,257.2960
-891.6340,263.3990
-898.0990,271.0280
-903.2720,277.1310
-908.4440,283.2340
-913.6160,289.3370
-920.0800,296.9670
-925.2520,303.0710
-930.4330,309.1670
-935.6220,315.2550
-940.8170,321.3390
-946.0150,327.4200
-951.2300,333.4870
-957.7560,341.0630
-962.9850,347.1180
-968.2000,353.1840
-973.3770,359.2830
-978.5420,365.3910
-983.7090,371.4990
-988.8750,377.6080
-994.0400,383.7170
-999.2050,389.8260
-1004.3700,395.9360
-1009.5300,402.0460
-1014.7000,408.1560
-1019.8600,414.2640
-1026.3200,421.9040
-1032.7700,429.5470
-1037.9200,435.6650
-1043.0800,441.7780
-1048.1800,447.9440
-1054.2100,455.9170
-1058.6100,462.5910
-1062.4600,469.5980
-1065.7800,476.8740
-1068.4300,484.4190
-1070.8000,494.1290
-1071.9600,502.0430
-1072.4500,510.0220
-1072.0600,518.0080
-1070.7500,525.8950
-1068.8700,533.6710
-1066.6800,541.3660
-1064.4400,549.0450
-1062.1900,556.7210
-1059.3700,566.3150
-1057.0600,573.9760
-1054.2900,581.4720
-1050.4800,588.5010
-1045.7100,594.9100
-1040.1100,600.6080
-1033.7600,605.4720
-1026.8400,609.4700
-1019.5000,612.5570
-1011.6800,614.4040
-1003.7500,615.4350
-995.7650,615.2760
-987.8600,614.0750
-980.1830,611.8570
-972.8790,608.6040
-965.9980,604.5380
-959.8240,599.4650
-954.3450,593.6470
-949.6700,587.1590
-945.1900,580.5310
-940.7460,573.8780
-936.3030,567.2260
-931.8560,560.5760
-926.2970,552.2630
-920.7500,543.9430
-914.0900,533.9610
-908.5420,525.6410
-902.9950,517.3200
-897.4500,508.9980
-891.9070,500.6750
-886.3630,492.3530
-880.8180,484.0310
-876.3840,477.3720
-870.8340,469.0530
-866.3600,462.4220
-860.4460,454.3620
-853.8670,446.8360
-848.0010,441.4020
-841.6490,436.5440
-833.0090,431.5350
-823.7250,427.8440
-815.9680,425.9130
-806.0490,424.7050
-798.0520,424.5210
-790.0530,424.6290
-780.0550,424.7960
-772.0560,424.7230
-764.0760,424.1910
-756.2160,422.7390
-748.5630,420.4230
-741.2390,417.2210
-734.3100,413.2300
-727.8190,408.5610
-721.8930,403.1940
-716.6760,397.1380
-712.1920,390.5170
-708.4380,383.4590
-705.5240,376.0130
-703.1420,368.3760
-700.8940,360.6980
-698.6790,353.0110
-696.4690,345.3220
-694.2620,337.6330
-692.0570,329.9430
-689.3020,320.3300
-687.1010,312.6390
-684.7690,304.9880
-680.9610,295.7490
-677.0690,288.7640
-671.2490,280.6410
-664.4710,273.2980
-658.4410,268.0470
-651.9050,263.4410
-644.9410,259.5120
-637.6090,256.3210
-628.0700,253.3430
-618.2460,251.5210
-610.2650,251.0140
-602.2670,250.8580
-594.2680,250.7500
-586.2680,250.6470
-576.2690,250.5100
-568.2710,250.3740
-560.2880,249.8800
-552.3750,248.7200
-544.6000,246.8530
-537.0250,244.2890
-529.7120,241.0520
-522.7060,237.1970
-516.0650,232.7400
-509.8460,227.7120
-504.1080,222.1430
-498.8850,216.0870
-494.2000,209.6060
-490.1200,202.7270
-486.6530,195.5220
-483.8570,188.0300
-482.0150,180.2540
-481.1850,172.3020
-481.2680,164.3070
-482.2470,156.3720
-484.2150,148.6230
-486.8100,141.0560
-489.4430,133.5020
-492.0760,125.9480
-495.3700,116.5060
-498.0010,108.9510
-501.2810,99.5041
-503.9030,91.9458
-506.5260,84.3878
-509.4560,74.8294
-511.1070,64.9789
-511.4520,56.9894
-511.0710,49.0025
-509.9680,41.0823
-507.5000,31.3980
-504.6650,23.9210
-501.1580,16.7337
-496.9270,9.9496
-490.7860,2.0640
-485.1600,-3.6166
-478.9850,-8.6986
-470.5780,-14.1012
-463.5110,-17.8481
-454.5890,-22.3648
-447.4250,-25.9258
-438.4510,-30.3389
-431.1700,-33.6511
-421.9540,-37.5307
-412.5740,-40.9943
-404.9170,-43.3097
-397.1780,-45.3320
-387.4180,-47.5068
-379.5600,-49.0065
-371.6510,-50.2049
-363.6970,-51.0567
-353.7150,-51.6452
-343.7170,-51.7983
-333.7190,-51.6285
-323.7300,-51.1792
-315.7560,-50.5433
-307.8310,-49.4602
-299.9820,-47.9147
-290.3300,-45.3111
-280.8840,-42.0327
-273.4480,-39.0833
-266.1330,-35.8467
-258.8850,-32.4600
-249.8710,-28.1305
-242.7290,-24.5267
-235.6940,-20.7205
-227.1610,-15.5074
-220.5160,-11.0537
-214.0210,-6.3840
-207.6760,-1.5125
-201.5500,3.6304
-194.2800,10.4939
-187.4190,17.7673
-180.8540,25.3100
-174.5400,33.0642
-169.5460,39.3147
-163.3130,47.1338
-158.3290,53.3913
-152.0990,61.2141
-147.1150,67.4724
-140.8860,75.2953
-134.6570,83.1181
-128.4270,90.9409
-122.1980,98.7638
-117.2150,105.0220
-110.9860,112.8460
-106.0030,119.1040
-101.0200,125.3630
-94.7930,133.1870
-89.8100,139.4460
-84.8314,145.7080
-79.1165,151.2120
-73.5340,153.3050
-65.5979,154.2910
-57.6438,155.1470
-49.6896,156.0020
-41.7356,156.8590
-31.7932,157.9300
-21.8511,159.0050
-11.9091,160.0820
-3.9552,160.9420
5.9873,162.0140
13.9411,162.8730
21.8948,163.7320
29.8488,164.5910
39.7906,165.6660
49.7329,166.7410
59.6764,167.8030
67.6535,168.2880
74.5820,167.4800
79.2393,165.7420
83.7539,161.8400
87.5920,156.0260
89.9633,149.4600
