x,z
175.8740,-97.2298
172.0510,-89.6473
168.4370,-82.4800
164.8230,-75.3127
161.2090,-68.1454
157.5960,-60.9781
153.9820,-53.8107
150.3680,-46.6434
146.7540,-39.4761
143.1400,-32.3088
139.5270,-25.1415
135.9130,-17.9741
132.2990,-10.8068
128.6850,-3.6395
125.0720,3.5278
121.4580,10.6952
117.8440,17.8625
114.2300,25.0298
110.6160,32.1971
107.0030,39.3644
103.3890,46.5317
99.7751,53.6991
96.1613,60.8664
92.5475,68.0337
88.9338,75.2010
85.3200,82.3683
81.7063,89.5356
78.0925,96.7029
74.4786,103.8700
70.8649,111.0380
67.2511,118.2050
63.6373,125.3720
60.0236,132.5400
56.4098,139.7070
52.7960,146.8740
49.1822,154.0420
45.5684,161.2090
41.9548,168.3760
38.3410,175.5430
34.7273,182.7100
31.1136,189.8780
27.4999,197.0450
23.8861,204.2120
20.2724,211.3790
16.6587,218.5460
13.0452,225.7140
9.4070,232.8690
5.7176,239.9970
1.4764,246.7970
-4.2918,252.3520
-11.0617,256.6330
-18.6156,259.2890
-26.5485,260.4150
-34.5283,259.7530
-42.1677,257.3410
-49.2079,253.5010
-56.0280,249.2690
-62.8341,245.0140
-69.6402,240.7590
-76.4463,236.5040
-83.2523,232.2490
-90.0583,227.9940
-96.8643,223.7390
-103.6700,219.4840
-110.4770,215.2290
-117.2830,210.9740
-124.0880,206.7190
-130.8940,202.4640
-137.6990,198.2100
-144.5040,193.9560
-151.3090,189.7020
-158.1130,185.4480
-164.9160,181.1950
-171.7190,176.9410
-178.5220,172.6890
-185.3230,168.4370
-192.1240,164.1850
-198.9050,159.9040
-205.5230,155.3800
-211.5710,150.1200
-216.9310,144.1620
-221.4200,137.5250
-225.0950,130.4000
-227.9580,122.9120
-229.6420,115.0780
-230.3950,107.1000
-230.3880,99.0788
-230.2440,91.0579
-230.0880,83.0370
-229.9210,75.0163
-229.7500,66.9955
-229.6010,58.9741
-229.4340,50.9528
-229.2530,42.9313
-229.0800,34.9090
-229.0370,26.8850
-229.3070,18.8650
-230.1170,10.8827
-231.4710,2.9737
-233.3210,-4.8347
-235.6430,-12.5161
-238.4460,-20.0346
-241.8030,-27.3229
-245.5680,-34.4109
-249.8150,-41.2191
-254.4220,-47.7898
-259.4870,-54.0140
-264.9370,-59.9048
-270.7480,-65.4419
-276.8840,-70.6150
-283.3600,-75.3542
-290.1380,-79.6531
-297.1520,-83.5528
-304.4170,-86.9609
-311.8870,-89.8958
-319.5230,-92.3610
-327.3070,-94.3150
-335.2010,-95.7550
-343.1840,-96.5667
-351.2040,-96.8558
-359.2290,-96.9433
-367.2540,-97.0021
-375.2780,-97.1171
-383.3000,-97.2943
-391.3210,-97.5063
-399.3400,-97.7631
-407.3530,-98.1577
-415.3540,-98.7445
-423.3350,-99.5586
-431.2970,-100.5450
-439.2310,-101.7330
-447.1400,-103.0780
-455.0250,-104.5550
-462.8730,-106.2220
-470.6860,-108.0410
-478.4480,-110.0680
-486.1620,-112.2710
-493.8260,-114.6430
-501.4320,-117.1950
-508.9830,-119.9100
-516.4630,-122.8110
-523.8780,-125.8770
-531.2230,-129.1080
-538.4880,-132.5170
-545.7210,-135.9920
-552.9570,-139.4640
-560.1930,-142.9360
-567.4300,-146.4060
-574.6670,-149.8750
-581.9060,-153.3430
-589.1440,-156.8110
-596.3840,-160.2780
-603.6230,-163.7450
-610.8730,-167.1890
-618.1370,-170.6040
-625.3790,-174.0650
-632.6140,-177.5410
-639.8570,-180.9990
-647.1000,-184.4590
-654.3440,-187.9170
-661.5800,-191.3900
-668.8220,-194.8530
-676.0590,-198.3250
-683.3000,-201.7870
-690.5430,-205.2480
-697.7860,-208.7070
-705.0230,-212.1790
-712.2610,-215.6490
-719.5020,-219.1110
-726.7430,-222.5750
-733.9410,-226.1250
-741.0960,-229.7600
-748.2380,-233.4220
-755.3910,-237.0600
-762.5410,-240.7060
-769.6700,-244.3900
-776.5470,-248.5260
-782.7410,-253.6130
-787.8260,-259.8060
-791.7340,-266.8030
-794.2630,-274.4100
-795.0710,-282.3730
-793.9560,-290.3060
-790.8060,-297.7670
-785.8000,-304.0150
-779.3200,-308.7120
-771.9040,-311.7330
-764.0580,-313.3500
-756.0750,-314.1160
-748.0540,-314.3070
-740.0320,-314.1960
-732.0100,-314.1670
-723.9870,-314.1480
-715.9640,-314.1300
-707.9430,-313.9020
-699.9380,-313.3600
-691.9440,-312.6490
-683.9500,-311.9430
-675.9560,-311.2380
-667.9590,-310.5490
-659.9640,-309.8510
-651.9680,-309.1470
-643.9680,-308.5070
-635.9470,-308.2340
-627.9220,-308.1630
-619.8960,-308.1020
-611.8690,-308.0730
-603.8440,-308.0410
-595.8190,-307.9640
-587.7950,-308.0010
-579.7700,-307.9640
