x,z
331.0030,-93.6520
329.7770,-96.7866
328.3210,-100.5140
326.8690,-104.2430
325.4170,-107.9730
323.8200,-112.0750
322.2240,-116.1770
320.7740,-119.9070
319.3240,-123.6370
317.7300,-127.7400
316.2800,-131.4700
314.8300,-135.2000
313.2350,-139.3030
311.6400,-143.4050
310.0440,-147.5080
308.4470,-151.6100
306.8490,-155.7110
305.2510,-159.8130
303.8000,-163.5420
302.3490,-167.2720
300.8980,-171.0020
299.4480,-174.7310
297.8520,-178.8340
296.2570,-182.9360
294.8070,-186.6660
293.3580,-190.3960
291.7640,-194.5000
290.3150,-198.2300
288.8660,-201.9610
287.4180,-205.6910
285.8240,-209.7940
284.2310,-213.8980
282.7830,-217.6280
281.1910,-221.7320
279.7440,-225.4630
278.2970,-229.1940
276.8500,-232.9260
275.4030,-236.6570
273.9570,-240.3880
272.3670,-244.4930
270.7770,-248.5980
269.3320,-252.3290
267.8860,-256.0610
266.4410,-259.7930
264.9950,-263.5240
263.5490,-267.2560
262.1030,-270.9870
260.5130,-275.0920
258.9230,-279.1960
257.3330,-283.3010
255.7430,-287.4060
254.2970,-291.1370
252.8500,-294.8690
251.4010,-298.5990
249.8070,-302.7020
248.2120,-306.8050
246.6180,-310.9080
245.0240,-315.0110
243.4320,-319.1150
241.8420,-323.2190
240.2530,-327.3240
238.6670,-331.4300
237.0820,-335.5370
235.4990,-339.6440
233.9180,-343.7520
232.3390,-347.8610
230.7590,-351.9690
229.1810,-356.0780
227.6100,-360.1900
226.0640,-364.3110
224.5490,-368.4440
223.0500,-372.5830
221.5520,-376.7210
220.0280,-380.8500
218.4800,-384.9690
216.9490,-388.6860
214.9170,-392.5690
212.7240,-395.9160
209.9530,-399.3280
206.8050,-402.4000
203.3280,-405.0890
199.5630,-407.3570
195.5780,-409.2160
191.4290,-410.6670
187.1570,-411.7080
182.8040,-412.3160
178.4100,-412.4410
174.0270,-412.0790
169.7140,-411.2230
165.5190,-409.8950
161.4960,-408.1170
157.6900,-405.9140
154.1480,-403.3090
150.8910,-400.3550
147.9470,-397.0900
145.3550,-393.5410
143.1470,-389.7410
141.3550,-385.7270
139.9950,-381.5440
139.0900,-377.2410
138.6350,-372.8650
138.6280,-368.4820
139.0000,-364.4820
139.7390,-360.5460
140.8290,-356.2930
142.2200,-352.1210
143.6370,-348.3780
145.2980,-344.3030
146.8550,-340.6170
148.5770,-336.5670
150.1470,-332.8870
151.7100,-329.2040
153.2700,-325.5200
154.8260,-321.8340
156.3770,-318.1460
157.9220,-314.4550
159.4570,-310.7600
161.1320,-306.6900
162.6410,-302.9840
164.1380,-299.2730
165.6240,-295.5580
167.0960,-291.8370
168.5450,-288.1070
169.9660,-284.3670
171.3590,-280.6160
172.7270,-276.8550
174.0810,-273.0900
175.5620,-268.9450
176.9050,-265.1750
178.3800,-261.0280
179.8520,-256.8790
181.3110,-252.7270
