x,z
-116.7726,-412.9535
-118.7662,-412.7987
-120.7598,-412.6439
-122.7532,-412.4874
-124.7465,-412.3307
-126.7397,-412.1732
-128.7329,-412.0156
-130.7261,-411.8589
-132.7193,-411.7023
-134.7127,-411.5505
-136.7062,-411.3990
-138.7003,-411.2578
-140.6944,-411.1176
-142.6886,-410.9790
-144.6828,-410.8406
-146.6767,-410.6988
-148.6707,-410.5567
-150.6643,-410.4101
-152.6579,-410.2632
-154.6515,-410.1170
-156.6451,-409.9709
-158.6383,-409.8195
-160.6314,-409.6676
-162.6243,-409.5125
-164.6171,-409.3571
-166.6097,-409.2006
-168.6023,-409.0440
-170.5949,-408.8869
-172.5874,-408.7297
-174.5798,-408.5717
-176.5723,-408.4136
-178.5645,-408.2531
-180.5568,-408.0925
-182.5489,-407.9289
-184.5410,-407.7650
-186.5329,-407.5978
-188.5249,-407.4302
-190.5168,-407.2590
-192.5086,-407.0875
-194.5002,-406.9117
-196.4919,-406.7356
-198.4832,-406.5545
-200.4745,-406.3732
-202.4654,-406.1859
-204.4562,-405.9983
-206.4464,-405.8032
-208.4366,-405.6077
-210.4258,-405.4024
-212.4150,-405.1966
-214.4027,-404.9767
-216.3903,-404.7559
-218.3761,-404.5192
-220.3617,-404.2814
-222.3459,-404.0312
-224.3299,-403.7798
-226.3125,-403.5176
-228.2949,-403.2542
-230.2760,-402.9799
-232.2568,-402.7042
-234.2361,-402.4175
-236.2151,-402.1290
-238.1924,-401.8292
-240.1694,-401.5269
-242.1445,-401.2124
-244.1191,-400.8947
-246.0914,-400.5633
-248.0631,-400.2276
-250.0321,-399.8767
-252.0001,-399.5203
-253.9650,-399.1479
-255.9287,-398.7687
-257.8889,-398.3717
-259.8473,-397.9662
-261.8014,-397.5412
-263.7533,-397.1058
-265.7000,-396.6484
-267.6437,-396.1781
-269.5808,-395.6821
-271.5138,-395.1699
-273.4377,-394.6256
-275.3555,-394.0599
-277.2592,-393.4498
-279.1531,-392.8089
-281.0342,-392.1325
-282.9063,-391.4308
-284.7718,-390.7119
-286.6326,-389.9807
-288.4880,-389.2360
-290.3396,-388.4816
-292.1851,-387.7124
-294.0263,-386.9327
-295.8592,-386.1340
-297.6865,-385.3219
-299.5055,-384.4917
-301.3189,-383.6492
-303.1255,-382.7921
-304.9276,-381.9255
-306.7231,-381.0454
-308.5143,-380.1567
-310.2987,-379.2547
-312.0790,-378.3444
-313.8513,-377.4192
-315.6191,-376.4851
-317.3762,-375.5316
-319.1271,-374.5671
-320.8645,-373.5791
-322.5943,-372.5781
-324.3095,-371.5534
-326.0169,-370.5160
-327.7089,-369.4548
-329.3923,-368.3805
-331.0361,-367.2491
-332.6563,-366.0837
-334.2343,-364.8643
-335.7846,-363.6096
-337.3082,-362.3241
-338.8130,-361.0168
-340.2811,-359.6698
-341.7220,-358.2933
-343.1347,-356.8886
-344.5254,-355.4620
-345.8957,-354.0161
-347.2488,-352.5540
-348.5704,-351.0641
-349.8655,-349.5505
-351.1288,-348.0110
-352.3651,-346.4492
-353.5714,-344.8648
-354.7506,-343.2599
-355.8951,-341.6309
-357.0054,-339.9783
-358.0771,-338.3013
-359.1074,-336.5986
-360.0698,-334.8593
-360.9516,-333.0769
-361.7780,-331.2700
-362.5352,-329.4324
-363.2561,-327.5811
-363.9293,-325.7119
-364.5586,-323.8288
-365.1266,-321.9261
-365.6512,-320.0123
-366.1119,-318.0821
-366.5327,-316.1441
-366.8926,-314.1942
-367.2174,-312.2393
-367.4875,-310.2765
-367.7257,-308.3108
-367.9141,-306.3404
-368.0660,-304.3682
-368.1623,-302.3932
-368.2247,-300.4178
-368.2382,-298.4421
-368.2228,-296.4673
-368.1682,-294.4935
-368.0746,-292.5219
-367.9312,-290.5532
-367.7637,-288.5869
-367.5651,-286.6237
-367.3457,-284.6632
-367.0992,-282.7061
-366.8341,-280.7517
-366.5445,-278.8009
-366.2379,-276.8528
-365.9087,-274.9079
-365.5534,-272.9663
-365.1636,-271.0290
-364.7448,-269.0954
-364.2881,-267.1666
-363.8056,-265.2413
-363.2898,-263.3207
-362.7506,-261.4044
-362.1819,-259.4937
-361.5884,-257.5891
-360.9646,-255.6920
-360.3175,-253.8020
-359.6425,-251.9205
-358.9497,-250.0453
-358.2362,-248.1772
-357.5057,-246.3157
-356.7559,-244.4616
-355.9989,-242.6104
-355.2339,-240.7625
-354.4577,-238.9195
-353.6692,-237.0818
-352.8744,-235.2471
-352.0730,-233.4155
-351.2681,-231.5858
-350.4594,-229.7580
-349.6486,-227.9317
-348.8355,-226.1067
-348.0191,-224.2835
-347.1993,-222.4621
-346.3759,-220.6428
-345.5487,-218.8255
-344.7180,-217.0101
-343.8839,-215.1968
-343.0466,-213.3855
-342.2060,-211.5762
-341.3624,-209.7690
-340.5159,-207.9639
-339.6665,-206.1609
-338.8145,-204.3600
-337.9604,-202.5610
-337.1040,-200.7639
-336.2459,-198.9685
-335.3860,-197.1747
-334.5257,-195.3818
-333.6649,-193.5898
-332.8072,-191.7969
-331.9525,-190.0031
-331.0994,-188.2088
-330.2477,-186.4141
-329.3903,-184.6219
-328.5270,-182.8324
-327.6426,-181.0534
-326.7361,-179.2853
-325.8100,-177.5275
-324.8631,-175.7807
-323.8988,-174.0434
-322.9157,-172.3167
-321.9187,-170.5979
-320.9059,-168.8882
-319.8839,-167.1840
-318.8508,-165.4864
-317.8174,-163.7890
-316.7836,-162.0919
-315.7449,-160.3977
-314.6999,-158.7074
-313.6504,-157.0199
-312.5948,-155.3361
-311.5357,-153.6546
-310.4716,-151.9761
-309.4042,-150.2997
-308.3320,-148.6262
-307.2585,-146.9536
-306.1829,-145.2822
-305.1084,-143.6099
-304.0354,-141.9367
-302.9638,-140.2624
-301.8944,-138.5867
-300.8261,-136.9101
-299.7596,-135.2322
-298.6945,-133.5535
-297.6318,-131.8731
-296.5684,-130.1932
-295.5036,-128.5140
-294.4430,-126.8324
-293.3926,-125.1447
-292.3420,-123.4571
-291.2910,-121.7698
-290.2392,-120.0830
-289.1855,-118.3974
-288.1307,-116.7125
-287.0729,-115.0296
-286.0141,-113.3474
-284.9520,-111.6673
-283.8892,-109.9877
-282.8237,-108.3098
-281.7580,-106.6321
-280.6916,-104.9549
-279.6262,-103.2772
-278.5641,-101.5973
-277.5023,-99.9174
-276.4415,-98.2369
-275.3797,-96.5571
-274.3147,-94.8793
-273.2476,-93.2028
-272.1737,-91.5302
-271.0941,-89.8610
-269.9977,-88.2021
-268.9000,-86.5436
-267.7986,-84.8869
-266.6934,-83.2326
-265.5764,-81.5857
-264.4569,-79.9403
-263.3293,-78.2998
-262.2014,-76.6592
-261.0724,-75.0187
-259.9461,-73.3758
-258.8283,-71.7255
-257.6922,-70.0876
-256.5082,-68.4824
-255.2782,-66.9143
-253.9449,-65.4296
-252.5627,-63.9931
-251.0833,-62.6523
-249.5532,-61.3740
-247.9310,-60.2086
-246.2601,-59.1201
-244.5070,-58.1611
-242.7132,-57.2883
-240.8558,-56.5497
-238.9644,-55.9151
-237.0271,-55.4212
-235.0670,-55.0489
-233.0812,-54.8134
-231.0883,-54.7070
-229.0885,-54.7231
-227.0971,-54.8657
-225.1131,-55.1182
-223.1509,-55.4888
-221.2071,-55.9599
-219.2988,-56.5474
-217.4212,-57.2360
-215.5951,-58.0423
-213.8142,-58.9517
-212.1088,-59.9867
-210.4661,-61.1261
-208.9085,-62.3732
-207.4123,-63.6981
-206.0114,-65.1189
-204.6671,-66.5966
-203.4462,-68.1733
-202.2845,-69.7973
-201.2653,-71.5102
-200.3022,-73.2582
-199.4972,-75.0807
-198.7445,-76.9278
-198.1643,-78.8328
-197.6329,-80.7542
-197.2900,-82.7150
-196.9927,-84.6852
-196.8903,-86.6725
-196.8281,-88.6634
-196.9446,-90.6499
-197.0931,-92.6356
-197.4133,-94.5994
-197.7615,-96.5597
-198.2593,-98.4862
-198.7799,-100.4076
-199.4354,-102.2863
-200.1087,-104.1595
-200.8898,-105.9893
-201.6823,-107.8146
-202.5202,-109.6192
-203.3616,-111.4221
-204.2241,-113.2150
-205.0878,-115.0074
-205.9681,-116.7917
-206.8491,-118.5758
-207.7600,-120.3450
-208.6717,-122.1138
-209.5874,-123.8805
-210.5033,-125.6472
-211.4215,-127.4128
-212.3398,-129.1783
-213.2590,-130.9434
-214.1783,-132.7084
-215.1094,-134.4673
-216.0416,-136.2257
-216.9489,-137.9970
-217.8538,-139.7695
-218.7688,-141.5370
-219.6848,-143.3039
-220.5976,-145.0726
-221.5100,-146.8414
-222.4202,-148.6115
-223.3301,-150.3818
-224.2378,-152.1531
-225.1452,-153.9246
-226.0452,-155.6995
-226.9442,-157.4748
-227.8351,-159.2546
-228.7248,-161.0350
-229.6100,-162.8181
-230.4946,-164.6015
-231.3779,-166.3858
-232.2611,-168.1702
-233.1454,-169.9541
-234.0300,-171.7379
-234.9232,-173.5173
-235.8175,-175.2961
-236.7224,-177.0691
-237.6286,-178.8415
-238.5390,-180.6113
-239.4498,-182.3808
-240.3441,-184.1590
-241.2367,-185.9380
-242.1010,-187.7314
-242.9625,-189.5260
-243.7965,-191.3341
-244.6279,-193.1434
-245.4322,-194.9654
-246.2339,-196.7886
-247.0071,-198.6246
-247.7778,-200.4619
-248.4919,-202.3220
-249.2001,-204.1845
-249.8362,-206.0749
-250.4679,-207.9667
-251.0373,-209.8788
-251.6016,-211.7924
-252.1062,-213.7227
-252.6060,-215.6543
-253.0352,-217.6037
-253.4622,-219.5534
-253.8250,-221.5172
-254.1877,-223.4809
-254.5483,-225.4456
-254.9085,-227.4104
-255.2443,-229.3802
-255.5799,-231.3499
-255.8976,-233.3231
-256.2154,-235.2963
-256.5127,-237.2730
-256.8097,-239.2498
-257.0851,-241.2300
-257.3593,-243.2103
-257.6208,-245.1926
-257.8810,-247.1750
-258.1245,-249.1597
-258.3659,-251.1447
-258.5835,-253.1326
-258.7976,-255.1209
-258.9792,-257.1125
-259.1559,-259.1045
-259.2901,-261.0999
-259.4183,-263.0958
-259.4359,-265.0953
-259.4404,-267.0954
-259.3568,-269.0934
-259.2654,-271.0913
-259.0476,-273.0790
-258.8188,-275.0657
-258.4625,-277.0331
-258.0926,-278.9984
-257.5888,-280.9331
-257.0692,-282.8643
-256.4102,-284.7517
-255.7358,-286.6344
-254.8825,-288.4420
-254.0121,-290.2425
-252.9365,-291.9277
-251.8521,-293.6081
-250.6528,-295.2082
-249.4501,-296.8060
-248.1219,-298.3011
-246.7862,-299.7888
-245.3281,-301.1575
-243.8487,-302.4995
-242.1880,-303.6137
-240.5034,-304.6851
-238.6820,-305.5110
-236.8532,-306.3192
-234.9895,-307.0446
-233.1220,-307.7600
-231.2378,-308.4301
-229.3505,-309.0913
-227.4480,-309.7078
-225.5435,-310.3177
-223.6267,-310.8883
-221.7078,-311.4511
-219.7738,-311.9598
-217.8394,-312.4672
-215.9019,-312.9626
-213.9643,-313.4576
-212.0259,-313.9493
-210.0876,-314.4413
-208.1503,-314.9365
-206.2130,-315.4318
-204.2757,-315.9269
-202.3384,-316.4219
-200.4007,-316.9152
-198.4630,-317.4083
-196.5250,-317.8997
-194.5868,-318.3906
-192.6473,-318.8761
-190.7076,-319.3608
-188.7664,-319.8391
-186.8252,-320.3177
-184.8848,-320.7997
-182.9447,-321.2830
-181.0070,-321.7758
-179.0694,-322.2695
-177.1334,-322.7691
-175.1976,-323.2695
-173.2630,-323.7747
-171.3286,-324.2804
-169.3951,-324.7898
-167.4617,-325.2992
-165.5282,-325.8083
-163.5945,-326.3168
-161.6595,-326.8204
-159.7243,-327.3230
-157.7874,-327.8191
-155.8501,-328.3134
-153.9099,-328.7964
-151.9693,-329.2777
-150.0263,-329.7488
-148.0830,-330.2189
-146.1384,-330.6835
-144.1936,-331.1473
-142.2477,-331.6063
-140.3012,-332.0631
-138.3520,-332.5078
-136.4021,-332.9494
-134.4484,-333.3733
-132.4938,-333.7935
-130.5344,-334.1903
-128.5740,-334.5821
-126.6072,-334.9405
-124.6397,-335.2944
-122.6666,-335.6158
-120.6931,-335.9346
-118.7164,-336.2332
-116.7394,-336.5294
-114.7597,-336.8071
-112.7796,-337.0821
-110.7967,-337.3364
-108.8134,-337.5876
-106.8273,-337.8151
-104.8408,-338.0397
-102.8521,-338.2433
-100.8634,-338.4471
-98.8747,-338.6515
-96.8858,-338.8531
-94.8947,-339.0333
-92.9035,-339.2105
-90.9103,-339.3648
-88.9169,-339.5163
-86.9219,-339.6447
-84.9267,-339.7708
-82.9304,-339.8779
-80.9340,-339.9832
-78.9369,-340.0744
-76.9397,-340.1640
-74.9420,-340.2404
-72.9442,-340.3163
-70.9463,-340.3867
-68.9483,-340.4567
-66.9502,-340.5238
-64.9521,-340.5906
-62.9539,-340.6549
-60.9557,-340.7189
-58.9574,-340.7806
-56.9592,-340.8422
-54.9608,-340.9016
-52.9625,-340.9609
-50.9641,-341.0180
-48.9656,-341.0750
-46.9672,-341.1300
-44.9687,-341.1849
-42.9702,-341.2379
-40.9716,-341.2907
-38.9730,-341.3416
-36.9744,-341.3923
-34.9758,-341.4411
-32.9771,-341.4897
-30.9784,-341.5365
-28.9797,-341.5830
-26.9810,-341.6276
-24.9822,-341.6720
-22.9834,-341.7144
-20.9846,-341.7566
-18.9858,-341.7967
-16.9869,-341.8367
-14.9880,-341.8751
-12.9891,-341.9136
-10.9902,-341.9528
-8.9913,-341.9919
-6.9924,-342.0306
-4.9935,-342.0689
-2.9946,-342.1042
-0.9956,-342.1387
1.0035,-342.1672
3.0026,-342.1947
5.0018,-342.2133
7.0010,-342.2304
9.0003,-342.2353
10.9995,-342.2384
12.9987,-342.2258
14.9979,-342.2110
16.9969,-342.1767
18.9958,-342.1399
20.9941,-342.0797
22.9923,-342.0164
24.9894,-341.9257
26.9864,-341.8313
28.9815,-341.7047
30.9764,-341.5739
32.9684,-341.4057
34.9600,-341.2328
36.9475,-341.0174
38.9344,-340.7966
40.9153,-340.5276
42.8954,-340.2525
44.8672,-339.9229
46.8376,-339.5859
48.7956,-339.1826
50.7507,-338.7668
52.6805,-338.2452
54.6075,-337.7137
56.5149,-337.1150
58.4186,-336.5052
60.2986,-335.8253
62.1737,-335.1329
64.0180,-334.3613
65.8565,-333.5767
67.6583,-332.7106
69.4548,-331.8340
71.2203,-330.8959
72.9816,-329.9504
74.7231,-328.9688
76.4594,-327.9783
78.1756,-326.9532
79.8833,-325.9146
81.5646,-324.8336
83.2341,-323.7350
84.8720,-322.5895
86.4948,-321.4235
88.0812,-320.2079
89.6484,-318.9685
91.1713,-317.6745
92.6706,-316.3543
94.1142,-314.9726
95.5316,-313.5653
96.8826,-312.0931
98.2049,-310.5964
99.4456,-309.0303
100.6555,-307.4416
101.7687,-305.7825
102.8388,-304.0978
103.7633,-302.3267
104.6466,-300.5363
105.4173,-298.6933
106.1524,-296.8369
106.7979,-294.9468
107.4081,-293.0460
107.9447,-291.1227
108.4306,-289.1873
108.8202,-287.2292
109.1751,-285.2653
109.4579,-283.2894
109.7011,-281.3092
109.8653,-279.3205
109.9770,-277.3296
109.9974,-275.3348
109.9453,-273.3428
109.7869,-271.3548
109.5290,-269.3808
109.1488,-267.4240
108.6879,-265.4871
108.1411,-263.5714
107.5277,-261.6777
106.8485,-259.8060
106.1207,-257.9537
105.3452,-256.1204
104.5315,-254.3043
103.6791,-252.5056
102.7775,-250.7322
101.8231,-248.9859
100.8156,-247.2709
99.7496,-245.5905
98.6415,-243.9378
97.4871,-242.3157
96.2597,-240.7501
94.9468,-239.2506
93.6049,-237.7771
92.2273,-236.3354
90.8358,-234.9070
89.4267,-233.4954
88.0070,-232.0941
86.5739,-230.7061
85.1329,-229.3261
83.6819,-227.9563
82.2254,-226.5921
80.7621,-225.2351
79.2946,-223.8825
77.8218,-222.5356
76.3459,-221.1920
74.8663,-219.8524
73.3843,-218.5152
71.8996,-217.1808
70.4130,-215.8483
68.9240,-214.5182
67.4321,-213.1911
65.9368,-211.8675
64.4378,-210.5479
62.9345,-209.2328
61.4285,-207.9207
59.9193,-206.6120
58.4090,-205.3044
56.8974,-203.9982
55.3860,-202.6916
53.8749,-201.3845
52.3657,-200.0750
50.8587,-198.7629
49.3685,-197.4319
47.8968,-196.0799
46.4288,-194.7238
44.9649,-193.3631
43.4979,-192.0054
42.0275,-190.6511
40.5572,-189.2965
39.0872,-187.9414
37.6181,-186.5852
36.1499,-185.2279
34.6814,-183.8709
33.2123,-182.5144
31.7423,-181.1589
30.2711,-179.8045
28.7993,-178.4509
27.3266,-177.0980
25.8529,-175.7462
24.3783,-174.3953
22.9007,-173.0477
21.4198,-171.7037
