x,z
-116.7727,-412.9545
-118.7667,-412.7992
-120.7608,-412.6436
-122.7548,-412.4872
-124.7488,-412.3305
-126.7426,-412.1730
-128.7365,-412.0156
-130.7303,-411.8586
-132.7241,-411.7026
-134.7182,-411.5499
-136.7123,-411.3998
-138.7070,-411.2578
-140.7017,-411.1167
-142.6966,-410.9786
-144.6914,-410.8397
-146.6860,-410.6982
-148.6805,-410.5554
-150.6747,-410.4081
-152.6689,-410.2613
-154.6633,-410.1162
-156.6575,-409.9698
-158.6513,-409.8186
-160.6451,-409.6666
-162.6385,-409.5116
-164.6320,-409.3562
-166.6253,-409.1995
-168.6185,-409.0427
-170.6117,-408.8856
-172.6048,-408.7282
-174.5979,-408.5704
-176.5910,-408.4121
-178.5839,-408.2519
-180.5767,-408.0910
-182.5695,-407.9275
-184.5622,-407.7632
-186.5548,-407.5963
-188.5474,-407.4283
-190.5399,-407.2574
-192.5323,-407.0853
-194.5246,-406.9099
-196.5168,-406.7331
-198.5089,-406.5527
-200.5007,-406.3706
-202.4923,-406.1842
-204.4837,-405.9956
-206.4746,-405.8015
-208.4653,-405.6046
-210.4553,-405.4006
-212.4449,-405.1927
-214.4334,-404.9747
-216.4214,-404.7520
-218.4080,-404.5163
-220.3941,-404.2771
-222.3790,-404.0276
-224.3635,-403.7752
-226.3468,-403.5135
-228.3298,-403.2492
-230.3115,-402.9753
-232.2929,-402.6990
-234.2728,-402.4125
-236.2524,-402.1238
-238.2304,-401.8236
-240.2080,-401.5214
-242.1836,-401.2060
-244.1589,-400.8889
-246.1318,-400.5563
-248.1043,-400.2222
-250.0735,-399.8692
-252.0426,-399.5150
-254.0076,-399.1392
-255.9725,-398.7627
-257.9324,-398.3615
-259.8923,-397.9602
-261.8460,-397.5298
-263.7996,-397.0994
-265.7455,-396.6356
-267.6913,-396.1710
-269.6271,-395.6673
-271.5625,-395.1618
-273.4847,-394.6085
-275.4060,-394.0524
-277.3066,-393.4300
-279.2058,-392.8029
-281.0826,-392.1121
-282.9576,-391.4165
-284.8213,-390.6912
-286.6842,-389.9637
-288.5385,-389.2143
-290.3921,-388.4632
-292.2361,-387.6887
-294.0794,-386.9124
-295.9097,-386.1059
-297.7392,-385.2974
-299.5558,-384.4601
-301.3716,-383.6212
-303.1765,-382.7589
-304.9808,-381.8956
-306.7747,-381.0110
-308.5683,-380.1255
-310.3514,-379.2194
-312.1342,-378.3127
-313.9051,-377.3831
-315.6758,-376.4532
-317.4310,-375.4951
-319.1860,-374.5366
-320.9209,-373.5428
-322.6556,-372.5489
-324.3682,-371.5186
-326.0807,-370.4881
-327.7747,-369.4290
-329.4687,-368.3700
-331.1050,-367.2258
-332.7405,-366.0805
-334.2953,-364.8302
-335.8471,-363.5760
-337.3523,-362.2678
-338.8545,-360.9560
-340.3029,-359.5861
-341.7452,-358.2095
-343.1542,-356.7994
-344.5567,-355.3827
-345.9391,-353.9468
-347.3150,-352.5049
-348.6572,-351.0317
-349.9850,-349.5453
-351.2615,-348.0154
-352.5103,-346.4620
-353.7130,-344.8734
-354.8837,-343.2605
-356.0131,-341.6193
-357.1058,-339.9530
-358.1571,-338.2614
-359.1630,-336.5421
-360.1205,-334.7973
-361.0146,-333.0191
-361.8536,-331.2168
-362.6083,-329.3773
-363.3312,-327.5262
-363.9983,-325.6547
-364.6307,-323.7725
-365.1945,-321.8691
-365.7247,-319.9575
-366.1835,-318.0282
-366.6064,-316.0920
-366.9547,-314.1415
-367.2684,-312.1861
-367.5161,-310.2214
-367.7354,-308.2541
-367.9077,-306.2824
-368.0497,-304.3095
-368.1503,-302.3349
-368.2158,-300.3598
-368.2418,-298.3844
-368.2329,-296.4097
-368.1917,-294.4357
-368.0984,-292.4643
-367.9643,-290.4949
-367.7953,-288.5289
-367.6012,-286.5653
-367.3753,-284.6055
-367.1279,-282.6484
-366.8493,-280.6958
-366.5508,-278.7461
-366.2232,-276.8009
-365.8777,-274.8584
-365.5026,-272.9192
-365.1096,-270.9819
-364.6824,-269.0483
-364.2346,-267.1168
-363.7535,-265.1894
-363.2518,-263.2645
-362.7170,-261.3456
-362.1608,-259.4305
-361.5684,-257.5246
-360.9508,-255.6248
-360.3009,-253.7349
-359.6269,-251.8524
-358.9307,-249.9776
