x,z
190.7146,-190.5517
188.7150,-190.5515
186.7153,-190.5513
184.7156,-190.5511
182.7159,-190.5509
180.7162,-190.5507
178.7166,-190.5505
176.7169,-190.5503
174.7172,-190.5501
172.7175,-190.5499
170.7179,-190.5498
168.7182,-190.5496
166.7185,-190.5495
164.7188,-190.5493
162.7192,-190.5492
160.7195,-190.5490
158.7198,-190.5489
156.7202,-190.5487
154.7205,-190.5486
152.7208,-190.5484
150.7211,-190.5484
148.7215,-190.5483
146.7218,-190.5482
144.7221,-190.5481
142.7224,-190.5480
140.7228,-190.5479
138.7231,-190.5477
136.7234,-190.5476
134.7237,-190.5476
132.7241,-190.5475
130.7244,-190.5474
128.7247,-190.5473
126.7250,-190.5473
124.7254,-190.5472
122.7257,-190.5472
120.7260,-190.5471
118.7263,-190.5471
116.7266,-190.5470
114.7270,-190.5470
112.7273,-190.5469
110.7276,-190.5469
108.7279,-190.5469
106.7282,-190.5468
104.7286,-190.5468
102.7289,-190.5468
100.7292,-190.5468
98.7295,-190.5468
96.7298,-190.5467
94.7301,-190.5467
92.7305,-190.5467
90.7308,-190.5467
88.7311,-190.5467
86.7314,-190.5467
84.7317,-190.5467
82.7320,-190.5467
80.7324,-190.5468
78.7327,-190.5468
76.7330,-190.5468
74.7333,-190.5468
72.7336,-190.5468
70.7339,-190.5468
68.7343,-190.5468
66.7346,-190.5469
64.7349,-190.5469
62.7352,-190.5469
60.7355,-190.5470
58.7359,-190.5470
56.7362,-190.5470
54.7365,-190.5471
52.7368,-190.5471
50.7372,-190.5471
48.7375,-190.5472
46.7378,-190.5472
44.7382,-190.5473
42.7385,-190.5473
40.7388,-190.5474
38.7392,-190.5474
36.7395,-190.5475
34.7399,-190.5475
32.7402,-190.5476
30.7406,-190.5476
28.7409,-190.5477
26.7413,-190.5477
24.7417,-190.5478
22.7420,-190.5479
20.7424,-190.5479
18.7428,-190.5480
16.7432,-190.5480
14.7435,-190.5481
12.7439,-190.5481
10.7443,-190.5482
8.7447,-190.5483
6.7451,-190.5484
4.7455,-190.5484
2.7459,-190.5485
0.7463,-190.5486
-1.2532,-190.5487
-3.2528,-190.5487
-5.2524,-190.5488
-7.2519,-190.5489
-9.2515,-190.5489
-11.2510,-190.5490
-13.2506,-190.5491
-15.2501,-190.5492
-17.2496,-190.5492
-19.2491,-190.5493
-21.2486,-190.5494
-23.2481,-190.5495
-25.2476,-190.5495
-27.2471,-190.5496
-29.2466,-190.5497
-31.2460,-190.5497
-33.2455,-190.5498
-35.2449,-190.5499
-37.2444,-190.5500
-39.2438,-190.5500
-41.2432,-190.5501
-43.2426,-190.5502
-45.2420,-190.5502
-47.2414,-190.5503
-49.2408,-190.5504
-51.2402,-190.5504
-53.2396,-190.5505
-55.2389,-190.5506
-57.2382,-190.5507
-59.2376,-190.5508
-61.2369,-190.5508
-63.2362,-190.5509
-65.2355,-190.5510
-67.2348,-190.5511
-69.2340,-190.5512
-71.2333,-190.5512
-73.2326,-190.5513
-75.2319,-190.5514
-77.2311,-190.5514
-79.2304,-190.5515
-81.2297,-190.5516
-83.2289,-190.5517
-85.2281,-190.5517
-87.2273,-190.5518
-89.2265,-190.5519
-91.2258,-190.5520
-93.2250,-190.5520
-95.2243,-190.5521
-97.2235,-190.5522
-99.2228,-190.5523
-101.2220,-190.5523
-103.2212,-190.5524
-105.2205,-190.5524
-107.2197,-190.5525
-109.2189,-190.5526
-111.2181,-190.5527
-113.2173,-190.5527
-115.2165,-190.5528
-117.2157,-190.5529
-119.2149,-190.5529
-121.2141,-190.5530
-123.2133,-190.5531
-125.2125,-190.5532
-127.2117,-190.5532
-129.2109,-190.5533
-131.2101,-190.5533
-133.2092,-190.5534
-135.2084,-190.5535
-137.2076,-190.5535
-139.2067,-190.5535
-141.2059,-190.5536
-143.2050,-190.5537
-145.2042,-190.5537
-147.2033,-190.5538
-149.2024,-190.5538
-151.2016,-190.5539
-153.2007,-190.5539
-155.1998,-190.5540
-157.1989,-190.5540
-159.1980,-190.5541
-161.1971,-190.5541
-163.1962,-190.5541
-165.1953,-190.5542
-167.1944,-190.5542
-169.1935,-190.5543
-171.1925,-190.5543
-173.1916,-190.5543
-175.1907,-190.5543
-177.1897,-190.5544
-179.1887,-190.5544
-181.1878,-190.5544
-183.1868,-190.5544
-185.1858,-190.5544
-187.1849,-190.5544
-189.1839,-190.5544
-191.1829,-190.5544
-193.1819,-190.5544
-195.1809,-190.5544
-197.1799,-190.5544
-199.1789,-190.5543
-201.1779,-190.5543
-203.1769,-190.5543
-205.1759,-190.5542
-207.1749,-190.5542
-209.1739,-190.5542
-211.1728,-190.5541
-213.1718,-190.5541
-215.1708,-190.5541
-217.1697,-190.5540
-219.1687,-190.5539
-221.1676,-190.5538
-223.1665,-190.5538
-225.1655,-190.5537
-227.1644,-190.5536
-229.1633,-190.5535
-231.1622,-190.5534
-233.1611,-190.5533
-235.1601,-190.5532
-237.1590,-190.5531
-239.1579,-190.5530
-241.1568,-190.5529
-243.1557,-190.5527
-245.1546,-190.5526
-247.1535,-190.5525
-249.1524,-190.5524
-251.1513,-190.5522
-253.1502,-190.5521
-255.1491,-190.5519
-257.1480,-190.5518
-259.1469,-190.5517
-261.1458,-190.5515
-263.1447,-190.5513
-265.1437,-190.5511
-267.1426,-190.5509
-269.1415,-190.5505
-271.1405,-190.5500
-273.1395,-190.5492
-275.1385,-190.5484
-277.1375,-190.5473
-279.1366,-190.5461
-281.1356,-190.5448
-283.1347,-190.5433
-285.1337,-190.5417
-287.1329,-190.5398
-289.1321,-190.5377
-291.1313,-190.5356
-293.1304,-190.5334
-295.1295,-190.5311
-297.1287,-190.5287
-299.1278,-190.5264
-301.1270,-190.5238
-303.1262,-190.5213
-305.1254,-190.5187
-307.1246,-190.5160
-309.1238,-190.5133
-311.1230,-190.5103
-313.1223,-190.5074
-315.1215,-190.5040
-317.1208,-190.5003
-319.1200,-190.4969
-321.1193,-190.4943
-323.1186,-190.4917
-325.1179,-190.4879
-327.1172,-190.4840
-329.1165,-190.4801
-331.1158,-190.4762
-333.1151,-190.4723
-335.1144,-190.4690
-337.1137,-190.4656
-339.1131,-190.4618
-341.1124,-190.4578
-343.1117,-190.4538
-345.1111,-190.4498
-347.1104,-190.4456
-349.1098,-190.4408
-351.1091,-190.4360
-353.1085,-190.4320
-355.1078,-190.4284
-357.1072,-190.4242
-359.1066,-190.4193
-361.1060,-190.4144
-363.1053,-190.4102
-365.1047,-190.4059
-367.1041,-190.4017
-369.1035,-190.3976
-371.1029,-190.3932
-373.1023,-190.3883
-375.1017,-190.3835
-377.1011,-190.3786
-379.1005,-190.3737
-381.0999,-190.3685
-383.0994,-190.3633
-385.0988,-190.3581
-387.0983,-190.3529
-389.0977,-190.3476
-391.0972,-190.3424
-393.0966,-190.3372
-395.0961,-190.3320
-397.0956,-190.3267
-399.0950,-190.3215
-401.0945,-190.3163
-403.0939,-190.3111
-405.0934,-190.3076
-407.0929,-190.3045
-409.0924,-190.3004
-411.0918,-190.2952
-413.0912,-190.2900
-415.0907,-190.2856
-417.0902,-190.2812
-419.0897,-190.2760
-421.0891,-190.2704
-423.0887,-190.2650
-425.0881,-190.2597
-427.0876,-190.2544
-429.0872,-190.2477
-431.0866,-190.2410
-433.0862,-190.2354
-435.0857,-190.2303
-437.0852,-190.2253
-439.0847,-190.2203
-441.0843,-190.2153
-443.0838,-190.2097
-445.0833,-190.2041
-447.0829,-190.1985
-449.0824,-190.1929
-451.0819,-190.1873
-453.0815,-190.1819
-455.0810,-190.1764
-457.0806,-190.1709
-459.0801,-190.1655
-461.0797,-190.1600
-463.0793,-190.1545
-465.0788,-190.1490
-467.0784,-190.1434
-469.0780,-190.1379
-471.0775,-190.1324
-473.0771,-190.1270
-475.0767,-190.1215
-477.0763,-190.1158
-479.0759,-190.1102
-481.0755,-190.1049
-483.0751,-190.0997
-485.0747,-190.0942
-487.0743,-190.0887
-489.0740,-190.0831
-491.0736,-190.0772
-493.0732,-190.0714
-495.0728,-190.0664
-497.0725,-190.0614
-499.0719,-190.0363
-501.0713,-189.9994
-503.0692,-189.9284
-505.0649,-189.8033
-507.0591,-189.6598
-509.0458,-189.4326
-511.0326,-189.2054
-513.0031,-188.8657
-514.9733,-188.5236
-516.9221,-188.0786
-518.8654,-187.6069
-520.7807,-187.0367
-522.6827,-186.4194
-524.5530,-185.7173
-526.3947,-184.9381
-528.1990,-184.0817
-529.9582,-183.1309
-531.6744,-182.1099
-533.3237,-180.9793
-534.9223,-179.7832
-536.4329,-178.4731
-537.8803,-177.0984
-539.2259,-175.6194
-540.5034,-174.0856
-541.6591,-172.4539
-542.7429,-170.7774
-543.6979,-169.0207
-544.5823,-167.2305
-545.3420,-165.3809
-546.0518,-163.5135
-546.6435,-161.6036
-547.2057,-159.6859
-547.6385,-157.7338
-548.0632,-155.7803
-548.3550,-153.8023
-548.6469,-151.8243
-548.8301,-149.8337
-549.0029,-147.8418
-549.1079,-145.8457
-549.1863,-143.8480
-549.2318,-141.8496
-549.2413,-139.8505
-549.2429,-137.8515
-549.2114,-135.8528
-549.1799,-133.8541
-549.1365,-131.8559
-549.0914,-129.8577
-549.0557,-127.8594
-549.0289,-125.8612
-549.0123,-123.8631
-549.0789,-121.8661
-549.1454,-119.8690
-549.3570,-117.8853
-549.6455,-115.9085
-549.9340,-113.9318
-550.3137,-111.9705
-550.7064,-110.0114
-551.1159,-108.0564
-551.6840,-106.1404
-552.2522,-104.2244
-552.9477,-102.3522
-553.6826,-100.4936
-554.4175,-98.6350
-555.2776,-96.8312
-556.1472,-95.0315
-557.1232,-93.2893
-558.1514,-91.5752
-559.1794,-89.8612
-560.3170,-88.2192
-561.4881,-86.5995
-562.6923,-85.0056
-563.9780,-83.4752
-565.2635,-81.9448
-566.6390,-80.4972
-568.0590,-79.0907
-569.4821,-77.6875
-570.9769,-76.3611
-572.4717,-75.0347
-574.0544,-73.8169
-575.6644,-72.6330
-577.2744,-71.4490
-578.9583,-70.3766
-580.6709,-69.3475
-582.3915,-68.3318
-584.1234,-67.3350
-585.8561,-66.3398
-587.6323,-65.4261
-589.4084,-64.5125
-591.1933,-63.6170
-593.0216,-62.8125
-594.8499,-62.0081
-596.6983,-61.2514
-598.5513,-60.5056
-600.4042,-59.7597
-602.2570,-59.0137
-604.1098,-58.2677
-605.9624,-57.5214
-607.8151,-56.7752
-609.6677,-56.0289
-611.5203,-55.2825
-613.3729,-54.5360
-615.2254,-53.7894
-617.0779,-53.0428
-618.9305,-52.2961
-620.7830,-51.5494
-622.6355,-50.8027
-624.4880,-50.0559
-626.3406,-49.3091
-628.1931,-48.5623
-630.0456,-47.8155
-631.8981,-47.0687
-633.7507,-46.3219
-635.6032,-45.5752
-637.4558,-44.8285
-639.3084,-44.0819
-641.1610,-43.3354
-643.0137,-42.5888
-644.8663,-41.8425
-646.7191,-41.0963
-648.5716,-40.3495
-650.4239,-39.6023
-652.2763,-38.8555
-654.1295,-38.1108
-655.9827,-37.3661
-657.8356,-36.6211
-659.6885,-35.8760
-661.5395,-35.1264
-663.3880,-34.3709
-665.2310,-33.6027
-667.0409,-32.7589
-668.8508,-31.9152
-670.6118,-30.9736
-672.3721,-30.0306
-674.0944,-29.0206
-675.8058,-27.9915
-677.4902,-26.9195
-679.1534,-25.8141
-680.7987,-24.6828
-682.4110,-23.5041
-684.0179,-22.3183
-685.5793,-21.0727
-687.1406,-19.8271
