x,z
190.5679,-190.5400
188.5674,-190.5399
186.5668,-190.5397
184.5663,-190.5395
182.5658,-190.5393
180.5652,-190.5391
178.5647,-190.5388
176.5642,-190.5387
174.5636,-190.5385
172.5631,-190.5383
170.5626,-190.5381
168.5621,-190.5380
166.5615,-190.5378
164.5610,-190.5377
162.5605,-190.5376
160.5600,-190.5374
158.5594,-190.5372
156.5589,-190.5371
154.5584,-190.5369
152.5579,-190.5368
150.5573,-190.5367
148.5568,-190.5367
146.5563,-190.5366
144.5558,-190.5365
142.5552,-190.5363
140.5547,-190.5362
138.5542,-190.5361
136.5536,-190.5360
134.5531,-190.5359
132.5526,-190.5358
130.5521,-190.5358
128.5515,-190.5357
126.5510,-190.5356
124.5505,-190.5356
122.5500,-190.5356
120.5494,-190.5355
118.5489,-190.5354
116.5484,-190.5354
114.5478,-190.5353
112.5473,-190.5353
110.5468,-190.5352
108.5462,-190.5352
106.5457,-190.5352
104.5452,-190.5352
102.5446,-190.5352
100.5441,-190.5351
98.5435,-190.5351
96.5430,-190.5351
94.5425,-190.5351
92.5419,-190.5351
90.5414,-190.5351
88.5409,-190.5351
86.5403,-190.5351
84.5398,-190.5351
82.5393,-190.5351
80.5387,-190.5351
78.5382,-190.5351
76.5377,-190.5351
74.5371,-190.5351
72.5366,-190.5352
70.5360,-190.5352
68.5355,-190.5352
66.5350,-190.5352
64.5344,-190.5353
62.5339,-190.5353
60.5334,-190.5353
58.5329,-190.5354
56.5323,-190.5354
54.5318,-190.5354
52.5313,-190.5355
50.5308,-190.5355
48.5302,-190.5356
46.5297,-190.5356
44.5292,-190.5356
42.5287,-190.5357
40.5282,-190.5357
38.5277,-190.5358
36.5271,-190.5359
34.5266,-190.5359
32.5261,-190.5360
30.5256,-190.5360
28.5251,-190.5361
26.5247,-190.5361
24.5242,-190.5362
22.5237,-190.5362
20.5232,-190.5363
18.5227,-190.5363
16.5222,-190.5364
14.5218,-190.5364
12.5213,-190.5365
10.5209,-190.5366
8.5204,-190.5367
6.5199,-190.5367
4.5195,-190.5368
2.5190,-190.5369
0.5186,-190.5370
-1.4818,-190.5370
-3.4822,-190.5371
-5.4827,-190.5372
-7.4831,-190.5372
-9.4835,-190.5373
-11.4839,-190.5374
-13.4842,-190.5374
-15.4846,-190.5375
-17.4850,-190.5376
-19.4854,-190.5377
-21.4857,-190.5378
-23.4861,-190.5378
-25.4864,-190.5379
-27.4868,-190.5380
-29.4871,-190.5381
-31.4874,-190.5381
-33.4877,-190.5382
-35.4880,-190.5383
-37.4883,-190.5383
-39.4886,-190.5384
-41.4888,-190.5385
-43.4891,-190.5385
-45.4893,-190.5386
-47.4896,-190.5387
-49.4898,-190.5388
-51.4901,-190.5388
-53.4903,-190.5389
-55.4905,-190.5390
-57.4907,-190.5391
-59.4908,-190.5392
-61.4910,-190.5392
-63.4911,-190.5393
-65.4913,-190.5394
-67.4914,-190.5395
-69.4916,-190.5396
-71.4917,-190.5396
-73.4918,-190.5397
-75.4920,-190.5398
-77.4921,-190.5398
-79.4922,-190.5399
-81.4923,-190.5400
-83.4924,-190.5400
-85.4925,-190.5401
-87.4926,-190.5402
-89.4927,-190.5403
-91.4929,-190.5403
-93.4930,-190.5404
-95.4930,-190.5405
-97.4931,-190.5406
-99.4932,-190.5406
-101.4933,-190.5407
-103.4934,-190.5408
-105.4935,-190.5408
-107.4936,-190.5409
-109.4936,-190.5410
-111.4937,-190.5410
-113.4938,-190.5411
-115.4938,-190.5412
-117.4939,-190.5413
-119.4939,-190.5413
-121.4940,-190.5414
-123.4940,-190.5414
-125.4941,-190.5415
-127.4941,-190.5416
-129.4941,-190.5416
-131.4942,-190.5417
-133.4942,-190.5418
-135.4942,-190.5419
-137.4942,-190.5419
-139.4942,-190.5419
-141.4942,-190.5420
-143.4942,-190.5421
-145.4942,-190.5421
-147.4942,-190.5421
-149.4942,-190.5422
-151.4942,-190.5423
-153.4941,-190.5423
-155.4941,-190.5424
-157.4943,-190.5424
-159.4945,-190.5424
-161.4944,-190.5425
-163.4944,-190.5425
-165.4943,-190.5426
-167.4942,-190.5426
-169.4942,-190.5426
-171.4939,-190.5427
-173.4935,-190.5427
-175.4933,-190.5427
-177.4932,-190.5427
-179.4931,-190.5427
-181.4930,-190.5427
-183.4929,-190.5427
-185.4928,-190.5427
-187.4927,-190.5428
-189.4926,-190.5428
-191.4924,-190.5427
-193.4923,-190.5427
-195.4921,-190.5427
-197.4920,-190.5427
-199.4918,-190.5427
-201.4917,-190.5427
-203.4915,-190.5427
-205.4913,-190.5426
-207.4912,-190.5426
-209.4910,-190.5425
-211.4908,-190.5425
-213.4906,-190.5425
-215.4904,-190.5424
-217.4902,-190.5424
-219.4901,-190.5423
-221.4898,-190.5422
-223.4896,-190.5421
-225.4894,-190.5420
-227.4892,-190.5420
-229.4890,-190.5419
-231.4887,-190.5418
-233.4885,-190.5417
-235.4883,-190.5416
-237.4880,-190.5415
-239.4878,-190.5414
-241.4875,-190.5412
-243.4873,-190.5411
-245.4871,-190.5410
-247.4868,-190.5409
-249.4866,-190.5407
-251.4863,-190.5406
-253.4861,-190.5404
-255.4859,-190.5403
-257.4856,-190.5402
-259.4854,-190.5400
-261.4851,-190.5398
-263.4849,-190.5397
-265.4847,-190.5395
-267.4845,-190.5393
-269.4843,-190.5389
-271.4841,-190.5383
-273.4839,-190.5376
-275.4838,-190.5367
-277.4836,-190.5356
-279.4835,-190.5344
-281.4834,-190.5331
-283.4834,-190.5315
-285.4833,-190.5299
-287.4832,-190.5279
-289.4832,-190.5258
-291.4832,-190.5237
-293.4832,-190.5214
-295.4832,-190.5191
-297.4832,-190.5168
-299.4832,-190.5144
-301.4832,-190.5120
-303.4832,-190.5095
-305.4833,-190.5066
-307.4834,-190.5037
-309.4834,-190.5013
-311.4835,-190.4990
-313.4836,-190.4956
-315.4837,-190.4916
-317.4838,-190.4880
-319.4839,-190.4846
-321.4840,-190.4814
-323.4842,-190.4797
-325.4843,-190.4780
-327.4843,-190.4545
-329.4843,-190.4258
-331.4830,-190.3539
-333.4703,-190.1409
-335.4143,-189.6740
-337.3144,-189.0502
-339.2142,-188.4247
-341.0733,-187.6875
-342.9112,-186.8980
-344.7027,-186.0120
-346.4514,-185.0415
-348.1747,-184.0259
-349.8026,-182.8646
-351.3938,-181.6539
-352.9330,-180.3763
-354.4310,-179.0514
-355.8427,-177.6353
-357.1636,-176.1339
-358.4218,-174.5805
-359.5946,-172.9624
-360.6817,-171.2862
-361.6756,-169.5534
-362.5822,-167.7741
-363.3877,-165.9462
-364.1084,-164.0835
-364.7302,-162.1855
-365.2589,-160.2589
-365.7020,-158.3106
-366.0559,-156.3433
-366.3180,-154.3614
-366.5018,-152.3707
-366.6077,-150.3741
-366.6385,-148.3749
-366.5946,-146.3758
-366.4635,-144.3807
-366.2376,-142.3943
-365.9231,-140.4202
-365.5160,-138.4632
-365.0088,-136.5298
-364.3946,-134.6278
-363.6855,-132.7593
-362.8705,-130.9347
-361.9513,-129.1610
-360.9390,-127.4387
-359.8239,-125.7812
-358.6234,-124.1850
-357.3287,-122.6649
-355.9574,-121.2120
-354.5056,-119.8387
-352.9701,-118.5595
-351.3829,-117.3440
-349.7285,-116.2201
-348.0100,-115.1973
-346.2539,-114.2403
-344.4637,-113.3484
-342.6365,-112.5353
-340.7740,-111.8057
-338.8841,-111.1501
-336.9742,-110.5559
-335.0411,-110.0415
-333.0906,-109.5998
-331.1172,-109.2755
-329.1266,-109.0834
-327.1273,-109.0225
-325.1268,-109.0291
-323.1263,-109.0351
-321.1258,-109.0411
-319.1252,-109.0470
-317.1247,-109.0528
-315.1242,-109.0586
-313.1237,-109.0644
-311.1232,-109.0701
-309.1228,-109.0757
-307.1223,-109.0813
-305.1219,-109.0869
-303.1214,-109.0924
-301.1210,-109.0978
-299.1206,-109.1030
-297.1202,-109.1082
-295.1198,-109.1137
-293.1194,-109.1190
-291.1191,-109.1243
-289.1187,-109.1294
-287.1184,-109.1346
-285.1181,-109.1399
-283.1178,-109.1452
-281.1175,-109.1503
-279.1172,-109.1553
-277.1170,-109.1605
-275.1168,-109.1658
-273.1165,-109.1708
-271.1163,-109.1759
-269.1161,-109.1808
-267.1160,-109.1861
-265.1158,-109.1909
-263.1157,-109.1958
-261.1155,-109.2009
-259.1154,-109.2060
-257.1153,-109.2110
-255.1152,-109.2158
-253.1152,-109.2211
-251.1151,-109.2259
-249.1151,-109.2310
-247.1151,-109.2362
-245.1151,-109.2418
-243.1151,-109.2455
-241.1160,-109.2112
-239.1194,-109.1021
-237.1286,-108.9146
-235.1479,-108.6407
-233.1808,-108.2824
-231.2328,-107.8323
-229.3076,-107.2932
-227.4122,-106.6579
-225.5508,-105.9296
-223.7285,-105.1083
-221.9507,-104.1947
-220.2225,-103.1904
-218.5478,-102.0993
-216.9299,-100.9254
-215.3713,-99.6736
-213.8742,-98.3488
-212.4393,-96.9568
-211.0682,-95.5020
-209.7596,-93.9906
-208.5257,-92.4178
-207.3786,-90.7806
-206.3260,-89.0814
-205.3709,-87.3255
-204.5191,-85.5170
-203.7733,-83.6621
-203.1313,-81.7686
-202.5892,-79.8440
-202.1421,-77.8951
-201.7854,-75.9277
-201.4821,-73.9514
-201.2042,-71.9723
-201.0664,-69.9781
-200.9675,-67.9815
-200.8722,-65.9854
-200.7946,-63.9881
-200.7178,-61.9909
-200.6368,-59.9940
-200.5739,-57.9962
-200.5114,-55.9987
-200.4498,-54.0008
-200.3955,-52.0028
-200.3735,-50.0043
-200.3439,-48.0056
-200.3055,-46.0073
-200.2518,-44.0093
-200.1775,-42.0120
-200.0966,-40.0149
-199.9862,-38.0195
-199.8548,-36.0254
-199.7052,-34.0327
-199.5247,-32.0428
-199.3080,-30.0563
-199.0809,-28.0711
-198.8461,-26.0867
-198.5513,-24.1104
-198.2385,-22.1369
-197.8126,-20.1852
-197.3313,-18.2457
-196.8146,-16.3156
-196.2609,-14.3956
-195.6704,-12.4867
-195.0379,-10.5914
-194.3652,-8.7100
-193.6902,-6.8295
-192.9298,-4.9824
-192.1074,-3.1617
-191.2273,-1.3682
-190.2977,0.3997
-189.3152,2.1390
-188.2919,3.8540
-187.2571,5.5621
-186.2172,7.2668
-185.1372,8.9465
-184.0118,10.5960
-182.8816,12.2424
-181.7514,13.8888
-180.6212,15.5353
-179.4909,17.1817
-178.3606,18.8282
-177.2304,20.4746
-176.1001,22.1211
-174.9698,23.7676
-173.8395,25.4141
-172.7092,27.0606
-171.5789,28.7072
-170.4486,30.3536
-169.3183,32.0001
-168.1880,33.6465
-167.0578,35.2929
-165.9267,36.9390
-164.7950,38.5849
-163.6642,40.2314
-162.5341,41.8783
-161.4041,43.5252
-160.2744,45.1723
-159.1444,46.8192
-158.0141,48.4658
-156.8838,50.1125
-155.7543,51.7596
-154.6249,53.4068
-153.4942,55.0531
-152.3629,56.6988
-151.2319,58.3448
-150.1016,59.9911
-148.9713,61.6374
-147.8405,63.2833
-146.7096,64.9292
-145.5806,66.5764
-144.4529,68.2246
-143.3241,69.8721
-142.1914,71.5169
-141.0586,73.1617
-139.9288,74.8085
-138.7997,76.4559
-137.6700,78.1028
-136.5387,79.7487
-135.4073,81.3946
-134.2769,83.0411
-133.1466,84.6877
-132.0162,86.3341
-130.8855,87.9805
-129.7548,89.6268
-128.6251,91.2738
-127.4953,92.9208
-126.3649,94.5674
-125.2342,96.2138
-124.1035,97.8602
-122.9729,99.5066
-121.8423,101.1530
-120.7112,102.7988
-119.5801,104.4445
-118.4499,106.0910
-117.3206,107.7383
-116.1911,109.3855
-115.0609,111.0320
-113.9306,112.6786
-112.8003,114.3251
-111.6700,115.9715
-110.5394,117.6178
-109.4086,119.2639
-108.2783,120.9103
-107.1488,122.5573
-106.0188,124.2040
-104.8880,125.8500
-103.7573,127.4961
-102.6266,129.1423
-101.4964,130.7888
-100.3670,132.4358
-99.2372,134.0825
-98.1071,135.7288
-96.9830,137.3793
-95.8630,139.0326
-94.7423,140.6855
-93.6140,142.3332
-92.4587,143.9621
-91.3200,145.6025
-90.1910,147.2497
-89.0642,148.8984
-87.9359,150.5460
-86.8042,152.1913
-85.6373,153.8112
-84.4358,155.4058
-83.2402,157.0049
-82.0162,158.5812
-80.7277,160.1054
-79.3956,161.5929
-78.0375,163.0574
-76.6688,164.5125
-75.2270,165.8941
-73.7262,167.2125
-72.2150,168.5195
-70.6577,169.7715
-69.0792,170.9976
-67.4786,172.1953
-65.8438,173.3459
-64.1985,174.4814
-62.5223,175.5705
-60.8337,176.6400
-59.1321,177.6886
-57.3980,178.6826
-55.6422,179.6384
-53.8677,180.5593
-52.0686,181.4312
-50.2585,182.2803
-48.4329,183.0957
-46.5896,183.8699
-44.7304,184.6057
-42.8575,185.3057
-40.9706,185.9668
-39.0714,186.5923
-37.1579,187.1724
-35.2393,187.7354
-33.3026,188.2327
-31.3624,188.7162
-29.4070,189.1329
-27.4379,189.4806
-25.4596,189.7715
-23.4733,189.9997
-21.4821,190.1812
-19.4869,190.3131
-17.4914,190.4379
-15.4926,190.4961
-13.4943,190.5586
-11.4948,190.5747
-9.4959,190.5131
-7.4982,190.4198
-5.5023,190.2941
-3.5071,190.1545
-1.5137,189.9908
0.4764,189.7904
2.4634,189.5639
4.4447,189.2924
6.4131,188.9385
8.3689,188.5198
10.3262,188.1076
12.2823,187.6893
14.2382,187.2702
16.1942,186.8512
18.1494,186.4284
20.1050,186.0069
22.0592,185.5792
24.0068,185.1229
25.9634,184.7061
27.9199,184.2885
29.8784,183.8808
31.8322,183.4510
33.7879,183.0307
35.7433,182.6082
37.7030,182.2067
39.6669,181.8261
41.6200,181.3960
43.5745,180.9701
45.5306,180.5531
47.4865,180.1336
49.4418,179.7115
51.4005,179.3049
53.3593,178.8989
55.3175,178.4899
57.2758,178.0818
59.2344,177.6749
61.1913,177.2601
63.1489,176.8483
65.1064,176.4360
67.0640,176.0245
69.0218,175.6137
70.9794,175.2015
72.9371,174.7903
74.8948,174.3791
76.8526,173.9680
78.8103,173.5571
80.7682,173.1464
82.7260,172.7356
84.6839,172.3256
86.6420,171.9162
88.6000,171.5062
90.5579,171.0960
92.5157,170.6850
94.4737,170.2753
96.4316,169.8654
98.3895,169.4550
100.3475,169.0452
102.3049,168.6355
104.2628,168.2251
106.2209,167.8157
108.1790,167.4065
110.1372,166.9972
112.0953,166.5881
114.0533,166.1779
116.0114,165.7685
117.9694,165.3591
119.9275,164.9495
121.8856,164.5402
123.8437,164.1307
125.8017,163.7212
127.7596,163.3108
129.7178,162.9019
131.6761,162.4932
133.6340,162.0830
135.5921,161.6735
137.5504,161.2655
139.5086,160.8562
141.4642,160.4352
143.4160,159.9967
145.3607,159.5277
147.2978,159.0287
149.2282,158.5044
151.1484,157.9433
153.0557,157.3401
154.9514,156.7020
156.8345,156.0272
158.7039,155.3151
