x,z
190.5679,-190.5400
188.5675,-190.5399
186.5671,-190.5397
184.5667,-190.5395
182.5664,-190.5393
180.5660,-190.5391
178.5656,-190.5388
176.5652,-190.5387
174.5649,-190.5385
172.5645,-190.5383
170.5641,-190.5381
168.5637,-190.5380
166.5634,-190.5378
164.5630,-190.5377
162.5626,-190.5376
160.5622,-190.5374
158.5619,-190.5372
156.5615,-190.5371
154.5611,-190.5369
152.5607,-190.5368
150.5604,-190.5367
148.5600,-190.5367
146.5596,-190.5366
144.5593,-190.5365
142.5589,-190.5363
140.5585,-190.5362
138.5581,-190.5361
136.5578,-190.5360
134.5574,-190.5359
132.5570,-190.5358
130.5566,-190.5358
128.5563,-190.5357
126.5559,-190.5356
124.5555,-190.5356
122.5551,-190.5356
120.5547,-190.5355
118.5544,-190.5354
116.5540,-190.5354
114.5536,-190.5353
112.5532,-190.5353
110.5528,-190.5352
108.5525,-190.5352
106.5521,-190.5352
104.5517,-190.5352
102.5513,-190.5352
100.5509,-190.5351
98.5505,-190.5351
96.5502,-190.5351
94.5498,-190.5351
92.5494,-190.5351
90.5490,-190.5351
88.5486,-190.5351
86.5482,-190.5351
84.5479,-190.5351
82.5475,-190.5351
80.5471,-190.5351
78.5467,-190.5351
76.5463,-190.5351
74.5459,-190.5351
72.5456,-190.5352
70.5452,-190.5352
68.5448,-190.5352
66.5444,-190.5352
64.5440,-190.5353
62.5436,-190.5353
60.5433,-190.5353
58.5429,-190.5354
56.5425,-190.5354
54.5421,-190.5354
52.5418,-190.5355
50.5414,-190.5355
48.5410,-190.5356
46.5407,-190.5356
44.5403,-190.5356
42.5399,-190.5357
40.5396,-190.5357
38.5392,-190.5358
36.5388,-190.5359
34.5385,-190.5359
32.5382,-190.5360
30.5378,-190.5360
28.5375,-190.5360
26.5371,-190.5361
24.5368,-190.5362
22.5364,-190.5362
20.5361,-190.5363
18.5358,-190.5363
16.5355,-190.5364
14.5352,-190.5364
12.5349,-190.5365
10.5345,-190.5366
8.5342,-190.5367
6.5339,-190.5367
4.5336,-190.5368
2.5333,-190.5369
0.5331,-190.5370
-1.4672,-190.5370
-3.4675,-190.5371
-5.4678,-190.5372
-7.4680,-190.5372
-9.4683,-190.5373
-11.4685,-190.5374
-13.4687,-190.5374
-15.4690,-190.5375
-17.4692,-190.5376
-19.4694,-190.5377
-21.4696,-190.5378
-23.4698,-190.5378
-25.4700,-190.5379
-27.4702,-190.5380
-29.4703,-190.5381
-31.4705,-190.5381
-33.4707,-190.5382
-35.4708,-190.5383
-37.4710,-190.5383
-39.4711,-190.5384
-41.4712,-190.5385
-43.4713,-190.5385
-45.4714,-190.5386
-47.4715,-190.5387
-49.4716,-190.5388
-51.4717,-190.5388
-53.4717,-190.5389
-55.4718,-190.5390
-57.4718,-190.5391
-59.4718,-190.5392
-61.4718,-190.5392
-63.4718,-190.5393
-65.4718,-190.5394
-67.4718,-190.5395
-69.4718,-190.5396
-71.4718,-190.5396
-73.4718,-190.5397
-75.4717,-190.5398
-77.4717,-190.5398
-79.4717,-190.5399
-81.4716,-190.5400
-83.4716,-190.5400
-85.4715,-190.5401
-87.4715,-190.5402
-89.4715,-190.5403
-91.4714,-190.5403
-93.4714,-190.5404
-95.4713,-190.5405
-97.4712,-190.5406
-99.4712,-190.5406
-101.4711,-190.5407
-103.4710,-190.5408
-105.4710,-190.5408
-107.4709,-190.5409
-109.4708,-190.5410
-111.4707,-190.5410
-113.4706,-190.5411
-115.4706,-190.5412
-117.4705,-190.5413
-119.4704,-190.5413
-121.4703,-190.5414
-123.4701,-190.5414
-125.4700,-190.5415
-127.4699,-190.5416
-129.4698,-190.5416
-131.4697,-190.5417
-133.4695,-190.5418
-135.4694,-190.5419
-137.4693,-190.5419
-139.4691,-190.5419
-141.4690,-190.5420
-143.4688,-190.5421
-145.4687,-190.5421
-147.4685,-190.5421
-149.4683,-190.5422
-151.4682,-190.5423
-153.4680,-190.5423
-155.4678,-190.5424
-157.4679,-190.5424
-159.4678,-190.5424
-161.4677,-190.5425
-163.4674,-190.5425
-165.4672,-190.5426
-167.4670,-190.5426
-169.4668,-190.5426
-171.4664,-190.5427
-173.4658,-190.5427
-175.4655,-190.5427
-177.4653,-190.5427
-179.4650,-190.5427
-181.4648,-190.5427
-183.4645,-190.5427
-185.4642,-190.5427
-187.4639,-190.5428
-189.4637,-190.5428
-191.4634,-190.5427
-193.4631,-190.5427
-195.4628,-190.5427
-197.4625,-190.5427
-199.4622,-190.5427
-201.4619,-190.5427
-203.4615,-190.5427
-205.4612,-190.5426
-207.4609,-190.5426
-209.4606,-190.5425
-211.4603,-190.5425
-213.4599,-190.5425
-215.4596,-190.5424
-217.4592,-190.5424
-219.4589,-190.5423
-221.4585,-190.5422
-223.4582,-190.5421
-225.4578,-190.5420
-227.4574,-190.5420
-229.4570,-190.5419
-231.4567,-190.5418
-233.4563,-190.5417
-235.4559,-190.5416
-237.4555,-190.5415
-239.4551,-190.5414
-241.4547,-190.5412
-243.4543,-190.5411
-245.4539,-190.5410
-247.4535,-190.5409
-249.4531,-190.5407
-251.4527,-190.5406
-253.4523,-190.5404
-255.4520,-190.5403
-257.4516,-190.5402
-259.4512,-190.5400
-261.4508,-190.5398
-263.4504,-190.5397
-265.4500,-190.5395
-267.4496,-190.5393
-269.4493,-190.5389
-271.4490,-190.5383
-273.4486,-190.5376
-275.4483,-190.5367
-277.4481,-190.5356
-279.4478,-190.5344
-281.4475,-190.5331
-283.4473,-190.5315
-285.4471,-190.5299
-287.4469,-190.5280
-289.4467,-190.5259
-291.4465,-190.5237
-293.4464,-190.5215
-295.4462,-190.5192
-297.4461,-190.5169
-299.4459,-190.5145
-301.4458,-190.5120
-303.4457,-190.5095
-305.4456,-190.5066
-307.4455,-190.5037
-309.4454,-190.5014
-311.4453,-190.4991
-313.4453,-190.4957
-315.4452,-190.4917
-317.4452,-190.4880
-319.4452,-190.4847
-321.4451,-190.4815
-323.4451,-190.4798
-325.4451,-190.4780
-327.4449,-190.4551
-329.4447,-190.4263
-331.4434,-190.3556
-333.4308,-190.1461
-335.3755,-189.6836
-337.2763,-189.0629
-339.1759,-188.4373
-341.0358,-187.7025
-342.8740,-186.9142
-344.6668,-186.0314
-346.4162,-185.0622
-348.1393,-184.0468
-349.7692,-182.8887
-351.3618,-181.6802
-352.9014,-180.4032
-354.4008,-179.0801
-355.8142,-177.6659
-357.1363,-176.1657
-358.3965,-174.6142
-359.5704,-172.9971
-360.6600,-171.3226
-361.6551,-169.5907
-362.5645,-167.8129
-363.3714,-165.9858
-364.0934,-164.1238
-364.7181,-162.2270
-365.2483,-160.3009
-365.6928,-158.3531
-366.0498,-156.3865
-366.3133,-154.4049
-366.4986,-152.4145
-366.6059,-150.4182
-366.6382,-148.4191
-366.5958,-146.4202
-366.4680,-144.4250
-366.2439,-142.4386
-365.9311,-140.4643
-365.5258,-138.5071
-365.0220,-136.5730
-364.4096,-134.6705
-363.7023,-132.8015
-362.8908,-130.9756
-361.9732,-129.2011
-360.9641,-127.4771
-359.8505,-125.8187
-358.6528,-124.2205
-357.3595,-122.6994
-355.9908,-121.2444
-354.5402,-119.8700
-353.0065,-118.5890
-351.4204,-117.3723
-349.7675,-116.2465
-348.0510,-115.2210
-346.2961,-114.2621
-344.5070,-113.3683
-342.6809,-112.5530
-340.8191,-111.8217
-338.9298,-111.1648
-337.0206,-110.5689
-335.0881,-110.0532
-333.1383,-109.6090
-331.1653,-109.2825
-329.1754,-109.0854
-327.1763,-109.0223
-325.1759,-109.0289
-323.1756,-109.0349
-321.1752,-109.0409
-319.1748,-109.0468
-317.1745,-109.0527
-315.1741,-109.0585
-313.1738,-109.0642
-311.1734,-109.0699
-309.1731,-109.0756
-307.1728,-109.0812
-305.1725,-109.0867
-303.1722,-109.0922
-301.1719,-109.0977
-299.1717,-109.1029
-297.1714,-109.1081
-295.1712,-109.1135
-293.1710,-109.1188
-291.1708,-109.1242
-289.1706,-109.1293
-287.1704,-109.1345
-285.1703,-109.1397
-283.1701,-109.1451
-281.1700,-109.1502
-279.1699,-109.1552
-277.1698,-109.1604
-275.1697,-109.1656
-273.1696,-109.1707
-271.1696,-109.1758
-269.1695,-109.1807
-267.1695,-109.1859
-265.1695,-109.1907
-263.1695,-109.1956
-261.1695,-109.2008
-259.1696,-109.2059
-257.1696,-109.2109
-255.1697,-109.2157
-253.1698,-109.2209
-251.1698,-109.2257
-249.1700,-109.2309
-247.1701,-109.2361
-245.1703,-109.2416
-243.1705,-109.2458
-241.1714,-109.2133
-239.1749,-109.1061
-237.1841,-108.9205
-235.2031,-108.6496
-233.2358,-108.2933
-231.2872,-107.8463
-229.3616,-107.3097
-227.4654,-106.6770
-225.6030,-105.9517
-223.7795,-105.1333
-222.0007,-104.2220
-220.2714,-103.2200
-218.5952,-102.1315
-216.9757,-100.9601
-215.4155,-99.7106
-213.9167,-98.3880
-212.4801,-96.9979
-211.1073,-95.5448
-209.7969,-94.0353
-208.5609,-92.4644
-207.4107,-90.8296
-206.3554,-89.1321
-205.3976,-87.3779
-204.5431,-85.5709
-203.7936,-83.7177
-203.1488,-81.8252
-202.6043,-79.9015
-202.1545,-77.9534
-201.7945,-75.9867
-201.4924,-74.0104
-201.2092,-72.0322
-201.0695,-70.0382
-200.9701,-68.0417
-200.8770,-66.0457
-200.7968,-64.0487
-200.7207,-62.0517
-200.6382,-60.0549
-200.5750,-58.0573
-200.5145,-56.0599
-200.4515,-54.0622
-200.3956,-52.0643
-200.3747,-50.0660
-200.3456,-48.0674
-200.3065,-46.0692
-200.2540,-44.0714
-200.1801,-42.0742
-200.0992,-40.0773
-199.9901,-38.0819
-199.8587,-36.0880
-199.7111,-34.0954
-199.5310,-32.1055
-199.3146,-30.1192
-199.0885,-28.1340
-198.8536,-26.1498
-198.5613,-24.1733
-198.2499,-22.1996
-197.8276,-20.2474
-197.3474,-18.3078
-196.8318,-16.3775
-196.2795,-14.4573
-195.6897,-12.5483
-195.0590,-10.6526
-194.3875,-8.7710
-193.7145,-6.8899
-192.9561,-5.0420
-192.1355,-3.2207
-191.2567,-1.4267
-190.3292,0.3421
-189.3484,2.0822
-188.3261,3.7977
-187.2913,5.5055
-186.2517,7.2103
-185.1732,8.8907
-184.0494,10.5412
-182.9193,12.1875
-181.7892,13.8338
-180.6591,15.4801
-179.5289,17.1264
-178.3987,18.7727
-177.2685,20.4191
-176.1383,22.0654
-175.0081,23.7118
-173.8779,25.3582
-172.7477,27.0046
-171.6175,28.6510
-170.4873,30.2973
-169.3571,31.9436
-168.2269,33.5899
-167.0967,35.2362
-165.9657,36.8822
-164.8342,38.5280
-163.7034,40.1743
-162.5734,41.8210
-161.4435,43.4679
-160.3138,45.1148
-159.1839,46.7616
-158.0537,48.4081
-156.9234,50.0546
-155.7940,51.7016
-154.6647,53.3487
-153.5342,54.9949
-152.4029,56.6405
-151.2720,58.2863
-150.1418,59.9325
-149.0116,61.5787
-147.8809,63.2245
-146.7501,64.8702
-145.6211,66.5172
-144.4934,68.1653
-143.3649,69.8128
-142.2323,71.4575
-141.0996,73.1022
-139.9697,74.7488
-138.8408,76.3961
-137.7112,78.0429
-136.5799,79.6886
-135.4487,81.3344
-134.3184,82.9807
-133.1881,84.6272
-132.0578,86.2736
-130.9272,87.9198
-129.7966,89.5660
-128.6669,91.2129
-127.5372,92.8597
-126.4070,94.5062
-125.2763,96.1525
-124.1457,97.7987
-123.0152,99.4450
-121.8847,101.0913
-120.7537,102.7370
-119.6227,104.3826
-118.4924,106.0289
-117.3633,107.6761
-116.2339,109.3232
-115.1038,110.9696
-113.9736,112.6160
-112.8434,114.2623
-111.7132,115.9087
-110.5826,117.5548
-109.4519,119.2008
-108.3217,120.8471
-107.1923,122.4939
-106.0624,124.1405
-104.9317,125.7865
-103.8010,127.4324
-102.6704,129.0785
-101.5403,130.7248
-100.4109,132.3717
-99.2813,134.0183
-98.1512,135.6644
-97.0269,137.3146
-95.9070,138.9677
-94.7863,140.6205
-93.6595,142.2691
-92.5042,143.8978
-91.3647,145.5374
-90.2357,147.1844
-89.1090,148.8330
-87.9808,150.4805
-86.8494,152.1259
-85.6853,153.7475
-84.4838,155.3420
-83.2879,156.9408
-82.0667,158.5190
-80.7802,160.0448
-79.4499,161.5336
-78.0925,162.9985
-76.7251,164.4545
-75.2867,165.8394
-73.7875,167.1594
-72.2765,168.4663
-70.7214,169.7207
-69.1443,170.9483
-67.5451,172.1477
-65.9114,173.2996
-64.2660,174.4347
-62.5914,175.5260
-60.9036,176.5964
-59.2034,177.6471
-57.4702,178.6423
-55.7156,179.5999
-53.9417,180.5217
-52.1438,181.3957
-50.3344,182.2459
-48.5093,183.0621
-46.6672,183.8388
-44.8085,184.5753
-42.9365,185.2772
-41.0503,185.9402
-39.1515,186.5662
-37.2389,187.1487
-35.3204,187.7116
-33.3848,188.2125
-31.4447,188.6956
-29.4905,189.1171
-27.5220,189.4674
-25.5441,189.7599
-23.5583,189.9912
-21.5673,190.1740
-19.5725,190.3082
-17.5773,190.4354
-15.5787,190.4936
-13.5805,190.5583
-11.5811,190.5771
-9.5823,190.5161
-7.5847,190.4247
-5.5889,190.2999
-3.5939,190.1601
-1.6004,189.9998
0.3895,189.7988
2.3766,189.5740
4.3582,189.3059
6.3269,188.9543
8.2818,188.5310
10.2320,188.0868
12.1595,187.5536
14.0814,186.9996
15.9920,186.4075
17.9075,185.8322
19.8368,185.3042
21.7639,184.7677
23.6809,184.1970
25.5781,183.5643
27.4395,182.8318
29.2937,182.0815
31.1328,181.2945
32.9541,180.4680
34.7358,179.5588
36.5089,178.6329
38.2691,177.6827
40.0267,176.7278
41.7589,175.7283
