x,z
1.9542,434.1893
-0.0454,434.1730
-2.0451,434.1568
-4.0447,434.1406
-6.0442,434.1142
-8.0435,434.0739
-10.0428,434.0337
-12.0421,433.9935
-14.0412,433.9422
-16.0398,433.8774
-18.0385,433.8127
-20.0371,433.7480
-22.0352,433.6693
-24.0325,433.5707
-26.0298,433.4722
-28.0271,433.3737
-30.0239,433.2664
-32.0202,433.1493
-34.0164,433.0322
-36.0127,432.9151
-38.0077,432.7783
-40.0012,432.6218
-41.9948,432.4654
-43.9884,432.3089
-45.9796,432.1257
-47.9700,431.9325
-49.9603,431.7393
-51.9507,431.5460
-53.9384,431.3276
-55.9261,431.1086
-57.9138,430.8896
-59.9005,430.6621
-61.8854,430.4193
-63.8703,430.1764
-65.8552,429.9336
-67.8391,429.6830
-69.8218,429.4228
-71.8045,429.1625
-73.7872,428.9022
-75.7656,428.6114
-77.7435,428.3165
-79.7213,428.0216
-81.6975,427.7159
-83.6719,427.3985
-85.6462,427.0811
-87.6206,426.7638
-89.5941,426.4416
-91.5630,426.0916
-93.5318,425.7415
-95.5006,425.3914
-97.4675,425.0314
-99.4305,424.6502
-101.3935,424.2690
-103.3566,423.8878
-105.3169,423.4933
-107.2752,423.0889
-109.2336,422.6845
-111.1919,422.2802
-113.1438,421.8454
-115.0956,421.4104
-117.0473,420.9754
-118.9991,420.5403
-120.9474,420.0901
-122.8943,419.6339
-124.8412,419.1776
-126.7878,418.7197
-128.7272,418.2326
-130.6666,417.7455
-132.6060,417.2584
-134.5431,416.7625
-136.4754,416.2481
-138.4078,415.7337
-140.3401,415.2193
-142.2695,414.6942
-144.1951,414.1554
-146.1208,413.6166
-148.0464,413.0778
-149.9693,412.5295
-151.8907,411.9755
-153.8120,411.4214
-155.7333,410.8674
-157.6477,410.2900
-159.5615,409.7104
-161.4753,409.1309
-163.3891,408.5512
-165.2975,407.9544
-167.2060,407.3577
-169.1144,406.7610
-171.0240,406.1681
-172.9367,405.5846
-174.8493,405.0011
-176.7619,404.4176
-178.6706,403.8214
-180.5761,403.2153
-182.4817,402.6093
-184.3872,402.0032
-186.2872,401.3800
-188.1856,400.7521
-190.0840,400.1242
-191.9824,399.4964
-193.8730,398.8452
-195.7635,398.1938
-197.6539,397.5424
-199.5440,396.8900
-201.4301,396.2259
-203.3161,395.5617
-205.2022,394.8976
-207.0867,394.2291
-208.9636,393.5396
-210.8406,392.8500
-212.7175,392.1605
-214.5942,391.4705
-216.4704,390.7789
-218.3466,390.0873
-220.2228,389.3958
-222.0875,388.6738
-223.9490,387.9437
-225.8106,387.2136
-227.6721,386.4835
-229.5337,385.7534
-231.3952,385.0231
-233.2537,384.2852
-235.1122,383.5473
-236.9707,382.8094
-238.8293,382.0714
-240.6878,381.3335
-242.5430,380.5874
-244.3939,379.8305
-246.2448,379.0735
-248.0957,378.3166
-249.9465,377.5597
-251.7974,376.8027
-253.6474,376.0436
-255.4967,375.2826
-257.3459,374.5215
-259.1951,373.7605
-261.0443,372.9994
-262.8935,372.2384
-264.7456,371.4842
-266.5983,370.7316
-268.4510,369.9790
-270.3036,369.2264
-272.1563,368.4738
-274.0090,367.7212
-275.8587,366.9614
-277.7077,366.1998
-279.5567,365.4381
-281.4057,364.6765
-283.2546,363.9148
-285.1008,363.1465
-286.9294,362.3371
-288.7580,361.5277
-290.5865,360.7184
-292.3488,359.7737
-294.1087,358.8242
-295.8527,357.8466
-297.5717,356.8250
-299.2908,355.8035
-300.9799,354.7347
-302.6408,353.6210
