x,z
1.9542,434.1893
-0.0459,434.1730
-2.0461,434.1568
-4.0462,434.1406
-6.0462,434.1141
-8.0461,434.0739
-10.0459,434.0337
-12.0457,433.9934
-14.0452,433.9420
-16.0444,433.8773
-18.0435,433.8125
-20.0427,433.7478
-22.0413,433.6690
-24.0391,433.5704
-26.0369,433.4719
-28.0346,433.3733
-30.0319,433.2659
-32.0287,433.1488
-34.0255,433.0316
-36.0223,432.9145
-38.0177,432.7775
-40.0118,432.6210
-42.0059,432.4645
-44.0000,432.3080
-45.9917,432.1245
-47.9825,431.9312
-49.9734,431.7380
-51.9642,431.5447
-53.9524,431.3261
-55.9406,431.1070
-57.9288,430.8879
-59.9160,430.6602
-61.9014,430.4173
-63.8868,430.1744
-65.8722,429.9315
-67.8566,429.6808
-69.8398,429.4204
-71.8230,429.1601
-73.8062,428.8997
-75.7851,428.6085
-77.7634,428.3135
-79.7418,428.0185
-81.7184,427.7125
-83.6932,427.3951
-85.6681,427.0776
-87.6430,426.7602
-89.6170,426.4376
-91.5863,426.0874
-93.5556,425.7372
-95.5249,425.3871
-97.4923,425.0266
-99.4558,424.6453
-101.4193,424.2640
-103.3828,423.8828
-105.3435,423.4878
-107.3024,423.0833
-109.2612,422.6788
-111.2200,422.2742
-113.1723,421.8391
-115.1246,421.4040
-117.0768,420.9688
-119.0291,420.5337
-120.9778,420.0830
-122.9252,419.6266
-124.8726,419.1703
-126.8195,418.7117
-128.7594,418.2245
-130.6993,417.7373
-132.6392,417.2501
-134.5767,416.7535
-136.5095,416.2390
-138.4424,415.7245
-140.3752,415.2100
-142.3049,414.6843
-144.2310,414.1454
-146.1572,413.6064
-148.0833,413.0675
-150.0066,412.5187
-151.9284,411.9646
-153.8502,411.4104
-155.7720,410.8562
-157.6868,410.2782
-159.6011,409.6985
-161.5154,409.1188
-163.4294,408.5385
-165.3384,407.9417
-167.2473,407.3448
-169.1562,406.7479
-171.0665,406.1552
-172.9796,405.5715
-174.8927,404.9879
-176.8058,404.4043
-178.7147,403.8074
-180.6208,403.2011
-182.5268,402.5949
-184.4328,401.9887
-186.3331,401.3648
-188.2320,400.7368
-190.1309,400.1088
-192.0297,399.4804
-193.9206,398.8289
-195.8116,398.1773
-197.7025,397.5257
-199.5930,396.8728
-201.4795,396.2085
-203.3660,395.5441
-205.2526,394.8798
-207.1373,394.2105
-209.0147,393.5208
-210.8921,392.8311
-212.7695,392.1414
-214.6467,391.4511
-216.5234,390.7594
-218.4000,390.0677
-220.2767,389.3759
-222.1414,388.6526
-224.0034,387.9224
-225.8654,387.1921
-227.7275,386.4618
-229.5895,385.7315
-231.4513,385.0008
-233.3103,384.2627
-235.1693,383.5246
-237.0283,382.7865
-238.8873,382.0484
-240.7463,381.3103
-242.6017,380.5634
-244.4531,379.8063
-246.3045,379.0492
-248.1558,378.2921
-250.0072,377.5349
-251.8585,376.7778
-253.7089,376.0184
-255.5586,375.2571
-257.4083,374.4958
-259.2580,373.7346
-261.1077,372.9734
-262.9573,372.2121
-264.8100,371.4581
-266.6631,370.7053
-268.5163,369.9525
-270.3694,369.1997
-272.2226,368.4469
-274.0757,367.6941
-275.9312,366.9469
-277.7870,366.2009
-279.6429,365.4549
-281.4988,364.7090
-283.3547,363.9630
-285.2101,363.2157
-287.0607,362.4565
-288.9112,361.6974
-290.7617,360.9382
-292.6123,360.1790
-294.4628,359.4198
-296.3157,358.6665
-298.1717,357.9205
-300.0276,357.1745
-301.8835,356.4286
-303.7394,355.6826
-305.5953,354.9366
-307.4543,354.1985
-309.3150,353.4646
-311.1757,352.7307
-313.0364,351.9967
-314.8971,351.2628
-316.7578,350.5288
-318.6225,349.8051
-320.4875,349.0822
-322.3525,348.3592
-324.2175,347.6363
-326.0825,346.9133
-327.9464,346.1877
-329.8083,345.4568
-331.6702,344.7259
-333.5321,343.9949
-335.3940,343.2640
-337.2558,342.5330
-339.1168,341.7997
-340.9774,341.0655
-342.8380,340.3313
-344.6985,339.5971
-346.5591,338.8628
-348.4193,338.1274
-350.2771,337.3863
-352.1349,336.6451
-353.9927,335.9039
-355.8505,335.1627
-357.7083,334.4215
-359.5697,333.6892
-361.4332,332.9625
-363.2968,332.2359
-365.1603,331.5092
-367.0239,330.7825
-368.8874,330.0558
-370.7480,329.3217
