x,z
-159.9860,-157.4133
-159.9860,-159.4136
-159.9860,-161.4139
-159.9860,-163.4142
-159.9860,-165.4146
-159.9860,-167.4149
-159.9860,-169.4152
-159.9860,-171.4155
-159.9860,-173.4158
-159.9860,-175.4161
-159.9860,-177.4164
-159.9860,-179.4167
-159.9860,-181.4170
-159.9860,-183.4173
-159.9860,-185.4176
-159.9860,-187.4179
-159.9860,-189.4182
-159.9860,-191.4185
-159.9860,-193.4188
-159.9860,-195.4191
-159.9860,-197.4194
-159.9860,-199.4197
-159.9860,-201.4200
-159.9860,-203.4203
-159.9860,-205.4207
-159.9860,-207.4210
-159.9860,-209.4213
-159.9860,-211.4216
-159.9860,-213.4219
-159.9860,-215.4222
-159.9860,-217.4225
-159.9860,-219.4228
-159.9860,-221.4231
-159.9860,-223.4234
-159.9860,-225.4237
-159.9860,-227.4240
-159.9860,-229.4243
-159.9860,-231.4246
-159.9860,-233.4249
-159.9860,-235.4252
-159.9860,-237.4255
-159.9860,-239.4258
-159.9860,-241.4261
-159.9860,-243.4265
-159.9860,-245.4268
-159.9860,-247.4271
-159.9860,-249.4274
-159.9860,-251.4277
-159.9860,-253.4280
-159.9860,-255.4283
-159.9860,-257.4286
-159.9860,-259.4289
-159.9860,-261.4292
-159.9860,-263.4295
-159.9860,-265.4298
-159.9860,-267.4301
-159.9860,-269.4304
-159.9860,-271.4307
-159.9860,-273.4310
-159.9860,-275.4313
-159.9860,-277.4316
-159.9860,-279.4319
-159.9860,-281.4323
-159.9860,-283.4326
-159.9860,-285.4329
-159.9860,-287.4332
-159.9860,-289.4335
-159.9860,-291.4338
-159.9860,-293.4341
-159.9860,-295.4344
-159.9860,-297.4347
-159.9860,-299.4350
-159.9860,-301.4353
-159.9860,-303.4356
-159.9860,-305.4359
-159.9860,-307.4362
-159.9860,-309.4365
-159.9860,-311.4368
-159.9860,-313.4371
-159.9860,-315.4374
-159.9692,-317.4377
-159.9423,-319.4378
-159.8900,-321.4373
-159.8115,-323.4360
-159.7108,-325.4337
-159.5813,-327.4298
-159.4355,-329.4247
-159.2526,-331.4166
-159.0540,-333.4070
-158.8246,-335.3941
-158.5840,-337.3798
-158.2975,-339.3595
-158.0011,-341.3376
-157.6712,-343.3105
-157.3289,-345.2813
-156.9460,-347.2446
-156.5539,-349.2061
-156.1221,-351.1592
-155.6769,-353.1093
-155.1998,-355.0518
-154.7101,-356.9912
-154.1797,-358.9198
-153.6356,-360.8447
-153.0623,-362.7610
-152.4734,-364.6726
-151.8485,-366.5727
-151.2108,-368.4686
-150.5389,-370.3526
-149.8507,-372.2308
-149.1344,-374.0983
-148.4014,-375.9595
-147.6360,-377.8074
-146.8535,-379.6483
-146.0447,-381.4777
-145.2183,-383.2993
-144.3617,-385.1067
-143.4900,-386.9070
-142.5880,-388.6924
-141.6687,-390.4689
-140.7250,-392.2324
-139.7641,-393.9868
-138.7737,-395.7245
-137.7682,-397.4537
-136.7360,-399.1670
-135.6875,-400.8705
-134.6128,-402.5573
-133.5236,-404.2351
-132.4055,-405.8936
-131.2722,-407.5418
-130.1159,-409.1739
-128.9445,-410.7953
-127.7453,-412.3960
-126.5347,-413.9884
-125.2952,-415.5583
-124.0423,-417.1175
-122.7674,-418.6587
-121.4798,-420.1895
-120.1633,-421.6953
-118.8365,-423.1921
-117.4847,-424.6664
-116.1203,-426.1290
-114.7332,-427.5701
-113.3363,-429.0018
-111.9105,-430.4046
-110.4751,-431.7976
-109.0183,-433.1682
-107.5504,-434.5270
-106.0585,-435.8593
-104.5598,-437.1841
-103.0327,-438.4760
-101.4973,-439.7580
-99.9429,-441.0168
-98.3795,-442.2645
-96.7909,-443.4800
-95.1961,-444.6872
-93.5786,-445.8640
-91.9523,-447.0285
-90.3080,-448.1674
-88.6574,-449.2974
-86.9810,-450.3886
-85.2992,-451.4713
-83.5996,-452.5261
-81.8918,-453.5675
-80.1659,-454.5785
-78.4352,-455.5814
-76.6819,-456.5443
-74.9231,-457.4969
-73.1498,-458.4223
-71.3703,-459.3359
-69.5717,-460.2112
-67.7689,-461.0778
-65.9499,-461.9097
-64.1247,-462.7281
-62.2864,-463.5167
-60.4443,-464.2964
-58.5839,-465.0310
-56.7198,-465.7565
-54.8442,-466.4518
-52.9638,-467.1338
-51.0701,-467.7777
-49.1732,-468.4126
-47.2636,-469.0081
-45.3500,-469.5905
-43.4274,-470.1422
-41.5012,-470.6816
-39.5638,-471.1793
-37.6232,-471.6643
-35.6753,-472.1187
-33.7237,-472.5576
-31.7644,-472.9599
-29.8023,-473.3488
-27.8335,-473.7027
-25.8617,-474.0391
-23.8853,-474.3465
-21.9056,-474.6331
-19.9221,-474.8914
-17.9356,-475.1253
-15.9466,-475.3371
-13.9547,-475.5201
-11.9610,-475.6812
-9.9652,-475.8148
-7.9684,-475.9319
-5.9696,-476.0105
-3.9704,-476.0753
-1.9704,-476.1077
0.0298,-476.1309
2.0299,-476.1069
4.0299,-476.0750
6.0291,-476.0081
8.0278,-475.9283
10.0245,-475.8109
12.0206,-475.6801
14.0140,-475.5146
16.0058,-475.3309
17.9948,-475.1193
19.9812,-474.8845
21.9645,-474.6246
23.9441,-474.3376
25.9206,-474.0306
27.8922,-473.6927
29.8601,-473.3344
31.8228,-472.9485
33.7820,-472.5453
35.7334,-472.1058
37.6812,-471.6512
39.6215,-471.1649
41.5580,-470.6638
43.4847,-470.1263
45.4083,-469.5781
47.3205,-468.9908
49.2283,-468.3898
51.1265,-467.7590
53.0210,-467.1170
54.9002,-466.4316
56.7756,-465.7361
58.6393,-465.0095
60.4974,-464.2688
62.3413,-463.4937
64.1815,-462.7096
66.0041,-461.8854
67.8213,-461.0495
69.6253,-460.1855
71.4243,-459.3109
73.2027,-458.3953
74.9768,-457.4714
76.7341,-456.5159
78.4839,-455.5468
80.2174,-454.5488
81.9458,-453.5419
83.6503,-452.4952
85.3489,-451.4390
87.0309,-450.3564
88.7047,-449.2612
90.3571,-448.1339
92.0036,-446.9982
93.6269,-445.8294
95.2415,-444.6488
96.8383,-443.4441
98.4273,-442.2292
99.9894,-440.9797
101.5450,-439.7224
103.0782,-438.4378
104.6009,-437.1407
106.1031,-435.8199
107.5963,-434.4891
109.0619,-433.1278
110.5181,-431.7566
111.9531,-430.3631
113.3762,-428.9575
114.7748,-427.5275
116.1638,-426.0883
117.5252,-424.6228
118.8745,-423.1463
120.2028,-421.6507
121.5182,-420.1439
122.8058,-418.6131
124.0823,-417.0733
125.3325,-415.5118
126.5681,-413.9389
127.7814,-412.3486
128.9799,-410.7473
130.1508,-409.1255
131.3074,-407.4938
132.4392,-405.8445
133.5550,-404.1844
134.6450,-402.5072
135.7201,-400.8205
136.7672,-399.1162
137.7971,-397.4016
138.8038,-395.6731
139.7928,-393.9345
140.7536,-392.1801
141.6986,-390.4173
142.6154,-388.6395
143.5138,-386.8524
144.3877,-385.0531
145.2433,-383.2451
146.0694,-381.4234
146.8777,-379.5939
147.6593,-377.7526
148.4231,-375.9039
149.1561,-374.0428
149.8739,-372.1759
150.5594,-370.2967
151.2268,-368.4112
151.8675,-366.5163
152.4913,-364.6158
153.0799,-362.7041
153.6537,-360.7880
154.1958,-358.8625
154.7222,-356.9328
155.2144,-354.9940
155.6948,-353.0523
156.1352,-351.1011
156.5619,-349.1469
156.9576,-347.1862
157.3434,-345.2234
157.6813,-343.2519
158.0103,-341.2789
158.3060,-339.3006
158.5893,-337.3205
158.8316,-335.3350
159.0639,-333.3482
159.2580,-331.3574
159.4382,-329.3652
159.5853,-327.3705
159.7162,-325.3744
159.8138,-323.3766
159.8913,-321.3777
159.9438,-319.3783
159.9700,-317.3781
159.9846,-315.3779
159.9862,-313.3776
159.9865,-311.3773
159.9870,-309.3770
159.9877,-307.3767
159.9885,-305.3764
159.9895,-303.3761
159.9906,-301.3758
159.9918,-299.3755
159.9931,-297.3752
159.9945,-295.3748
159.9961,-293.3745
159.9977,-291.3742
159.9993,-289.3739
160.0011,-287.3736
160.0029,-285.3733
160.0047,-283.3730
160.0066,-281.3727
160.0085,-279.3724
160.0103,-277.3721
160.0122,-275.3718
160.0141,-273.3715
160.0160,-271.3712
160.0179,-269.3709
160.0197,-267.3706
160.0215,-265.3703
160.0232,-263.3700
160.0249,-261.3697
160.0265,-259.3694
160.0280,-257.3691
160.0294,-255.3688
160.0307,-253.3685
160.0319,-251.3681
160.0330,-249.3678
160.0340,-247.3675
160.0348,-245.3672
160.0354,-243.3669
160.0359,-241.3666
160.0363,-239.3663
160.0364,-237.3660
160.0311,-235.3657
160.0112,-233.3655
159.9692,-231.3657
159.8636,-229.3692
159.6372,-227.3842
159.2928,-225.4171
158.8520,-223.4701
158.3021,-221.5510
157.5983,-219.6808
