x,z
-159.9860,-157.4210
-159.9860,-159.4204
-159.9860,-161.4197
-159.9860,-163.4190
-159.9860,-165.4184
-159.9860,-167.4177
-159.9860,-169.4170
-159.9860,-171.4163
-159.9860,-173.4157
-159.9860,-175.4150
-159.9860,-177.4143
-159.9860,-179.4137
-159.9860,-181.4130
-159.9860,-183.4123
-159.9860,-185.4116
-159.9860,-187.4110
-159.9860,-189.4103
-159.9860,-191.4096
-159.9860,-193.4090
-159.9860,-195.4083
-159.9860,-197.4076
-159.9860,-199.4069
-159.9860,-201.4063
-159.9860,-203.4056
-159.9860,-205.4049
-159.9860,-207.4043
-159.9860,-209.4036
-159.9860,-211.4029
-159.9860,-213.4022
-159.9860,-215.4016
-159.9860,-217.4009
-159.9860,-219.4002
-159.9860,-221.3996
-159.9860,-223.3989
-159.9860,-225.3982
-159.9860,-227.3975
-159.9860,-229.3969
-159.9860,-231.3962
-159.9860,-233.3955
-159.9860,-235.3949
-159.9860,-237.3942
-159.9860,-239.3935
-159.9860,-241.3928
-159.9860,-243.3922
-159.9860,-245.3915
-159.9860,-247.3908
-159.9860,-249.3902
-159.9860,-251.3895
-159.9860,-253.3888
-159.9860,-255.3882
-159.9860,-257.3875
-159.9860,-259.3868
-159.9860,-261.3861
-159.9860,-263.3855
-159.9860,-265.3848
-159.9860,-267.3841
-159.9860,-269.3835
-159.9860,-271.3828
-159.9860,-273.3821
-159.9860,-275.3814
-159.9860,-277.3808
-159.9860,-279.3801
-159.9860,-281.3794
-159.9860,-283.3788
-159.9860,-285.3781
-159.9860,-287.3774
-159.9860,-289.3767
-159.9860,-291.3761
-159.9860,-293.3754
-159.9860,-295.3747
-159.9860,-297.3741
-159.9860,-299.3734
-159.9860,-301.3727
-159.9860,-303.3720
-159.9860,-305.3714
-159.9860,-307.3707
-159.9860,-309.3700
-159.9860,-311.3694
-159.9860,-313.3687
-159.9848,-315.3680
-159.9701,-317.3673
-159.9427,-319.3664
-159.8912,-321.3651
-159.8144,-323.3629
-159.7127,-325.3596
-159.5863,-327.3549
-159.4352,-329.3485
-159.2596,-331.3401
-159.0587,-333.3293
-158.8339,-335.3159
-158.5831,-337.2994
-158.3091,-339.2798
-158.0085,-341.2564
-157.6852,-343.2293
-157.3351,-345.1977
-156.9624,-347.1620
-156.5634,-349.1210
-156.1410,-351.0752
-155.6935,-353.0237
-155.2213,-354.9665
-154.7261,-356.9034
-154.2039,-358.8333
-153.6618,-360.7578
-153.0890,-362.6733
-152.5010,-364.5841
-151.8769,-366.4836
-151.2413,-368.3792
-150.5696,-370.2622
-149.8865,-372.1412
-149.1682,-374.0069
-148.4375,-375.8679
-147.6736,-377.7154
-146.8920,-379.5556
-146.0866,-381.3854
-145.2563,-383.2041
-144.4067,-385.0138
-143.5302,-386.8107
-142.6362,-388.5989
-141.7148,-390.3732
-140.7764,-392.1385
-139.8114,-393.8895
-138.8285,-395.6305
-137.8214,-397.3575
-136.7940,-399.0726
-135.7459,-400.7752
-134.6733,-402.4624
-133.5854,-404.1398
-132.4686,-405.7980
-131.3404,-407.4486
-130.1822,-409.0782
-129.0137,-410.7004
-127.8156,-412.3008
-126.6044,-413.8915
-125.3704,-415.4643
-124.1172,-417.0221
-122.8461,-418.5651
-121.5538,-420.0906
-120.2456,-421.6023
-118.9156,-423.0950
-117.5704,-424.5741
-116.2043,-426.0337
-114.8225,-427.4786
-113.4216,-428.9049
-112.0033,-430.3140
-110.5692,-431.7069
-109.1148,-433.0787
-107.6485,-434.4379
-106.1581,-435.7704
-104.6606,-437.0950
-103.1358,-438.3881
-101.6044,-439.6734
-100.0502,-440.9309
-98.4850,-442.1749
-96.9019,-443.3957
-95.3050,-444.5986
-93.6932,-445.7814
-92.0661,-446.9432
-90.4261,-448.0865
-88.7704,-449.2072
-87.1026,-450.3097
-85.4198,-451.3891
-83.7247,-452.4492
-82.0161,-453.4873
-80.2945,-454.5038
-78.5615,-455.5006
-76.8140,-456.4720
-75.0579,-457.4277
-73.2853,-458.3524
-71.5075,-459.2671
-69.7106,-460.1436
-67.9098,-461.0123
-66.0923,-461.8451
-64.2689,-462.6651
-62.4323,-463.4550
-60.5879,-464.2267
-58.7330,-464.9723
-56.8691,-465.6958
-54.9966,-466.3961
-53.1148,-467.0716
-51.2255,-467.7255
-49.3272,-468.3529
-47.4222,-468.9594
-45.5087,-469.5389
-43.5889,-470.0970
-41.6617,-470.6289
-39.7282,-471.1378
-37.7884,-471.6220
-35.8425,-472.0811
-33.8915,-472.5176
-31.9342,-472.9258
-29.9732,-473.3150
-28.0058,-473.6710
-26.0356,-474.0108
-24.0599,-474.3176
-22.0818,-474.6076
-20.0992,-474.8654
-18.1143,-475.1051
-16.1260,-475.3144
-14.1357,-475.5034
-12.1429,-475.6642
-10.1484,-475.8028
-8.1523,-475.9151
-6.1549,-476.0032
-4.1567,-476.0671
-2.1577,-476.1052
-0.1585,-476.1208
1.8407,-476.1094
3.8398,-476.0763
5.8382,-476.0157
7.8358,-475.9334
9.8321,-475.8235
11.8271,-475.6921
13.8199,-475.5305
15.8110,-475.3496
17.7991,-475.1384
19.7851,-474.9077
21.7673,-474.6472
23.7468,-474.3667
25.7220,-474.0570
27.6938,-473.7267
29.6607,-473.3682
31.6235,-472.9880
33.5809,-472.5809
35.5334,-472.1509
37.4801,-471.6957
39.4209,-471.2156
41.3559,-470.7130
43.2836,-470.1826
45.2060,-469.6335
47.1191,-469.0528
49.0278,-468.4579
50.9249,-467.8267
52.8191,-467.1871
54.6985,-466.5050
56.5749,-465.8149
58.4377,-465.0889
60.2950,-464.3489
62.1401,-463.5789
63.9773,-462.7904
65.8034,-461.9764
67.6195,-461.1405
69.4252,-460.2824
71.2194,-459.4003
73.0035,-458.4980
74.7749,-457.5711
76.5359,-456.6245
78.2839,-455.6542
80.0203,-454.6632
81.7442,-453.6508
83.4546,-452.6154
85.1538,-451.5621
86.8366,-450.4825
88.5108,-449.3897
90.1644,-448.2659
91.8123,-447.1339
93.4359,-445.9672
95.0531,-444.7917
96.6492,-443.5878
98.2349,-442.3701
99.8024,-441.1292
101.3560,-439.8709
102.8936,-438.5931
104.4147,-437.2957
105.9209,-435.9810
107.4090,-434.6459
108.8824,-433.2946
110.3373,-431.9233
111.7764,-430.5355
113.1978,-429.1296
114.6010,-427.7056
115.9887,-426.2664
117.3546,-424.8065
118.7084,-423.3354
120.0350,-421.8396
121.3549,-420.3380
122.6418,-418.8079
123.9207,-417.2712
125.1722,-415.7121
126.4101,-414.1422
127.6250,-412.5544
128.8217,-410.9528
129.9984,-409.3366
131.1539,-407.7050
132.2911,-406.0607
133.4052,-404.4007
134.5015,-402.7288
135.5741,-401.0417
136.6281,-399.3427
137.6592,-397.6300
138.6694,-395.9047
139.6591,-394.1677
140.6241,-392.4167
141.5725,-390.6568
142.4898,-388.8804
143.3972,-387.0989
144.2676,-385.2990
145.1294,-383.4950
145.9556,-381.6744
146.7681,-379.8476
147.5511,-378.0081
148.3154,-376.1606
149.0539,-374.3028
149.7700,-372.4361
150.4630,-370.5608
151.1309,-368.6764
151.7774,-366.7845
152.3974,-364.8838
152.9961,-362.9763
153.5684,-361.0607
154.1185,-359.1386
154.6432,-357.2094
155.1438,-355.2738
155.6210,-353.3324
156.0714,-351.3844
156.5012,-349.4319
156.9008,-347.4730
157.2834,-345.5107
157.6316,-343.5419
157.9670,-341.5709
158.2631,-339.5937
158.5500,-337.6150
158.7953,-335.6308
159.0314,-333.6455
159.2285,-331.6559
159.4134,-329.6652
159.5627,-327.6715
159.6964,-325.6767
159.7980,-323.6801
159.8804,-321.6824
159.9345,-319.6839
159.9660,-317.6849
159.9826,-315.6856
159.9862,-313.6863
159.9865,-311.6870
159.9870,-309.6877
159.9876,-307.6883
159.9884,-305.6890
159.9893,-303.6897
159.9904,-301.6903
159.9916,-299.6910
159.9929,-297.6917
159.9943,-295.6924
159.9958,-293.6930
159.9974,-291.6937
159.9990,-289.6944
160.0008,-287.6950
160.0025,-285.6957
160.0044,-283.6964
160.0062,-281.6971
160.0081,-279.6977
160.0100,-277.6984
160.0119,-275.6991
160.0138,-273.6997
160.0157,-271.7004
160.0176,-269.7011
160.0194,-267.7018
160.0212,-265.7024
160.0229,-263.7031
160.0246,-261.7038
160.0262,-259.7044
160.0277,-257.7051
160.0292,-255.7058
160.0305,-253.7065
160.0317,-251.7071
160.0328,-249.7078
160.0338,-247.7085
160.0346,-245.7091
160.0353,-243.7098
160.0359,-241.7105
160.0363,-239.7112
160.0364,-237.7118
160.0362,-235.7125
160.0357,-233.7132
160.0351,-231.7138
160.0346,-229.7145
160.0340,-227.7152
160.0335,-225.7159
160.0329,-223.7165
160.0323,-221.7172
160.0318,-219.7179
160.0312,-217.7185
160.0307,-215.7192
160.0301,-213.7199
160.0296,-211.7206
160.0290,-209.7212
160.0285,-207.7219
160.0279,-205.7226
160.0274,-203.7232
160.0268,-201.7239
160.0262,-199.7246
160.0257,-197.7253
160.0251,-195.7259
160.0246,-193.7266
160.0240,-191.7273
160.0235,-189.7279
160.0229,-187.7286
160.0224,-185.7293
160.0218,-183.7299
160.0213,-181.7306
160.0207,-179.7313
160.0202,-177.7320
160.0196,-175.7326
160.0191,-173.7333
160.0185,-171.7340
160.0179,-169.7346
160.0174,-167.7353
160.0168,-165.7360
160.0163,-163.7366
160.0157,-161.7373
160.0152,-159.7380
160.0146,-157.7387
160.0141,-155.7393
160.0135,-153.7400
160.0130,-151.7407
160.0124,-149.7413
160.0119,-147.7420
160.0113,-145.7427
160.0108,-143.7434
160.0102,-141.7440
160.0097,-139.7447
160.0091,-137.7454
160.0085,-135.7460
160.0080,-133.7467
160.0074,-131.7474
160.0069,-129.7481
160.0063,-127.7487
160.0058,-125.7494
160.0052,-123.7501
160.0047,-121.7507
160.0041,-119.7514
160.0036,-117.7521
160.0030,-115.7528
160.0025,-113.7534
160.0019,-111.7541
160.0013,-109.7548
160.0008,-107.7554
160.0002,-105.7561
159.9997,-103.7568
159.9991,-101.7575
159.9986,-99.7581
159.9980,-97.7588
159.9975,-95.7595
159.9969,-93.7601
159.9964,-91.7608
159.9958,-89.7615
159.9953,-87.7622
159.9947,-85.7628
159.9941,-83.7635
159.9936,-81.7642
159.9930,-79.7648
159.9925,-77.7655
159.9919,-75.7662
159.9914,-73.7669
159.9908,-71.7675
159.9903,-69.7682
159.9897,-67.7689
159.9892,-65.7695
159.9886,-63.7702
159.9881,-61.7709
159.9875,-59.7716
159.9870,-57.7722
159.9864,-55.7729
159.9860,-53.7736
159.9860,-51.7742
159.9860,-49.7749
159.9860,-47.7756
159.9860,-45.7763
159.9860,-43.7769
159.9860,-41.7776
159.9860,-39.7783
159.9860,-37.7789
159.9860,-35.7796
159.9860,-33.7803
159.9860,-31.7810
159.9860,-29.7816
159.9860,-27.7823
159.9860,-25.7830
159.9860,-23.7836
159.9860,-21.7843
159.9860,-19.7850
159.9860,-17.7856
159.9860,-15.7863
159.9860,-13.7870
159.9860,-11.7877
159.9860,-9.7883
