x,z
-159.9860,-157.4133
-159.9860,-155.4130
-159.9860,-153.4127
-159.9860,-151.4124
-159.9860,-149.4121
-159.9860,-147.4118
-159.9860,-145.4115
-159.9860,-143.4112
-159.9860,-141.4109
-159.9860,-139.4106
-159.9860,-137.4103
-159.9860,-135.4100
-159.9860,-133.4097
-159.9860,-131.4093
-159.9860,-129.4090
-159.9860,-127.4087
-159.9860,-125.4084
-159.9860,-123.4081
-159.9860,-121.4078
-159.9860,-119.4075
-159.9860,-117.4072
-159.9860,-115.4069
-159.9860,-113.4066
-159.9860,-111.4063
-159.9860,-109.4060
-159.9860,-107.4057
-159.9860,-105.4054
-159.9860,-103.4051
-159.9860,-101.4048
-159.9860,-99.4045
-159.9860,-97.4042
-159.9860,-95.4039
-159.9860,-93.4036
-159.9860,-91.4033
-159.9860,-89.4029
-159.9860,-87.4026
-159.9860,-85.4023
-159.9860,-83.4020
-159.9860,-81.4017
-159.9860,-79.4014
-159.9860,-77.4011
-159.9860,-75.4008
-159.9860,-73.4005
-159.9860,-71.4002
-159.9860,-69.3999
-159.9860,-67.3996
-159.9860,-65.3993
-159.9860,-63.3990
-159.9860,-61.3987
-159.9860,-59.3984
-159.9860,-57.3981
-159.9860,-55.3978
-159.9860,-53.3974
-159.9860,-51.3971
-159.9860,-49.3968
-159.9860,-47.3965
-159.9860,-45.3962
-159.9860,-43.3959
-159.9860,-41.3956
-159.9860,-39.3953
-159.9860,-37.3950
-159.9860,-35.3947
-159.9860,-33.3944
-159.9860,-31.3941
-159.9860,-29.3938
-159.9860,-27.3935
-159.9860,-25.3932
-159.9860,-23.3929
-159.9860,-21.3926
-159.9860,-19.3923
-159.9860,-17.3920
-159.9860,-15.3916
-159.9860,-13.3913
-159.9860,-11.3910
-159.9860,-9.3907
-159.9860,-7.3904
-159.9860,-5.3901
-159.9860,-3.3898
-159.9860,-1.3895
-159.9760,0.6107
-159.9518,2.6109
-159.9160,4.6109
-159.8377,6.6096
-159.7501,8.6080
-159.6251,10.6043
-159.4881,12.5999
-159.3136,14.5925
-159.1301,16.5844
-158.9030,18.5718
-158.6637,20.5577
-158.3932,22.5395
-158.1066,24.5192
-157.7841,26.4932
-157.4436,28.4643
-157.0758,30.4304
-156.6869,32.3925
-156.2683,34.3484
-155.8293,36.2999
-155.3633,38.2451
-154.8735,40.1845
-154.3598,42.1175
-153.8204,44.0437
-153.2585,45.9633
-152.6697,47.8750
-152.0613,49.7804
-151.4240,51.6764
-150.7657,53.5652
-150.0824,55.4451
-149.3792,57.3176
-148.6462,59.1787
-147.8958,61.0328
-147.1166,62.8750
-146.3187,64.7092
-145.4945,66.5317
-144.6528,68.3462
-143.7811,70.1465
-142.8920,71.9382
-141.9776,73.7171
-141.0459,75.4872
-140.0849,77.2414
-139.1093,78.9875
-138.1050,80.7173
-137.0833,82.4369
-136.0386,84.1426
-134.9765,85.8376
-133.8874,87.5153
-132.7823,89.1824
-131.6528,90.8332
-130.5059,92.4719
-129.3358,94.0943
-128.1496,95.7048
-126.9391,97.2971
-125.7114,98.8762
-124.4632,100.4391
-123.1975,101.9880
-121.9093,103.5183
-120.6059,105.0353
-119.2810,106.5340
-117.9382,108.0164
-116.5781,109.4830
-115.1997,110.9325
-113.8025,112.3640
-112.3885,113.7786
-110.9569,115.1756
-109.5073,116.5538
-108.0414,117.9148
-106.5588,119.2575
-105.0602,120.5823
-103.5437,121.8865
-102.0131,123.1742
-100.4644,124.4402
-98.9011,125.6881
-97.3225,126.9164
-95.7301,128.1270
-94.1198,129.3134
-92.4983,130.4846
-90.8589,131.6307
-89.2076,132.7596
-87.5411,133.8657
-85.8633,134.9548
-84.1685,136.0171
-82.4632,137.0626
-80.7433,138.0839
-79.0131,139.0877
-77.2675,140.0642
-75.5131,141.0251
-73.7433,141.9571
-71.9640,142.8711
-70.1726,143.7610
-68.3723,144.6327
-66.5578,145.4745
-64.7362,146.3007
-62.9013,147.0972
-61.0587,147.8757
-59.2051,148.6272
-57.3439,149.3601
-55.4715,150.0637
-53.5915,150.7471
-51.7029,151.4057
-49.8068,152.0429
-47.9015,152.6518
-45.9900,153.2410
-44.0702,153.8029
-42.1438,154.3416
-40.2111,154.8565
-38.2717,155.3463
-36.3264,155.8119
-34.3750,156.2517
-32.4192,156.6708
-30.4571,157.0597
-28.4910,157.4278
-26.5199,157.7684
-24.5460,158.0915
-22.5663,158.3780
-20.5847,158.6505
-18.5986,158.8884
-16.6109,159.1127
-14.6194,159.2996
-12.6271,159.4772
-10.6313,159.6116
-8.6348,159.7350
-6.6366,159.8248
-4.6378,159.9034
-2.6379,159.9395
-0.6377,159.9623
1.3625,159.9561
3.3626,159.9300
5.3620,159.8742
7.3608,159.7958
9.3585,159.6950
11.3545,159.5642
13.3490,159.4131
15.3412,159.2333
17.3319,159.0382
19.3184,158.8033
21.3033,158.5560
23.2836,158.2742
25.2620,157.9792
27.2343,157.6460
29.2051,157.3038
31.1680,156.9188
33.1285,156.5218
35.0822,156.0929
37.0337,155.6535
38.9743,155.1688
40.9122,154.6732
42.8420,154.1469
44.7677,153.6057
46.6826,153.0277
48.5941,152.4383
50.4938,151.8121
52.3886,151.1710
54.2732,150.5007
56.1524,149.8153
58.0182,149.0945
59.8781,148.3583
61.7267,147.5944
63.5684,146.8136
65.3962,146.0015
67.2180,145.1754
69.0246,144.3168
70.8234,143.4419
72.6096,142.5416
74.3875,141.6250
76.1487,140.6769
77.9023,139.7144
79.6403,138.7243
81.3690,137.7180
83.0817,136.6849
84.7861,135.6378
86.4712,134.5602
88.1468,133.4677
89.8066,132.3515
91.4564,131.2203
93.0859,130.0604
94.7077,128.8895
96.3072,127.6884
97.8967,126.4740
99.4684,125.2369
101.0304,123.9873
102.5677,122.7077
104.0964,121.4177
105.6032,120.1022
107.0989,118.7740
108.5732,117.4223
110.0388,116.0610
111.4756,114.6694
112.9032,113.2683
114.3090,111.8454
115.7034,110.4113
117.0713,108.9520
118.4325,107.4862
119.7610,105.9909
121.0801,104.4873
122.3765,102.9640
123.6620,101.4316
124.9159,99.8732
126.1616,98.3082
127.3777,96.7201
128.5817,95.1228
129.7604,93.5068
130.9310,91.8848
132.0623,90.2353
133.1859,88.5804
134.2821,86.9073
135.3651,85.2256
136.4181,83.5251
137.4624,81.8191
138.4689,80.0906
139.4645,78.3557
