x,z
-53.7633,-1535.0002
-55.7633,-1534.9989
-57.7634,-1534.9977
-59.7634,-1534.9965
-61.7635,-1534.9950
-63.7635,-1534.9935
-65.7635,-1534.9922
-67.7636,-1534.9907
-69.7636,-1534.9895
-71.7637,-1534.9886
-73.7637,-1534.9877
-75.7637,-1534.9867
-77.7638,-1534.9857
-79.7638,-1534.9849
-81.7639,-1534.9839
-83.7639,-1534.9828
-85.7639,-1534.9818
-87.7640,-1534.9808
-89.7640,-1534.9799
-91.7641,-1534.9789
-93.7641,-1534.9778
-95.7641,-1534.9768
-97.7642,-1534.9757
-99.7642,-1534.9746
-101.7643,-1534.9735
-103.7643,-1534.9724
-105.7644,-1534.9713
-107.7644,-1534.9698
-109.7644,-1534.9684
-111.7645,-1534.9670
-113.7645,-1534.9656
-115.7645,-1534.9641
-117.7646,-1534.9626
-119.7646,-1534.9607
-121.7647,-1534.9589
-123.7647,-1534.9570
-125.7647,-1534.9551
-127.7648,-1534.9532
-129.7648,-1534.9507
-131.7649,-1534.9480
-133.7649,-1534.9453
-135.7649,-1534.9426
-137.7650,-1534.9406
-139.7650,-1534.9456
-141.7650,-1534.9507
-143.7650,-1534.9614
-145.7650,-1534.9740
-147.7651,-1534.9843
-149.7651,-1534.9917
-151.7651,-1534.9955
-153.7651,-1534.9844
-155.7651,-1534.9733
-157.7646,-1534.9279
-159.7642,-1534.8820
-161.7622,-1534.7946
-163.7598,-1534.6967
-165.7544,-1534.5541
-167.7474,-1534.3872
-169.7356,-1534.1749
-171.7193,-1533.9211
-173.6963,-1533.6241
-175.6638,-1533.2666
-177.6230,-1532.8701
-179.5647,-1532.3929
-181.4974,-1531.8843
-183.4014,-1531.2750
-185.2982,-1530.6461
-187.1504,-1529.8951
-189.0017,-1529.1425
-190.7873,-1528.2461
-192.5728,-1527.3497
-194.2906,-1526.3324
-195.9951,-1525.2916
-197.6443,-1524.1691
-199.2556,-1522.9905
-200.8399,-1521.7784
-202.3464,-1520.4698
-203.8528,-1519.1611
-205.2704,-1517.7593
-206.6661,-1516.3342
-208.0213,-1514.8751
-209.2181,-1513.2821
-210.4150,-1511.6891
-211.5141,-1510.0347
-212.4618,-1508.2853
-213.4095,-1506.5359
-214.2991,-1504.7596
-215.0576,-1502.9229
-215.8162,-1501.0859
-216.5747,-1499.2491
-217.2036,-1497.3661
-217.8243,-1495.4801
-218.4450,-1493.5941
-219.0352,-1491.6995
-219.5585,-1489.7858
-220.0818,-1487.8721
-220.6051,-1485.9584
-221.0966,-1484.0371
-221.5506,-1482.1072
-222.0046,-1480.1771
-222.4586,-1478.2472
-222.8920,-1476.3131
-223.2978,-1474.3737
-223.7036,-1472.4342
-224.1094,-1470.4948
-224.5078,-1468.5542
-224.8862,-1466.6105
-225.2646,-1464.6667
-225.6430,-1462.7230
-226.0210,-1460.7793
-226.3909,-1458.8352
-226.7609,-1456.8912
-227.1308,-1454.9471
-227.5008,-1453.0032
-227.8790,-1451.0620
-228.2591,-1449.1213
-228.6391,-1447.1808
-229.0191,-1445.2402
-229.4181,-1443.3046
-229.8276,-1441.3717
-230.2371,-1439.4388
-230.6465,-1437.5059
-231.0858,-1435.5809
-231.5471,-1433.6617
-232.0083,-1431.7427
-232.4696,-1429.8235
-232.9839,-1427.9199
-233.5242,-1426.0240
-234.0644,-1424.1281
-234.6047,-1422.2322
-235.2570,-1420.3749
-235.9109,-1418.5182
-236.5648,-1416.6615
-237.3090,-1414.8431
-238.1221,-1413.0543
-238.9352,-1411.2654
-239.8454,-1409.5302
-240.8760,-1407.8616
-241.9066,-1406.1930
-243.1178,-1404.6624
-244.4312,-1403.2098
-245.7643,-1401.7775
-247.2410,-1400.4915
-248.7176,-1399.2053
-250.2037,-1397.9290
-251.6923,-1396.6550
-253.1889,-1395.3890
-254.6913,-1394.1288
-256.2007,-1392.8754
-257.7186,-1391.6301
-259.2428,-1390.3909
-260.7771,-1389.1613
-262.3169,-1387.9370
-263.8678,-1386.7233
-265.4233,-1385.5140
-266.9902,-1384.3156
-268.5602,-1383.1201
-270.1418,-1381.9358
-271.7243,-1380.7522
-273.3192,-1379.5806
-274.9140,-1378.4088
-276.5177,-1377.2456
-278.1234,-1376.0842
-279.7332,-1374.9268
-281.3482,-1373.7742
-282.9632,-1372.6217
-284.5844,-1371.4749
-286.2062,-1370.3285
-287.8291,-1369.1831
-289.4563,-1368.0416
-291.0835,-1366.9000
-292.7118,-1365.7593
-294.3427,-1364.6207
-295.9735,-1363.4822
-297.6047,-1362.3436
-299.2380,-1361.2067
-300.8713,-1360.0696
-302.5045,-1358.9326
-304.1388,-1357.7959
-305.7735,-1356.6595
-307.4082,-1355.5231
-309.0429,-1354.3866
-310.6782,-1353.2498
-312.3134,-1352.1129
-313.9487,-1350.9761
-315.5840,-1349.8392
-317.2119,-1348.6958
-318.8376,-1347.5505
-320.4635,-1346.4053
