x,z
-53.7633,-1535.0002
-51.7633,-1535.0015
-49.7632,-1535.0027
-47.7632,-1535.0039
-45.7631,-1535.0051
-43.7631,-1535.0065
-41.7631,-1535.0077
-39.7630,-1535.0089
-37.7630,-1535.0103
-35.7629,-1535.0115
-33.7629,-1535.0127
-31.7629,-1535.0131
-29.7628,-1535.0134
-27.7628,-1535.0138
-25.7627,-1535.0142
-23.7627,-1535.0142
-21.7627,-1535.0117
-19.7626,-1535.0092
-17.7626,-1535.0067
-15.7626,-1535.0042
-13.7625,-1535.0009
-11.7625,-1534.9962
-9.7624,-1534.9917
-7.7624,-1534.9872
-5.7624,-1534.9825
-3.7623,-1534.9768
-1.7623,-1534.9709
0.2377,-1534.9652
2.2378,-1534.9594
4.2378,-1534.9535
6.2378,-1534.9476
8.2379,-1534.9419
10.2379,-1534.9360
12.2379,-1534.9319
14.2380,-1534.9315
16.2380,-1534.9310
18.2380,-1534.9307
20.2381,-1534.9327
22.2381,-1534.9368
24.2381,-1534.9408
26.2382,-1534.9448
28.2382,-1534.9510
30.2382,-1534.9578
32.2383,-1534.9646
34.2383,-1534.9708
36.2383,-1534.9744
38.2383,-1534.9779
40.2384,-1534.9816
42.2382,-1534.9701
44.2381,-1534.9523
46.2379,-1534.9343
48.2374,-1534.9130
50.2364,-1534.8706
52.2352,-1534.8220
54.2327,-1534.7360
56.2300,-1534.6460
58.2251,-1534.5177
60.2201,-1534.3893
62.2123,-1534.2216
64.2044,-1534.0540
66.1931,-1533.8497
68.1814,-1533.6412
70.1658,-1533.3997
72.1491,-1533.1482
74.1283,-1532.8677
76.1052,-1532.5708
78.0780,-1532.2489
80.0469,-1531.9033
82.0117,-1531.5365
83.9705,-1531.1382
85.9253,-1530.7219
87.8714,-1530.2665
89.8135,-1529.7949
91.7436,-1529.2769
93.6690,-1528.7423
95.5791,-1528.1553
97.4823,-1527.5477
99.3668,-1526.8843
101.2398,-1526.1908
103.0917,-1525.4421
104.9228,-1524.6464
106.7328,-1523.8029
108.5047,-1522.8848
110.2608,-1521.9355
111.9481,-1520.8706
113.6035,-1519.7615
115.1970,-1518.5669
116.7016,-1517.2694
118.1428,-1515.9038
119.4690,-1514.4244
120.6507,-1512.8356
121.7272,-1511.1766
122.6886,-1509.4484
123.5391,-1507.6613
124.3336,-1505.8494
125.0570,-1504.0077
125.6986,-1502.1367
126.3069,-1500.2544
126.8296,-1498.3453
127.3196,-1496.4279
127.7529,-1494.4960
128.1400,-1492.5551
128.4894,-1490.6068
128.7867,-1488.6487
129.0578,-1486.6857
129.2752,-1484.7114
129.4720,-1482.7329
129.6169,-1480.7501
129.7422,-1478.7657
129.8207,-1476.7792
129.8764,-1474.7915
129.8941,-1472.8033
129.8828,-1470.8148
129.8441,-1468.8269
129.7671,-1466.8397
129.6756,-1464.8533
129.5338,-1462.8696
129.3920,-1460.8860
129.1866,-1458.9077
128.9806,-1456.9296
128.7282,-1454.9569
128.4583,-1452.9863
128.1607,-1451.0199
127.8267,-1449.0591
127.4855,-1447.0995
127.0870,-1445.1506
126.6885,-1443.2018
126.2397,-1441.2639
125.7759,-1439.3293
125.2848,-1437.4017
124.7547,-1435.4841
124.2221,-1433.5673
123.6241,-1431.6693
123.0262,-1429.7714
122.3827,-1427.8882
121.7153,-1426.0128
121.0292,-1424.1444
120.2908,-1422.2953
119.5525,-1420.4462
118.7514,-1418.6232
117.9408,-1416.8041
117.0956,-1415.0011
116.2112,-1413.2163
115.3217,-1411.4341
114.3619,-1409.6884
113.4021,-1407.9426
112.3915,-1406.2261
111.3553,-1404.5243
110.2983,-1402.8356
109.1844,-1401.1833
108.0705,-1399.5310
106.8885,-1397.9269
105.6962,-1396.3300
104.5267,-1394.7161
103.3825,-1393.0833
102.3389,-1391.3867
101.3723,-1389.6415
100.5208,-1387.8389
99.7299,-1386.0062
99.0605,-1384.1266
98.4372,-1382.2291
97.9338,-1380.2970
97.4676,-1378.3541
97.1122,-1376.3884
96.7908,-1374.4156
96.5653,-1372.4303
96.3765,-1370.4401
96.2646,-1368.4446
96.1963,-1366.4462
96.1838,-1364.4473
96.2247,-1362.4480
96.2997,-1360.4501
96.4399,-1358.4551
96.5927,-1356.4613
96.8230,-1354.4746
97.0532,-1352.4879
97.3586,-1350.5115
97.6719,-1348.5361
98.0339,-1346.5695
98.4228,-1344.6077
98.8377,-1342.6514
99.2970,-1340.7048
99.7619,-1338.7596
100.2869,-1336.8298
100.8118,-1334.8999
101.3862,-1332.9843
101.9729,-1331.0723
102.5904,-1329.1703
103.2359,-1327.2773
103.8964,-1325.3898
104.5982,-1323.5170
105.3020,-1321.6450
106.0587,-1319.7937
106.8153,-1317.9424
107.6176,-1316.1106
108.4284,-1314.2823
109.2769,-1312.4714
110.1416,-1310.6681
111.0399,-1308.8815
111.9594,-1307.1053
112.9124,-1305.3474
113.8884,-1303.6017
114.9033,-1301.8785
115.9386,-1300.1674
117.0246,-1298.4882
118.1266,-1296.8192
119.2943,-1295.1954
120.4929,-1293.5951
121.7371,-1292.0292
123.0665,-1290.5360
124.4474,-1289.0911
125.8736,-1287.6897
127.3537,-1286.3472
128.8548,-1285.0273
130.4205,-1283.7872
131.9921,-1282.5542
133.5900,-1281.3552
135.2003,-1280.1721
136.8391,-1279.0300
138.4942,-1277.9114
140.1696,-1276.8247
141.8558,-1275.7549
143.5612,-1274.7166
145.2704,-1273.6844
146.9898,-1272.6705
148.7091,-1271.6566
150.4393,-1270.6595
152.1748,-1269.6705
153.9183,-1268.6967
155.6672,-1267.7330
157.4216,-1266.7791
159.1774,-1265.8274
160.9333,-1264.8759
162.6883,-1263.9224
164.4393,-1262.9614
